address,floor,plan,price,square
р-н Орджоникидзевский, 7/16 эт.,3-к квартира,3 300 000  ₽, 84 м²
р-н Мотовилихинский, 10/10 эт.,1-к квартира,2 300 000  ₽, 30 м²
р-н Мотовилихинский, 2/6 эт.,3-к квартира,5 300 000  ₽, 60 м²
р-н Дзержинский, 3/5 эт.,3-к квартира,3 490 000  ₽, 56 м²
р-н Мотовилихинский, 3/5 эт.,2-к квартира,2 629 000  ₽, 43.1 м²
р-н Индустриальный, 10/16 эт.,3-к квартира,7 600 000  ₽, 101 м²
р-н Индустриальный, 6/17 эт.,1-к квартира,1 960 000  ₽, 37 м²
р-н Свердловский, 5/5 эт.,2-к квартира,2 740 000  ₽, 41 м²
р-н Мотовилихинский, 4/9 эт.,3-к квартира,2 400 000  ₽, 52.2 м²
р-н Кировский, 5/5 эт.,2-к квартира,2 197 577  ₽, 44.4 м²
р-н Орджоникидзевский, 4/5 эт.,2-к квартира,1 350 000  ₽, 38.7 м²
р-н Индустриальный, 23/25 эт.,2-к квартира,3 280 000  ₽, 40.8 м²
р-н Мотовилихинский, 5/9 эт.,2-к квартира,2 850 000  ₽, 43.6 м²
р-н Мотовилихинский, 2/5 эт.,3-к квартира,3 100 000  ₽, 48 м²
р-н Мотовилихинский, 8/9 эт.,3-к квартира,2 920 000  ₽, 52 м²
р-н Индустриальный, 3/9 эт.,3-к квартира,4 600 000  ₽, 66.3 м²
р-н Кировский, 1/3 эт.,2-к квартира,2 300 000  ₽, 44 м²
р-н Мотовилихинский, 2/5 эт.,3-к квартира,2 700 000  ₽, 53 м²
р-н Дзержинский, 3/10 эт.,3-к квартира,3 200 000  ₽, 66 м²
р-н Кировский, 9/9 эт.,3-к квартира,3 350 000  ₽, 66.4 м²
р-н Свердловский, 5/5 эт.,2-к квартира,2 880 000  ₽, 43 м²
р-н Свердловский, 3/5 эт.,1-к квартира,1 900 000  ₽, 31 м²
р-н Индустриальный, 2/5 эт.,2-к квартира,2 885 000  ₽, 48.4 м²
р-н Дзержинский, 9/16 эт.,2-к квартира,4 750 000  ₽, 72 м²
р-н Кировский, 3/9 эт.,3-к квартира,2 850 000  ₽, 58 м²
р-н Дзержинский, 18/18 эт.,2-к квартира,5 150 000  ₽, 71 м²
р-н Орджоникидзевский, 18/19 эт.,3-к квартира,2 600 000  ₽, 86 м²
р-н Ленинский, 4/10 эт.,1-к квартира,4 250 000  ₽, 44 м²
р-н Индустриальный, 2/14 эт.,2-к квартира,3 290 000  ₽, 49 м²
р-н Кировский, 5/5 эт.,3-к квартира,2 799 000  ₽, 58.1 м²
р-н Мотовилихинский, 1/4 эт.,2-к квартира,3 080 000  ₽, 43 м²
р-н Свердловский, 3/5 эт.,1-к квартира,2 100 000  ₽, 33 м²
р-н Мотовилихинский, 6/9 эт.,2-к квартира,2 300 000  ₽, 44 м²
р-н Дзержинский, 9/9 эт.,3-к квартира,3 700 000  ₽, 67.4 м²
р-н Индустриальный, 2/16 эт.,2-к квартира,2 850 000  ₽, 37.8 м²
р-н Свердловский, 13/19 эт.,1-к квартира,2 800 000  ₽, 33 м²
р-н Орджоникидзевский, 1/5 эт.,4-к квартира,1 880 000  ₽, 61 м²
р-н Свердловский, 4/5 эт.,2-к квартира,2 430 000  ₽, 44 м²
р-н Дзержинский, 2/5 эт.,2-к квартира,2 600 000  ₽, 42.6 м²
р-н Дзержинский, 2/5 эт.,2-к квартира,2 590 000  ₽, 43 м²
р-н Дзержинский, 3/9 эт.,2-к квартира,3 400 000  ₽, 53 м²
р-н Ленинский, 4/10 эт.,1-к квартира,4 200 000  ₽, 55 м²
р-н Мотовилихинский, 9/9 эт.,3-к квартира,2 700 000  ₽, 53 м²
р-н Мотовилихинский, 2/5 эт.,2-к квартира,2 260 000  ₽, 44 м²
р-н Индустриальный, 1/5 эт.,1-к квартира,2 080 000  ₽, 30.4 м²
р-н Свердловский, 4/5 эт.,2-к квартира,2 700 000  ₽, 44 м²
р-н Мотовилихинский, 10/10 эт.,3-к квартира,2 950 000  ₽, 61 м²
р-н Свердловский, 6/9 эт.,3-к квартира,13 500 000  ₽, 133.6 м²
р-н Индустриальный, 15/25 эт.,1-к квартира,2 890 800  ₽, 43.8 м²
р-н Дзержинский, 4/4 эт.,2-к квартира,3 900 000  ₽, 55 м²
р-н Орджоникидзевский, 3/5 эт.,3-к квартира,2 300 000  ₽, 59 м²
р-н Индустриальный, 2/2 эт.,2-к квартира,2 700 000  ₽, 50 м²
р-н Индустриальный, 3/5 эт.,1-к квартира,2 090 000  ₽, 32 м²
р-н Орджоникидзевский, 2/16 эт.,3-к квартира,3 600 000  ₽, 84 м²
р-н Ленинский, 2/5 эт.,3-к квартира,3 950 000  ₽, 62 м²
р-н Дзержинский, 7/9 эт.,4-к квартира,4 700 000  ₽, 80 м²
р-н Свердловский, 2/5 эт.,3-к квартира,3 500 000  ₽, 60 м²
р-н Ленинский, 5/6 эт.,2-к квартира,6 990 000  ₽, 84 м²
р-н Свердловский, 8/9 эт.,2-к квартира,2 600 000  ₽, 51 м²
р-н Свердловский, 2/4 эт.,2-к квартира,2 420 000  ₽, 41 м²
р-н Дзержинский, 5/9 эт.,3-к квартира,3 250 000  ₽, 53 м²
р-н Индустриальный, 4/25 эт.,2-к квартира,3 350 000  ₽, 50.4 м²
р-н Кировский, 5/9 эт.,2-к квартира,2 200 000  ₽, 45.3 м²
р-н Свердловский, 5/5 эт.,2-к квартира,2 700 000  ₽, 43.5 м²
р-н Дзержинский, 3/9 эт.,1-к квартира,1 800 000  ₽, 21 м²
р-н Дзержинский, 3/16 эт.,3-к квартира,8 200 000  ₽, 122 м²
р-н Свердловский, 4/5 эт.,3-к квартира,3 650 000  ₽, 54 м²
р-н Кировский, 1/5 эт.,3-к квартира,2 650 000  ₽, 61 м²
р-н Дзержинский, 4/5 эт.,2-к квартира,2 850 000  ₽, 42.6 м²
р-н Кировский, 5/5 эт.,2-к квартира,1 750 000  ₽, 45.6 м²
р-н Свердловский, 12/13 эт.,1-к квартира,2 450 000  ₽, 34.6 м²
р-н Ленинский, 9/10 эт.,3-к квартира,8 200 000  ₽, 107 м²
р-н Свердловский, 12/18 эт.,5-к квартира,11 800 000  ₽, 214.3 м²
р-н Дзержинский, 14/14 эт.,3-к квартира,9 500 000  ₽, 133.3 м²
р-н Мотовилихинский, 6/14 эт.,3-к квартира,7 500 000  ₽, 92.3 м²
р-н Мотовилихинский, 5/5 эт.,1-к квартира,2 100 000  ₽, 30.7 м²
р-н Ленинский, 2/9 эт.,2-к квартира,3 400 000  ₽, 50.7 м²
р-н Дзержинский, 7/9 эт.,3-к квартира,4 000 000  ₽, 67.1 м²
р-н Орджоникидзевский, 4/5 эт.,1-к квартира,1 800 000  ₽, 31 м²
р-н Индустриальный, 3/5 эт.,2-к квартира,2 700 000  ₽, 42 м²
р-н Индустриальный, 5/23 эт.,3-к квартира,4 532 550  ₽, 73.7 м²
р-н Дзержинский, 10/14 эт.,2-к квартира,3 500 000  ₽, 55 м²
р-н Индустриальный, 1/5 эт.,3-к квартира,2 699 999  ₽, 62 м²
р-н Орджоникидзевский, 1/4 эт.,2-к квартира,1 400 000  ₽, 42.1 м²
р-н Кировский, 5/5 эт.,2-к квартира,2 500 000  ₽, 45.4 м²
р-н Дзержинский, 9/10 эт.,3-к квартира,5 900 000  ₽, 83 м²
р-н Свердловский, 7/9 эт.,1-к квартира,2 100 000  ₽, 35 м²
р-н Орджоникидзевский, 14/19 эт.,1-к квартира,1 948 374  ₽, 34.2 м²
р-н Дзержинский, 7/12 эт.,2-к квартира,3 400 000  ₽, 58 м²
р-н Кировский, 5/5 эт.,1-к квартира,1 500 000  ₽, 30.7 м²
р-н Мотовилихинский, 3/12 эт.,1-к квартира,2 700 000  ₽, 40 м²
р-н Кировский, 16/26 эт.,3-к квартира,3 767 658  ₽, 59.1 м²
р-н Индустриальный, 11/25 эт.,3-к квартира,4 319 700  ₽, 72.6 м²
р-н Свердловский, 1/10 эт.,4-к квартира,3 550 000  ₽, 85.3 м²
р-н Мотовилихинский, 5/9 эт.,2-к квартира,2 850 000  ₽, 52.8 м²
р-н Дзержинский, 9/16 эт.,2-к квартира,4 800 000  ₽, 61 м²
р-н Кировский, 2/5 эт.,2-к квартира,1 700 000  ₽, 39.2 м²
р-н Индустриальный, 14/25 эт.,1-к квартира,2 904 000  ₽, 44 м²
р-н Индустриальный, 2/5 эт.,4-к квартира,3 000 000  ₽, 62 м²
р-н Кировский, 1/5 эт.,2-к квартира,2 300 000  ₽, 44.8 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 600 000  ₽, 45 м²
р-н Свердловский, 4/5 эт.,1-к квартира,2 150 000  ₽, 31 м²
р-н Мотовилихинский, 3/9 эт.,1-к квартира,3 200 000  ₽, 35.3 м²
р-н Мотовилихинский, 9/16 эт.,1-к квартира,2 670 000  ₽, 48.4 м²
р-н Орджоникидзевский, 1/9 эт.,1-к квартира,2 600 000  ₽, 34 м²
р-н Мотовилихинский, 5/10 эт.,3-к квартира,4 100 000  ₽, 67.1 м²
р-н Свердловский, 18/25 эт.,2-к квартира,5 300 000  ₽, 64 м²
р-н Свердловский, 15/16 эт.,3-к квартира,4 200 000  ₽, 65.9 м²
р-н Свердловский, 2/3 эт.,3-к апартаменты,7 390 000  ₽, 103 м²
р-н Свердловский, 3/5 эт.,1-к квартира,1 980 000  ₽, 31.3 м²
р-н Ленинский, 8/12 эт.,2-к квартира,5 300 000  ₽, 68.3 м²
р-н Дзержинский, 2/16 эт.,1-к квартира,2 690 000  ₽, 41 м²
р-н Орджоникидзевский, 13/16 эт.,1-к квартира,2 250 000  ₽, 40.6 м²
р-н Свердловский, 8/16 эт.,2-к квартира,4 150 000  ₽, 62.3 м²
р-н Мотовилихинский, 3/5 эт.,2-к квартира,2 550 000  ₽, 44 м²
р-н Мотовилихинский, 5/5 эт.,4-к квартира,4 800 000  ₽, 94.2 м²
р-н Свердловский, 5/31 эт.,Квартира-студия,3 100 000  ₽, 36 м²
р-н Кировский, 2/2 эт.,2-к квартира,1 850 000  ₽, 44 м²
р-н Дзержинский, 5/7 эт.,1-к квартира,3 000 000  ₽, 37 м²
р-н Индустриальный, 7/19 эт.,1-к квартира,2 340 000  ₽, 29.4 м²
р-н Кировский, 4/5 эт.,2-к квартира,1 800 000  ₽, 45 м²
р-н Индустриальный, 5/5 эт.,1-к квартира,1 900 000  ₽, 33 м²
р-н Орджоникидзевский, 14/19 эт.,2-к квартира,2 857 140  ₽, 55.6 м²
р-н Дзержинский, 21/21 эт.,1-к квартира,3 430 000  ₽, 40.2 м²
р-н Дзержинский, 12/16 эт.,1-к квартира,4 000 000  ₽, 55 м²
р-н Свердловский, 9/16 эт.,2-к квартира,4 750 000  ₽, 65 м²
р-н Свердловский, 2/9 эт.,3-к квартира,3 750 000  ₽, 61 м²
р-н Свердловский, 4/5 эт.,1-к квартира,1 790 000  ₽, 30 м²
р-н Кировский, 3/3 эт.,3-к квартира,2 350 000  ₽, 61.8 м²
р-н Кировский, 8/9 эт.,1-к квартира,1 950 000  ₽, 36 м²
р-н Кировский, 1/5 эт.,2-к квартира,1 620 000  ₽, 37 м²
р-н Свердловский, 2/5 эт.,2-к квартира,3 700 000  ₽, 55.4 м²
р-н Мотовилихинский, 2/20 эт.,2-к квартира,3 921 840  ₽, 54.5 м²
р-н Орджоникидзевский, 4/5 эт.,2-к квартира,1 800 000  ₽, 46.5 м²
р-н Орджоникидзевский, 2/4 эт.,2-к квартира,1 855 000  ₽, 42 м²
р-н Кировский, 3/3 эт.,1-к квартира,1 899 000  ₽, 30 м²
р-н Свердловский, 12/22 эт.,3-к квартира,8 250 000  ₽, 76.4 м²
р-н Индустриальный, 12/23 эт.,3-к квартира,4 644 900  ₽, 79.4 м²
р-н Индустриальный, 5/5 эт.,3-к квартира,2 590 000  ₽, 55 м²
р-н Индустриальный, 5/5 эт.,2-к квартира,2 280 000  ₽, 44 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 350 000  ₽, 41 м²
р-н Индустриальный, 5/5 эт.,1-к квартира,750 000  ₽, 12.4 м²
р-н Мотовилихинский, 4/5 эт.,3-к квартира,3 350 000  ₽, 75.2 м²
р-н Свердловский, 8/9 эт.,2-к квартира,2 649 000  ₽, 44 м²
р-н Ленинский, 2/10 эт.,2-к квартира,5 650 000  ₽, 64 м²
р-н Мотовилихинский, 2/4 эт.,1-к квартира,1 980 000  ₽, 22 м²
р-н Орджоникидзевский, 4/5 эт.,1-к квартира,1 380 000  ₽, 33 м²
р-н Дзержинский, 1/5 эт.,1-к квартира,2 000 000  ₽, 30 м²
р-н Дзержинский, 7/8 эт.,1-к квартира,3 450 000  ₽, 43.1 м²
р-н Индустриальный, 14/25 эт.,1-к квартира,3 200 000  ₽, 47 м²
р-н Индустриальный, 21/25 эт.,2-к квартира,4 850 000  ₽, 70 м²
р-н Ленинский, 8/25 эт.,3-к квартира,10 000 000  ₽, 107 м²
р-н Индустриальный, 1/5 эт.,1-к квартира,2 100 000  ₽, 30.4 м²
р-н Орджоникидзевский, 2/9 эт.,2-к квартира,2 050 000  ₽, 43.6 м²
р-н Индустриальный, 9/9 эт.,1-к квартира,1 530 000  ₽, 22 м²
р-н Свердловский, 8/17 эт.,2-к квартира,2 850 000  ₽, 44.5 м²
р-н Свердловский, 2/3 эт.,Апартаменты-студия,2 990 000  ₽, 30 м²
р-н Мотовилихинский, 3/4 эт.,3-к квартира,2 600 000  ₽, 73 м²
р-н Свердловский, 1/5 эт.,1-к квартира,1 680 000  ₽, 30 м²
р-н Орджоникидзевский, 15/19 эт.,1-к квартира,1 942 677  ₽, 34.1 м²
р-н Свердловский, 1/5 эт.,1-к квартира,1 690 000  ₽, 30 м²
р-н Свердловский, 2/9 эт.,1-к квартира,1 490 000  ₽, 23 м²
р-н Мотовилихинский, 3/4 эт.,Квартира-студия,2 000 000  ₽, 21.3 м²
р-н Мотовилихинский, 1/3 эт.,2-к квартира,2 469 500  ₽, 44.9 м²
р-н Мотовилихинский, 1/5 эт.,1-к квартира,990 000  ₽, 14 м²
р-н Орджоникидзевский, 4/5 эт.,3-к квартира,1 900 000  ₽, 54 м²
р-н Кировский, 9/16 эт.,1-к квартира,3 000 000  ₽, 49 м²
р-н Мотовилихинский, 1/10 эт.,4-к квартира,2 750 000  ₽, 79.8 м²
р-н Орджоникидзевский, 12/16 эт.,3-к квартира,6 250 000  ₽, 93 м²
р-н Свердловский, 22/25 эт.,2-к квартира,5 200 000  ₽, 53 м²
р-н Мотовилихинский, 1/17 эт.,2-к квартира,2 950 000  ₽, 72 м²
р-н Мотовилихинский, 9/9 эт.,3-к квартира,3 100 000  ₽, 57 м²
р-н Кировский, 4/5 эт.,2-к квартира,2 550 000  ₽, 42.4 м²
р-н Индустриальный, 5/15 эт.,3-к квартира,4 900 000  ₽, 86 м²
р-н Орджоникидзевский, 3/5 эт.,1-к квартира,1 800 000  ₽, 31 м²
р-н Кировский, 2/5 эт.,1-к квартира,1 015 000  ₽, 47 м²
р-н Кировский, 2/9 эт.,2-к квартира,3 630 000  ₽, 58 м²
р-н Индустриальный, 2/16 эт.,3-к квартира,7 500 000  ₽, 95.2 м²
р-н Индустриальный, 2/10 эт.,3-к квартира,3 550 000  ₽, 68.2 м²
р-н Дзержинский, 1/5 эт.,1-к квартира,1 950 000  ₽, 31 м²
р-н Кировский, 1/4 эт.,2-к квартира,2 800 000  ₽, 51.2 м²
р-н Мотовилихинский, 4/5 эт.,2-к квартира,1 980 000  ₽, 39 м²
р-н Свердловский, 9/9 эт.,3-к квартира,3 700 000  ₽, 60 м²
р-н Орджоникидзевский, 1/10 эт.,2-к квартира,1 950 000  ₽, 50 м²
р-н Ленинский, 4/5 эт.,2-к квартира,2 470 000  ₽, 44.8 м²
р-н Свердловский, 1/5 эт.,2-к квартира,2 230 000  ₽, 43 м²
р-н Индустриальный, 8/10 эт.,3-к квартира,3 600 000  ₽, 65.4 м²
р-н Орджоникидзевский, 3/5 эт.,3-к квартира,2 550 000  ₽, 61 м²
р-н Дзержинский, 15/16 эт.,3-к квартира,4 299 000  ₽, 58 м²
р-н Орджоникидзевский, 2/2 эт.,1-к квартира,1 180 000  ₽, 30.5 м²
р-н Свердловский, 21/25 эт.,3-к квартира,5 630 000  ₽, 72 м²
р-н Орджоникидзевский, 1/2 эт.,3-к квартира,1 600 000  ₽, 55 м²
р-н Свердловский, 2/17 эт.,3-к квартира,4 140 000  ₽, 73.2 м²
р-н Свердловский, 19/25 эт.,2-к квартира,5 450 000  ₽, 61 м²
р-н Мотовилихинский, 12/14 эт.,2-к квартира,2 870 000  ₽, 54 м²
р-н Дзержинский, 1/5 эт.,1-к квартира,1 900 000  ₽, 31.2 м²
р-н Индустриальный, 1/5 эт.,2-к квартира,2 480 000  ₽, 42.7 м²
р-н Мотовилихинский, 24/25 эт.,2-к квартира,3 950 000  ₽, 65.8 м²
р-н Орджоникидзевский, 13/16 эт.,3-к квартира,2 850 000  ₽, 74 м²
р-н Кировский, 1/2 эт.,2-к квартира,1 700 000  ₽, 41.7 м²
р-н Свердловский, 17/17 эт.,Квартира-студия,2 250 000  ₽, 29.7 м²
р-н Индустриальный, 15/16 эт.,3-к квартира,8 900 000  ₽, 121 м²
р-н Орджоникидзевский, 1/9 эт.,2-к квартира,2 287 000  ₽, 51 м²
р-н Ленинский, 2/5 эт.,2-к квартира,5 900 000  ₽, 76 м²
р-н Дзержинский, 15/17 эт.,2-к квартира,5 300 000  ₽, 74.7 м²
р-н Ленинский, 3/9 эт.,2-к квартира,3 450 000  ₽, 43.5 м²
р-н Свердловский, 3/5 эт.,2-к квартира,2 500 000  ₽, 42.4 м²
р-н Свердловский, 14/25 эт.,3-к квартира,5 442 000  ₽, 78.9 м²
р-н Индустриальный, 3/8 эт.,2-к квартира,4 441 000  ₽, 62 м²
р-н Дзержинский, 10/10 эт.,1-к квартира,2 500 000  ₽, 44.2 м²
р-н Мотовилихинский, 9/10 эт.,2-к квартира,3 100 000  ₽, 50 м²
р-н Ленинский, 2/6 эт.,4-к квартира,11 500 000  ₽, 167 м²
р-н Индустриальный, 2/10 эт.,3-к квартира,3 900 000  ₽, 68 м²
р-н Орджоникидзевский, 5/5 эт.,1-к квартира,1 300 000  ₽, 38 м²
р-н Мотовилихинский, 12/16 эт.,1-к квартира,2 938 800  ₽, 37.2 м²
р-н Дзержинский, 1/9 эт.,4-к квартира,4 350 000  ₽, 75 м²
р-н Мотовилихинский, 1/3 эт.,2-к квартира,2 012 400  ₽, 38.7 м²
р-н Свердловский, 15/20 эт.,3-к квартира,9 600 000  ₽, 107 м²
р-н Индустриальный, 3/5 эт.,3-к квартира,3 100 000  ₽, 58.1 м²
р-н Дзержинский, 2/9 эт.,4-к квартира,4 430 000  ₽, 74 м²
р-н Свердловский, 4/14 эт.,3-к квартира,2 800 000  ₽, 59 м²
р-н Индустриальный, 6/6 эт.,4-к квартира,11 900 000  ₽, 162.5 м²
р-н Мотовилихинский, 1/2 эт.,2-к квартира,980 000  ₽, 45 м²
р-н Свердловский, 14/25 эт.,2-к квартира,5 815 000  ₽, 60 м²
р-н Кировский, 16/16 эт.,2-к квартира,3 500 000  ₽, 57.1 м²
р-н Ленинский, 7/11 эт.,4-к квартира,7 800 000  ₽, 136.4 м²
р-н Свердловский, 1/9 эт.,3-к квартира,7 000 000  ₽, 124.9 м²
р-н Кировский, 16/16 эт.,Квартира-студия,1 859 000  ₽, 29.6 м²
р-н Мотовилихинский, 5/5 эт.,2-к квартира,2 800 000  ₽, 57 м²
р-н Ленинский, 6/18 эт.,3-к квартира,14 300 000  ₽, 104 м²
р-н Дзержинский, 2/24 эт.,2-к квартира,2 905 500  ₽, 43 м²
р-н Орджоникидзевский, 5/5 эт.,1-к квартира,850 000  ₽, 20 м²
р-н Мотовилихинский, 6/16 эт.,2-к квартира,3 780 000  ₽, 58 м²
р-н Мотовилихинский, 11/24 эт.,3-к квартира,5 600 000  ₽, 72 м²
р-н Мотовилихинский, 4/9 эт.,2-к квартира,2 580 000  ₽, 49.2 м²
р-н Индустриальный, 16/16 эт.,3-к квартира,9 221 850  ₽, 133.6 м²
р-н Индустриальный, 8/18 эт.,2-к квартира,6 350 000  ₽, 72 м²
р-н Мотовилихинский, 6/6 эт.,3-к квартира,5 990 000  ₽, 67 м²
р-н Кировский, 2/5 эт.,2-к квартира,2 300 000  ₽, 37.4 м²
р-н Мотовилихинский, 1/9 эт.,2-к квартира,2 800 000  ₽, 53 м²
р-н Свердловский, 17/25 эт.,2-к квартира,3 300 000  ₽, 42.2 м²
р-н Кировский, 2/5 эт.,1-к квартира,1 650 000  ₽, 31.2 м²
р-н Дзержинский, 10/18 эт.,3-к квартира,4 120 000  ₽, 75 м²
р-н Мотовилихинский, 8/9 эт.,2-к квартира,2 500 000  ₽, 43.7 м²
р-н Свердловский, 2/5 эт.,3-к квартира,3 500 000  ₽, 62 м²
р-н Мотовилихинский, 10/14 эт.,3-к квартира,2 800 000  ₽, 54.2 м²
р-н Свердловский, 5/5 эт.,2-к квартира,4 170 000  ₽, 65.2 м²
р-н Дзержинский, 2/5 эт.,1-к квартира,2 250 000  ₽, 31 м²
р-н Дзержинский, 5/5 эт.,1-к квартира,1 730 000  ₽, 30.2 м²
р-н Мотовилихинский, 1/10 эт.,4-к квартира,4 799 999  ₽, 104.8 м²
р-н Свердловский, 2/4 эт.,3-к квартира,4 300 000  ₽, 75 м²
р-н Мотовилихинский, 7/9 эт.,2-к квартира,3 000 000  ₽, 44 м²
р-н Ленинский, 2/10 эт.,1-к квартира,3 540 000  ₽, 40 м²
р-н Мотовилихинский, 2/4 эт.,3-к квартира,3 650 000  ₽, 75.5 м²
р-н Свердловский, 2/4 эт.,2-к квартира,2 500 000  ₽, 45 м²
р-н Свердловский, 2/5 эт.,3-к квартира,3 990 000  ₽, 62 м²
р-н Индустриальный, 1/5 эт.,1-к квартира,1 900 000  ₽, 27.2 м²
р-н Кировский, 2/16 эт.,2-к квартира,3 350 000  ₽, 59.3 м²
р-н Дзержинский, 18/18 эт.,2-к квартира,4 380 000  ₽, 50.7 м²
р-н Индустриальный, 10/16 эт.,Квартира-студия,2 350 000  ₽, 23.7 м²
р-н Мотовилихинский, 1/5 эт.,2-к квартира,2 650 000  ₽, 46 м²
р-н Свердловский, 5/5 эт.,2-к квартира,1 750 000  ₽, 45 м²
р-н Мотовилихинский, 2/2 эт.,2-к квартира,991 991  ₽, 48 м²
р-н Кировский, 3/16 эт.,1-к квартира,1 917 000  ₽, 35.5 м²
р-н Индустриальный, 9/9 эт.,3-к квартира,3 250 000  ₽, 53 м²
р-н Свердловский, 6/9 эт.,1-к квартира,2 100 000  ₽, 31.5 м²
р-н Ленинский, 3/5 эт.,2-к квартира,2 700 000  ₽, 46 м²
р-н Кировский, 5/5 эт.,2-к квартира,2 200 000  ₽, 43.3 м²
р-н Орджоникидзевский, 1/6 эт.,1-к квартира,1 350 000  ₽, 31 м²
р-н Свердловский, 15/25 эт.,3-к квартира,5 225 000  ₽, 94.2 м²
р-н Ленинский, 5/16 эт.,2-к квартира,3 800 000  ₽, 57 м²
р-н Кировский, 2/16 эт.,2-к квартира,3 350 000  ₽, 59.3 м²
р-н Индустриальный, 1/5 эт.,1-к квартира,1 900 000  ₽, 27.2 м²
р-н Дзержинский, 18/18 эт.,2-к квартира,4 380 000  ₽, 50.7 м²
р-н Мотовилихинский, 1/5 эт.,2-к квартира,2 650 000  ₽, 46 м²
р-н Кировский, 9/16 эт.,1-к квартира,3 000 000  ₽, 49 м²
р-н Индустриальный, 10/16 эт.,Квартира-студия,2 350 000  ₽, 23.7 м²
р-н Мотовилихинский, 2/2 эт.,2-к квартира,991 991  ₽, 48 м²
р-н Кировский, 3/16 эт.,1-к квартира,1 917 000  ₽, 35.5 м²
р-н Индустриальный, 9/9 эт.,3-к квартира,3 250 000  ₽, 53 м²
р-н Ленинский, 3/5 эт.,2-к квартира,2 700 000  ₽, 46 м²
р-н Индустриальный, 2/4 эт.,3-к квартира,2 650 000  ₽, 45 м²
р-н Свердловский, 3/16 эт.,2-к квартира,3 951 000  ₽, 83 м²
р-н Ленинский, 2/10 эт.,1-к квартира,2 550 000  ₽, 34.5 м²
р-н Свердловский, 1/2 эт.,2-к апартаменты,3 700 000  ₽, 46 м²
р-н Ленинский, 3/9 эт.,4-к квартира,16 900 000  ₽, 149.6 м²
р-н Дзержинский, 23/25 эт.,Квартира-студия,3 040 000  ₽, 38.5 м²
р-н Свердловский, 5/19 эт.,3-к квартира,4 435 000  ₽, 63 м²
р-н Свердловский, 5/9 эт.,1-к квартира,920 000  ₽, 17 м²
р-н Свердловский, 1/9 эт.,3-к квартира,2 450 000  ₽, 60 м²
р-н Индустриальный, 17/20 эт.,Своб. планировка,3 240 000  ₽, 36 м²
р-н Ленинский, 9/10 эт.,3-к квартира,8 300 000  ₽, 150.7 м²
р-н Кировский, 1/5 эт.,2-к квартира,1 730 000  ₽, 45 м²
р-н Ленинский, 3/7 эт.,3-к квартира,10 850 000  ₽, 77.7 м²
р-н Орджоникидзевский, 11/16 эт.,2-к квартира,2 700 000  ₽, 46.2 м²
р-н Мотовилихинский, 1/5 эт.,2-к квартира,2 350 000  ₽, 43 м²
р-н Ленинский, 18/18 эт.,6-к квартира,73 000 000  ₽, 280 м²
р-н Свердловский, 18/19 эт.,4-к квартира,9 950 000  ₽, 119.2 м²
р-н Свердловский, 4/10 эт.,4-к квартира,7 600 000  ₽, 121 м²
р-н Свердловский, 5/19 эт.,2-к квартира,5 700 000  ₽, 66.3 м²
