"OlympiadType","Status","TeamSize","Subject","Year_end","Class","ShortName","Year_begin"
"Всероссийская олимпиада","призёр",5,"Физика",2019,9,"ГБОУ школа № 2107",2018
"Московская олимпиада","призёр",3,"филология",2016,6,"ГБОУ лицей № 1564",2015
"Всероссийская олимпиада","призёр",3,"Физика",2014,10,"ГБОУ лицей № 1568",2013
"Московская олимпиада","призёр",3,"Информационные технологии в профессиональной деятельности",2019,10,"ГБОУ школа № 1557",2018
"Всероссийская олимпиада","призёр",4,"Информатика",2020,8,"ОАНО «Школа «ЛЕТОВО»",2019
"Всероссийская олимпиада","призёр",4,"Физика",2016,9,"ГБОУ лицей № 1501",2015
"Всероссийская олимпиада","призёр",3,"Обществознание",2015,10,"НИУ ВШЭ. лицей",2014
"Всероссийская олимпиада","призёр",5,"Иностранный язык (китайский язык)",2018,9,"ГБОУ школа № 1286",2017
"Всероссийская олимпиада","призёр",4,"Обществознание",2013,11,"ГБОУ гимназия № 1519",2012
"Всероссийская олимпиада","призёр",3,"Физика",2019,11,"ГБОУ школа № 1568",2018
"Московская олимпиада","призёр",4,"Изобразительное искусство",2017,6,"ГБОУ гимназия № 1551",2016
"Московская олимпиада","призёр",5,"Математика",2015,6,"ГБОУ гимназия № 1544",2014
"Всероссийская олимпиада","призёр",4,"Литература",2019,9,"ГБОУ школа № 1512",2018
"Всероссийская олимпиада","призёр",4,"Химия",2019,9,"ГБОУ школа № 1568",2018
"Всероссийская олимпиада","призёр",5,"Литература",2014,9,"ГБОУ СОШ № 820",2013
"Московская олимпиада","призёр",5,"Математика",2018,6,"ГБОУ школа № 1568",2017
"Московская олимпиада","победитель",3,"Изобразительное искусство",2017,6,"ГАОУ ЦО № 548",2016
"Всероссийская олимпиада","призёр",3,"Русский язык",2017,9,"ГБОУ школа № 1270",2016
"Всероссийская олимпиада","призёр",5,"Обществознание",2020,11,"лицей НИУ ВШЭ",2019
"Районная олимпиада","призёр",4,"Русский язык",2013,11,"ГБОУ гимназия № 1534",2012
"Всероссийская олимпиада","призёр",4,"Литература",2018,10,"ГБОУ школа № 727",2017
"Московская олимпиада","победитель",4,"География",2017,7,"ГБОУ школа № 1354",2016
"Всероссийская олимпиада","призёр",4,"Математика",2019,9,"ГБОУ «Лицей «Вторая школа»",2018
"Всероссийская олимпиада","призёр",3,"Русский язык",2013,9,"ГБОУ ЦО № 1463",2012
"Московская олимпиада","призёр",5,"Изобразительное искусство",2016,7,"ГБОУ гимназия № 45",2015
"Всероссийская олимпиада","призёр",5,"Биология",2016,10,"ГБОУ школа № 1357",2015
"Всероссийская олимпиада","призёр",4,"Русский язык",2013,10,"ГБОУ лицей № 1535",2012
"Районная олимпиада","призёр",5,"Технология",2019,9,"ГБОУ школа № 618",2018
"Московская олимпиада","призёр",4,"Информатика",2019,9,"ГБОУ школа № 179",2018
"Всероссийская олимпиада","призёр",5,"Физика",2019,8,"ГБПОУ «Воробьевы горы»",2018
"Всероссийская олимпиада","призёр",3,"Математика",2016,10,"ГБОУ школа № 1329",2015
"Московская олимпиада","призёр",3,"Экономика",2017,6,"ГБОУ гимназия № 1583",2016
"Московская олимпиада","призёр",5,"Математика",2014,9,"ГБОУ ЦО № 57",2013
"Всероссийская олимпиада","призёр",3,"История",2020,11,"ГБОУ школа № 1288",2019
"Всероссийская олимпиада","призёр",5,"Литература",2018,11,"ГБОУ школа № 1253",2017
"Московская олимпиада","призёр",4,"Изобразительное искусство",2014,2,"ГБОУ СОШ № 930",2013
"Московская олимпиада","призёр",3,"История",2017,7,"МАОУ «Гимназия г. Троицка»",2016
"Всероссийская олимпиада","призёр",3,"Математика",2015,9,"ГБОУ Московская гимназия на Юго-Западе № 1543",2014
"Московская олимпиада","призёр",3,"Изобразительное искусство",2016,7,"ГБОУ «Школа № 167 имени Маршала Л.А. Говорова»",2015
"Районная олимпиада","призёр",3,"Русский язык",2015,9,"ГБОУ СОШ № 1874",2014
"Всероссийская олимпиада","призёр",5,"Русский язык",2017,10,"ГБОУ гимназия № 1563",2016
"Всероссийская олимпиада","призёр",4,"Обществознание",2017,10,"ГБОУ школа № 1315",2016
"Московская олимпиада","победитель",5,"Изобразительное искусство",2014,7,"НОУ ЦО «Школа Сотрудничества»",2013
"Всероссийская олимпиада","победитель",4,"Основы безопасности жизнедеятельности",2020,10,"ГБОУ школа № 2099",2019
"Всероссийская олимпиада","призёр",3,"Математика",2015,11,"ГБОУ ЦО № 57",2014
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2019,11,"ОЧУ СОШ «Классика»",2018
"Всероссийская олимпиада","призёр",5,"Экология",2019,9,"ГБОУ школа № 1282 «Сокольники»",2018
"Московская олимпиада","призёр",3,"Математика",2016,10,"ГБОУ школа № 1329",2015
"Московская олимпиада","призёр",4,"Математика",2017,10,"ГБОУ лицей «Вторая школа»",2016
"Всероссийская олимпиада","призёр",3,"Химия",2019,11,"СУНЦ МГУ",2018
"Московская олимпиада","призёр",5,"Технология",2015,6,"ГБОУ СОШ № 668 имени Героя Советского Союза В.П. Кислякова",2014
"Всероссийская олимпиада","победитель",5,"Право",2018,9,"ГБОУ Шуваловская школа № 1448",2017
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2016,10,"ГБОУ школа № 2116",2015
"Всероссийская олимпиада","призёр",4,"Математика",2017,10,"ГАОУ ВО МИОО. СОШ № 179",2016
"Московская олимпиада","призёр",3,"Физика",2016,11,"ГБОУ школа № 853",2015
"Всероссийская олимпиада","призёр",4,"Обществознание",2019,9,"ГБОУ школа № 218",2018
"Всероссийская олимпиада","призёр",4,"История",2013,9,"ГБОУ СОШ № 1265",2012
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2013,11,"ГБОУ СОШ № 1208",2012
"Московская олимпиада","победитель",3,"Технология",2019,6,"ГБОУ школа № 1000",2018
"Московская олимпиада","победитель",4,"астрономия",2018,11,"ГБОУ школа № 1589",2017
"Московская олимпиада","призёр",4,"Математика",2017,10,"ГБОУ лицей № 1537",2016
"Районная олимпиада","призёр",3,"Основы безопасности жизнедеятельности",2013,9,"ГБОУ СОШ № 184",2012
"Районная олимпиада","призёр",4,"Литература",2020,11,"ГБОУ школа № 1811",2019
"Всероссийская олимпиада","призёр",4,"Русский язык",2020,11,"ГБОУ школа в Капотне",2019
"Районная олимпиада","призёр",5,"Математика",2020,9,"ГБОУ школа № 1568",2019
"Всероссийская олимпиада","призёр",5,"Иностранный язык (английский язык)",2019,10,"ГБОУ школа № 1589",2018
"Всероссийская олимпиада","призёр",4,"Иностранный язык (французский язык)",2020,10,"лицей НИУ ВШЭ",2019
"Всероссийская олимпиада","призёр",3,"Физика",2017,11,"ГБОУ школа № 1329",2016
"Всероссийская олимпиада","призёр",4,"Математика",2016,9,"ГБОУ гимназия № 1514",2015
"Всероссийская олимпиада","призёр",5,"Биология",2019,10,"университетская гимназия",2018
"Всероссийская олимпиада","победитель",5,"Право",2017,11,"ГБОУ лицей № 1535",2016
"Районная олимпиада","призёр",5,"Иностранный язык (французский язык)",2016,11,"ГБОУ школа № 1248",2015
"Московская олимпиада","призёр",3,"Обществознание",2017,10,"ГБОУ школа № 1862",2016
"Всероссийская олимпиада","призёр",3,"История",2015,10,"ГБОУ лицей № 1535",2014
"Районная олимпиада","призёр",5,"Обществознание",2013,9,"ГБОУ СОШ № 1352",2012
"Всероссийская олимпиада","призёр",5,"Литература",2016,11,"ГБОУ МКЛ № 1310",2015
"Всероссийская олимпиада","призёр",5,"Право",2018,10,"ГБОУ школа № 625",2017
"Московская олимпиада","призёр",5,"Математика",2018,11,"ГБОУ школа № 2007 ФМШ",2017
"Московская олимпиада","призёр",5,"Математика",2019,9,"ГБОУ школа № 1514",2018
"Московская олимпиада","призёр",4,"Изобразительное искусство",2017,5,"ГБОУ гимназия № 201",2016
"Всероссийская олимпиада","призёр",4,"Литература",2018,9,"ФГБОУ ВО МГЛУ",2017
"Всероссийская олимпиада","призёр",5,"Математика",2019,9,"ГБОУ школа № 57",2018
"Всероссийская олимпиада","призёр",3,"Иностранный язык (французский язык)",2017,10,"ГБОУ школа № 2107",2016
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2019,10,"ГБОУ школа № 2036",2018
"Всероссийская олимпиада","призёр",4,"Обществознание",2018,11,"ГБОУ школа № 1576",2017
"Районная олимпиада","призёр",5,"Право",2016,10,"ГБОУ «Школа № 167 имени Маршала Л.А. Говорова»",2015
"Московская олимпиада","призёр",4,"История",2014,9,"ГБОУ СОШ № 1394",2013
"Московская олимпиада","призёр",4,"Математика",2013,8,"ГБОУ ЦО № 57",2012
"Всероссийская олимпиада","призёр",5,"Химия",2018,10,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017
"Московская олимпиада","призёр",5,"Изобразительное искусство",2014,3,"ГБОУ СОШ № 1188",2013
"Всероссийская олимпиада","призёр",5,"Русский язык",2018,11,"ГБОУ «Московская международная школа»",2017
"Всероссийская олимпиада","призёр",3,"Основы безопасности жизнедеятельности",2015,11,"ФГКОУ «МСВУ МО РФ»",2014
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2020,11,"ГБОУ «Лицей «Вторая школа»",2019
"Московская олимпиада","призёр",4,"филология",2014,7,"ГБОУ гимназия № 45",2013
"Московская олимпиада","призёр",5,"Математика",2014,6,"ГБОУ ЦО № 1828 «Сабурово»",2013
"Всероссийская олимпиада","призёр",5,"Биология",2017,10,"ГБОУ школа № 57",2016
"Всероссийская олимпиада","призёр",4,"Биология",2020,11,"ГБОУ школа № 1591",2019
"Районная олимпиада","победитель",5,"Основы безопасности жизнедеятельности",2016,10,"ФГКОУ «МСВУ МО РФ»",2015
"Всероссийская олимпиада","призёр",5,"Обществознание",2016,9,"ГБОУ школа № 2036",2015
"Всероссийская олимпиада","призёр",5,"Иностранный язык (английский язык)",2020,11,"ГБОУ школа № 1539",2019
"Районная олимпиада","призёр",3,"Мировая Художественная Культура (МХК)",2019,9,"ГБОУ школа № 1387",2018
"Всероссийская олимпиада","призёр",3,"Биология",2016,9,"ГБОУ школа № 1298",2015
"Московская олимпиада","призёр",5,"Химия",2014,9,"ГБОУ СОШ № 641 имени С. Есенина",2013
"Всероссийская олимпиада","призёр",4,"Физика",2015,9,"ГБОУ ЦО № 57",2014
"Московская олимпиада","победитель",4,"Право",2017,9,"ГБОУ школа № 709",2016
"Всероссийская олимпиада","призёр",3,"Обществознание",2017,9,"ГБОУ гимназия № 1536",2016
"Районная олимпиада","призёр",4,"Литература",2014,10,"ГБОУ школа № 1347",2013
"Московская олимпиада","призёр",5,"Математика",2016,10,"ГБОУ школа № 1329",2015
"Всероссийская олимпиада","призёр",4,"Химия",2019,9,"ГБОУ школа № 853",2018
"Всероссийская олимпиада","победитель",4,"Литература",2018,10,"ГБОУ школа № 1543",2017
"Московская олимпиада","призёр",3,"География",2016,6,"ГБОУ гимназия № 1514",2015
"Всероссийская олимпиада","призёр",5,"Обществознание",2017,10,"ГБОУ школа № 1231",2016
"Московская олимпиада","призёр",3,"филология",2019,5,"ГБОУ школа № 1252",2018
"Всероссийская олимпиада","призёр",3,"Русский язык",2018,9,"ГБОУ школа № 1564",2017
"Всероссийская олимпиада","призёр",5,"Иностранный язык (английский язык)",2016,10,"НИУ ВШЭ. лицей",2015
"Районная олимпиада","призёр",4,"Русский язык",2020,9,"ГБОУ школа № 1239",2019
"Всероссийская олимпиада","призёр",4,"Информатика",2020,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2019
"Всероссийская олимпиада","призёр",4,"Иностранный язык (испанский язык)",2020,11,"ГБОУ школа № 1558 имени Росалии де Кастро",2019
"Всероссийская олимпиада","призёр",5,"Химия",2019,10,"ГБОУ школа № 1535",2018
"Московская олимпиада","призёр",5,"Физика",2017,8,"ГБОУ лицей № 1557",2016
"Районная олимпиада","призёр",3,"Технология",2020,9,"ГБОУ школа № 1538",2019
"Всероссийская олимпиада","призёр",3,"Математика",2016,9,"ГБОУ Московская гимназия на Юго-Западе № 1543",2015
"Районная олимпиада","призёр",3,"Обществознание",2014,11,"ГБОУ СОШ № 1223",2013
"Районная олимпиада","призёр",5,"Русский язык",2019,11,"ГБОУ школа № 654 имени А.Д. Фридмана",2018
"Районная олимпиада","призёр",5,"Литература",2018,10,"ГБОУ школа имени Маяковского",2017
"Всероссийская олимпиада","призёр",3,"Экология",2018,9,"ГБОУ школа № 1353",2017
"Всероссийская олимпиада","призёр",5,"Литература",2017,10,"ГБОУ лицей № 1568",2016
"Всероссийская олимпиада","призёр",5,"Технология",2020,10,"ГБОУ школа № 1541",2019
"Всероссийская олимпиада","призёр",3,"Право",2017,9,"ГБОУ «Немецкая школа № 1212»",2016
"Московская олимпиада","призёр",5,"Математика",2013,11,"ГАОУ ВО МИОО. СОШ № 179",2012
"Московская олимпиада","призёр",4,"Изобразительное искусство",2014,4,"ГБОУ школа № 648",2013
"Всероссийская олимпиада","призёр",5,"Обществознание",2015,10,"ГБОУ СОШ № 1375",2014
"Московская олимпиада","призёр",5,"Химия",2014,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013
"Всероссийская олимпиада","призёр",5,"Иностранный язык (английский язык)",2018,10,"ГБОУ школа № 1282 «Сокольники»",2017
"Московская олимпиада","призёр",4,"Изобразительное искусство",2019,6,"ГБОУ Вешняковская школа",2018
"Всероссийская олимпиада","призёр",3,"Основы безопасности жизнедеятельности",2018,11,"ГБОУ школа № 1449",2017
"Московская олимпиада","призёр",5,"Математика",2019,11,"ГБОУ «Лицей «Вторая школа»",2018
"Всероссийская олимпиада","призёр",4,"Право",2015,9,"ГБОУ гимназия № 1529",2014
"Московская олимпиада","призёр",5,"Математика",2018,7,"ГБОУ школа № 1568",2017
"Московская олимпиада","победитель",5,"Химия",2013,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2012
"Московская олимпиада","призёр",5,"Физика",2019,7,"ГАОУ школа № 548",2018
"Всероссийская олимпиада","призёр",5,"Русский язык",2018,10,"ГБОУ школа № 218",2017
"Всероссийская олимпиада","призёр",4,"Физическая культура",2016,9,"ГБОУ школа № 9",2015
"Московская олимпиада","победитель",4,"Изобразительное искусство",2019,10,"ГБОУ школа № 2089",2018
"Всероссийская олимпиада","призёр",3,"Физика",2015,9,"ГБОУ школа № 1788",2014
"Всероссийская олимпиада","призёр",3,"Физика",2015,10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014
"Районная олимпиада","призёр",3,"Биология",2016,9,"ГБОУ ЛГК на Юго-Востоке",2015
"Всероссийская олимпиада","призёр",5,"Русский язык",2016,10,"ГБОУ школа № 57",2015
"Районная олимпиада","призёр",5,"Биология",2018,9,"ГБОУ школа «Интеллектуал»",2017
"Всероссийская олимпиада","призёр",5,"Физика",2014,10,"ГБОУ школа-интернат «Интеллектуал»",2013
"Всероссийская олимпиада","призёр",5,"Право",2019,11,"ГБОУ школа № 1329",2018
"Всероссийская олимпиада","призёр",5,"Математика",2020,8,"ГБОУ «Лицей «Вторая школа»",2019
"Всероссийская олимпиада","призёр",5,"Литература",2014,9,"ГБОУ гимназия № 45",2013
"Всероссийская олимпиада","призёр",3,"Русский язык",2015,11,"ГБОУ школа № 1434",2014
"Всероссийская олимпиада","призёр",4,"Мировая Художественная Культура (МХК)",2020,11,"ГБОУ школа «Спектр»",2019
"Всероссийская олимпиада","призёр",5,"Обществознание",2015,11,"ГБОУ гимназия № 1518",2014
"Районная олимпиада","призёр",5,"Иностранный язык (итальянский язык)",2020,9,"ГБОУ школа № 1950",2019
"Районная олимпиада","призёр",4,"Химия",2019,11,"ГБОУ школа имени Маршала В.И. Чуйкова",2018
"Московская олимпиада","призёр",3,"География",2017,6,"ГБОУ гимназия № 1619",2016
"Всероссийская олимпиада","призёр",3,"Экология",2019,9,"ГБОУ школа № 64",2018
"Всероссийская олимпиада","победитель",4,"Физика",2017,10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016
"Всероссийская олимпиада","призёр",4,"Иностранный язык (французский язык)",2020,11,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2019
"Районная олимпиада","призёр",4,"Иностранный язык (французский язык)",2013,11,"ГБОУ гимназия № 1521",2012
"Московская олимпиада","призёр",3,"Изобразительное искусство",2019,6,"ГБОУ школа № 1998",2018
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2019,10,"ГБОУ школа № 179",2018
"Всероссийская олимпиада","призёр",3,"Биология",2015,11,"ГБОУ школа № 1101",2014
"Районная олимпиада","призёр",3,"Иностранный язык (французский язык)",2020,11,"ОУ СОШ Первая школа",2019
"Всероссийская олимпиада","призёр",5,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,10,"ГБОУ лицей «Вторая школа»",2017
"Московская олимпиада","призёр",5,"Информатика",2013,9,"ГБОУ Физматшкола 2007",2012
"Всероссийская олимпиада","призёр",5,"Технология",2017,10,"ГБОУ ЦО № 1678 «Восточное Дегунино»",2016
"Московская олимпиада","призёр",3,"Право",2019,8,"ГБОУ школа № 626",2018
"Московская олимпиада","призёр",5,"Технология",2013,6,"ГБОУ СОШ № 305",2012
"Районная олимпиада","призёр",5,"Литература",2017,10,"ГБОУ школа № 192",2016
"Всероссийская олимпиада","призёр",5,"Химия",2015,10,"ГБОУ гимназия № 1563",2014
"Московская олимпиада","призёр",5,"Изобразительное искусство",2014,5,"ГБОУ лицей № 1451",2013
"Всероссийская олимпиада","призёр",3,"Физическая культура",2016,11,"ГБОУ гимназия № 201",2015
"Московская олимпиада","призёр",3,"Изобразительное искусство",2017,9,"ГБОУ школа № 1955",2016
"Всероссийская олимпиада","призёр",3,"Математика",2018,10,"ГБОУ школа № 1568",2017
"Районная олимпиада","призёр",3,"Математика",2018,11,"ГБОУ школа № 2007 ФМШ",2017
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2018,11,"ГБОУ школа № 1563",2017
"Районная олимпиада","призёр",4,"Биология",2017,11,"ГБОУ гимназия Марьина Роща имени В.Ф. Орлова",2016
"Районная олимпиада","призёр",5,"Русский язык",2020,9,"ГБОУ школа № 1270",2019
"Всероссийская олимпиада","призёр",3,"Иностранный язык (немецкий язык)",2020,10,"ГБОУ школа № 109",2019
"Всероссийская олимпиада","призёр",3,"Физика",2015,11,"ГБОУ лицей № 1557",2014
"Всероссийская олимпиада","призёр",5,"Искусство (МХК)",2018,10,"РГГУ Российский государственный гуманитарный университет",2017
"Всероссийская олимпиада","призёр",4,"Право",2018,10,"ГБОУ школа № 1474",2017
"Всероссийская олимпиада","призёр",3,"Экономика",2014,11,"ГБОУ ЦО № 2006",2013
"Всероссийская олимпиада","призёр",3,"Литература",2019,10,"ОАНО «Новая школа»",2018
"Московская олимпиада","призёр",3,"филология",2018,7,"ЧОУ СОШ Ломоносовская школа",2017
"Московская олимпиада","призёр",3,"Математика",2013,10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2012
"Московская олимпиада","призёр",3,"Математика",2015,7,"ГБОУ школа № 2077",2014
"Московская олимпиада","призёр",5,"Математика",2018,6,"ГБОУ школа № 1329",2017
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2019,11,"ГБОУ школа № 57",2018
"Всероссийская олимпиада","призёр",5,"Экономика",2016,11,"ГБОУ школа № 218",2015
"Всероссийская олимпиада","призёр",5,"Химия",2017,9,"ГБОУ «Курчатовская школа»",2016
"Всероссийская олимпиада","призёр",5,"Право",2017,9,"ГБОУ Шуваловская гимназия № 1448",2016
"Районная олимпиада","призёр",4,"Биология",2020,10,"ГБОУ школа № 67",2019
"Московская олимпиада","призёр",3,"Изобразительное искусство",2018,8,"ГБОУ школа № 1539",2017
"Всероссийская олимпиада","призёр",3,"Обществознание",2018,9,"ГБОУ школа № 1527",2017
"Всероссийская олимпиада","призёр",4,"Обществознание",2014,11,"ГБОУ СОШ № 148",2013
"Всероссийская олимпиада","призёр",4,"Право",2017,10,"ГБОУ школа № 1354",2016
"Всероссийская олимпиада","призёр",5,"Обществознание",2017,10,"СУНЦ МГУ",2016
"Всероссийская олимпиада","призёр",3,"Обществознание",2020,9,"Финансовый университет",2019
"Районная олимпиада","призёр",5,"Литература",2015,11,"ГБОУ школа № 2025",2014
"Районная олимпиада","призёр",5,"Русский язык",2019,9,"ГБОУ школа № 1543",2018
"Московская олимпиада","призёр",5,"Математика",2016,6,"ГБОУ школа № 1381",2015
"Всероссийская олимпиада","призёр",3,"Литература",2015,11,"НОУ гимназия «Московская экономическая школа»",2014
"Московская олимпиада","призёр",5,"История",2016,8,"ГБОУ школа № 1440",2015
"Всероссийская олимпиада","призёр",4,"Математика",2019,10,"ГБОУ школа № 1568",2018
"Районная олимпиада","призёр",5,"Физическая культура",2018,9,"ГБОУ школа № 1514",2017
"Московская олимпиада","призёр",3,"Математика",2015,7,"ГБОУ СОШ № 1716 «Эврика-Огонек»",2014
"Московская олимпиада","призёр",4,"филология",2017,6,"ГБОУ школа № 626",2016
"Всероссийская олимпиада","призёр",5,"Иностранный язык (французский язык)",2013,11,"ГБОУ ЦО № 1641",2012
"Московская олимпиада","победитель",4,"Изобразительное искусство",2016,11,"ГБОУ школа № 1739",2015
"Всероссийская олимпиада","призёр",3,"Литература",2020,9,"ГБОУ школа № 463",2019
"Всероссийская олимпиада","призёр",3,"История",2017,11,"ГБОУ школа № 192",2016
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2018,10,"ГБОУ школа № 825",2017
"Всероссийская олимпиада","призёр",3,"Экономика",2016,11,"ГБОУ ЦО № 57",2015
"Районная олимпиада","призёр",4,"Мировая Художественная Культура (МХК)",2015,10,"ГБОУ Измайловская гимназия № 1508",2014
"Московская олимпиада","призёр",3,"Изобразительное искусство",2017,7,"ГБОУ школа № 1955",2016
"Районная олимпиада","призёр",4,"История",2014,9,"ГБОУ СОШ № 1315",2013
"Районная олимпиада","призёр",5,"Литература",2014,10,"ГБОУ гимназия № 1514",2013
"Районная олимпиада","призёр",4,"Русский язык",2019,9,"ГБОУ школа № 1515",2018
"Всероссийская олимпиада","призёр",3,"Математика",2018,11,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017
"Всероссийская олимпиада","призёр",4,"География",2015,10,"ГБОУ «Школа-интернат «Интеллектуал»",2014
"Московская олимпиада","призёр",4,"Технология",2016,8,"ГБОУ школа № 618",2015
"Районная олимпиада","призёр",5,"Иностранный язык (английский язык)",2018,9,"ГБОУ школа № 1535",2017
"Всероссийская олимпиада","призёр",5,"Биология",2016,9,"ГБОУ школа № 1212",2015
"Всероссийская олимпиада","призёр",5,"Иностранный язык (немецкий язык)",2016,11,"ГБОУ школа № 1231",2015
"Всероссийская олимпиада","призёр",3,"Обществознание",2014,9,"ГБОУ школа № 1400",2013
"Московская олимпиада","призёр",5,"Химия",2014,9,"ГБОУ ЦО № 218",2013
"Всероссийская олимпиада","призёр",3,"Основы безопасности жизнедеятельности",2020,10,"ГБОУ школа № 1515",2019
"Московская олимпиада","победитель",5,"предпринимательство",2013,3,"ГБОУ гимназия № 1518",2012
"Районная олимпиада","призёр",3,"Литература",2015,11,"ГБОУ школа № 1413",2014
"Московская олимпиада","призёр",5,"Химия",2018,10,"ГБОУ школа № 1537",2017
"Московская олимпиада","призёр",5,"География",2019,5,"ГБОУ Инженерно-техническая школа",2018
"Всероссийская олимпиада","призёр",5,"Мировая Художественная Культура (МХК)",2019,10,"ГБОУ школа № 1236",2018
"Всероссийская олимпиада","призёр",4,"Обществознание",2014,9,"ГБОУ гимназия № 1290",2013
"Всероссийская олимпиада","призёр",3,"Мировая Художественная Культура (МХК)",2020,11,"ГБОУ школа № 1535",2019
"Районная олимпиада","призёр",5,"Иностранный язык (английский язык)",2020,9,"ГБОУ школа № 1557",2019
"Московская олимпиада","призёр",4,"Математика",2018,6,"ГБОУ школа № 1568",2017
"Московская олимпиада","призёр",4,"Технология",2016,5,"ГБОУ школа № 705",2015
"Всероссийская олимпиада","призёр",5,"Экология",2017,10,"ГБОУ школа № 641 имени С. Есенина",2016
"Всероссийская олимпиада","победитель",5,"Основы безопасности жизнедеятельности",2020,10,"ГБОУ школа № 171",2019
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2018,10,"ГБОУ школа № 1002",2017
"Всероссийская олимпиада","призёр",5,"География",2013,9,"ГБОУ СОШ № 756",2012
"Всероссийская олимпиада","призёр",4,"Иностранный язык (французский язык)",2013,11,"ГБОУ школа № 1288",2012
"Московская олимпиада","призёр",4,"Технология",2016,6,"ФГКОУ «МКК ПВ МО РФ»",2015
"Всероссийская олимпиада","победитель",4,"Иностранный язык (китайский язык)",2018,9,"ГБОУ школа № 192",2017
"Московская олимпиада","призёр",4,"Физика",2013,7,"ГБОУ лицей № 1524",2012
"Московская олимпиада","призёр",5,"Изобразительное искусство",2015,11,"ГБОУ гимназия № 1573",2014
"Всероссийская олимпиада","призёр",3,"Русский язык",2018,10,"ГБОУ школа № 1248",2017
"Всероссийская олимпиада","призёр",3,"Иностранный язык (немецкий язык)",2014,10,"ГБОУ СОШ № 2104 «Школа на Таганке»",2013
"Всероссийская олимпиада","призёр",4,"астрономия",2020,7,"ГБОУ школа № 179",2019
"Всероссийская олимпиада","призёр",3,"Право",2017,10,"ГБОУ гимназия № 1542",2016
