"OlympiadType","TeamSize","ShortName","Year_begin","Subject","Year_end","Status","Class"
"Районная олимпиада",4,"ГБОУ школа № 1506",2017,"Литература",2018,"призёр",9
"Районная олимпиада",3,"ГБОУ гимназия № 1514",2015,"Физика",2016,"призёр",9
"Московская олимпиада",4,"ГБОУ школа № 1195",2017,"Технология",2018,"призёр",5
"Всероссийская олимпиада",5,"ГБОУ школа № 2036",2014,"История",2015,"призёр",9
"Московская олимпиада",5,"ГБОУ лицей № 138",2016,"Изобразительное искусство",2017,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1514",2016,"Экономика",2017,"призёр",10
"Московская олимпиада",4,"ГБОУ лицей № 1535",2016,"География",2017,"победитель",7
"Московская олимпиада",3,"ГБОУ школа № 1551",2017,"Изобразительное искусство",2018,"победитель",6
"Московская олимпиада",5,"ГБОУ школа № 1568",2017,"Физика",2018,"призёр",9
"Московская олимпиада",5,"ГБОУ СОШ № 45",2013,"Технология",2014,"призёр",5
"Районная олимпиада",3,"ГБОУ школа № 536",2013,"Обществознание",2014,"призёр",9
"Всероссийская олимпиада",3,"НИУ ВШЭ. лицей",2017,"История",2018,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ ЛГК на Юго-Востоке",2015,"Информатика",2016,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ СОШ № 1253",2013,"Экономика",2014,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 2097",2016,"Русский язык",2017,"победитель",9
"Всероссийская олимпиада",3,"ГБОУ школа № 2095",2015,"Иностранный язык (французский язык)",2016,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ школа № 1101",2015,"Русский язык",2016,"призёр",11
"Всероссийская олимпиада",4,"ФГКОУ «Кадетский корпус Следственного комитета Российской Федерации имени Александра Невского» или «Кадетский корпус Следственного комитета»",2017,"Основы безопасности жизнедеятельности",2018,"призёр",11
"Московская олимпиада",5,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",2017,"Обществознание",2018,"победитель",11
"Всероссийская олимпиада",5,"ГБОУ школа № 2007 ФМШ",2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа имени Маршала В.И. Чуйкова",2019,"Химия",2020,"призёр",11
"Районная олимпиада",3,"МАОУ «Гимназия г. Троицка»",2015,"Литература",2016,"призёр",9
"Московская олимпиада",4,"ГБОУ школа № 1847",2014,"Изобразительное искусство",2015,"призёр",5
"Московская олимпиада",4,"ГБОУ школа № 956",2018,"Биология",2019,"призёр",5
"Московская олимпиада",4,"ГБОУ ЦО № 1884",2013,"Технология",2014,"призёр",6
"Всероссийская олимпиада",3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015,"Информатика",2016,"призёр",11
"Московская олимпиада",4,"ГБОУ школа № 1573",2017,"филология",2018,"призёр",10
"Московская олимпиада",5,"МАОУ «Лицей города Троицка»",2014,"Математика",2015,"призёр",7
"Московская олимпиада",4,"ГБОУ школа № 641 имени С. Есенина",2017,"Робототехника",2018,"призёр",7
"Московская олимпиада",4,"ГБОУ школа имени Маршала В.И. Чуйкова",2018,"Химия",2019,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ СОШ № 7",2012,"Биология",2013,"призёр",11
"Московская олимпиада",4,"ГБОУ школа № 1298 «Профиль Куркино»",2018,"Робототехника",2019,"призёр",8
"Всероссийская олимпиада",4,"ГБПОУ «Воробьевы горы»",2014,"История",2015,"победитель",9
"Всероссийская олимпиада",3,"ГБОУ школа № 2101",2014,"Литература",2015,"победитель",11
"Всероссийская олимпиада",3,"ГБОУ школа № 1474",2015,"Право",2016,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 1151",2014,"Мировая Художественная Культура (МХК)",2015,"призёр",9
"Московская олимпиада",4,"ГБОУ СОШ № 1294",2013,"История",2014,"призёр",5
"Всероссийская олимпиада",5,"ГАОУ ВО МИОО. СОШ № 179",2014,"Математика",2015,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1564",2019,"Обществознание",2020,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 444",2014,"Изобразительное искусство",2015,"победитель",5
"Московская олимпиада",4,"ГБОУ гимназия № 1506",2015,"Изобразительное искусство",2016,"победитель",11
"Московская олимпиада",5,"ГБОУ ЛГК на Юго-Востоке",2015,"Химия",2016,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 444",2018,"Иностранный язык (английский язык)",2019,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ Московская гимназия на Юго-Западе № 1543",2014,"Русский язык",2015,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 1376",2018,"Русский язык",2019,"призёр",10
"Районная олимпиада",4,"ГБОУ СОШ № 1204",2013,"География",2014,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 57",2016,"Математика",2017,"победитель",9
"Всероссийская олимпиада",3,"ГБОУ школа № 2005",2015,"История",2016,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ Московская гимназия на Юго-Западе № 1543",2015,"Физика",2016,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1535",2018,"Экономика",2019,"победитель",11
"Районная олимпиада",5,"ГБОУ школа имени Маршала В.И. Чуйкова",2019,"Информатика",2020,"призёр",8
"Московская олимпиада",4,"ГАОУ ВО МИОО. СОШ № 179",2015,"Математика",2016,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 1357",2016,"Биология",2017,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1502 при МЭИ",2018,"Физическая культура",2019,"призёр",11
"Районная олимпиада",5,"ГБОУ лицей № 1553",2016,"География",2017,"победитель",11
"Всероссийская олимпиада",5,"лицей НИУ ВШЭ",2018,"Обществознание",2019,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ «Школа-интернат «Интеллектуал»",2014,"Право",2015,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ СОШ № 1095",2013,"Литература",2014,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 2123 им. М. Эрнандеса",2019,"Литература",2020,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ СОШ № 1189",2013,"Биология",2014,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1238",2017,"История",2018,"призёр",11
"Районная олимпиада",3,"МАОУ «Гимназия г. Троицка»",2014,"Мировая Художественная Культура (МХК)",2015,"призёр",10
"Всероссийская олимпиада",5,"Некоммерческое партнерство «Филипповская школа»",2015,"Обществознание",2016,"победитель",11
"Районная олимпиада",3,"ГБОУ школа № 1517",2018,"Иностранный язык (английский язык)",2019,"призёр",11
"Московская олимпиада",3,"ГБОУ лицей № 1568",2016,"Химия",2017,"победитель",9
"Московская олимпиада",4,"ГБОУ гимназия № 1579",2013,"Изобразительное искусство",2014,"призёр",2
"Всероссийская олимпиада",3,"ГБОУ школа № 1576",2018,"Литература",2019,"победитель",11
"Районная олимпиада",4,"ГБОУ школа № 218",2018,"Экономика",2019,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1980",2019,"Литература",2020,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1613",2018,"Литература",2019,"призёр",11
"Всероссийская олимпиада",4,"НОЧУ «ШКОЛА «МУМИ-ТРОЛЛЬ»",2012,"Химия",2013,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1980",2019,"Физическая культура",2020,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ Физматшкола 2007",2014,"Математика",2015,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1534",2017,"Обществознание",2018,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ СОШ № 1740",2013,"Биология",2014,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ Цифровая школа",2019,"Физика",2020,"призёр",8
"Всероссийская олимпиада",4,"ГБОУ лицей № 1535",2015,"Экономика",2016,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 57",2018,"История",2019,"призёр",8
"Московская олимпиада",5,"ГАОУ ВО МИОО. СОШ № 179",2015,"Информатика",2016,"победитель",9
"Всероссийская олимпиада",4,"ГБОУ школа-интернат «Интеллектуал»",2013,"История",2014,"призёр",10
"Московская олимпиада",4,"ГБОУ Физматшкола № 2007",2015,"Математика",2016,"призёр",7
"Всероссийская олимпиада",3,"ГБОУ школа № 57",2019,"Математика",2020,"победитель",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1507",2018,"Право",2019,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1329",2018,"Экономика",2019,"победитель",8
"Всероссийская олимпиада",5,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,"Иностранный язык (английский язык)",2017,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 57",2018,"Иностранный язык (английский язык)",2019,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 2007 ФМШ",2017,"Математика",2018,"призёр",10
"Всероссийская олимпиада",3,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017,"Математика",2018,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 1466",2018,"филология",2019,"призёр",9
"Московская олимпиада",5,"ГБОУ СОШ № 240",2013,"Экономика",2014,"призёр",3
"Всероссийская олимпиада",5,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2014,"История",2015,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 2044",2018,"Обществознание",2019,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1411",2019,"История",2020,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ лицей № 1571",2012,"Химия",2013,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 1208",2016,"Литература",2017,"призёр",9
"Районная олимпиада",3,"ГБОУ школа № 218",2017,"Химия",2018,"призёр",10
"Районная олимпиада",5,"ГБОУ лицей № 1501",2015,"Биология",2016,"призёр",11
"Районная олимпиада",3,"ГБОУ школа № 1253",2018,"Иностранный язык (французский язык)",2019,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ лицей «Вторая школа»",2016,"Информатика",2017,"призёр",9
"Московская олимпиада",3,"ГБОУ «Школа-интернат «Интеллектуал»",2015,"Информатика",2016,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 712",2019,"Физическая культура",2020,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ ЦО «Школа здоровья» № 1317",2013,"Право",2014,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1450 «Олимп»",2019,"Иностранный язык (английский язык)",2020,"победитель",11
"Всероссийская олимпиада",3,"ГБОУ лицей № 1502 при МЭИ",2014,"Химия",2015,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ ЦО № 1439",2012,"Обществознание",2013,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ гимназия № 1358",2014,"Технология",2015,"призёр",9
"Московская олимпиада",5,"ГБОУ школа № 2070",2018,"Технология",2019,"призёр",7
"Всероссийская олимпиада",4,"ГБОУ школа № 1561",2019,"Русский язык",2020,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1357",2017,"История",2018,"призёр",10
"Московская олимпиада",5,"ГБОУ гимназия № 1583",2013,"История",2014,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ школа № 1539",2018,"Основы безопасности жизнедеятельности",2019,"победитель",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1356",2019,"Русский язык",2020,"призёр",11
"Московская олимпиада",5,"ГБОУ лицей № 1568",2012,"Химия",2013,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ СОШ № 1360",2012,"Обществознание",2013,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1551",2012,"Право",2013,"призёр",9
"Московская олимпиада",3,"ГБОУ школа № 1252 имени Сервантеса",2015,"филология",2016,"призёр",8
"Всероссийская олимпиада",5,"ГБОУ школа № 1524",2017,"География",2018,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 113",2017,"Литература",2018,"призёр",10
"Московская олимпиада",3,"СУНЦ МГУ",2018,"Математика",2019,"призёр",10
"Московская олимпиада",5,"ГБОУ СОШ № 1308",2012,"предпринимательство",2013,"призёр",11
"Всероссийская олимпиада",4,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2019,"Математика",2020,"призёр",11
"Московская олимпиада",4,"ГБОУ школа № 664",2015,"Изобразительное искусство",2016,"призёр",7
"Московская олимпиада",3,"ГБОУ СОШ № 409",2012,"Технология",2013,"призёр",5
"Московская олимпиада",3,"ГБОУ СОШ № 551",2012,"Экономика",2013,"призёр",8
"Всероссийская олимпиада",5,"ГБОУ школа № 667",2016,"Мировая Художественная Культура (МХК)",2017,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 554",2018,"Физическая культура",2019,"победитель",11
"Всероссийская олимпиада",3,"ГБОУ СОШ № 1208",2012,"Обществознание",2013,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 444",2016,"Обществознание",2017,"призёр",10
"Всероссийская олимпиада",5,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2019,"Информатика",2020,"призёр",11
"Районная олимпиада",3,"ГБОУ СОШ № 1232",2014,"Литература",2015,"призёр",9
"Московская олимпиада",5,"ГБОУ школа № 1454 «Центр образования Тимирязевский»",2014,"Обществознание",2015,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 1580",2018,"Робототехника",2019,"призёр",6
"Всероссийская олимпиада",3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,"Русский язык",2017,"призёр",10
"Московская олимпиада",3,"ГБОУ школа № 1400",2014,"История",2015,"призёр",10
"Всероссийская олимпиада",3,"АНО «ОШ центра педагогического мастерства»",2019,"Химия",2020,"победитель",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1231",2019,"Иностранный язык (французский язык)",2020,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1514",2019,"Литература",2020,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 185",2015,"Технология",2016,"победитель",6
"Всероссийская олимпиада",4,"ГБОУ школа № 91",2018,"Химия",2019,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 183",2016,"Литература",2017,"призёр",10
"Московская олимпиада",5,"ГБОУ ЦО № 175",2012,"Мировая Художественная Культура (МХК)",2013,"призёр",8
"Всероссийская олимпиада",5,"ГБОУ СОШ № 1207",2014,"Обществознание",2015,"призёр",10
"Московская олимпиада",4,"ГБОУ школа № 641 имени С. Есенина",2016,"Биология",2017,"призёр",5
"Всероссийская олимпиада",5,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017,"Физика",2018,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ лицей № 1525 «Воробьевы горы»",2014,"Обществознание",2015,"победитель",9
"Московская олимпиада",3,"ГБОУ школа № 2031",2017,"Технология",2018,"призёр",7
"Московская олимпиада",5,"ГБОУ гимназия № 1554",2012,"Изобразительное искусство",2013,"призёр",2
"Всероссийская олимпиада",3,"ГБОУ гимназия № 1583",2016,"Право",2017,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 2009",2017,"Русский язык",2018,"призёр",10
"Всероссийская олимпиада",4,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",2017,"Математика",2018,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 2075",2014,"Экология",2015,"призёр",11
"Московская олимпиада",4,"ГБОУ СОШ № 1250",2013,"Биология",2014,"призёр",7
"Всероссийская олимпиада",5,"ГБОУ Физматшкола 2007",2012,"Биология",2013,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ СОШ № 1223",2013,"Иностранный язык (французский язык)",2014,"призёр",9
"Районная олимпиада",4,"ГБОУ школа № 1434",2014,"Обществознание",2015,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1535",2019,"Информатика",2020,"призёр",10
"Районная олимпиада",5,"ГБОУ школа № 2200",2018,"Иностранный язык (английский язык)",2019,"призёр",10
"Московская олимпиада",3,"ГБОУ гимназия № 1518",2014,"География",2015,"победитель",10
"Всероссийская олимпиада",5,"ГБОУ школа № 554",2016,"Основы безопасности жизнедеятельности",2017,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ ЦО № 57",2013,"Математика",2014,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 1950",2016,"Иностранный язык (итальянский язык)",2017,"призёр",9
"Московская олимпиада",4,"ГБОУ гимназия № 1587",2013,"Химия",2014,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 324",2017,"История",2018,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ СОШ № 1212",2012,"Иностранный язык (немецкий язык)",2013,"победитель",9
"Всероссийская олимпиада",3,"ГБОУ лицей № 1557",2014,"Иностранный язык (английский язык)",2015,"призёр",10
"Московская олимпиада",5,"ГБОУ лицей «Вторая школа»",2015,"Математика",2016,"призёр",8
"Всероссийская олимпиада",5,"ГБОУ школа № 1543",2017,"Математика",2018,"победитель",11
"Московская олимпиада",5,"ГБОУ Физматшкола № 2007",2016,"Математика",2017,"призёр",10
"Московская олимпиада",3,"ГБОУ школа № 1576",2018,"филология",2019,"призёр",6
"Всероссийская олимпиада",4,"ГБОУ школа № 1434",2014,"Обществознание",2015,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 199",2016,"Право",2017,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1590",2019,"Литература",2020,"призёр",9
"Районная олимпиада",4,"ГБОУ школа № 460",2019,"Иностранный язык (китайский язык)",2020,"призёр",8
"Московская олимпиада",5,"ГБОУ СОШ № 825",2014,"филология",2015,"призёр",9
"Московская олимпиада",3,"ГБОУ школа № 1288",2018,"Право",2019,"призёр",10
"Московская олимпиада",4,"ГБОУ Инженерно-техническая школа",2017,"География",2018,"призёр",8
"Московская олимпиада",5,"ГБОУ школа № 2031",2015,"Технология",2016,"победитель",5
"Всероссийская олимпиада",5,"ГАОУ «Гимназия № 1518»",2016,"Право",2017,"призёр",9
"Московская олимпиада",3,"ГБОУ СОШ № 529",2012,"Физика",2013,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1543",2018,"Информатика",2019,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ гимназия № 1558 имени Росалии де Кастро",2016,"Литература",2017,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1474",2019,"Русский язык",2020,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ ЦО № 57",2014,"География",2015,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 1454 «Тимирязевская»",2017,"География",2018,"призёр",10
"Московская олимпиада",4,"ГБОУ школа № 1329",2018,"астрономия",2019,"призёр",7
"Всероссийская олимпиада",5,"ГБОУ школа № 109",2019,"Иностранный язык (английский язык)",2020,"призёр",11
"Всероссийская олимпиада",3,"лицей НИУ ВШЭ",2018,"Русский язык",2019,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1222",2015,"Иностранный язык (немецкий язык)",2016,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ лицей № 1557",2013,"Физика",2014,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1575",2019,"Экология",2020,"призёр",9
"Всероссийская олимпиада",3,"лицей НИУ ВШЭ",2019,"Мировая Художественная Культура (МХК)",2020,"призёр",10
"Московская олимпиада",3,"ГБОУ школа № 1270",2017,"филология",2018,"призёр",5
"Всероссийская олимпиада",4,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,"Физика",2017,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 1252",2018,"филология",2019,"призёр",7
"Всероссийская олимпиада",5,"ГБОУ лицей № 1303",2014,"Информатика",2015,"призёр",9
"Московская олимпиада",3,"ГБОУ гимназия № 1582",2015,"География",2016,"призёр",7
"Всероссийская олимпиада",3,"ГБОУ школа № 1252 имени Сервантеса",2016,"Основы безопасности жизнедеятельности",2017,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ школа № 1547",2019,"Физика",2020,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 1576",2018,"География",2019,"призёр",7
"Всероссийская олимпиада",5,"ГБОУ школа № 293",2015,"Русский язык",2016,"призёр",9
"Московская олимпиада",5,"ГБОУ школа № 1980",2018,"филология",2019,"призёр",6
"Всероссийская олимпиада",5,"ГБОУ школа № 1286",2018,"Обществознание",2019,"призёр",11
"Московская олимпиада",5,"ГБОУ гимназия № 1518",2013,"предпринимательство",2014,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ лицей № 1553",2016,"Русский язык",2017,"призёр",10
"Районная олимпиада",3,"ГБОУ гимназия № 1529",2015,"Русский язык",2016,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ ЦО № 1296",2015,"Иностранный язык (китайский язык)",2016,"призёр",11
"Московская олимпиада",4,"ГБОУ школа № 171",2015,"Технология",2016,"победитель",6
"Всероссийская олимпиада",3,"ГБОУ школа № 171",2018,"Экология",2019,"призёр",11
"Московская олимпиада",4,"ГБОУ лицей № 1557",2016,"Физика",2017,"призёр",8
"Всероссийская олимпиада",3,"ГБОУ школа № 1411",2014,"Литература",2015,"призёр",11
"Всероссийская олимпиада",4,"лицей НИУ ВШЭ",2018,"География",2019,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2014,"Русский язык",2015,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 56 имени академика В.А. Легасова",2017,"Право",2018,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1329",2017,"Иностранный язык (немецкий язык)",2018,"призёр",11
"Районная олимпиада",4,"ГБОУ школа № 199",2016,"Право",2017,"призёр",10
"Всероссийская олимпиада",3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2012,"Физика",2013,"призёр",11
"Всероссийская олимпиада",4,"лицей НИУ ВШЭ",2018,"Обществознание",2019,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1535",2018,"Физика",2019,"призёр",9
"Московская олимпиада",4,"ГБОУ СОШ № 2010",2014,"Изобразительное искусство",2015,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 508",2018,"Право",2019,"призёр",9
"Московская олимпиада",4,"ГБОУ СОШ № 1237",2012,"Иностранный язык (испанский язык)",2013,"призёр",10
"Московская олимпиада",4,"ГБОУ лицей № 1564",2014,"Изобразительное искусство",2015,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1080",2017,"Литература",2018,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ СОШ № 1253",2013,"Биология",2014,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 734",2019,"Русский язык",2020,"призёр",10
"Московская олимпиада",3,"ГБОУ гимназия № 45",2014,"Изобразительное искусство",2015,"призёр",8
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1526",2015,"История",2016,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ СОШ № 1237",2012,"История",2013,"призёр",9
"Московская олимпиада",3,"ГБОУ СОШ № 1414",2015,"География",2016,"призёр",7
"Всероссийская олимпиада",3,"ГБОУ школа № 1210",2017,"Русский язык",2018,"призёр",10
"Районная олимпиада",4,"ГБОУ школа № 1575",2018,"Обществознание",2019,"победитель",9
"Всероссийская олимпиада",5,"ГБОУ «Школа на Яузе»",2015,"Литература",2016,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 57",2018,"История",2019,"призёр",11
"Московская олимпиада",5,"ГБОУ Физматшкола № 2007",2015,"Экономика",2016,"победитель",7
"Московская олимпиада",3,"ФГКОУ «МКК ПВ МО РФ»",2017,"Технология",2018,"призёр",6
"Всероссийская олимпиада",3,"ГБОУ СОШ № 279",2013,"Биология",2014,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 460",2017,"Литература",2018,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 1862",2015,"История",2016,"призёр",10
"Всероссийская олимпиада",4,"лицей НИУ ВШЭ",2018,"Иностранный язык (английский язык)",2019,"призёр",10
"Московская олимпиада",4,"ГБОУ ЦО № 57",2014,"Математика",2015,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 625",2019,"Физическая культура",2020,"призёр",11
"Московская олимпиада",5,"ГБОУ лицей «Вторая школа»",2014,"Математика",2015,"победитель",8
"Всероссийская олимпиада",5,"ГБОУ школа № 1584",2019,"Обществознание",2020,"призёр",10
"Районная олимпиада",4,"ГБОУ школа № 1502 при МЭИ",2018,"География",2019,"победитель",10
"Всероссийская олимпиада",3,"ГБОУ лицей № 1524",2012,"Экономика",2013,"победитель",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1515",2018,"Основы безопасности жизнедеятельности",2019,"призёр",8
