"Class","Year_begin","Subject","ShortName","Year_end","OlympiadType","Status","TeamSize"
11,2015,"История","ГБОУ школа № 64",2016,"Всероссийская олимпиада","призёр",4
9,2016,"Математика","ГБОУ «Курчатовская школа»",2017,"Всероссийская олимпиада","призёр",3
11,2019,"Русский язык","ГБОУ школа № 1948",2020,"Районная олимпиада","призёр",5
6,2014,"Математика","ГБОУ школа № 853",2015,"Московская олимпиада","призёр",5
10,2014,"Обществознание","ГБОУ школа № 1448",2015,"Всероссийская олимпиада","призёр",3
11,2012,"Экономика","ГБОУ гимназия № 1599",2013,"Всероссийская олимпиада","призёр",5
9,2018,"Право","ГБПОУ «Воробьевы горы»",2019,"Районная олимпиада","призёр",4
10,2016,"Информатика","ГБОУ Московская гимназия на Юго-Западе № 1543",2017,"Московская олимпиада","призёр",5
9,2017,"Основы безопасности жизнедеятельности","ГБОУ школа № 843",2018,"Всероссийская олимпиада","призёр",5
11,2016,"Мировая Художественная Культура (МХК)","ГБОУ лицей № 1502 при МЭИ",2017,"Районная олимпиада","призёр",4
11,2015,"Физика","ГБОУ гимназия № 1514",2016,"Всероссийская олимпиада","призёр",4
9,2018,"Математика","ГБОУ школа № 171",2019,"Московская олимпиада","призёр",3
10,2015,"Изобразительное искусство","ГБОУ школа № 962",2016,"Московская олимпиада","призёр",3
11,2017,"Литература","ГБОУ школа № 1018",2018,"Всероссийская олимпиада","призёр",4
9,2016,"Математика","ГАОУ ВО МИОО. СОШ № 179",2017,"Всероссийская олимпиада","призёр",3
10,2015,"Мировая Художественная Культура (МХК)","ГБОУ «Школа-интернат «Интеллектуал»",2016,"Всероссийская олимпиада","призёр",4
8,2019,"Информатика","ГБОУ школа № 179",2020,"Всероссийская олимпиада","призёр",5
11,2015,"Русский язык","ГБОУ школа № 1101",2016,"Всероссийская олимпиада","призёр",4
11,2019,"Физическая культура","ГБОУ школа № 1591",2020,"Всероссийская олимпиада","призёр",3
8,2017,"Математика","ГБОУ школа № 1329",2018,"Московская олимпиада","призёр",3
9,2014,"Биология","ГБОУ Московская гимназия на Юго-Западе № 1543",2015,"Всероссийская олимпиада","призёр",4
9,2016,"География","ГБОУ ЦО № 1816",2017,"Московская олимпиада","призёр",5
9,2013,"Химия","ГБОУ Московская гимназия на Юго-Западе № 1543",2014,"Московская олимпиада","призёр",5
9,2014,"астрономия","ГБОУ школа № 853",2015,"Всероссийская олимпиада","призёр",5
10,2015,"Экономика","ГАОУ «Гимназия № 1518»",2016,"Всероссийская олимпиада","призёр",3
11,2018,"История","ГБОУ школа № 1514",2019,"Всероссийская олимпиада","победитель",3
11,2017,"Математика","ГБОУ лицей № 1580",2018,"Всероссийская олимпиада","призёр",3
11,2012,"Обществознание","ГБОУ СОШ № 1223",2013,"Всероссийская олимпиада","призёр",5
10,2019,"Экология","ГБОУ школа № 1259",2020,"Всероссийская олимпиада","победитель",3
10,2013,"История","ГБОУ гимназия № 1306",2014,"Московская олимпиада","призёр",3
11,2018,"Математика","университетская гимназия",2019,"Московская олимпиада","призёр",3
11,2016,"Обществознание","ГКОУ КШИ № 11",2017,"Всероссийская олимпиада","призёр",5
11,2014,"Физика","ГБОУ школа № 2077",2015,"Московская олимпиада","призёр",4
10,2017,"Иностранный язык (английский язык)","ГБОУ школа № 1557",2018,"Всероссийская олимпиада","призёр",5
9,2015,"Литература","АНО «Православная общеобразовательная школа-пансион «Плесково»",2016,"Всероссийская олимпиада","призёр",4
3,2013,"Изобразительное искусство","ГБОУ школа № 1497",2014,"Московская олимпиада","призёр",3
9,2015,"Литература","ГБОУ школа № 1249",2016,"Всероссийская олимпиада","призёр",3
9,2017,"Биология","ГБОУ школа № 1543",2018,"Всероссийская олимпиада","призёр",4
10,2014,"Изобразительное искусство","ГБОУ школа № 1474",2015,"Московская олимпиада","призёр",4
8,2017,"лингвистика","ГБОУ школа № 2054",2018,"Московская олимпиада","призёр",3
11,2017,"История","ГБОУ школа № 57",2018,"Всероссийская олимпиада","призёр",5
6,2015,"Математика","ГБОУ «Школа-интернат «Интеллектуал»",2016,"Московская олимпиада","победитель",5
7,2017,"Математика","ГБОУ школа № 1561",2018,"Московская олимпиада","призёр",5
11,2018,"Латынь","МБШ «Вита»",2019,"Московская олимпиада","победитель",3
11,2019,"Технология","ГБОУ школа № 508",2020,"Всероссийская олимпиада","призёр",4
11,2016,"Экономика","НИУ ВШЭ. лицей",2017,"Районная олимпиада","призёр",4
10,2016,"Изобразительное искусство","ГБОУ гимназия № 1593",2017,"Московская олимпиада","победитель",5
11,2018,"История","ГБОУ школа № 1358",2019,"Районная олимпиада","призёр",3
9,2014,"Химия","ГБОУ лицей № 1303",2015,"Всероссийская олимпиада","призёр",5
11,2016,"Биология","ГБОУ гимназия № 1529",2017,"Всероссийская олимпиада","призёр",4
9,2016,"Литература","ГБОУ школа № 218",2017,"Всероссийская олимпиада","призёр",5
9,2019,"Русский язык","ГБОУ школа № 57",2020,"Районная олимпиада","призёр",5
9,2015,"Физика","ГАОУ ВО МИОО. СОШ № 179",2016,"Всероссийская олимпиада","призёр",4
9,2018,"Обществознание","ГБОУ школа № 218",2019,"Московская олимпиада","призёр",4
10,2018,"Основы безопасности жизнедеятельности","ГБОУ школа № 1539",2019,"Всероссийская олимпиада","победитель",4
10,2017,"Биология","ФГАОУ ВО Первый МГМУ им И.М. Сеченова Минздрава России (Сеченовский университет)",2018,"Всероссийская олимпиада","призёр",3
11,2017,"Иностранный язык (английский язык)","НИУ ВШЭ. лицей",2018,"Всероссийская олимпиада","призёр",3
8,2017,"Обществознание","ГБОУ «Школа № 597 «Новое Поколение»",2018,"Московская олимпиада","призёр",5
9,2013,"Физика","ГБОУ гимназия № 1514",2014,"Всероссийская олимпиада","призёр",3
9,2014,"Мировая Художественная Культура (МХК)","ГБОУ лицей № 1535",2015,"Районная олимпиада","призёр",4
11,2019,"Технология","ГБОУ школа № 1272",2020,"Всероссийская олимпиада","призёр",5
11,2018,"Мировая Художественная Культура (МХК)","ГБОУ школа № 1250",2019,"Всероссийская олимпиада","призёр",4
9,2013,"История","ГБОУ школа-интернат «Интеллектуал»",2014,"Районная олимпиада","призёр",5
11,2016,"Физика","СУНЦ МГУ",2017,"Московская олимпиада","призёр",3
9,2018,"Право","ГБОУ школа № 1315",2019,"Всероссийская олимпиада","призёр",5
6,2017,"География","ГБОУ школа № 773 «Печатники»",2018,"Московская олимпиада","победитель",4
9,2018,"Физика","ГБОУ «Лицей «Вторая школа»",2019,"Всероссийская олимпиада","призёр",3
10,2019,"Информатика","ОАНО «Школа «ЛЕТОВО»",2020,"Всероссийская олимпиада","победитель",5
11,2014,"Химия","ГБОУ СОШ № 1980",2015,"Московская олимпиада","призёр",5
10,2014,"Мировая Художественная Культура (МХК)","ГБОУ гимназия № 1579",2015,"Всероссийская олимпиада","призёр",4
7,2018,"Физика","ГБОУ школа № 2007 ФМШ",2019,"Московская олимпиада","призёр",3
10,2016,"Экономика","МАОУ «Лицей города Троицка»",2017,"Всероссийская олимпиада","победитель",3
6,2013,"предпринимательство","ГБОУ СОШ № 240",2014,"Московская олимпиада","призёр",3
9,2017,"Физическая культура","ГБОУ школа № 1557",2018,"Всероссийская олимпиада","призёр",3
9,2012,"Математика","ГБОУ Государственная столичная гимназия",2013,"Московская олимпиада","призёр",5
9,2016,"астрономия","ГБОУ «Курчатовская школа»",2017,"Всероссийская олимпиада","победитель",3
7,2017,"Физика","ГБОУ школа № 2120",2018,"Московская олимпиада","призёр",4
10,2017,"Искусство (МХК)","ГБОУ школа № 1272",2018,"Всероссийская олимпиада","призёр",4
7,2018,"Физика","ГБОУ школа № 544",2019,"Московская олимпиада","призёр",4
11,2017,"Химия","ГБОУ школа № 1434",2018,"Московская олимпиада","призёр",3
11,2014,"Иностранный язык (испанский язык)","ГБОУ школа № 1252 имени Сервантеса",2015,"Московская олимпиада","победитель",5
11,2013,"Иностранный язык (французский язык)","ГБОУ СОШ № 1251 имени генерала Шарля де Голля",2014,"Районная олимпиада","призёр",3
9,2013,"Математика","ГБОУ ЦО № 57",2014,"Всероссийская олимпиада","призёр",3
9,2016,"Химия","ГБОУ лицей № 1568",2017,"Московская олимпиада","призёр",5
9,2013,"Технология","ГБОУ школа № 171",2014,"Московская олимпиада","победитель",5
10,2016,"Иностранный язык (английский язык)","ГБОУ школа № 171",2017,"Всероссийская олимпиада","призёр",5
11,2017,"География","ГБОУ школа № 1883 «Бутово»",2018,"Всероссийская олимпиада","призёр",5
8,2018,"Бюджетная грамотность","ГБОУ школа № 1568",2019,"Московская олимпиада","призёр",4
10,2018,"Биология","МАОУ «Лицей города Троицка»",2019,"Всероссийская олимпиада","призёр",4
6,2018,"Технология","ГБОУ школа № 185",2019,"Московская олимпиада","призёр",4
11,2015,"Обществознание","ФГБОУ ВО МГЛУ",2016,"Всероссийская олимпиада","призёр",4
10,2016,"Информатика","ГБОУ Физматшкола № 2007",2017,"Московская олимпиада","призёр",4
11,2018,"Математика","ГБОУ школа № 1543",2019,"Районная олимпиада","призёр",3
11,2019,"Обществознание","лицей НИУ ВШЭ",2020,"Всероссийская олимпиада","призёр",4
10,2016,"Математика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2017,"Всероссийская олимпиада","призёр",5
8,2016,"Физика","ГБОУ лицей «Вторая школа»",2017,"Московская олимпиада","призёр",4
11,2016,"Физика","ГБОУ школа № 1329",2017,"Всероссийская олимпиада","призёр",3
9,2016,"Мировая Художественная Культура (МХК)","ГБПОУ Киноколледж № 40 «Московская международная киношкола»",2017,"Всероссийская олимпиада","призёр",5
11,2017,"Иностранный язык (испанский язык)","ГБОУ школа № 1554",2018,"Всероссийская олимпиада","призёр",3
10,2014,"Изобразительное искусство","ГБОУ ЦРР - детский сад № 1277",2015,"Московская олимпиада","победитель",5
10,2012,"Информатика","ГБОУ ЦО № 218",2013,"Московская олимпиада","победитель",3
6,2015,"Технология","ГБОУ школа № 1770",2016,"Московская олимпиада","победитель",5
9,2017,"Математика","ГБОУ школа № 1543",2018,"Всероссийская олимпиада","призёр",3
8,2018,"Математика","ГБОУ «Лицей «Вторая школа»",2019,"Московская олимпиада","призёр",4
9,2016,"Обществознание","ГБОУ школа № 887",2017,"Всероссийская олимпиада","призёр",4
8,2016,"Математика","ГБОУ школа № 1329",2017,"Московская олимпиада","призёр",4
11,2014,"Информатика","ГБОУ СОШ № 2086",2015,"Районная олимпиада","победитель",4
11,2018,"Иностранный язык (английский язык)","ГБОУ школа № 1535",2019,"Всероссийская олимпиада","призёр",3
9,2018,"Физика","ГБОУ школа № 57",2019,"Всероссийская олимпиада","призёр",3
10,2015,"Биология","ГБОУ школа № 1285",2016,"Районная олимпиада","призёр",3
9,2018,"География","ГБОУ школа «Интеллектуал»",2019,"Районная олимпиада","призёр",4
5,2012,"История","ГБОУ гимназия № 1551",2013,"Московская олимпиада","призёр",5
9,2018,"Основы безопасности жизнедеятельности","ГБОУ школа № 2026",2019,"Районная олимпиада","победитель",3
10,2015,"Физика","ГБОУ школа № 1329",2016,"Московская олимпиада","призёр",3
11,2018,"Мировая Художественная Культура (МХК)","ОЧУ СОШ «Потенциал»",2019,"Всероссийская олимпиада","призёр",4
9,2015,"Основы безопасности жизнедеятельности","ГБОУ школа № 117",2016,"Всероссийская олимпиада","призёр",4
6,2014,"Технология","ГБОУ школа № 1002",2015,"Московская олимпиада","призёр",5
6,2015,"Технология","ГБОУ школа № 185",2016,"Московская олимпиада","призёр",3
10,2019,"Право","Финансовый университет",2020,"Всероссийская олимпиада","победитель",5
10,2017,"филология","ГБОУ школа № 727",2018,"Московская олимпиада","призёр",3
10,2014,"Математика","ГБОУ школа № 1329",2015,"Районная олимпиада","призёр",5
10,2017,"Обществознание","МАОУ «Лицей города Троицка»",2018,"Всероссийская олимпиада","призёр",5
11,2019,"Иностранный язык (английский язык)","ГБОУ школа «Интеллектуал»",2020,"Районная олимпиада","призёр",4
8,2017,"Математика","ГБОУ лицей «Вторая школа»",2018,"Московская олимпиада","призёр",5
10,2013,"Информатика","ГАОУ ВО МИОО. СОШ № 179",2014,"Всероссийская олимпиада","призёр",4
11,2012,"Физика","ГБОУ лицей № 1574",2013,"Московская олимпиада","призёр",3
7,2015,"Физика","ГБОУ школа № 853",2016,"Московская олимпиада","победитель",3
9,2015,"История","ГБОУ школа № 962",2016,"Всероссийская олимпиада","призёр",4
11,2016,"Физическая культура","ГБОУ школа № 1002",2017,"Районная олимпиада","призёр",5
11,2018,"Иностранный язык (английский язык)","ГБОУ школа № 1133",2019,"Всероссийская олимпиада","призёр",4
