"Year_end","OlympiadType","Subject","ShortName","Class","TeamSize","Status","Year_begin"
2020,"Всероссийская олимпиада","Математика","ГБОУ «Лицей «Вторая школа»",10,4,"победитель",2019
2014,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ ЦО № 1454",11,4,"призёр",2013
2015,"Районная олимпиада","Химия","ГБОУ лицей № 1568",9,5,"призёр",2014
2016,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1440",11,3,"призёр",2015
2019,"Московская олимпиада","филология","ГАОУ школа № 1306 - «Школа молодых политиков»",10,4,"призёр",2018
2020,"Всероссийская олимпиада","Литература","ОАНО «Новая школа»",10,3,"призёр",2019
2016,"Московская олимпиада","филология","ГБОУ школа № 1413",6,4,"призёр",2015
2016,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 904",9,3,"победитель",2015
2018,"Всероссийская олимпиада","Экология","ГБОУ школа № 1852",9,5,"призёр",2017
2014,"Всероссийская олимпиада","Литература","ГБОУ СОШ № 1215",10,4,"призёр",2013
2019,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1944",6,4,"призёр",2018
2014,"Московская олимпиада","Экономика","ГБОУ гимназия № 1518",4,5,"победитель",2013
2017,"Московская олимпиада","филология","ГБОУ школа № 199",7,3,"призёр",2016
2019,"Всероссийская олимпиада","Математика","ГБОУ школа № 57",10,3,"призёр",2018
2015,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1454 «Центр образования Тимирязевский»",9,3,"призёр",2014
2018,"Московская олимпиада","История","ГБОУ школа № 1200",10,5,"призёр",2017
2014,"Московская олимпиада","Биология","ГБОУ Московская гимназия на Юго-Западе № 1543",6,5,"призёр",2013
2017,"Всероссийская олимпиада","Литература","ГБОУ ММГ",10,3,"призёр",2016
2018,"Районная олимпиада","Иностранный язык (немецкий язык)","НИУ ВШЭ. лицей",11,5,"призёр",2017
2019,"Всероссийская олимпиада","Экология","ГБОУ школа № 14",6,5,"призёр",2018
2017,"Всероссийская олимпиада","Экономика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,5,"победитель",2016
2017,"Московская олимпиада","География","ГБОУ гимназия № 1290",11,5,"призёр",2016
2019,"Московская олимпиада","Математика","ГБОУ школа № 1329",6,5,"призёр",2018
2019,"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ Шуваловская школа № 1448",10,5,"призёр",2018
2017,"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 1955",10,4,"призёр",2016
2016,"Московская олимпиада","Математика","ГБОУ гимназия № 1514",11,5,"призёр",2015
2019,"Московская олимпиада","География","ГБОУ школа № 1376",5,5,"победитель",2018
2016,"Районная олимпиада","Право","ГБОУ школа № 1394",10,5,"призёр",2015
2020,"Всероссийская олимпиада","История","ГБОУ школа № 1015",9,3,"призёр",2019
2015,"Московская олимпиада","Технология","ГБОУ гимназия № 1569",5,3,"победитель",2014
2015,"Московская олимпиада","Технология","ГБОУ школа № 1223",5,5,"победитель",2014
2019,"Московская олимпиада","Бюджетная грамотность","ГБОУ школа № 2007 ФМШ",5,3,"призёр",2018
2019,"Московская олимпиада","История","ОАНО школа «Ника»",5,5,"победитель",2018
2019,"Всероссийская олимпиада","Биология","ГБОУ школа № 1506",10,4,"призёр",2018
2016,"Всероссийская олимпиада","астрономия","ГБОУ «Курчатовская школа»",10,3,"призёр",2015
2019,"Московская олимпиада","филология","ГБОУ школа № 1573",11,4,"призёр",2018
2013,"Московская олимпиада","Математика","ГАОУ ВО МИОО. СОШ № 179",10,4,"призёр",2012
2019,"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 1501",11,4,"победитель",2018
2018,"Московская олимпиада","Экономика","ГБОУ школа № 1564",10,3,"призёр",2017
2017,"Районная олимпиада","Литература","ГБОУ ЛГК на Юго-Востоке",9,3,"призёр",2016
2017,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 2054",9,3,"победитель",2016
2017,"Всероссийская олимпиада","Математика","ГБОУ лицей «Вторая школа»",10,3,"призёр",2016
2019,"Московская олимпиада","филология","ГБОУ школа № 2089",10,4,"призёр",2018
2015,"Московская олимпиада","Химия","ГБОУ «Гимназия № 1636 «НИКА»",11,5,"победитель",2014
2016,"Всероссийская олимпиада","Физика","МАОУ «Лицей города Троицка»",11,4,"призёр",2015
2016,"Всероссийская олимпиада","Обществознание","НИУ ВШЭ. лицей",10,5,"призёр",2015
2018,"Районная олимпиада","Иностранный язык (немецкий язык)","ГБОУ школа № 1535",10,5,"призёр",2017
2016,"Всероссийская олимпиада","Литература","ЧУ СОШ «Потенциал»",10,3,"призёр",2015
2013,"Всероссийская олимпиада","Биология","ГБОУ школа № 1474",11,5,"призёр",2012
2017,"Московская олимпиада","Физика","ГБПОУ «Воробьевы горы»",7,5,"призёр",2016
2018,"Московская олимпиада","Технология","ГБОУ школа № 1018",6,5,"призёр",2017
2013,"Московская олимпиада","Математика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,4,"призёр",2012
2018,"Всероссийская олимпиада","Литература","ГБОУ школа № 2120",10,5,"призёр",2017
2016,"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ лицей № 1501",11,3,"призёр",2015
2013,"Московская олимпиада","филология","ГБОУ гимназия № 1576",9,4,"призёр",2012
2018,"Московская олимпиада","Изобразительное искусство","ГБПОУ «1-й МОК»",10,3,"призёр",2017
2014,"Московская олимпиада","Математика","ГБОУ ЦО № 1329",9,5,"призёр",2013
2019,"Районная олимпиада","Экономика","ГБОУ «Лицей «Вторая школа»",9,3,"призёр",2018
2020,"Районная олимпиада","Математика","ГБОУ «Лицей «Вторая школа»",10,5,"призёр",2019
2019,"Московская олимпиада","География","ГБОУ школа № 962",10,4,"призёр",2018
2014,"Всероссийская олимпиада","Литература","ГБОУ СОШ № 1279",10,3,"призёр",2013
2016,"Районная олимпиада","Литература","ГБОУ гимназия № 1527",11,5,"призёр",2015
2018,"Районная олимпиада","Технология","ГБОУ школа № 1507",10,5,"победитель",2017
2017,"Московская олимпиада","Обществознание","НИУ ВШЭ. лицей",11,4,"призёр",2016
2019,"Всероссийская олимпиада","Математика","СУНЦ МГУ",11,5,"призёр",2018
2018,"Районная олимпиада","Физическая культура","ГБОУ школа № 1514",11,4,"призёр",2017
2016,"Всероссийская олимпиада","Технология","ГБОУ «Школа № 354 им. Д.М. Карбышева»",9,4,"победитель",2015
2019,"Всероссийская олимпиада","История","ГБОУ школа № 878",11,4,"призёр",2018
2017,"Московская олимпиада","Математика","ГБОУ лицей «Вторая школа»",7,4,"призёр",2016
2015,"Московская олимпиада","Математика","ГБОУ Государственная столичная гимназия",8,5,"призёр",2014
2015,"Всероссийская олимпиада","Литература","ГБОУ лицей № 1561",11,5,"призёр",2014
2014,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ ЦО № 1476",9,3,"призёр",2013
2017,"Районная олимпиада","Экономика","ГБОУ лицей № 1535",11,5,"призёр",2016
2013,"Всероссийская олимпиада","Обществознание","ГБОУ СОШ № 1716 «Эврика-Огонек»",9,4,"призёр",2012
2019,"Всероссийская олимпиада","Экономика","ГБОУ «Школа Глория»",9,3,"призёр",2018
2016,"Всероссийская олимпиада","Литература","ГБОУ «Школа № 2100»",11,4,"призёр",2015
2019,"Московская олимпиада","Информатика","ГБОУ школа № 1557",11,5,"призёр",2018
2014,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 185",6,3,"призёр",2013
2019,"Всероссийская олимпиада","География","ГБОУ школа № 1793",11,3,"призёр",2018
2017,"Московская олимпиада","География","ГБОУ школа № 867",8,3,"призёр",2016
2015,"Всероссийская олимпиада","Физика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,3,"призёр",2014
2018,"Московская олимпиада","Обществознание","ГБОУ школа № 2033",9,3,"призёр",2017
2019,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1980",5,4,"победитель",2018
2019,"Московская олимпиада","История","ГБОУ школа № 625",11,3,"победитель",2018
2016,"Всероссийская олимпиада","Литература","ГБОУ гимназия № 1290",11,5,"призёр",2015
2018,"Всероссийская олимпиада","История","ГБОУ школа № 218",11,5,"призёр",2017
2020,"Районная олимпиада","Физика","ГБОУ школа № 1568",9,4,"призёр",2019
2015,"Московская олимпиада","Экономика","ГБОУ СОШ № 218",9,3,"призёр",2014
2019,"Всероссийская олимпиада","Физика","ГБОУ школа № 1329",9,5,"призёр",2018
2019,"Районная олимпиада","Право","ГБОУ школа № 1257",8,4,"призёр",2018
2014,"Московская олимпиада","Экономика","ГБОУ гимназия № 1518",7,3,"призёр",2013
2018,"Московская олимпиада","Изобразительное искусство","ГБОУ школа «Интеграл»",11,5,"призёр",2017
2020,"Всероссийская олимпиада","Математика","ГБОУ «Лицей «Вторая школа»",10,3,"призёр",2019
2015,"Московская олимпиада","Физика","ГБОУ лицей № 1580",11,3,"победитель",2014
2018,"Всероссийская олимпиада","астрономия","ГБОУ школа № 179",11,3,"призёр",2017
2019,"Всероссийская олимпиада","Литература","ГБОУ школа № 1158",9,3,"победитель",2018
2018,"Районная олимпиада","История","ГБОУ школа № 1575",10,5,"призёр",2017
2020,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1528",11,4,"призёр",2019
2016,"Московская олимпиада","филология","ГБОУ школа № 1354",6,3,"призёр",2015
2015,"Всероссийская олимпиада","История","ГБОУ гимназия № 1748 «Вертикаль»",11,4,"призёр",2014
2017,"Московская олимпиада","Технология","ГБОУ гимназия № 1799 «Экополис»",5,5,"призёр",2016
2013,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ ЦО № 345",9,3,"призёр",2012
2017,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ Петровский кадетский корпус",9,4,"призёр",2016
2019,"Московская олимпиада","Робототехника","ГАОУ «Школа № 1518»",6,5,"призёр",2018
2018,"Московская олимпиада","Право","ОАНО школа «Ника»",8,5,"призёр",2017
2015,"Московская олимпиада","Изобразительное искусство","ГБОУ гимназия № 1637",5,5,"призёр",2014
2016,"Всероссийская олимпиада","Экология","ГБОУ школа № 171",11,5,"победитель",2015
2019,"Московская олимпиада","Физика","ГБОУ школа № 67",10,3,"победитель",2018
2015,"Всероссийская олимпиада","Биология","ГБОУ гимназия № 1563",10,5,"призёр",2014
2015,"Всероссийская олимпиада","Литература","ГБОУ гимназия № 1522",10,5,"призёр",2014
2014,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1284",3,5,"призёр",2013
2018,"Московская олимпиада","Химия","ГБОУ школа № 118",10,4,"призёр",2017
2013,"Всероссийская олимпиада","История","ГБОУ СОШ № 1208",11,4,"призёр",2012
2020,"Всероссийская олимпиада","Литература","лицей НИУ ВШЭ",10,5,"призёр",2019
2017,"Всероссийская олимпиада","Иностранный язык (немецкий язык)","ГБОУ школа № 1329",11,3,"призёр",2016
2014,"Всероссийская олимпиада","Биология","ГБОУ гимназия № 1517",11,5,"призёр",2013
2013,"Всероссийская олимпиада","Обществознание","ГБОУ Пушкинский лицей № 1500",10,3,"призёр",2012
2015,"Московская олимпиада","Математика","ГАОУ ВО МИОО. СОШ № 179",11,5,"призёр",2014
2017,"Московская олимпиада","Химия","ГБОУ лицей № 1574",9,3,"призёр",2016
2017,"Московская олимпиада","География","ГБОУ школа № 1498",10,3,"призёр",2016
2015,"Всероссийская олимпиада","Экология","ГБОУ школа № 192",9,5,"призёр",2014
2018,"Московская олимпиада","Технология","ГБОУ школа № 1000",5,4,"призёр",2017
2014,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 49",11,5,"призёр",2013
2020,"Районная олимпиада","Русский язык","ГБОУ школа № 1374",10,4,"призёр",2019
2016,"Всероссийская олимпиада","Химия","ГБОУ гимназия № 1505",9,3,"призёр",2015
2015,"Всероссийская олимпиада","Биология","ГАОУ ВО МИОО. СОШ № 179",9,3,"призёр",2014
2017,"Районная олимпиада","Экономика","НИУ ВШЭ. лицей",11,4,"призёр",2016
2019,"Московская олимпиада","Экономика","ГБОУ школа № 1557",6,5,"призёр",2018
2019,"Районная олимпиада","Право","ГБОУ школа № 17",10,4,"призёр",2018
2017,"Всероссийская олимпиада","Обществознание","СУНЦ МГУ",10,3,"призёр",2016
2015,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ лицей № 1557",10,3,"призёр",2014
2018,"Московская олимпиада","Робототехника","ГБОУ школа № 1583",5,5,"призёр",2017
2016,"Всероссийская олимпиада","Право","ОАНО «ОЦ» Лучик»",11,3,"призёр",2015
2015,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 444",11,5,"призёр",2014
2013,"Районная олимпиада","Русский язык","ГБОУ гимназия № 1518",11,4,"призёр",2012
2014,"Всероссийская олимпиада","Математика","ГБОУ СОШ № 1189",9,4,"призёр",2013
2016,"Всероссийская олимпиада","Иностранный язык (английский язык)","НОЧУ «Британская международная школа»",11,5,"призёр",2015
2014,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ кадетская школа № 1702 «Петровский кадетский корпус»",10,4,"победитель",2013
2019,"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 1980",8,4,"призёр",2018
2016,"Всероссийская олимпиада","Иностранный язык (английский язык)","ЧУ СОШ «СААШ «Марина»",10,3,"призёр",2015
2017,"Московская олимпиада","филология","ГБОУ школа № 1210",5,3,"победитель",2016
2019,"Московская олимпиада","История","ГБОУ школа имени Маршала В.И. Чуйкова",5,5,"призёр",2018
2019,"Московская олимпиада","Изобразительное искусство","ГБПОУ «1-й МОК»",10,4,"призёр",2018
2013,"Московская олимпиада","предпринимательство","ГБОУ СОШ № 240",8,3,"призёр",2012
2016,"Всероссийская олимпиада","Обществознание","ГБОУ гимназия № 1534",11,4,"призёр",2015
2016,"Московская олимпиада","Биология","ГБОУ школа № 15",8,4,"призёр",2015
2013,"Московская олимпиада","Обществознание","ГБОУ гимназия № 1290",9,4,"победитель",2012
2019,"Всероссийская олимпиада","Право","ГБОУ школа № 1287",11,4,"победитель",2018
2016,"Всероссийская олимпиада","География","ГБОУ ЛГК на Юго-Востоке",10,4,"призёр",2015
2016,"Московская олимпиада","Изобразительное искусство","МАОУ «Гимназия имени Н.В. Пушкова»",6,5,"призёр",2015
2019,"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа № 463",9,3,"призёр",2018
2018,"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1366",10,5,"призёр",2017
2019,"Всероссийская олимпиада","Математика","ГБОУ школа № 1534",11,3,"призёр",2018
2015,"Всероссийская олимпиада","Литература","ГБОУ СОШ № 962",9,4,"призёр",2014
2020,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1465",9,5,"победитель",2019
2014,"Московская олимпиада","Изобразительное искусство","ГБОУ ЦО № 1637",2,3,"призёр",2013
2017,"Московская олимпиада","История","ГБОУ школа № 1270",9,4,"призёр",2016
2017,"Московская олимпиада","Математика","ГБОУ лицей «Вторая школа»",8,4,"призёр",2016
2020,"Всероссийская олимпиада","астрономия","ГБОУ школа № 179",11,3,"призёр",2019
2019,"Московская олимпиада","филология","ГБОУ школа № 1576",7,3,"призёр",2018
2017,"Всероссийская олимпиада","Информатика","СУНЦ МГУ",11,3,"призёр",2016
2014,"Всероссийская олимпиада","Русский язык","ГБОУ Московская гимназия на Юго-Западе № 1543",9,3,"призёр",2013
2019,"Всероссийская олимпиада","Физика","ГБОУ школа № 179",10,4,"призёр",2018
2020,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1552",9,5,"призёр",2019
2015,"Всероссийская олимпиада","Физическая культура","ГБОУ лицей № 1502 при МЭИ",10,4,"победитель",2014
2019,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1564",10,5,"призёр",2018
2015,"Московская олимпиада","Технология","ГБОУ СОШ № 1372",9,3,"призёр",2014
2019,"Всероссийская олимпиада","Физика","ГБОУ «Лицей «Вторая школа»",9,3,"призёр",2018
2018,"Московская олимпиада","Биология","ГБОУ школа № 1980",8,3,"призёр",2017
2014,"Московская олимпиада","Математика","ГБОУ ЦО № 218",6,3,"призёр",2013
2018,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1582",11,3,"призёр",2017
2015,"Всероссийская олимпиада","Физическая культура","ГБОУ СОШ № 1716 «Эврика-Огонек»",10,5,"призёр",2014
2019,"Московская олимпиада","Мировая Художественная Культура (МХК)","лицей НИУ ВШЭ",11,4,"призёр",2018
2019,"Всероссийская олимпиада","Биология","ГБОУ «Немецкая школа № 1212»",9,3,"призёр",2018
2019,"Районная олимпиада","Математика","ГБПОУ «Воробьевы горы»",10,3,"призёр",2018
2020,"Районная олимпиада","Обществознание","ГБОУ школа № 1502",10,5,"призёр",2019
2015,"Московская олимпиада","Физика","ГБОУ лицей «Вторая школа»",9,4,"призёр",2014
2016,"Районная олимпиада","Иностранный язык (немецкий язык)","ГБОУ школа № 1944",10,5,"призёр",2015
2019,"Всероссийская олимпиада","Литература","ГБОУ Романовская школа",10,4,"призёр",2018
2014,"Всероссийская олимпиада","Русский язык","ГБОУ лицей № 1303",10,4,"призёр",2013
2016,"Московская олимпиада","Математика","ГБОУ гимназия № 1534",7,3,"призёр",2015
2013,"Всероссийская олимпиада","Информатика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,5,"призёр",2012
2019,"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ школа № 117",11,3,"победитель",2018
2018,"Всероссийская олимпиада","Физика","ГБОУ лицей «Вторая школа»",11,4,"победитель",2017
2017,"Московская олимпиада","филология","ГБОУ школа № 827",6,5,"призёр",2016
2018,"Районная олимпиада","Иностранный язык (немецкий язык)","ГБОУ «Немецкая школа № 1212»",11,5,"призёр",2017
2019,"Районная олимпиада","Информатика","СУНЦ МГУ",10,3,"призёр",2018
2016,"Московская олимпиада","История","ГБОУ лицей № 1598",10,4,"призёр",2015
2019,"Всероссийская олимпиада","Биология","ГБОУ школа № 1245",11,3,"призёр",2018
2013,"Всероссийская олимпиада","Обществознание","ГБОУ СОШ № 1223",9,3,"призёр",2012
2017,"Всероссийская олимпиада","Литература","ГБОУ школа № 1270",11,3,"призёр",2016
2016,"Всероссийская олимпиада","Физика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,5,"призёр",2015
2016,"Всероссийская олимпиада","Химия","ГБОУ школа № 218",9,4,"призёр",2015
2015,"Московская олимпиада","География","ГБОУ школа № 1384 имени А.А. Леманского",7,5,"призёр",2014
2018,"Всероссийская олимпиада","Искусство (МХК)","ГБОУ школа № 1514",10,5,"призёр",2017
2015,"Районная олимпиада","История","ГБОУ лицей № 1535",10,3,"призёр",2014
2017,"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ гимназия № 1552",9,3,"призёр",2016
2019,"Московская олимпиада","филология","ГБОУ школа № 2009",10,5,"призёр",2018
2018,"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1534",10,5,"призёр",2017
2018,"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 1569 «Созвездие»",10,4,"призёр",2017
2019,"Московская олимпиада","Физика","ГБОУ школа № 1329",7,4,"призёр",2018
2013,"Всероссийская олимпиада","Математика","ГАОУ ВО МИОО. СОШ № 179",9,3,"призёр",2012
2018,"Районная олимпиада","Обществознание","ГБОУ школа № 491",9,4,"победитель",2017
2018,"Всероссийская олимпиада","Математика","ГБОУ школа «Интеллектуал»",11,4,"призёр",2017
2017,"Московская олимпиада","Право","ГБОУ школа № 536",9,3,"победитель",2016
2014,"Всероссийская олимпиада","Литература","ГБОУ гимназия № 1573",10,5,"призёр",2013
2017,"Районная олимпиада","Литература","ГБОУ гимназия № 1514",9,4,"победитель",2016
2016,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ лицей № 1535",10,3,"призёр",2015
2018,"Московская олимпиада","Технология","ГБОУ школа № 185",6,3,"победитель",2017
2017,"Всероссийская олимпиада","Иностранный язык (испанский язык)","ГБОУ гимназия № 1558 имени Росалии де Кастро",11,4,"призёр",2016
2020,"Всероссийская олимпиада","Право","ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора",9,4,"победитель",2019
2019,"Всероссийская олимпиада","Литература","ГБОУ школа № 1980",10,3,"призёр",2018
2017,"Московская олимпиада","Биология","ГБОУ гимназия № 1551",5,3,"призёр",2016
2016,"Московская олимпиада","Экономика","НИУ ВШЭ. лицей",10,3,"призёр",2015
2016,"Московская олимпиада","астрономия","ГБОУ школа № 1450 «Олимп»",7,4,"призёр",2015
2016,"Всероссийская олимпиада","Математика","ГБОУ Физматшкола № 2007",9,4,"призёр",2015
2017,"Московская олимпиада","Технология","ГБОУ школа № 1466 имени Надежды Рушевой",6,3,"призёр",2016
2020,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1557",10,5,"призёр",2019
2016,"Всероссийская олимпиада","Иностранный язык (испанский язык)","ГБОУ гимназия № 1558 имени Росалии де Кастро",11,3,"призёр",2015
2016,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 2054",10,3,"призёр",2015
2015,"Районная олимпиада","Физика","ГБОУ лицей № 1557",11,5,"победитель",2014
2016,"Всероссийская олимпиада","Литература","ГБОУ школа № 1980",11,5,"призёр",2015
2017,"Московская олимпиада","Информатика","ГБОУ лицей «Вторая школа»",9,3,"призёр",2016
2015,"Всероссийская олимпиада","Математика","ГБОУ ЦО № 57",11,3,"призёр",2014
2014,"Всероссийская олимпиада","Информатика","ГБОУ Московская гимназия на Юго-Западе № 1543",10,3,"призёр",2013
2019,"Московская олимпиада","филология","ГБОУ школа № 1440",9,5,"призёр",2018
2017,"Всероссийская олимпиада","Информатика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,3,"призёр",2016
2019,"Районная олимпиада","Химия","университетская гимназия",11,5,"призёр",2018
2018,"Московская олимпиада","Физика","ГБОУ школа № 1741",11,4,"победитель",2017
2018,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1238",11,4,"призёр",2017
2019,"Московская олимпиада","филология","ГБОУ школа № 1576",10,5,"призёр",2018
2020,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1352",10,3,"призёр",2019
2019,"Районная олимпиада","Иностранный язык (французский язык)","ГБОУ школа «Покровский квартал»",9,3,"призёр",2018
2016,"Всероссийская олимпиада","Информатика","ГБОУ школа № 218",11,5,"победитель",2015
2019,"Районная олимпиада","Информатика","ГБОУ школа № 179",9,5,"призёр",2018
2016,"Всероссийская олимпиада","Математика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,4,"призёр",2015
2017,"Всероссийская олимпиада","Русский язык","ГБОУ школа «Интеллектуал»",9,4,"призёр",2016
2014,"Всероссийская олимпиада","Физика","ГБОУ Физматшкола 2007",9,5,"призёр",2013
2018,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1540",9,4,"победитель",2017
2015,"Всероссийская олимпиада","Физическая культура","ГБОУ СОШ № 347",9,5,"призёр",2014
2017,"Московская олимпиада","Математика","ГАОУ ВПО МИОО. СОШ № 179",10,5,"призёр",2016
2013,"Московская олимпиада","Физика","ГАОУ ВО МИОО. СОШ № 179",9,5,"победитель",2012
2015,"Всероссийская олимпиада","Химия","ГБОУ лицей № 1568",9,5,"призёр",2014
2016,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1980",8,4,"призёр",2015
2013,"Московская олимпиада","Экономика","НОУ гимназия «Московская экономическая школа»",7,5,"призёр",2012
2015,"Всероссийская олимпиада","Право","ГБОУ лицей № 1535",10,3,"призёр",2014
2018,"Московская олимпиада","Химия","ГБОУ школа № 2089",9,4,"призёр",2017
2015,"Московская олимпиада","Изобразительное искусство","ГБОУ ЦО № 1953 «Москва-98»",9,4,"победитель",2014
2015,"Всероссийская олимпиада","Право","ГБОУ ЦО № 57",9,4,"призёр",2014
2015,"Всероссийская олимпиада","Информатика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,4,"призёр",2014
2020,"Всероссийская олимпиада","География","ГБОУ школа № 1554",11,5,"победитель",2019
2016,"Московская олимпиада","Технология","ГБОУ школа № 236",5,3,"призёр",2015
2020,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1535",9,4,"призёр",2019
2019,"Московская олимпиада","Робототехника","ГБОУ «Курчатовская школа»",9,5,"победитель",2018
2019,"Всероссийская олимпиада","География","ГБОУ школа № 625",10,5,"призёр",2018
2020,"Районная олимпиада","Основы безопасности жизнедеятельности","ГКОУ КШИ № 1",9,4,"призёр",2019
2013,"Всероссийская олимпиада","Русский язык","ГБОУ ЦО № 1641",10,4,"призёр",2012
2018,"Московская олимпиада","Химия","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",10,5,"призёр",2017
