"ShortName","Year_end","TeamSize","Year_begin","Subject","Status","Class","OlympiadType"
"ГБОУ школа № 201",2018,5,2017,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2018,3,2017,"Физика","призёр",7,"Московская олимпиада"
"ГБОУ лицей «Вторая школа»",2018,5,2017,"Экономика","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1811 «Восточное Измайлово»",2015,4,2014,"История","победитель",11,"Всероссийская олимпиада"
"ОЧУ «Школа Эрудит»",2017,3,2016,"Химия","призёр",9,"Московская олимпиада"
"ГБОУ школа № 2089",2019,5,2018,"Химия","призёр",9,"Всероссийская олимпиада"
"СУНЦ МГУ",2019,3,2018,"Химия","победитель",10,"Районная олимпиада"
"ГАОУ ВО МИОО. СОШ № 179",2016,4,2015,"Математика","призёр",10,"Всероссийская олимпиада"
"ГАОУ «Школа № 1518»",2018,3,2017,"Экономика","победитель",5,"Московская олимпиада"
"ГБОУ школа № 1502",2020,5,2019,"Обществознание","призёр",10,"Районная олимпиада"
"ГБОУ школа № 709",2020,5,2019,"Основы безопасности жизнедеятельности","призёр",10,"Районная олимпиада"
"ГБОУ школа № 1270",2016,5,2015,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 9",2014,3,2013,"Математика","призёр",5,"Московская олимпиада"
"ГБОУ школа № 727",2017,3,2016,"Литература","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1245",2016,5,2015,"Обществознание","призёр",8,"Московская олимпиада"
"ГБОУ СОШ № 1384 им. А.А. Леманского",2014,3,2013,"Экономика","призёр",6,"Московская олимпиада"
"ГБОУ лицей № 1574",2015,4,2014,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 315",2016,3,2015,"Биология","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1575",2018,4,2017,"Обществознание","победитель",9,"Районная олимпиада"
"ГБОУ СОШ № 444",2013,3,2012,"Математика","призёр",6,"Московская олимпиада"
"ГБОУ гимназия № 1529",2016,5,2015,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 1250",2014,5,2013,"Биология","призёр",7,"Московская олимпиада"
"ГБОУ школа имени Маршала В.И. Чуйкова",2019,4,2018,"Химия","победитель",10,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2016,3,2015,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1547",2019,3,2018,"Химия","призёр",10,"Московская олимпиада"
"ГБОУ лицей «Вторая школа»",2014,5,2013,"Физика","призёр",9,"Всероссийская олимпиада"
"ГБОУ ЦО № 57",2014,4,2013,"Русский язык","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 1356",2015,4,2014,"Физическая культура","призёр",11,"Всероссийская олимпиада"
"ГБОУ Физматшкола № 2007",2017,5,2016,"Математика","призёр",7,"Московская олимпиада"
"ГБОУ «Многопрофильная школа № 1220»",2018,3,2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)","призёр",11,"Московская олимпиада"
"ГБОУ школа № 179",2020,5,2019,"Информатика","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 2070",2017,5,2016,"История","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 1861 «Загорье»",2016,4,2015,"История","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1492",2018,5,2017,"Технология","победитель",8,"Московская олимпиада"
"ГБОУ школа № 179",2018,3,2017,"Математика","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1515",2020,5,2019,"Литература","призёр",10,"Районная олимпиада"
"МАОУ «Лицей города Троицка»",2015,3,2014,"Физика","призёр",7,"Московская олимпиада"
"ГБОУ школа № 1551",2019,5,2018,"Робототехника","победитель",10,"Московская олимпиада"
"ГБОУ лицей № 1501",2015,3,2014,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ «Школа-интернат «Интеллектуал»",2016,5,2015,"Экология","призёр",9,"Районная олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2020,3,2019,"Биология","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 79",2013,3,2012,"География","победитель",11,"Московская олимпиада"
"ГБОУ школа № 1371",2014,5,2013,"Обществознание","призёр",10,"Всероссийская олимпиада"
"СУНЦ МГУ",2017,4,2016,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 1210",2013,3,2012,"История","призёр",8,"Московская олимпиада"
"ГБОУ школа № 1583",2018,4,2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа на проспекте Вернадского",2019,4,2018,"Русский язык","победитель",9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1558",2014,5,2013,"Иностранный язык (испанский язык)","призёр",11,"Московская олимпиада"
"ГБОУ школа № 56 имени академика В.А. Легасова",2020,5,2019,"Обществознание","призёр",10,"Районная олимпиада"
"НИУ ВШЭ. лицей",2018,4,2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1716 «Эврика-Огонек»",2013,3,2012,"География","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора",2017,5,2016,"Биология","призёр",6,"Московская олимпиада"
"ГБОУ школа № 2095",2016,5,2015,"Иностранный язык (французский язык)","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 1505",2020,5,2019,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1637",2018,3,2017,"Изобразительное искусство","победитель",8,"Московская олимпиада"
"ГБОУ школа № 1543",2019,5,2018,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1557",2019,5,2018,"Физика","призёр",9,"Районная олимпиада"
"ГБОУ школа № 2099",2019,5,2018,"История","победитель",9,"Всероссийская олимпиада"
"ГБОУ школа «Марьино»",2018,5,2017,"Физическая культура","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1973",2017,3,2016,"Литература","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 444",2019,5,2018,"Экология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 179",2018,5,2017,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1353",2018,5,2017,"филология","призёр",11,"Московская олимпиада"
"ГБОУ гимназия № 1593",2015,4,2014,"Изобразительное искусство","призёр",10,"Московская олимпиада"
"ГБОУ СОШ № 654 имени А.Д. Фридмана",2014,5,2013,"История","призёр",9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1583",2016,3,2015,"Химия","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1514",2019,3,2018,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1253",2019,3,2018,"Иностранный язык (английский язык)","призёр",10,"Районная олимпиада"
"ГБОУ «Лицей «Вторая школа»",2019,3,2018,"Экономика","победитель",10,"Районная олимпиада"
"ГБОУ школа № 1352",2019,4,2018,"Мировая Художественная Культура (МХК)","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 1411",2013,3,2012,"Литература","призёр",11,"Всероссийская олимпиада"
"ФГБОУ гимназия № 710",2015,5,2014,"Иностранный язык (французский язык)","победитель",11,"Районная олимпиада"
"ГБОУ СОШ № 962",2014,5,2013,"Изобразительное искусство","призёр",7,"Московская олимпиада"
"ГБОУ гимназия № 1567",2016,4,2015,"История","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 192",2015,5,2014,"Литература","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей № 1303",2015,4,2014,"Химия","призёр",10,"Московская олимпиада"
"ГБОУ гимназия № 1592",2017,4,2016,"Физика","призёр",11,"Всероссийская олимпиада"
"ГКОУ КШИ № 1",2020,5,2019,"Основы безопасности жизнедеятельности","призёр",10,"Районная олимпиада"
"ГБОУ школа № 199",2016,5,2015,"Изобразительное искусство","победитель",10,"Московская олимпиада"
"ГБОУ школа № 1502 при МЭИ",2018,5,2017,"Искусство (МХК)","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1914",2014,4,2013,"Изобразительное искусство","призёр",6,"Московская олимпиада"
"ГБОУ школа № 1535",2019,4,2018,"Право","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 179",2018,4,2017,"Математика","призёр",11,"Всероссийская олимпиада"
"Российская академия государственной службы при Президенте Российской Федерации",2018,4,2017,"История","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 920",2017,3,2016,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1514",2019,3,2018,"История","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1535",2018,4,2017,"История","победитель",11,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,4,2015,"История","призёр",10,"Районная олимпиада"
"ГБОУ ЦО № 345",2013,4,2012,"Право","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1286",2015,3,2014,"Химия","призёр",11,"Районная олимпиада"
"ГБОУ «Школа-интернат «Интеллектуал»",2015,5,2014,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 192",2016,3,2015,"Химия","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1248",2013,4,2012,"Иностранный язык (французский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 1308",2015,5,2014,"История","призёр",10,"Московская олимпиада"
"ГБОУ «Немецкая школа № 1212»",2019,4,2018,"Литература","призёр",11,"Всероссийская олимпиада"
"АНО «Православная общеобразовательная школа-пансион «Плесково»",2015,4,2014,"Русский язык","призёр",11,"Районная олимпиада"
"ГБОУ школа «Интеллектуал»",2018,4,2017,"Физика","призёр",8,"Московская олимпиада"
"ГБОУ школа № 1270",2016,4,2015,"филология","призёр",7,"Московская олимпиада"
"ГБОУ школа № 1352",2017,5,2016,"лингвистика","призёр",9,"Московская олимпиада"
"НОЧУ «ПМГ»",2015,4,2014,"Обществознание","победитель",11,"Районная олимпиада"
"ГБОУ СОШ № 1397 им. В.П. Чкалова",2014,3,2013,"Обществознание","призёр",10,"Районная олимпиада"
"ГБОУ гимназия № 1514",2013,3,2012,"Математика","призёр",6,"Московская олимпиада"
"ГБОУ лицей № 1303",2013,5,2012,"Химия","призёр",10,"Московская олимпиада"
"ГБОУ школа № 57",2017,4,2016,"Математика","победитель",8,"Московская олимпиада"
"ГБОУ ЦО № 57",2014,3,2013,"Математика","победитель",5,"Московская олимпиада"
"ГБОУ лицей № 1561",2015,5,2014,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1366",2018,4,2017,"филология","призёр",9,"Московская олимпиада"
"ГАОУ «Школа № 1518»",2019,5,2018,"астрономия","призёр",7,"Московская олимпиада"
"ГБОУ школа № 1329",2017,4,2016,"Математика","призёр",11,"Московская олимпиада"
"ГБОУ СОШ № 7",2015,4,2014,"Основы безопасности жизнедеятельности","призёр",9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1534",2016,3,2015,"География","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 709",2017,5,2016,"Литература","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1293",2017,3,2016,"География","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей № 1535",2014,5,2013,"Биология","призёр",10,"Всероссийская олимпиада"
"ГАОУ ЦО № 548",2016,4,2015,"Изобразительное искусство","победитель",10,"Московская олимпиада"
"ГАОУ «Школа № 1518»",2018,5,2017,"Обществознание","победитель",11,"Московская олимпиада"
"ГБОУ ЦО № 218",2013,4,2012,"Математика","призёр",10,"Московская олимпиада"
"АНО НОО «Наши традиции»",2019,3,2018,"Иностранный язык (английский язык)","победитель",10,"Всероссийская олимпиада"
"ГБОУ школа № 1000",2013,4,2012,"Технология","победитель",11,"Всероссийская олимпиада"
"ГБОУ Инженерно-техническая школа",2019,5,2018,"филология","призёр",9,"Московская олимпиада"
"ГБОУ школа № 641 имени С. Есенина",2016,4,2015,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ ЦО № 57",2015,5,2014,"Математика","призёр",8,"Московская олимпиада"
"ГБОУ школа № 1329",2018,3,2017,"Химия","призёр",9,"Московская олимпиада"
"ГБОУ лицей № 1303",2015,3,2014,"Химия","призёр",11,"Московская олимпиада"
"ГБОУ школа «Покровский квартал»",2018,5,2017,"Право","призёр",11,"Районная олимпиада"
"лицей НИУ ВШЭ",2019,4,2018,"Иностранный язык (английский язык)","призёр",10,"Всероссийская олимпиада"
"ГБОУ «Школа Глория»",2018,3,2017,"Основы безопасности жизнедеятельности","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 69",2018,4,2017,"Технология","призёр",9,"Всероссийская олимпиада"
"ГБОУ ЦО № 57",2015,5,2014,"Химия","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2018,4,2017,"Математика","призёр",9,"Московская олимпиада"
"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2018,4,2017,"Биология","призёр",10,"Районная олимпиада"
"ГБОУ школа № 1580",2019,3,2018,"Физика","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1567",2017,3,2016,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ ЦО № 57",2014,3,2013,"Математика","призёр",10,"Московская олимпиада"
"ГБОУ школа № 1575",2019,3,2018,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ «Лицей «Вторая школа»",2019,4,2018,"Информатика","призёр",10,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2013,5,2012,"Математика","призёр",7,"Московская олимпиада"
"ГБОУ школа № 1497",2014,3,2013,"Изобразительное искусство","призёр",3,"Московская олимпиада"
"ГБОУ «Лицей «Вторая школа»",2020,4,2019,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 171",2015,5,2014,"Экология","призёр",9,"Всероссийская олимпиада"
"ГБОУ Московская гимназия на Юго-Западе № 1543",2013,5,2012,"Математика","призёр",10,"Московская олимпиада"
"ГБОУ школа № 1347",2015,5,2014,"Литература","призёр",10,"Всероссийская олимпиада"
"ГБОУ лицей № 1574",2013,4,2012,"Экономика","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1329",2017,4,2016,"Физика","призёр",9,"Районная олимпиада"
"ГБОУ школа № 171",2016,3,2015,"Химия","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1158",2019,3,2018,"Литература","победитель",9,"Всероссийская олимпиада"
"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2018,4,2017,"Математика","призёр",11,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей",2016,3,2015,"Экономика","призёр",11,"Московская олимпиада"
"НИУ ВШЭ. лицей",2018,3,2017,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"СУНЦ МГУ",2019,3,2018,"Физика","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей № 1557",2016,3,2015,"Физика","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 628",2014,3,2013,"Экономика","призёр",5,"Московская олимпиада"
"ГБОУ школа № 1558 имени Росалии де Кастро",2020,3,2019,"Иностранный язык (испанский язык)","призёр",11,"Районная олимпиада"
"ГБОУ школа № 814",2019,3,2018,"Основы безопасности жизнедеятельности","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514",2014,4,2013,"Математика","призёр",6,"Московская олимпиада"
"ГБОУ «Лицей «Вторая школа»",2019,3,2018,"Иностранный язык (английский язык)","победитель",10,"Районная олимпиада"
"ГБОУ «Курчатовская школа»",2017,3,2016,"Обществознание","призёр",10,"Московская олимпиада"
"ГБОУ «Лицей «Вторая школа»",2019,3,2018,"География","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 185",2016,5,2015,"Технология","победитель",6,"Московская олимпиада"
"ГБОУ школа № 1591",2019,3,2018,"Литература","призёр",9,"Всероссийская олимпиада"
"ГАОУ школа № 548",2019,4,2018,"Иностранный язык (французский язык)","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа Марьина Роща имени В.Ф. Орлова",2020,3,2019,"Литература","призёр",11,"Всероссийская олимпиада"
"лицей НИУ ВШЭ",2020,5,2019,"Информатика","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 7",2017,5,2016,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ Московская гимназия на Юго-Западе № 1543",2013,5,2012,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1223",2014,3,2013,"История","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 283",2017,4,2016,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1329",2019,4,2018,"Математика","призёр",7,"Московская олимпиада"
"ГБОУ гимназия № 1520 им. Капцовых",2015,3,2014,"Обществознание","призёр",11,"Районная олимпиада"
"ГБОУ ЦО № 204",2013,4,2012,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 2089",2017,5,2016,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1582",2015,3,2014,"Право","призёр",9,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей",2016,5,2015,"Иностранный язык (немецкий язык)","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1319",2017,3,2016,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ СОШ № 1432 «Новая школа»",2015,4,2014,"Изобразительное искусство","призёр",9,"Московская олимпиада"
"ГБОУ школа № 2103",2018,4,2017,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 179",2019,3,2018,"Информатика","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 1018",2015,4,2014,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1520 им. Капцовых",2014,4,2013,"Экология","призёр",10,"Всероссийская олимпиада"
"ГБОУ ММГ",2017,3,2016,"История","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1449",2015,3,2014,"Основы безопасности жизнедеятельности","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 171",2019,4,2018,"Химия","призёр",8,"Московская олимпиада"
"ГБОУ школа № 1568",2018,5,2017,"Физика","призёр",10,"Московская олимпиада"
"ГБОУ школа № 853",2016,4,2015,"Основы безопасности жизнедеятельности","призёр",9,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей",2018,5,2017,"Русский язык","победитель",10,"Всероссийская олимпиада"
"ГБОУ школа № 1270",2018,5,2017,"История","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1252",2019,4,2018,"Русский язык","призёр",11,"Всероссийская олимпиада"
"ГБОУ ЦО № 57",2015,3,2014,"История","призёр",9,"Всероссийская олимпиада"
