"credit_amount","duration","housing","type","purpose","credit_history","existing_credits","personal_status","age"
825,18,"домовладелец","ненадежный","ремонт жилья","есть непогашенные кредиты",1,"мужчина (одинокий)",35
3232,31,"домовладелец","надежный","мебель","есть просрочки платежей",2,"мужчина (женатый или вдовец)",47
1706,9,"домовладелец","надежный","бизнес","есть просрочки платежей",2,"женщина",27
6216,56,"домовладелец","надежный","бизнес","не было кредитов",2,"мужчина (разведенный)",31
1126,26,"арендатор","ненадежный","новая машина","есть непогашенные кредиты",1,"женщина",20
2050,11,"домовладелец","ненадежный","мебель","есть просрочки платежей",2,"мужчина (одинокий)",35
7047,13,"арендатор","ненадежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",39
1658,8,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",32
1789,22,"домовладелец","надежный","бизнес","есть непогашенные кредиты",1,"женщина",41
1075,18,"арендатор","ненадежный","мебель","есть непогашенные кредиты",1,"женщина",34
9328,46,"домовладелец","ненадежный","подержанная машина","все кредиты погашены",1,"женщина",43
3024,9,"домовладелец","надежный","новая машина","есть просрочки платежей",1,"мужчина (женатый или вдовец)",20
2031,11,"домовладелец","надежный","образование","есть просрочки платежей",1,"мужчина (одинокий)",39
5547,33,"домовладелец","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",35
2499,24,"домовладелец","ненадежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",29
912,9,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",41
3391,33,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",49
10781,37,"арендатор","ненадежный","подержанная машина","есть непогашенные кредиты",2,"женщина",18
3394,13,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",31
1223,9,"домовладелец","ненадежный","новая машина","все кредиты погашены",1,"мужчина (одинокий)",26
1378,17,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",26
2998,9,"домовладелец","надежный","мебель","есть просрочки платежей",2,"мужчина (женатый или вдовец)",28
4152,13,"домовладелец","надежный","ремонт жилья","есть непогашенные кредиты",1,"женщина",61
1913,19,"без жилья","надежный","мебель","есть непогашенные кредиты",2,"мужчина (одинокий)",52
1367,5,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",24
5068,24,"домовладелец","надежный","новая машина","есть просрочки платежей",1,"мужчина (разведенный)",37
1966,14,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",27
4547,9,"арендатор","надежный","мебель","есть просрочки платежей",3,"мужчина (одинокий)",26
1707,20,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",22
1918,55,"без жилья","ненадежный","бизнес","не было кредитов",1,"мужчина (одинокий)",63
2197,12,"домовладелец","надежный","бизнес","есть непогашенные кредиты",2,"мужчина (одинокий)",30
1464,24,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (женатый или вдовец)",55
1557,15,"арендатор","надежный","мебель","есть просрочки платежей",1,"женщина",37
3344,9,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",38
3770,19,"домовладелец","надежный","ремонт жилья","есть непогашенные кредиты",1,"женщина",21
4414,4,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",52
1351,25,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",50
1682,28,"арендатор","ненадежный","новая машина","есть непогашенные кредиты",1,"женщина",31
1056,5,"без жилья","ненадежный","образование","есть просрочки платежей",2,"мужчина (одинокий)",38
2751,20,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"женщина",23
10060,44,"без жилья","ненадежный","бизнес","не было кредитов",2,"женщина",41
9831,30,"без жилья","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",29
6645,45,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"женщина",21
8367,20,"арендатор","ненадежный","бытовая техника","не было кредитов",2,"мужчина (одинокий)",31
3444,19,"домовладелец","надежный","мебель","есть просрочки платежей",2,"женщина",24
1471,15,"арендатор","ненадежный","новая машина","не было кредитов",2,"женщина",21
409,8,"домовладелец","надежный","бытовая техника","не было кредитов",1,"мужчина (женатый или вдовец)",37
1720,8,"арендатор","надежный","мебель","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",18
3810,15,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",32
3531,29,"арендатор","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",22
5480,23,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",19
23077,47,"домовладелец","ненадежный","другое","не было кредитов",1,"женщина",29
1552,11,"домовладелец","надежный","бытовая техника","все кредиты погашены",1,"мужчина (одинокий)",20
5609,40,"домовладелец","надежный","бизнес","не было кредитов",2,"женщина",29
4158,27,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"женщина",27
658,16,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",40
2393,35,"домовладелец","надежный","бизнес","есть просрочки платежей",2,"мужчина (одинокий)",30
1678,12,"домовладелец","надежный","мебель","есть просрочки платежей",3,"мужчина (одинокий)",50
2121,38,"арендатор","ненадежный","бытовая техника","все кредиты погашены",1,"мужчина (одинокий)",25
3633,23,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",56
1727,23,"без жилья","надежный","образование","есть просрочки платежей",2,"мужчина (одинокий)",58
3293,7,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",37
6071,26,"без жилья","надежный","подержанная машина","есть просрочки платежей",2,"женщина",40
3360,56,"без жилья","ненадежный","бизнес","не было кредитов",1,"мужчина (одинокий)",27
780,18,"домовладелец","ненадежный","бытовая техника","все кредиты погашены",1,"женщина",20
10567,53,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",40
1389,12,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"женщина",27
1265,12,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (разведенный)",41
2009,20,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",42
3173,12,"без жилья","надежный","мебель","есть просрочки платежей",1,"мужчина (одинокий)",25
1714,9,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",63
2703,31,"домовладелец","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",22
1247,26,"без жилья","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",36
6629,38,"домовладелец","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",30
4951,27,"арендатор","ненадежный","новая машина","есть просрочки платежей",3,"женщина",36
3764,23,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",39
2557,37,"домовладелец","надежный","новая машина","есть просрочки платежей",1,"мужчина (одинокий)",55
4890,7,"без жилья","ненадежный","подержанная машина","все кредиты погашены",1,"женщина",84
7309,21,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",36
7217,41,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",23
1186,17,"арендатор","надежный","бизнес","есть непогашенные кредиты",1,"женщина",18
9646,43,"домовладелец","ненадежный","ремонт жилья","есть непогашенные кредиты",1,"мужчина (разведенный)",36
5677,31,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",22
2546,21,"без жилья","надежный","бытовая техника","все кредиты погашены",1,"мужчина (одинокий)",31
3380,7,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",27
855,18,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",58
3229,30,"домовладелец","надежный","подержанная машина","есть непогашенные кредиты",1,"женщина",26
3955,9,"домовладелец","надежный","бытовая техника","есть просрочки платежей",3,"мужчина (одинокий)",38
3404,58,"домовладелец","надежный","ремонт жилья","не было кредитов",2,"мужчина (одинокий)",24
5782,38,"домовладелец","надежный","другое","все кредиты погашены",1,"женщина",27
3112,5,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",37
609,17,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",33
3567,18,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",28
1038,7,"домовладелец","надежный","новая машина","все кредиты погашены",1,"мужчина (одинокий)",29
7317,72,"домовладелец","ненадежный","мебель","есть просрочки платежей",1,"женщина",30
3424,30,"домовладелец","надежный","бытовая техника","есть просрочки платежей",1,"мужчина (одинокий)",40
4663,18,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",35
1632,33,"домовладелец","надежный","бизнес","все кредиты погашены",1,"мужчина (одинокий)",55
1879,12,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",26
4430,21,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",39
5129,23,"домовладелец","ненадежный","мебель","все кредиты погашены",1,"мужчина (одинокий)",22
13725,39,"без жилья","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",36
9000,26,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",39
3383,8,"без жилья","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",42
6025,24,"домовладелец","ненадежный","бизнес","не было кредитов",3,"мужчина (одинокий)",38
2690,21,"домовладелец","надежный","бизнес","есть непогашенные кредиты",1,"женщина",35
3134,8,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",38
9274,79,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"женщина",30
2670,6,"арендатор","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",32
954,7,"домовладелец","надежный","образование","есть просрочки платежей",2,"мужчина (одинокий)",45
4205,25,"домовладелец","надежный","новая машина","есть просрочки платежей",1,"женщина",57
825,13,"без жилья","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",57
1813,7,"домовладелец","надежный","новая машина","есть просрочки платежей",3,"мужчина (одинокий)",65
8923,42,"без жилья","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",44
4520,62,"домовладелец","надежный","бизнес","все кредиты погашены",1,"мужчина (одинокий)",30
10414,72,"без жилья","ненадежный","новая машина","есть просрочки платежей",1,"мужчина (одинокий)",48
11266,59,"арендатор","ненадежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",29
1212,17,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (разведенный)",30
1113,5,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",41
1571,8,"домовладелец","ненадежный","ремонт жилья","не было кредитов",2,"мужчина (одинокий)",29
4693,26,"домовладелец","надежный","мебель","есть непогашенные кредиты",3,"мужчина (одинокий)",55
8904,50,"без жилья","надежный","подержанная машина","есть просрочки платежей",3,"мужчина (одинокий)",38
1275,16,"арендатор","ненадежный","новая машина","есть непогашенные кредиты",1,"женщина",20
1540,21,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",24
2166,14,"арендатор","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",56
3916,36,"без жилья","ненадежный","мебель","все кредиты погашены",1,"мужчина (одинокий)",32
1487,13,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",21
7852,37,"домовладелец","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",42
18601,38,"без жилья","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",48
865,9,"домовладелец","надежный","ремонт жилья","есть просрочки платежей",2,"женщина",22
3769,24,"арендатор","надежный","мебель","есть непогашенные кредиты",1,"мужчина (разведенный)",24
4281,22,"домовладелец","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",31
4641,49,"домовладелец","надежный","ремонт жилья","есть просрочки платежей",2,"мужчина (одинокий)",72
5010,3,"домовладелец","надежный","новая машина","есть просрочки платежей",1,"женщина",30
8003,66,"арендатор","ненадежный","бизнес","есть непогашенные кредиты",1,"мужчина (одинокий)",33
1190,17,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",30
3872,17,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",52
1482,22,"домовладелец","ненадежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",43
6393,17,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",38
1612,15,"домовладелец","надежный","подержанная машина","есть просрочки платежей",1,"мужчина (одинокий)",48
1226,18,"домовладелец","надежный","бизнес","есть непогашенные кредиты",1,"мужчина (одинокий)",34
3147,11,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",59
1687,36,"арендатор","надежный","новая машина","есть непогашенные кредиты",1,"женщина",26
998,15,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"женщина",42
7851,77,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",23
3263,23,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",25
4554,15,"без жилья","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",19
5971,17,"домовладелец","надежный","бизнес","есть просрочки платежей",1,"мужчина (одинокий)",77
4413,46,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",49
827,9,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",23
2760,14,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",44
2587,37,"домовладелец","надежный","бытовая техника","есть просрочки платежей",1,"мужчина (одинокий)",39
3364,28,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",38
6101,24,"арендатор","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",31
6163,9,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"женщина",35
4732,16,"арендатор","надежный","новая машина","есть непогашенные кредиты",1,"женщина",23
3088,47,"домовладелец","надежный","образование","есть непогашенные кредиты",2,"мужчина (одинокий)",34
2350,27,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",40
977,8,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",2,"мужчина (одинокий)",23
2330,36,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",22
2025,17,"без жилья","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",69
2301,16,"арендатор","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",26
3678,21,"домовладелец","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",63
12360,67,"без жилья","ненадежный","подержанная машина","есть непогашенные кредиты",3,"мужчина (одинокий)",32
6031,30,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",56
2015,13,"домовладелец","ненадежный","новая машина","все кредиты погашены",2,"мужчина (одинокий)",40
2365,7,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",31
14588,26,"домовладелец","ненадежный","другое","есть непогашенные кредиты",2,"мужчина (одинокий)",25
7566,25,"домовладелец","надежный","ремонт жилья","есть непогашенные кредиты",4,"мужчина (одинокий)",46
4926,51,"арендатор","ненадежный","бизнес","есть непогашенные кредиты",1,"женщина",21
4133,18,"домовладелец","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",22
2081,12,"арендатор","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",22
2890,20,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",31
1814,4,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",29
2431,11,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",42
1449,9,"домовладелец","надежный","образование","есть просрочки платежей",1,"женщина",48
998,25,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"женщина",38
6502,44,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",2,"мужчина (женатый или вдовец)",28
768,13,"арендатор","ненадежный","новая машина","не было кредитов",2,"мужчина (одинокий)",35
3006,27,"арендатор","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",24
16455,25,"домовладелец","надежный","другое","есть непогашенные кредиты",1,"мужчина (разведенный)",42
1654,10,"без жилья","надежный","новая машина","есть просрочки платежей",3,"мужчина (одинокий)",78
7627,53,"арендатор","ненадежный","мебель","есть просрочки платежей",2,"женщина",25
9893,35,"домовладелец","надежный","бизнес","не было кредитов",3,"мужчина (одинокий)",22
3568,22,"арендатор","ненадежный","мебель","есть непогашенные кредиты",1,"женщина",18
3307,8,"домовладелец","надежный","мебель","есть просрочки платежей",1,"мужчина (одинокий)",31
2320,37,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",20
1935,30,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",25
1145,24,"домовладелец","надежный","бизнес","есть непогашенные кредиты",1,"женщина",18
957,4,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"женщина",40
2432,11,"домовладелец","надежный","бизнес","есть непогашенные кредиты",1,"мужчина (разведенный)",32
12840,28,"без жилья","надежный","подержанная машина","все кредиты погашены",1,"мужчина (одинокий)",44
