"Class","ShortName","Subject","Status","Year_begin","Year_end","OlympiadType","TeamSize"
9,"ГБОУ школа № 1103","География","призёр",2018,2019,"Всероссийская олимпиада",5
9,"ГБОУ Московская гимназия на Юго-Западе № 1543","Математика","призёр",2016,2017,"Всероссийская олимпиада",4
11,"НОЧУ «Православный центр непрерывного образования»","Мировая Художественная Культура (МХК)","призёр",2015,2016,"Всероссийская олимпиада",5
11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Химия","призёр",2015,2016,"Всероссийская олимпиада",5
9,"ГАОУ ВПО МИОО. СОШ № 179","Информатика","призёр",2016,2017,"Всероссийская олимпиада",3
10,"ГБОУ гимназия № 1520 им. Капцовых","Экология","призёр",2013,2014,"Всероссийская олимпиада",4
9,"ГБОУ школа № 2121","Технология","победитель",2017,2018,"Районная олимпиада",4
11,"ГБОУ лицей № 1535","Биология","призёр",2014,2015,"Всероссийская олимпиада",3
11,"ГБОУ школа № 1234","Право","призёр",2014,2015,"Всероссийская олимпиада",4
9,"ЧОУ «Хорошевская школа»","Литература","призёр",2019,2020,"Всероссийская олимпиада",3
10,"лицей НИУ ВШЭ","Обществознание","призёр",2018,2019,"Московская олимпиада",5
11,"ГБОУ школа № 1297","Иностранный язык (английский язык)","победитель",2015,2016,"Районная олимпиада",3
9,"ГБОУ школа № 2086","Физика","призёр",2016,2017,"Всероссийская олимпиада",5
11,"ГБОУ гимназия № 1531 «Лингвистическая»","Обществознание","призёр",2013,2014,"Всероссийская олимпиада",5
10,"ГБОУ школа № 962","Экология","победитель",2019,2020,"Всероссийская олимпиада",5
9,"ГБОУ школа № 117","Основы безопасности жизнедеятельности","призёр",2019,2020,"Всероссийская олимпиада",3
9,"ГБОУ лицей «Вторая школа»","Физика","призёр",2012,2013,"Московская олимпиада",3
9,"ГБОУ школа № 218","Обществознание","призёр",2018,2019,"Всероссийская олимпиада",3
6,"ГБОУ школа № 117","Мировая Художественная Культура (МХК)","призёр",2018,2019,"Районная олимпиада",4
11,"ГБОУ ГСГ","Биология","призёр",2015,2016,"Всероссийская олимпиада",3
6,"ГБОУ школа № 1285","Изобразительное искусство","призёр",2016,2017,"Московская олимпиада",4
11,"ГБОУ школа № 1208","Математика","призёр",2018,2019,"Всероссийская олимпиада",3
8,"ГБОУ школа № 2097","Русский язык","призёр",2018,2019,"Всероссийская олимпиада",4
9,"ГБОУ школа № 2070","Право","победитель",2016,2017,"Всероссийская олимпиада",5
8,"ГБОУ СОШ № 54","Химия","призёр",2012,2013,"Московская олимпиада",5
8,"ГБОУ лицей «Вторая школа»","Математика","призёр",2016,2017,"Московская олимпиада",5
11,"ГБОУ лицей № 1535","Биология","призёр",2012,2013,"Всероссийская олимпиада",3
9,"ГБОУ школа № 1540","Основы безопасности жизнедеятельности","призёр",2019,2020,"Всероссийская олимпиада",3
11,"ГБОУ гимназия № 1592","Русский язык","призёр",2014,2015,"Всероссийская олимпиада",4
7,"ГБОУ гимназия № 1637","Изобразительное искусство","призёр",2014,2015,"Московская олимпиада",3
11,"ГБОУ школа № 1251 имени генерала Шарля де Голля","Иностранный язык (французский язык)","призёр",2018,2019,"Всероссийская олимпиада",4
10,"НИУ ВШЭ. лицей","Литература","победитель",2016,2017,"Всероссийская олимпиада",5
9,"ГАОУ ВО МИОО. СОШ № 179","Математика","призёр",2015,2016,"Всероссийская олимпиада",4
6,"ГБОУ школа № 2048","Математика","призёр",2018,2019,"Московская олимпиада",4
9,"ГБОУ гимназия № 1512","Мировая Художественная Культура (МХК)","призёр",2015,2016,"Всероссийская олимпиада",3
10,"ГБОУ СОШ № 1359","Литература","призёр",2014,2015,"Всероссийская олимпиада",3
7,"ГАОУ ЦО № 548","Изобразительное искусство","призёр",2012,2013,"Московская олимпиада",4
11,"ГБОУ школа № 1269","Иностранный язык (немецкий язык)","призёр",2016,2017,"Всероссийская олимпиада",5
10,"ГБОУ школа № 1944","Биология","призёр",2015,2016,"Районная олимпиада",3
9,"ГБОУ школа № 1411","Основы безопасности жизнедеятельности","призёр",2014,2015,"Всероссийская олимпиада",5
7,"ГБОУ школа № 2007 ФМШ","Математика","призёр",2018,2019,"Московская олимпиада",3
10,"ГАОУ ВПО МИОО. СОШ № 179","Биология","призёр",2016,2017,"Всероссийская олимпиада",5
9,"ГБОУ школа № 1329","Математика","призёр",2017,2018,"Всероссийская олимпиада",5
10,"ГБОУ школа № 57","Математика","призёр",2019,2020,"Всероссийская олимпиада",4
9,"ГБОУ гимназия № 1514","Математика","призёр",2012,2013,"Московская олимпиада",5
7,"ГБОУ школа № 1637","Изобразительное искусство","призёр",2017,2018,"Московская олимпиада",4
9,"ГБОУ школа № 192","Химия","призёр",2016,2017,"Всероссийская олимпиада",5
11,"НИУ ВШЭ. лицей","Экономика","призёр",2016,2017,"Всероссийская олимпиада",3
11,"ГБОУ Физматшкола № 2007","Математика","призёр",2016,2017,"Районная олимпиада",4
11,"ГБОУ школа № 218","Биология","победитель",2018,2019,"Районная олимпиада",4
11,"ГБОУ школа № 2031","Изобразительное искусство","призёр",2017,2018,"Московская олимпиада",3
9,"ГБОУ школа № 618","Физическая культура","победитель",2016,2017,"Всероссийская олимпиада",4
5,"ГБОУ гимназия № 1567","Изобразительное искусство","призёр",2016,2017,"Московская олимпиада",4
11,"ГБОУ школа № 1569 «Созвездие»","Иностранный язык (английский язык)","победитель",2017,2018,"Всероссийская олимпиада",4
10,"ГБОУ школа № 1540","Основы безопасности жизнедеятельности","призёр",2017,2018,"Всероссийская олимпиада",5
10,"ГБОУ школа № 1293","Обществознание","призёр",2019,2020,"Всероссийская олимпиада",5
11,"ГАОУ ЦО № 548","Изобразительное искусство","победитель",2014,2015,"Московская олимпиада",5
11,"ГБОУ СОШ № 1441 «Бронная слобода»","Экономика","призёр",2013,2014,"Всероссийская олимпиада",5
10,"ГБОУ лицей № 1557","Информатика","призёр",2016,2017,"Районная олимпиада",3
9,"ГАОУ ВО МИОО. СОШ № 179","Математика","призёр",2016,2017,"Всероссийская олимпиада",4
10,"ГБОУ школа № 825","филология","призёр",2016,2017,"Московская олимпиада",5
10,"ГБОУ школа № 2086","Экономика","победитель",2017,2018,"Московская олимпиада",5
10,"НИУ ВШЭ. лицей","Обществознание","призёр",2014,2015,"Всероссийская олимпиада",5
6,"ГБОУ школа № 1250","филология","призёр",2017,2018,"Московская олимпиада",3
10,"ГБОУ школа № 1520 им. Капцовых","Иностранный язык (английский язык)","призёр",2018,2019,"Всероссийская олимпиада",3
5,"ГБОУ гимназия № 1514","Математика","победитель",2014,2015,"Московская олимпиада",4
11,"ГБОУ школа № 1252 имени Сервантеса","Русский язык","призёр",2015,2016,"Всероссийская олимпиада",3
11,"ГБОУ гимназия № 1558 имени Росалии де Кастро","История","победитель",2015,2016,"Всероссийская олимпиада",4
6,"ГБОУ гимназия № 1637","Изобразительное искусство","призёр",2015,2016,"Московская олимпиада",4
9,"ГБОУ лицей № 1580","Математика","призёр",2015,2016,"Всероссийская олимпиада",3
9,"ГБОУ школа № 67","Физика","призёр",2018,2019,"Московская олимпиада",5
10,"ГАОУ ВО МИОО. СОШ № 179","Математика","призёр",2013,2014,"Всероссийская олимпиада",4
10,"ГБОУ школа № 57","Математика","призёр",2018,2019,"Московская олимпиада",5
9,"ГБОУ школа № 67","Биология","призёр",2017,2018,"Районная олимпиада",4
7,"ГБОУ лицей «Вторая школа»","Математика","призёр",2017,2018,"Московская олимпиада",4
9,"ГБОУ школа № 192","Экология","призёр",2018,2019,"Всероссийская олимпиада",4
9,"ГБОУ школа № 1352","Русский язык","призёр",2018,2019,"Всероссийская олимпиада",3
9,"ГБОУ школа № 709","Основы безопасности жизнедеятельности","призёр",2018,2019,"Всероссийская олимпиада",3
5,"ГБОУ школа № 2121","Технология","призёр",2016,2017,"Московская олимпиада",5
9,"ГБОУ школа № 1329","Математика","призёр",2016,2017,"Всероссийская олимпиада",5
9,"ГБОУ Московская гимназия на Юго-Западе № 1543","Литература","призёр",2016,2017,"Всероссийская олимпиада",4
8,"ГБОУ Физматшкола 2007","Математика","призёр",2013,2014,"Московская олимпиада",5
11,"НИУ ВШЭ. лицей","Обществознание","победитель",2016,2017,"Всероссийская олимпиада",4
10,"ГБОУ Образовательный центр «Протон»","История","призёр",2017,2018,"Районная олимпиада",4
9,"ГБОУ гимназия № 1519","Физика","призёр",2014,2015,"Всероссийская олимпиада",3
11,"ГБОУ Измайловская гимназия № 1508","Литература","призёр",2015,2016,"Районная олимпиада",4
11,"ГБОУ гимназия № 1576","Информатика","призёр",2016,2017,"Московская олимпиада",5
10,"ГБОУ школа № 171","Биология","призёр",2013,2014,"Всероссийская олимпиада",3
11,"ГБОУ школа № 853","Математика","призёр",2014,2015,"Районная олимпиада",3
9,"ГБОУ школа № 1449","Основы безопасности жизнедеятельности","призёр",2019,2020,"Районная олимпиада",3
9,"ГБОУ СОШ № 780","Обществознание","призёр",2012,2013,"Всероссийская олимпиада",3
9,"ГБОУ СОШ № 1308","История","призёр",2014,2015,"Всероссийская олимпиада",3
5,"ГБОУ гимназия № 1518","Биология","призёр",2013,2014,"Московская олимпиада",5
11,"ГБОУ школа № 109","Иностранный язык (немецкий язык)","призёр",2018,2019,"Всероссийская олимпиада",4
5,"ГБОУ школа № 1955","Изобразительное искусство","победитель",2016,2017,"Московская олимпиада",4
8,"ГБОУ Инженерно-техническая школа","филология","призёр",2018,2019,"Московская олимпиада",3
5,"ГБОУ школа № 199","История","призёр",2016,2017,"Московская олимпиада",4
9,"ГБОУ гимназия № 1570","Обществознание","призёр",2015,2016,"Районная олимпиада",5
11,"ГБОУ СОШ № 962","История","призёр",2014,2015,"Районная олимпиада",5
10,"ГБОУ школа № 1553 имени В.И. Вернадского","Литература","призёр",2017,2018,"Всероссийская олимпиада",5
9,"ГБОУ «Немецкая школа № 1212»","Химия","призёр",2018,2019,"Всероссийская олимпиада",5
11,"ГБОУ школа № 1558 имени Росалии де Кастро","Иностранный язык (испанский язык)","победитель",2018,2019,"Районная олимпиада",4
11,"ГБОУ школа № 1535","История","призёр",2018,2019,"Всероссийская олимпиада",4
9,"ГБОУ школа № 1317","Обществознание","призёр",2015,2016,"Всероссийская олимпиада",3
11,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ","Физика","победитель",2017,2018,"Всероссийская олимпиада",3
6,"ГБОУ школа № 2109","История","призёр",2018,2019,"Московская олимпиада",4
6,"ГБОУ Физматшкола 2007","Экономика","победитель",2014,2015,"Московская олимпиада",4
11,"ГБОУ школа № 1501","Литература","призёр",2017,2018,"Районная олимпиада",3
11,"ГБОУ школа № 1543","Математика","призёр",2018,2019,"Всероссийская олимпиада",4
10,"ГБОУ школа № 166","Обществознание","призёр",2015,2016,"Всероссийская олимпиада",4
9,"ГБОУ школа «Интеграл»","филология","призёр",2018,2019,"Московская олимпиада",4
11,"ГБОУ школа № 1900","Иностранный язык (английский язык)","призёр",2012,2013,"Всероссийская олимпиада",4
11,"ГБОУ лицей № 1502 при МЭИ","История","призёр",2015,2016,"Всероссийская олимпиада",5
8,"ГБОУ лицей «Вторая школа»","Физика","победитель",2014,2015,"Московская олимпиада",5
8,"ГБОУ школа № 1501","Иностранный язык (немецкий язык)","призёр",2018,2019,"Всероссийская олимпиада",3
9,"ГБОУ школа № 1534 «Академическая»","Математика","призёр",2019,2020,"Всероссийская олимпиада",4
10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Химия","призёр",2016,2017,"Всероссийская олимпиада",5
11,"ГБОУ школа № 648","Химия","победитель",2012,2013,"Всероссийская олимпиада",4
10,"ГБОУ Физматшкола 2007","Математика","призёр",2014,2015,"Всероссийская олимпиада",3
9,"ГБОУ школа имени Маршала В.И. Чуйкова","Химия","призёр",2019,2020,"Всероссийская олимпиада",4
10,"ГБОУ СОШ № 1205","Иностранный язык (английский язык)","призёр",2013,2014,"Районная олимпиада",4
10,"ГБОУ гимназия № 1583","Литература","призёр",2015,2016,"Всероссийская олимпиада",4
7,"ГБОУ гимназия № 1748 «Вертикаль»","Биология","победитель",2016,2017,"Московская олимпиада",3
10,"ГБОУ школа № 17","Иностранный язык (английский язык)","призёр",2019,2020,"Всероссийская олимпиада",5
11,"ГБОУ «Школа-интернат «Интеллектуал»","Биология","призёр",2014,2015,"Всероссийская олимпиада",3
8,"ГБОУ школа № 49","Изобразительное искусство","призёр",2018,2019,"Московская олимпиада",4
9,"ГБОУ Шуваловская школа № 1448","Право","призёр",2018,2019,"Всероссийская олимпиада",4
11,"ГБОУ Лингвистический лицей № 1555","лингвистика","призёр",2013,2014,"Московская олимпиада",4
9,"ГБОУ школа № 2114","Обществознание","призёр",2015,2016,"Всероссийская олимпиада",3
11,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ","Русский язык","призёр",2017,2018,"Районная олимпиада",4
11,"ГБОУ ЦО № 1296","Иностранный язык (китайский язык)","призёр",2016,2017,"Всероссийская олимпиада",5
9,"ГБОУ школа № 1246","Химия","призёр",2018,2019,"Московская олимпиада",4
10,"ГБОУ школа № 2009","филология","призёр",2017,2018,"Московская олимпиада",5
9,"ГБОУ школа № 641 имени С. Есенина","Право","призёр",2015,2016,"Всероссийская олимпиада",3
9,"ГБОУ гимназия № 1567","Физика","призёр",2012,2013,"Всероссийская олимпиада",3
11,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ","Биология","призёр",2017,2018,"Всероссийская олимпиада",4
7,"ГБОУ школа № 843","филология","призёр",2016,2017,"Московская олимпиада",4
9,"ГАОУ «Гимназия № 1518»","География","призёр",2016,2017,"Московская олимпиада",4
6,"ГБОУ школа № 117","Изобразительное искусство","призёр",2017,2018,"Московская олимпиада",5
10,"ГБОУ Физматшкола 2007","Математика","призёр",2013,2014,"Районная олимпиада",4
10,"ГКОУ КШИ № 1","Основы безопасности жизнедеятельности","призёр",2017,2018,"Всероссийская олимпиада",5
9,"ГБОУ лицей «Вторая школа»","Математика","призёр",2017,2018,"Всероссийская олимпиада",5
10,"ГБОУ школа имени Маршала В.И. Чуйкова","Русский язык","призёр",2017,2018,"Всероссийская олимпиада",3
7,"ГБОУ школа № 97","Биология","призёр",2017,2018,"Московская олимпиада",3
11,"ГБОУ школа № 1574","Химия","победитель",2018,2019,"Всероссийская олимпиада",4
8,"ГБОУ Московская гимназия на Юго-Западе № 1543","Физика","призёр",2016,2017,"Московская олимпиада",3
9,"ГБОУ школа № 1370","История","призёр",2019,2020,"Всероссийская олимпиада",4
9,"ГБОУ школа № 1000","Технология","победитель",2018,2019,"Московская олимпиада",3
3,"ГБОУ СОШ № 2010","Изобразительное искусство","призёр",2013,2014,"Московская олимпиада",3
10,"ГБОУ школа № 1210","Искусство (МХК)","победитель",2017,2018,"Всероссийская олимпиада",4
10,"ГБОУ Московская гимназия на Юго-Западе № 1543","Химия","призёр",2016,2017,"Всероссийская олимпиада",5
11,"ГБОУ лицей № 1580","Математика","призёр",2017,2018,"Всероссийская олимпиада",3
10,"ГБОУ школа № 1359","Обществознание","призёр",2018,2019,"Московская олимпиада",3
11,"ГБОУ школа № 1409","Обществознание","победитель",2017,2018,"Всероссийская олимпиада",5
11,"СУНЦ МГУ","Биология","призёр",2016,2017,"Районная олимпиада",3
11,"ГБОУ «Гимназия № 1528»","Биология","призёр",2012,2013,"Всероссийская олимпиада",4
10,"ГБОУ ММГ","История","призёр",2016,2017,"Всероссийская олимпиада",3
11,"ГБОУ школа № 179","Информатика и Информационно-коммуникационные технологии (ИКТ)","призёр",2017,2018,"Всероссийская олимпиада",5
10,"ГБОУ школа № 1535","Химия","призёр",2018,2019,"Московская олимпиада",3
11,"ГБОУ школа № 1501","Иностранный язык (немецкий язык)","призёр",2019,2020,"Всероссийская олимпиада",5
5,"ГБОУ школа № 2109","Технология","призёр",2016,2017,"Московская олимпиада",4
8,"ГБОУ лицей № 1568","Физика","призёр",2016,2017,"Московская олимпиада",4
10,"ГБОУ школа № 57","Математика","победитель",2018,2019,"Московская олимпиада",5
7,"ГБОУ Физматшкола № 2007","Изобразительное искусство","призёр",2015,2016,"Московская олимпиада",4
4,"ГБОУ СОШ № 2012","Экономика","призёр",2013,2014,"Московская олимпиада",4
10,"ГБОУ СОШ № 654 имени А.Д. Фридмана","Русский язык","победитель",2012,2013,"Всероссийская олимпиада",4
9,"ГБОУ ЦО № 57","Физика","призёр",2014,2015,"Всероссийская олимпиада",3
9,"ГБОУ гимназия № 1590","Обществознание","призёр",2016,2017,"Всероссийская олимпиада",5
11,"ГБОУ ЦО № 57","Информатика","призёр",2014,2015,"Всероссийская олимпиада",4
3,"ГБОУ СОШ № 601","Изобразительное искусство","призёр",2013,2014,"Московская олимпиада",4
6,"ГБОУ школа № 962","Технология","призёр",2016,2017,"Московская олимпиада",4
11,"ГБОУ гимназия № 1534","Литература","призёр",2014,2015,"Всероссийская олимпиада",4
11,"университетская гимназия","Обществознание","призёр",2019,2020,"Всероссийская олимпиада",3
11,"ГБОУ СОШ № 1253","Биология","призёр",2012,2013,"Всероссийская олимпиада",5
11,"ГБОУ школа № 1285","Иностранный язык (английский язык)","призёр",2018,2019,"Всероссийская олимпиада",3
6,"ГБОУ гимназия № 1534","Биология","победитель",2014,2015,"Московская олимпиада",4
9,"ГБОУ ГСГ","Право","призёр",2016,2017,"Московская олимпиада",3
11,"ГБОУ школа № 1535","Иностранный язык (английский язык)","призёр",2019,2020,"Всероссийская олимпиада",3
9,"ГБОУ школа № 1381","География","призёр",2014,2015,"Московская олимпиада",5
11,"ГБОУ школа № 853","Физика","призёр",2012,2013,"Московская олимпиада",5
10,"ГБОУ школа № 962","География","призёр",2015,2016,"Всероссийская олимпиада",4
10,"ГБОУ школа № 1557","Основы безопасности жизнедеятельности","призёр",2018,2019,"Всероссийская олимпиада",4
10,"ГБОУ школа № 1517","История","призёр",2019,2020,"Всероссийская олимпиада",4
8,"ГБОУ школа № 1955","География","призёр",2015,2016,"Московская олимпиада",4
11,"ГБОУ школа № 1270","Обществознание","призёр",2019,2020,"Всероссийская олимпиада",5
9,"ГБОУ лицей № 1568","Экономика","победитель",2016,2017,"Всероссийская олимпиада",5
11,"ГБОУ школа № 627","Литература","призёр",2019,2020,"Всероссийская олимпиада",3
10,"ГБОУ гимназия № 1529","Право","призёр",2016,2017,"Всероссийская олимпиада",5
11,"ГБОУ МКЛ № 1310","Литература","призёр",2015,2016,"Районная олимпиада",3
7,"ГБОУ гимназия № 1583","История","призёр",2015,2016,"Московская олимпиада",4
11,"«Центр образования «САМСОН»","Иностранный язык (французский язык)","призёр",2013,2014,"Всероссийская олимпиада",5
11,"ГБОУ СОШ № 601","География","призёр",2013,2014,"Районная олимпиада",3
10,"НИУ ВШЭ. лицей","Обществознание","призёр",2016,2017,"Всероссийская олимпиада",4
11,"ГБОУ гимназия № 1514","Математика","призёр",2014,2015,"Районная олимпиада",3
10,"ГБОУ школа № 1522 имени В.И. Чуркина","История","призёр",2019,2020,"Всероссийская олимпиада",4
6,"ГБОУ школа № 2007 ФМШ","Математика","призёр",2018,2019,"Московская олимпиада",4
5,"ГБОУ школа № 1527","Изобразительное искусство","призёр",2017,2018,"Московская олимпиада",5
10,"ГБОУ школа № 554","Физическая культура","победитель",2017,2018,"Районная олимпиада",4
11,"ГБОУ школа № 1239","Русский язык","призёр",2019,2020,"Всероссийская олимпиада",5
10,"ГБОУ школа № 1394","История","призёр",2015,2016,"Всероссийская олимпиада",4
5,"ГБОУ школа № 315","Экономика","призёр",2017,2018,"Московская олимпиада",5
8,"ГБОУ гимназия № 1514","Математика","призёр",2014,2015,"Московская олимпиада",3
6,"ГБОУ школа № 1018","Технология","победитель",2016,2017,"Московская олимпиада",3
9,"ГБОУ школа № 1739","Литература","призёр",2017,2018,"Всероссийская олимпиада",4
10,"ГБОУ Шуваловская школа № 1448","Право","призёр",2018,2019,"Московская олимпиада",5
10,"ГБОУ школа № 2026","Технология","призёр",2018,2019,"Районная олимпиада",4
11,"ГБОУ Петровский кадетский корпус","Основы безопасности жизнедеятельности","призёр",2015,2016,"Районная олимпиада",5
11,"ГБОУ школа № 1223","Иностранный язык (французский язык)","призёр",2014,2015,"Всероссийская олимпиада",5
11,"ГБОУ гимназия № 1583","Иностранный язык (немецкий язык)","победитель",2014,2015,"Всероссийская олимпиада",3
9,"ГБОУ ЛГК на Юго-Востоке","Химия","призёр",2016,2017,"Всероссийская олимпиада",4
10,"СУНЦ МГУ","Физика","победитель",2018,2019,"Всероссийская олимпиада",5
9,"ГБОУ школа № 2009","Физика","призёр",2018,2019,"Московская олимпиада",4
9,"ГАОУ ВО МИОО. СОШ № 179","Математика","призёр",2012,2013,"Московская олимпиада",4
11,"ГБОУ СОШ № 1073","Литература","призёр",2014,2015,"Всероссийская олимпиада",4
9,"ГБОУ школа на проспекте Вернадского","Русский язык","призёр",2018,2019,"Всероссийская олимпиада",3
11,"ГБОУ лицей № 1535","Право","призёр",2014,2015,"Всероссийская олимпиада",3
11,"ГБОУ СОШ № 2104 «Школа на Таганке»","Иностранный язык (немецкий язык)","победитель",2014,2015,"Всероссийская олимпиада",3
9,"ГБОУ ЦО № 1485","Физика","призёр",2013,2014,"Всероссийская олимпиада",4
11,"ГБОУ школа № 1387","Право","призёр",2019,2020,"Всероссийская олимпиада",3
11,"ГБОУ школа № 57","История","призёр",2016,2017,"Всероссийская олимпиада",3
9,"ГБОУ лицей № 1560","Право","призёр",2014,2015,"Всероссийская олимпиада",4
11,"лицей НИУ ВШЭ","Экономика","призёр",2018,2019,"Всероссийская олимпиада",5
10,"СУНЦ МГУ","Математика","призёр",2018,2019,"Всероссийская олимпиада",5
11,"МАОУ «Гимназия г. Троицка»","Литература","призёр",2015,2016,"Всероссийская олимпиада",5
11,"ГБОУ гимназия № 1529","Право","призёр",2012,2013,"Всероссийская олимпиада",4
5,"ГБОУ школа № 1245","Технология","призёр",2017,2018,"Московская олимпиада",5
11,"ГАОУ ВО МИОО. СОШ № 179","Математика","призёр",2014,2015,"Всероссийская олимпиада",5
10,"ГБОУ школа № 1356","География","призёр",2019,2020,"Всероссийская олимпиада",5
5,"ГАОУ «Гимназия № 1518»","филология","призёр",2015,2016,"Московская олимпиада",4
5,"ГБОУ Физматшкола № 2007","Экономика","призёр",2015,2016,"Московская олимпиада",5
9,"ГАОУ ВО МИОО. СОШ № 179","Физика","призёр",2012,2013,"Всероссийская олимпиада",3
11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Математика","призёр",2015,2016,"Всероссийская олимпиада",5
10,"НИУ ВШЭ. лицей","Обществознание","призёр",2016,2017,"Московская олимпиада",4
10,"ОАНО «Новая школа»","Литература","призёр",2019,2020,"Всероссийская олимпиада",3
9,"ГБОУ СОШ № 1308","Иностранный язык (немецкий язык)","призёр",2012,2013,"Всероссийская олимпиада",4
5,"ГБОУ школа № 1103","Биология","призёр",2019,2020,"Всероссийская олимпиада",3
9,"ГБОУ школа № 1296","Право","призёр",2017,2018,"Районная олимпиада",5
8,"ГБОУ школа № 1532","Биология","призёр",2018,2019,"Московская олимпиада",5
6,"ГБОУ школа № 1357","Технология","победитель",2015,2016,"Московская олимпиада",3
10,"ГБОУ Измайловская гимназия № 1508","Мировая Художественная Культура (МХК)","призёр",2014,2015,"Районная олимпиада",4
10,"ГБОУ лицей № 1535","История","призёр",2015,2016,"Московская олимпиада",5
