"TeamSize","OlympiadType","Status","Year_end","Subject","ShortName","Year_begin","Class"
3,"Районная олимпиада","призёр",2020,"Физическая культура","ГБОУ школа № 2045",2019,9
4,"Всероссийская олимпиада","призёр",2020,"География","ГБОУ школа Марьина Роща имени В.Ф. Орлова",2019,9
5,"Московская олимпиада","призёр",2014,"Биология","ГБОУ СОШ № 192",2013,8
3,"Всероссийская олимпиада","призёр",2015,"Иностранный язык (немецкий язык)","ГБОУ лицей № 1501",2014,11
5,"Всероссийская олимпиада","призёр",2018,"Право","ГБОУ школа № 1285",2017,9
5,"Московская олимпиада","призёр",2019,"лингвистика","лицей НИУ ВШЭ",2018,10
5,"Всероссийская олимпиада","призёр",2018,"Биология","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017,11
5,"Московская олимпиада","призёр",2019,"филология","ГБОУ школа № 1575",2018,9
3,"Московская олимпиада","призёр",2018,"Математика","ГБОУ школа № 2007 ФМШ",2017,7
3,"Всероссийская олимпиада","призёр",2017,"Информатика","СУНЦ МГУ",2016,11
3,"Московская олимпиада","призёр",2017,"Химия","ГБОУ школа № 192",2016,8
5,"Районная олимпиада","призёр",2016,"Литература","ГБОУ гимназия № 1409",2015,10
5,"Всероссийская олимпиада","призёр",2018,"Биология","ГБОУ школа «Интеллектуал»",2017,10
4,"Московская олимпиада","призёр",2017,"Математика","ГБОУ гимназия № 1514",2016,8
3,"Московская олимпиада","победитель",2017,"Латынь","Некоммерческое партнерство «Филипповская школа»",2016,3
4,"Всероссийская олимпиада","призёр",2017,"Право","ГБОУ Многопрофильный лицей № 1799",2016,9
4,"Всероссийская олимпиада","призёр",2017,"Русский язык","ГБОУ лицей № 1568",2016,10
5,"Районная олимпиада","призёр",2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 179",2017,11
4,"Московская олимпиада","призёр",2015,"Изобразительное искусство","ГБОУ школа № 64",2014,8
5,"Московская олимпиада","победитель",2017,"Математика","ГАОУ ВПО МИОО. СОШ № 179",2016,9
4,"Всероссийская олимпиада","призёр",2019,"Литература","ГБОУ школа № 1034",2018,10
3,"Московская олимпиада","призёр",2016,"Математика","ГБОУ гимназия № 1517",2015,7
3,"Районная олимпиада","призёр",2016,"Экология","ГБОУ Московская гимназия на Юго-Западе № 1543",2015,9
3,"Всероссийская олимпиада","призёр",2013,"Литература","ГБОУ ЦО № 218",2012,11
3,"Всероссийская олимпиада","победитель",2013,"Физика","ГБОУ ЦО № 57",2012,9
3,"Всероссийская олимпиада","победитель",2016,"Математика","ГБОУ школа № 2086",2015,9
4,"Всероссийская олимпиада","призёр",2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ лицей «Вторая школа»",2017,9
4,"Московская олимпиада","победитель",2016,"Изобразительное искусство","ГБОУ школа № 1955",2015,8
5,"Всероссийская олимпиада","призёр",2018,"Иностранный язык (французский язык)","ГБОУ школа № 618",2017,11
4,"Всероссийская олимпиада","победитель",2020,"Технология","ГБОУ школа № 1411",2019,11
3,"Всероссийская олимпиада","призёр",2018,"Биология","ГБОУ школа № 1543",2017,10
3,"Московская олимпиада","призёр",2013,"Экономика","ОЧУ СОШ «Финансово-экономическая школа»",2012,6
3,"Московская олимпиада","призёр",2013,"Обществознание","ГБОУ СОШ № 1040",2012,11
4,"Московская олимпиада","призёр",2019,"Математика","СУНЦ МГУ",2018,10
3,"Всероссийская олимпиада","призёр",2014,"Биология","ГБОУ гимназия № 1567",2013,11
4,"Всероссийская олимпиада","призёр",2016,"Экология","ГБОУ школа № 2033",2015,9
5,"Московская олимпиада","призёр",2016,"Математика","ГБОУ «Курчатовская школа»",2015,7
3,"Всероссийская олимпиада","призёр",2020,"Биология","ГБОУ школа № 1520 им. Капцовых",2019,10
4,"Районная олимпиада","призёр",2016,"Иностранный язык (английский язык)","ГБОУ ММГ",2015,11
5,"Московская олимпиада","победитель",2019,"Право","ГБОУ школа № 1535",2018,9
5,"Всероссийская олимпиада","призёр",2017,"Физика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,11
5,"Всероссийская олимпиада","призёр",2020,"Обществознание","ГАОУ «Школа № 1518»",2019,11
4,"Московская олимпиада","призёр",2017,"География","ГБОУ школа № 2033",2016,7
5,"Районная олимпиада","призёр",2020,"Иностранный язык (английский язык)","Московская экономическая школа",2019,11
3,"Московская олимпиада","победитель",2014,"Математика","ГБОУ Московская гимназия на Юго-Западе № 1543",2013,7
4,"Всероссийская олимпиада","призёр",2017,"Литература","ГБОУ школа «Интеллектуал»",2016,9
5,"Всероссийская олимпиада","призёр",2016,"История","ГБОУ гимназия № 1527",2015,10
5,"Московская олимпиада","победитель",2013,"Изобразительное искусство","ГБОУ ЦО № 1637",2012,2
3,"Всероссийская олимпиада","призёр",2016,"Обществознание","ГБОУ Пушкинский лицей № 1500",2015,11
5,"Московская олимпиада","победитель",2018,"География","ГАОУ «Школа № 1518»",2017,8
3,"Московская олимпиада","призёр",2018,"История","ГБОУ школа № 1797",2017,8
4,"Всероссийская олимпиада","призёр",2020,"Русский язык","ГБОУ школа № 1557",2019,9
5,"Районная олимпиада","призёр",2013,"Химия","ГБОУ лицей № 1303",2012,9
5,"Всероссийская олимпиада","призёр",2020,"Русский язык","ГБОУ школа № 1239",2019,9
4,"Всероссийская олимпиада","призёр",2017,"Химия","ГБОУ школа № 1400",2016,9
3,"Всероссийская олимпиада","призёр",2017,"Мировая Художественная Культура (МХК)","ГБОУ школа «Интеллектуал»",2016,11
4,"Всероссийская олимпиада","призёр",2018,"Русский язык","ГБОУ школа № 1251 имени генерала Шарля де Голля",2017,11
3,"Районная олимпиада","призёр",2013,"Русский язык","ГБОУ СОШ № 1251 имени генерала Шарля де Голля",2012,11
3,"Московская олимпиада","призёр",2018,"филология","ГБОУ школа № 1573",2017,6
5,"Всероссийская олимпиада","победитель",2018,"Биология","ГБОУ школа № 179",2017,9
4,"Всероссийская олимпиада","призёр",2016,"Математика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015,10
4,"Всероссийская олимпиада","призёр",2016,"Основы безопасности жизнедеятельности","ГБОУ школа № 2109",2015,10
3,"Всероссийская олимпиада","призёр",2019,"Биология","ГБОУ школа имени Маршала В.И. Чуйкова",2018,10
3,"Московская олимпиада","призёр",2019,"Экология","ГБОУ школа № 1363",2018,8
3,"Московская олимпиада","призёр",2015,"Физика","ГБОУ школа № 1363",2014,8
4,"Районная олимпиада","призёр",2013,"Обществознание","ГБОУ гимназия № 1569",2012,9
5,"Всероссийская олимпиада","призёр",2015,"Физика","ГБОУ Физматшкола 2007",2014,9
5,"Всероссийская олимпиада","призёр",2018,"Искусство (МХК)","ГБОУ школа № 1525",2017,11
5,"Районная олимпиада","призёр",2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 1329",2017,9
5,"Всероссийская олимпиада","призёр",2019,"Литература","ГБОУ школа № 1512",2018,9
3,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (французский язык)","ГБОУ школа № 1501",2018,10
5,"Всероссийская олимпиада","призёр",2016,"История","ГБОУ ЛГК на Юго-Востоке",2015,9
5,"Всероссийская олимпиада","призёр",2014,"Математика","ГБОУ гимназия № 1512",2013,11
3,"Всероссийская олимпиада","призёр",2017,"Основы безопасности жизнедеятельности","ГБОУ школа № 950",2016,9
4,"Всероссийская олимпиада","призёр",2017,"Иностранный язык (английский язык)","ГБОУ гимназия № 1272",2016,11
5,"Московская олимпиада","призёр",2019,"Экономика","ГБОУ школа № 152",2018,5
3,"Всероссийская олимпиада","призёр",2020,"Мировая Художественная Культура (МХК)","ГБОУ школа № 201",2019,9
5,"Московская олимпиада","призёр",2019,"Биология","ГБОУ школа № 1383",2018,8
5,"Московская олимпиада","призёр",2016,"филология","ГБОУ школа № 1474",2015,7
5,"Всероссийская олимпиада","призёр",2018,"История","ГБОУ школа № 1474",2017,11
5,"Всероссийская олимпиада","призёр",2019,"Биология","ГБОУ школа № 305",2018,11
5,"Всероссийская олимпиада","призёр",2017,"Химия","ГБОУ лицей № 1568",2016,9
4,"Московская олимпиада","призёр",2014,"Технология","ГБОУ СОШ № 1273",2013,9
4,"Всероссийская олимпиада","победитель",2020,"Литература","университетская гимназия",2019,11
4,"Всероссийская олимпиада","призёр",2014,"Иностранный язык (английский язык)","ГБОУ СОШ № 587",2013,11
3,"Всероссийская олимпиада","призёр",2018,"Экономика","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017,10
4,"Всероссийская олимпиада","призёр",2020,"Основы безопасности жизнедеятельности","ГБОУ школа № 1748",2019,11
4,"Всероссийская олимпиада","победитель",2017,"Обществознание","НИУ ВШЭ. лицей",2016,11
4,"Московская олимпиада","призёр",2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 179",2017,7
5,"Всероссийская олимпиада","призёр",2018,"Химия","ГБОУ школа имени Маршала В.И. Чуйкова",2017,11
5,"Всероссийская олимпиада","призёр",2020,"Биология","ГБОУ школа № 1329",2019,9
3,"Московская олимпиада","призёр",2015,"Математика","ГБОУ Физматшкола 2007",2014,7
5,"Всероссийская олимпиада","призёр",2018,"Иностранный язык (английский язык)","ГБОУ школа № 1551",2017,11
5,"Всероссийская олимпиада","призёр",2019,"Право","ГБОУ школа № 1454 «Тимирязевская»",2018,10
3,"Московская олимпиада","призёр",2015,"Экономика","ГБОУ школа № 64",2014,7
5,"Московская олимпиада","призёр",2014,"Экономика","ГБОУ СОШ № 962",2013,10
3,"Всероссийская олимпиада","победитель",2015,"Информатика","ГАОУ ВО МИОО. СОШ № 179",2014,11
5,"Московская олимпиада","призёр",2014,"Изобразительное искусство","ГБОУ школа № 1284",2013,3
3,"Московская олимпиада","призёр",2014,"Химия","ГБОУ лицей «Вторая школа»",2013,8
3,"Всероссийская олимпиада","призёр",2014,"Иностранный язык (английский язык)","ГБОУ лицей № 1535",2013,11
3,"Всероссийская олимпиада","призёр",2020,"Основы безопасности жизнедеятельности","ГБОУ школа № 2026",2019,11
4,"Всероссийская олимпиада","призёр",2015,"Химия","ГБОУ лицей № 1571",2014,11
5,"Всероссийская олимпиада","победитель",2020,"Экономика","ГБОУ «Лицей «Вторая школа»",2019,9
4,"Всероссийская олимпиада","призёр",2020,"Русский язык","ГБОУ Инженерно-техническая школа",2019,10
5,"Всероссийская олимпиада","призёр",2019,"Обществознание","ГБОУ школа № 887",2018,11
4,"Московская олимпиада","призёр",2014,"Изобразительное искусство","ГБОУ СОШ № 1173",2013,3
4,"Районная олимпиада","призёр",2019,"История","ГБОУ школа № 1793",2018,11
5,"Всероссийская олимпиада","призёр",2016,"Физика","ГБОУ лицей № 1547",2015,9
5,"Всероссийская олимпиада","победитель",2018,"Математика","ГБОУ школа № 1329",2017,11
5,"Всероссийская олимпиада","призёр",2018,"Основы безопасности жизнедеятельности","ГБОУ школа № 1449",2017,9
4,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (английский язык)","ГБОУ школа № 1247",2018,11
4,"Всероссийская олимпиада","победитель",2018,"Биология","ГБОУ школа № 1543",2017,9
4,"Московская олимпиада","победитель",2018,"Математика","ГБОУ школа № 1329",2017,7
4,"Московская олимпиада","призёр",2013,"Биология","ГБОУ СОШ № 1250",2012,7
4,"Всероссийская олимпиада","призёр",2020,"Обществознание","ГБОУ школа № 625",2019,11
5,"Московская олимпиада","призёр",2015,"Химия","ГБОУ школа № 641 имени С. Есенина",2014,10
4,"Всероссийская олимпиада","призёр",2014,"Биология","ГБОУ ЦО № 57",2013,9
5,"Районная олимпиада","призёр",2019,"Математика","СУНЦ МГУ",2018,11
5,"Районная олимпиада","призёр",2015,"Иностранный язык (английский язык)","ГБОУ лицей № 1535",2014,10
4,"Районная олимпиада","победитель",2015,"Информатика","ГБОУ СОШ № 2086",2014,11
5,"Районная олимпиада","призёр",2019,"Информатика","ГБОУ «Лицей «Вторая школа»",2018,9
3,"Всероссийская олимпиада","призёр",2014,"Физическая культура","ГБОУ СОШ № 1112",2013,11
5,"Всероссийская олимпиада","призёр",2017,"История","ГБОУ школа № 1223",2016,10
5,"Московская олимпиада","призёр",2013,"Математика","ГБОУ СОШ № 7",2012,6
3,"Московская олимпиада","призёр",2017,"Изобразительное искусство","ГБОУ школа № 1352",2016,6
4,"Районная олимпиада","призёр",2014,"Обществознание","ГБОУ гимназия № 1290",2013,10
4,"Всероссийская олимпиада","призёр",2020,"Литература","ГБОУ школа № 1387",2019,10
4,"Всероссийская олимпиада","призёр",2020,"Биология","ГБОУ школа № 1474",2019,9
4,"Всероссийская олимпиада","призёр",2017,"Право","ГБОУ школа № 2005",2016,9
3,"Московская олимпиада","призёр",2019,"Бюджетная грамотность","ГАОУ «Школа № 1518»",2018,5
5,"Всероссийская олимпиада","призёр",2019,"Литература","ГБОУ школа № 152",2018,9
5,"Московская олимпиада","призёр",2016,"астрономия","ГБОУ школа № 2031",2015,6
3,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (немецкий язык)","ГБОУ «Немецкая школа № 1212»",2018,9
5,"Всероссийская олимпиада","призёр",2015,"Химия","ГБОУ Московская гимназия на Юго-Западе № 1543",2014,11
4,"Районная олимпиада","призёр",2019,"Литература","ГБОУ школа № 1315",2018,9
4,"Всероссийская олимпиада","победитель",2019,"Русский язык","ГБОУ Инженерно-техническая школа",2018,10
3,"Всероссийская олимпиада","призёр",2019,"Биология","ГБОУ школа № 1034",2018,11
5,"Московская олимпиада","призёр",2015,"География","ГБОУ гимназия № 1558",2014,7
4,"Московская олимпиада","победитель",2017,"Обществознание","ГАОУ «Гимназия № 1518»",2016,10
5,"Всероссийская олимпиада","призёр",2015,"Право","ГБОУ гимназия № 1518",2014,11
3,"Московская олимпиада","призёр",2016,"Технология","ГБОУ школа № 668",2015,5
5,"Районная олимпиада","призёр",2019,"Мировая Художественная Культура (МХК)","ГБОУ школа № 1514",2018,11
3,"Всероссийская олимпиада","победитель",2017,"Математика","ГБОУ лицей № 1547",2016,10
5,"Районная олимпиада","призёр",2020,"Математика","ГБОУ школа № 57",2019,10
3,"Московская олимпиада","призёр",2017,"Математика","ГБОУ Московская гимназия на Юго-Западе № 1543",2016,10
4,"Всероссийская олимпиада","призёр",2020,"Математика","ГБОУ школа № 179",2019,9
4,"Московская олимпиада","призёр",2018,"Химия","ГБОУ школа № 1246",2017,8
5,"Всероссийская олимпиада","призёр",2014,"Математика","ГБОУ гимназия № 1536",2013,11
3,"Всероссийская олимпиада","призёр",2013,"Физика","ГБОУ лицей № 1511 при НИЯУ «МИФИ»",2012,11
3,"Всероссийская олимпиада","призёр",2019,"Физика","ГБОУ школа № 2007 ФМШ",2018,9
5,"Московская олимпиада","победитель",2013,"Экономика","ГБОУ гимназия № 1567",2012,11
3,"Всероссийская олимпиада","призёр",2020,"Информатика","ГБОУ школа № 1534 «Академическая»",2019,10
3,"Всероссийская олимпиада","победитель",2016,"Экономика","ФГБОУ ВО МГЛУ",2015,11
3,"Московская олимпиада","призёр",2016,"Технология","ГБОУ школа № 814",2015,5
4,"Московская олимпиада","победитель",2013,"Физика","ГБОУ лицей «Вторая школа»",2012,10
5,"Всероссийская олимпиада","призёр",2015,"Литература","ГБОУ школа № 1474",2014,11
3,"Московская олимпиада","призёр",2019,"Изобразительное искусство","ГБОУ школа № 1293",2018,7
4,"Московская олимпиада","призёр",2015,"филология","ГБОУ школа № 444",2014,5
4,"Всероссийская олимпиада","призёр",2015,"Обществознание","ГБОУ СОШ № 1912",2014,11
4,"Всероссийская олимпиада","призёр",2017,"Иностранный язык (итальянский язык)","ГБОУ школа № 171",2016,10
3,"Всероссийская олимпиада","призёр",2015,"Обществознание","ГБОУ СОШ № 46",2014,11
4,"Районная олимпиада","победитель",2016,"Обществознание","ГБОУ школа № 1944",2015,10
4,"Московская олимпиада","призёр",2016,"Математика","ГБОУ школа № 57",2015,10
5,"Всероссийская олимпиада","призёр",2017,"Мировая Художественная Культура (МХК)","ГБОУ школа № 1195",2016,10
3,"Московская олимпиада","победитель",2016,"Обществознание","ГБОУ школа № 1270",2015,11
5,"Районная олимпиада","призёр",2019,"Информатика","ГБОУ школа № 1580",2018,11
4,"Районная олимпиада","призёр",2013,"Обществознание","ГБОУ школа № 1151",2012,10
4,"Московская олимпиада","призёр",2018,"История","ГБОУ школа № 625",2017,10
5,"Московская олимпиада","победитель",2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ лицей «Вторая школа»",2017,7
5,"Московская олимпиада","призёр",2018,"филология","ГБОУ школа № 1270",2017,10
3,"Всероссийская олимпиада","призёр",2015,"Литература","ГБОУ СОШ № 2107",2014,11
5,"Московская олимпиада","победитель",2019,"Химия","ГБОУ школа № 1329",2018,9
3,"Московская олимпиада","призёр",2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ «Многопрофильная школа № 1220»",2017,11
4,"Всероссийская олимпиада","призёр",2014,"Обществознание","ГБОУ СОШ № 2017",2013,9
4,"Всероссийская олимпиада","призёр",2019,"Информатика","СУНЦ МГУ",2018,10
3,"Московская олимпиада","призёр",2018,"Робототехника","ГБОУ школа им. А. Боровика",2017,7
4,"Всероссийская олимпиада","победитель",2018,"Экономика","ГБОУ школа № 218",2017,11
4,"Всероссийская олимпиада","призёр",2014,"Экология","ГБОУ гимназия № 1520 им. Капцовых",2013,10
3,"Районная олимпиада","призёр",2018,"География","ГБОУ школа № 170",2017,9
4,"Всероссийская олимпиада","призёр",2018,"История","ГБОУ школа № 1245",2017,9
3,"Московская олимпиада","призёр",2014,"Математика","ГБОУ лицей «Вторая школа»",2013,9
5,"Всероссийская олимпиада","призёр",2019,"Литература","ГБОУ школа № 1507",2018,9
4,"Районная олимпиада","призёр",2018,"Русский язык","ГБОУ школа № 57",2017,11
4,"Всероссийская олимпиада","призёр",2019,"Информатика","ГБОУ школа № 1583",2018,11
3,"Всероссийская олимпиада","призёр",2018,"Физика","ГБОУ школа № 1534",2017,9
5,"Всероссийская олимпиада","призёр",2014,"Экономика","ГБОУ СОШ № 1256",2013,11
5,"Московская олимпиада","победитель",2018,"Химия","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017,10
5,"Всероссийская олимпиада","призёр",2020,"Иностранный язык (английский язык)","ГБОУ школа № 1288",2019,9
5,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (английский язык)","ГБОУ школа № 1561",2018,11
3,"Всероссийская олимпиада","победитель",2018,"Право","ГБОУ Шуваловская школа № 1448",2017,11
5,"Всероссийская олимпиада","победитель",2014,"Обществознание","ГБОУ гимназия № 1551",2013,11
5,"Районная олимпиада","призёр",2020,"Экономика","ОАНО «Школа «ЛЕТОВО»",2019,9
3,"Всероссийская олимпиада","призёр",2020,"География","ГБОУ школа № 1231",2019,10
5,"Московская олимпиада","призёр",2019,"Химия","ГБОУ школа № 218",2018,11
5,"Всероссийская олимпиада","призёр",2014,"Экономика","ГБОУ лицей № 1533",2013,11
5,"Всероссийская олимпиада","призёр",2019,"Основы безопасности жизнедеятельности","ГБПОУ Юридический колледж",2018,10
4,"Московская олимпиада","призёр",2019,"филология","ГБОУ школа № 1374",2018,9
5,"Московская олимпиада","призёр",2018,"Химия","ГБОУ школа имени Маршала В.И. Чуйкова",2017,9
4,"Районная олимпиада","призёр",2020,"Русский язык","ГБОУ школа № 1512",2019,11
5,"Всероссийская олимпиада","призёр",2015,"Биология","ГБОУ лицей № 1535",2014,11
4,"Московская олимпиада","призёр",2017,"Математика","ГБОУ Физматшкола № 2007",2016,8
3,"Всероссийская олимпиада","призёр",2019,"Биология","ГБОУ школа № 192",2018,9
5,"Московская олимпиада","призёр",2013,"Изобразительное искусство","ГБОУ ЦО № 1637",2012,2
4,"Московская олимпиада","призёр",2016,"филология","ГБОУ школа № 1265",2015,6
3,"Всероссийская олимпиада","призёр",2014,"Обществознание","ГБОУ гимназия № 1290",2013,11
4,"Московская олимпиада","призёр",2019,"Технология","ГБОУ школа № 118",2018,6
5,"Всероссийская олимпиада","призёр",2020,"Мировая Художественная Культура (МХК)","ГБОУ школа № 1514",2019,10
4,"Московская олимпиада","призёр",2016,"Математика","ГБОУ лицей «Вторая школа»",2015,7
4,"Всероссийская олимпиада","призёр",2020,"Русский язык","ГБОУ школа № 825",2019,10
3,"Всероссийская олимпиада","призёр",2019,"Экономика","ГБОУ школа № 2086",2018,10
5,"Всероссийская олимпиада","призёр",2014,"Иностранный язык (английский язык)","НИУ ВШЭ. лицей",2013,10
3,"Московская олимпиада","призёр",2017,"Обществознание","ГБОУ школа № 1354",2016,9
4,"Всероссийская олимпиада","призёр",2015,"Обществознание","ГБОУ школа № 1151",2014,10
3,"Районная олимпиада","призёр",2018,"Химия","ГБОУ лицей № 1580",2017,11
3,"Московская олимпиада","призёр",2017,"Биология","ГБОУ гимназия № 1505",2016,6
5,"Московская олимпиада","призёр",2017,"филология","ГБОУ гимназия № 1573",2016,8
3,"Всероссийская олимпиада","призёр",2019,"Литература","ГБОУ школа № 2006",2018,10
4,"Московская олимпиада","призёр",2016,"филология","ГБОУ гимназия № 1522",2015,6
4,"Всероссийская олимпиада","призёр",2020,"Иностранный язык (немецкий язык)","ГБОУ школа № 1234",2019,11
3,"Всероссийская олимпиада","призёр",2020,"Литература","ГБОУ школа № 1252",2019,11
3,"Московская олимпиада","призёр",2015,"Физика","ГБОУ СОШ № 315",2014,11
4,"Всероссийская олимпиада","призёр",2017,"Математика","ГБОУ гимназия № 1567",2016,9
5,"Московская олимпиада","призёр",2017,"Информатика","ГБОУ Московская гимназия на Юго-Западе № 1543",2016,10
4,"Всероссийская олимпиада","призёр",2013,"Мировая Художественная Культура (МХК)","ГБОУ гимназия № 1514",2012,11
5,"Районная олимпиада","призёр",2014,"Обществознание","МАОУ «Гимназия г. Троицка»",2013,10
4,"Всероссийская олимпиада","призёр",2015,"История","ГБОУ школа № 887",2014,9
4,"Всероссийская олимпиада","призёр",2015,"Обществознание","ГБОУ школа № 1900",2014,11
5,"Районная олимпиада","призёр",2019,"Основы безопасности жизнедеятельности","ГБОУ школа № 171",2018,11
3,"Московская олимпиада","победитель",2019,"История","ГБОУ школа «Покровский квартал»",2018,11
3,"Всероссийская олимпиада","призёр",2020,"Биология","ГБОУ школа № 2120",2019,10
5,"Московская олимпиада","призёр",2016,"Технология","ГБОУ школа № 185",2015,5
4,"Всероссийская олимпиада","призёр",2019,"Литература","ГБОУ школа № 648",2018,11
4,"Московская олимпиада","призёр",2019,"филология","ГБОУ школа № 648",2018,7
5,"Всероссийская олимпиада","призёр",2016,"Обществознание","ГБОУ школа № 444",2015,10
3,"Всероссийская олимпиада","призёр",2018,"Право","ГБОУ школа «Покровский квартал»",2017,11
4,"Московская олимпиада","призёр",2017,"Информатика","ГАОУ ВПО МИОО. СОШ № 179",2016,9
3,"Московская олимпиада","призёр",2018,"Робототехника","ГБОУ школа № 2033",2017,5
3,"Районная олимпиада","призёр",2019,"Биология","ГБОУ школа № 192",2018,10
4,"Московская олимпиада","призёр",2018,"Биология","ГБОУ школа № 1516",2017,5
3,"Московская олимпиада","призёр",2013,"Физика","ГБОУ гимназия № 1534",2012,11
3,"Всероссийская олимпиада","призёр",2020,"Физическая культура","ГБОУ школа № 1194",2019,11
3,"Всероссийская олимпиада","призёр",2020,"Основы безопасности жизнедеятельности","ГБОУ школа № 2036",2019,11
4,"Московская олимпиада","победитель",2016,"Изобразительное искусство","ГБОУ школа № 1955",2015,7
3,"Всероссийская олимпиада","призёр",2017,"Физика","ГБОУ лицей № 1537",2016,9
4,"Московская олимпиада","призёр",2017,"Физика","ГБОУ лицей № 1568",2016,8
3,"Всероссийская олимпиада","призёр",2019,"Мировая Художественная Культура (МХК)","НОЧУ «ШКОЛА «МУМИ-ТРОЛЛЬ»",2018,11
3,"Всероссийская олимпиада","призёр",2014,"Математика","ГБОУ лицей «Вторая школа»",2013,9
3,"Всероссийская олимпиада","призёр",2017,"Химия","ГБОУ «ЦО № 654 имени А.Д. Фридмана»",2016,9
3,"Московская олимпиада","призёр",2014,"Математика","ГБОУ лицей «Вторая школа»",2013,9
3,"Районная олимпиада","призёр",2020,"Литература","ГБОУ школа на проспекте Вернадского",2019,10
5,"Всероссийская олимпиада","призёр",2018,"История","ГБОУ школа № 507",2017,11
3,"Всероссийская олимпиада","призёр",2020,"Обществознание","ГБОУ школа № 1576",2019,11
5,"Районная олимпиада","призёр",2017,"Биология","ГБОУ гимназия № 1567",2016,11
4,"Всероссийская олимпиада","победитель",2018,"Основы безопасности жизнедеятельности","ГКОУ КШИ № 1",2017,9
