"personal_status","duration","credit_history","purpose","type","existing_credits","credit_amount","housing","age"
"мужчина (женатый или вдовец)",26,"есть непогашенные кредиты","бытовая техника","ненадежный",1,2008,"домовладелец",25
"мужчина (одинокий)",14,"есть непогашенные кредиты","мебель","надежный",1,1976,"арендатор",27
"женщина",9,"есть непогашенные кредиты","ремонт жилья","надежный",1,3066,"домовладелец",20
"женщина",6,"есть непогашенные кредиты","бытовая техника","надежный",1,1116,"домовладелец",49
"мужчина (одинокий)",24,"есть непогашенные кредиты","бытовая техника","надежный",1,1242,"домовладелец",25
"мужчина (одинокий)",60,"не было кредитов","подержанная машина","ненадежный",2,6702,"без жилья",26
"мужчина (женатый или вдовец)",5,"есть просрочки платежей","бытовая техника","надежный",2,1761,"арендатор",29
"женщина",64,"есть непогашенные кредиты","новая машина","ненадежный",1,7009,"домовладелец",27
"женщина",35,"есть непогашенные кредиты","бытовая техника","ненадежный",2,2248,"домовладелец",23
"мужчина (одинокий)",59,"есть просрочки платежей","подержанная машина","надежный",1,5978,"домовладелец",30
"мужчина (одинокий)",29,"есть непогашенные кредиты","мебель","ненадежный",1,3458,"домовладелец",20
"мужчина (одинокий)",8,"есть непогашенные кредиты","бытовая техника","надежный",1,988,"домовладелец",41
"мужчина (одинокий)",20,"есть непогашенные кредиты","новая машина","ненадежный",1,1141,"без жилья",41
"мужчина (женатый или вдовец)",9,"есть непогашенные кредиты","бытовая техника","надежный",1,3046,"арендатор",32
"женщина",24,"есть непогашенные кредиты","подержанная машина","надежный",1,4477,"домовладелец",21
"мужчина (женатый или вдовец)",17,"есть непогашенные кредиты","бытовая техника","надежный",1,965,"домовладелец",32
"женщина",27,"есть непогашенные кредиты","мебель","надежный",1,4413,"арендатор",22
"мужчина (одинокий)",29,"все кредиты погашены","мебель","надежный",1,4805,"домовладелец",40
"женщина",80,"есть непогашенные кредиты","бытовая техника","ненадежный",1,5354,"домовладелец",24
"мужчина (одинокий)",13,"есть просрочки платежей","мебель","надежный",1,5194,"арендатор",43
"мужчина (одинокий)",31,"не было кредитов","бизнес","ненадежный",2,7749,"домовладелец",49
"мужчина (одинокий)",17,"не было кредитов","новая машина","ненадежный",2,1355,"домовладелец",44
"мужчина (одинокий)",53,"не было кредитов","бизнес","ненадежный",1,5060,"без жилья",36
"женщина",9,"есть просрочки платежей","образование","надежный",1,902,"домовладелец",40
"мужчина (одинокий)",15,"есть просрочки платежей","бытовая техника","надежный",2,2363,"домовладелец",29
"мужчина (одинокий)",11,"есть просрочки платежей","новая машина","надежный",3,2343,"домовладелец",50
"мужчина (одинокий)",23,"есть непогашенные кредиты","бытовая техника","ненадежный",2,3236,"без жилья",68
"мужчина (одинокий)",25,"есть просрочки платежей","подержанная машина","надежный",1,3502,"домовладелец",35
"мужчина (одинокий)",39,"все кредиты погашены","новая машина","надежный",1,2652,"домовладелец",32
"женщина",10,"есть непогашенные кредиты","новая машина","ненадежный",1,4915,"домовладелец",32
"мужчина (одинокий)",6,"есть непогашенные кредиты","образование","надежный",1,937,"без жилья",42
"женщина",17,"есть непогашенные кредиты","мебель","ненадежный",1,3387,"домовладелец",28
"женщина",15,"есть просрочки платежей","мебель","надежный",2,2930,"арендатор",18
"мужчина (одинокий)",57,"есть просрочки платежей","мебель","надежный",2,14595,"домовладелец",29
"мужчина (одинокий)",7,"есть просрочки платежей","другое","надежный",2,1218,"без жилья",60
"мужчина (одинокий)",4,"есть непогашенные кредиты","мебель","надежный",1,1286,"домовладелец",32
"мужчина (одинокий)",25,"есть непогашенные кредиты","мебель","надежный",1,3174,"домовладелец",52
"мужчина (одинокий)",18,"не было кредитов","бытовая техника","ненадежный",2,5565,"арендатор",29
"мужчина (одинокий)",8,"есть непогашенные кредиты","новая машина","ненадежный",1,14135,"домовладелец",56
"мужчина (одинокий)",31,"есть просрочки платежей","подержанная машина","надежный",2,9401,"домовладелец",39
"мужчина (одинокий)",32,"есть просрочки платежей","мебель","надежный",2,1650,"домовладелец",32
"мужчина (одинокий)",71,"есть непогашенные кредиты","бытовая техника","ненадежный",2,3581,"домовладелец",25
"женщина",7,"есть просрочки платежей","новая машина","надежный",2,744,"домовладелец",42
"мужчина (одинокий)",11,"есть просрочки платежей","бытовая техника","надежный",2,1101,"домовладелец",26
"мужчина (одинокий)",6,"есть непогашенные кредиты","новая машина","надежный",1,1708,"домовладелец",51
"мужчина (одинокий)",16,"есть непогашенные кредиты","мебель","ненадежный",1,10677,"без жилья",62
"мужчина (одинокий)",15,"есть непогашенные кредиты","бизнес","ненадежный",3,5357,"домовладелец",59
"мужчина (одинокий)",18,"есть просрочки платежей","новая машина","ненадежный",2,3561,"домовладелец",33
"мужчина (одинокий)",15,"есть непогашенные кредиты","мебель","ненадежный",1,3336,"домовладелец",30
"мужчина (женатый или вдовец)",8,"есть непогашенные кредиты","мебель","надежный",1,1875,"арендатор",23
"мужчина (одинокий)",37,"есть непогашенные кредиты","подержанная машина","надежный",1,5732,"домовладелец",40
"женщина",47,"все кредиты погашены","бизнес","ненадежный",1,5638,"арендатор",53
"мужчина (одинокий)",14,"есть непогашенные кредиты","новая машина","надежный",1,2847,"без жилья",53
"мужчина (женатый или вдовец)",21,"не было кредитов","подержанная машина","надежный",2,7515,"домовладелец",28
"женщина",8,"есть непогашенные кредиты","новая машина","ненадежный",1,1161,"домовладелец",20
"мужчина (женатый или вдовец)",39,"есть непогашенные кредиты","бытовая техника","ненадежный",1,4511,"арендатор",24
"мужчина (одинокий)",26,"все кредиты погашены","бытовая техника","надежный",1,2414,"без жилья",29
"мужчина (женатый или вдовец)",6,"есть непогашенные кредиты","ремонт жилья","надежный",1,776,"арендатор",26
"мужчина (одинокий)",6,"есть непогашенные кредиты","образование","надежный",1,5534,"домовладелец",63
"мужчина (одинокий)",34,"есть непогашенные кредиты","подержанная машина","надежный",1,2286,"домовладелец",41
"мужчина (женатый или вдовец)",17,"есть просрочки платежей","бытовая техника","надежный",2,2450,"домовладелец",33
"женщина",42,"есть просрочки платежей","подержанная машина","ненадежный",2,7341,"без жилья",53
"мужчина (одинокий)",7,"есть непогашенные кредиты","бытовая техника","надежный",1,3402,"домовладелец",52
"мужчина (одинокий)",43,"не было кредитов","мебель","ненадежный",2,7827,"без жилья",48
"женщина",14,"все кредиты погашены","бытовая техника","надежный",2,334,"арендатор",44
"мужчина (одинокий)",7,"есть непогашенные кредиты","подержанная машина","надежный",1,2496,"домовладелец",29
"женщина",73,"есть непогашенные кредиты","бизнес","ненадежный",1,5529,"арендатор",27
"женщина",20,"есть просрочки платежей","новая машина","надежный",1,2772,"домовладелец",35
"женщина",15,"есть непогашенные кредиты","бытовая техника","ненадежный",1,1095,"домовладелец",30
"мужчина (одинокий)",45,"есть непогашенные кредиты","другое","ненадежный",1,3811,"домовладелец",50
"мужчина (одинокий)",29,"есть непогашенные кредиты","мебель","ненадежный",1,7090,"домовладелец",31
"мужчина (одинокий)",28,"есть непогашенные кредиты","бытовая техника","ненадежный",1,5385,"домовладелец",27
"мужчина (одинокий)",20,"есть непогашенные кредиты","бытовая техника","надежный",1,3088,"домовладелец",19
"мужчина (одинокий)",15,"есть непогашенные кредиты","бытовая техника","надежный",1,1736,"без жилья",33
"мужчина (разведенный)",60,"не было кредитов","бизнес","надежный",2,9022,"домовладелец",30
"мужчина (одинокий)",17,"есть непогашенные кредиты","бытовая техника","ненадежный",1,1809,"домовладелец",32
"мужчина (одинокий)",20,"есть непогашенные кредиты","ремонт жилья","ненадежный",1,678,"домовладелец",25
"женщина",13,"есть просрочки платежей","мебель","надежный",1,1588,"домовладелец",33
"женщина",18,"есть непогашенные кредиты","новая машина","надежный",1,4648,"арендатор",20
"мужчина (одинокий)",66,"есть просрочки платежей","бытовая техника","ненадежный",2,5339,"домовладелец",26
"мужчина (одинокий)",7,"есть непогашенные кредиты","бытовая техника","надежный",1,3574,"домовладелец",31
"мужчина (одинокий)",9,"есть просрочки платежей","новая машина","надежный",2,2879,"арендатор",30
"мужчина (одинокий)",5,"не было кредитов","новая машина","надежный",1,1183,"арендатор",39
"мужчина (одинокий)",24,"есть непогашенные кредиты","мебель","ненадежный",1,3603,"домовладелец",21
"женщина",38,"есть непогашенные кредиты","новая машина","надежный",1,1881,"домовладелец",29
"женщина",29,"есть непогашенные кредиты","новая машина","ненадежный",1,2683,"домовладелец",26
"мужчина (одинокий)",7,"есть просрочки платежей","бытовая техника","надежный",3,632,"домовладелец",50
"женщина",28,"есть просрочки платежей","мебель","ненадежный",1,4114,"домовладелец",25
"мужчина (одинокий)",60,"есть непогашенные кредиты","образование","ненадежный",1,1952,"без жилья",37
"мужчина (одинокий)",28,"есть просрочки платежей","бытовая техника","надежный",2,3130,"домовладелец",40
"мужчина (одинокий)",14,"есть просрочки платежей","бытовая техника","надежный",2,2297,"домовладелец",50
"мужчина (одинокий)",49,"есть просрочки платежей","подержанная машина","надежный",2,10927,"без жилья",40
"мужчина (одинокий)",34,"есть просрочки платежей","подержанная машина","надежный",2,7586,"домовладелец",33
"мужчина (разведенный)",22,"есть непогашенные кредиты","мебель","ненадежный",1,3933,"домовладелец",28
"мужчина (женатый или вдовец)",9,"есть непогашенные кредиты","бытовая техника","надежный",1,436,"домовладелец",23
"мужчина (женатый или вдовец)",4,"есть просрочки платежей","новая машина","надежный",1,1794,"домовладелец",19
"мужчина (женатый или вдовец)",12,"есть непогашенные кредиты","бизнес","надежный",1,1550,"домовладелец",29
"женщина",5,"есть непогашенные кредиты","мебель","надежный",1,446,"домовладелец",47
"мужчина (одинокий)",24,"есть непогашенные кредиты","подержанная машина","надежный",1,6003,"домовладелец",31
"женщина",15,"есть непогашенные кредиты","другое","надежный",1,1099,"домовладелец",34
"мужчина (одинокий)",5,"есть просрочки платежей","новая машина","надежный",3,1673,"домовладелец",36
"мужчина (одинокий)",24,"есть просрочки платежей","мебель","надежный",2,1587,"домовладелец",42
"мужчина (разведенный)",50,"есть просрочки платежей","новая машина","ненадежный",2,3800,"домовладелец",32
"мужчина (разведенный)",16,"есть непогашенные кредиты","мебель","надежный",1,3042,"домовладелец",46
"мужчина (одинокий)",7,"есть непогашенные кредиты","новая машина","надежный",1,3576,"арендатор",27
"мужчина (одинокий)",11,"есть непогашенные кредиты","бытовая техника","ненадежный",1,1774,"домовладелец",25
"женщина",30,"есть непогашенные кредиты","бизнес","ненадежный",1,1204,"домовладелец",44
"мужчина (одинокий)",14,"есть просрочки платежей","новая машина","надежный",2,1190,"домовладелец",55
"мужчина (одинокий)",52,"есть просрочки платежей","ремонт жилья","надежный",2,4111,"домовладелец",56
"мужчина (одинокий)",26,"есть непогашенные кредиты","бытовая техника","надежный",1,4830,"домовладелец",27
"женщина",18,"есть просрочки платежей","новая машина","надежный",1,6096,"домовладелец",47
"женщина",4,"есть непогашенные кредиты","новая машина","надежный",1,687,"домовладелец",48
"женщина",15,"есть непогашенные кредиты","бытовая техника","ненадежный",1,2612,"домовладелец",40
"мужчина (одинокий)",4,"есть непогашенные кредиты","бытовая техника","надежный",1,519,"домовладелец",33
"женщина",7,"есть непогашенные кредиты","подержанная машина","надежный",1,4299,"арендатор",25
"женщина",28,"есть непогашенные кредиты","мебель","ненадежный",1,2479,"арендатор",18
"женщина",34,"есть непогашенные кредиты","мебель","надежный",1,4618,"арендатор",28
"мужчина (женатый или вдовец)",6,"есть непогашенные кредиты","новая машина","надежный",1,390,"арендатор",18
"женщина",22,"есть просрочки платежей","бытовая техника","надежный",2,908,"домовладелец",76
"женщина",9,"есть непогашенные кредиты","другое","надежный",1,1487,"арендатор",24
"мужчина (одинокий)",14,"есть просрочки платежей","ремонт жилья","надежный",2,1239,"домовладелец",56
"женщина",23,"есть просрочки платежей","новая машина","надежный",2,1271,"домовладелец",36
"мужчина (одинокий)",56,"есть непогашенные кредиты","бытовая техника","надежный",1,7053,"домовладелец",26
"женщина",36,"есть непогашенные кредиты","мебель","ненадежный",1,4336,"арендатор",18
"женщина",20,"есть непогашенные кредиты","бытовая техника","надежный",1,1988,"домовладелец",35
"мужчина (одинокий)",26,"есть непогашенные кредиты","подержанная машина","надежный",1,2699,"домовладелец",53
"женщина",12,"все кредиты погашены","подержанная машина","ненадежный",1,4659,"без жилья",88
"мужчина (одинокий)",17,"есть просрочки платежей","бытовая техника","надежный",2,511,"домовладелец",35
"женщина",11,"не было кредитов","мебель","ненадежный",2,3997,"арендатор",28
"мужчина (одинокий)",26,"есть непогашенные кредиты","новая машина","надежный",1,2737,"домовладелец",26
"женщина",10,"есть просрочки платежей","бытовая техника","надежный",1,1905,"домовладелец",44
"мужчина (одинокий)",22,"есть просрочки платежей","подержанная машина","ненадежный",2,7776,"домовладелец",26
"мужчина (одинокий)",35,"есть непогашенные кредиты","бытовая техника","надежный",1,1954,"арендатор",76
"мужчина (одинокий)",4,"есть просрочки платежей","бытовая техника","надежный",2,1302,"домовладелец",42
"мужчина (одинокий)",13,"есть просрочки платежей","образование","надежный",2,1044,"домовладелец",48
"женщина",47,"есть просрочки платежей","новая машина","ненадежный",2,6813,"домовладелец",28
"мужчина (женатый или вдовец)",9,"есть непогашенные кредиты","новая машина","надежный",2,943,"домовладелец",26
"мужчина (разведенный)",22,"есть непогашенные кредиты","мебель","надежный",1,2735,"арендатор",20
"женщина",14,"есть просрочки платежей","ремонт жилья","надежный",2,863,"домовладелец",22
"мужчина (одинокий)",20,"есть просрочки платежей","другое","надежный",1,2108,"домовладелец",23
"мужчина (одинокий)",7,"есть просрочки платежей","новая машина","надежный",2,1009,"домовладелец",50
"мужчина (одинокий)",4,"есть непогашенные кредиты","бытовая техника","надежный",1,2713,"домовладелец",27
"мужчина (одинокий)",58,"есть непогашенные кредиты","подержанная машина","ненадежный",1,8296,"домовладелец",25
"мужчина (одинокий)",55,"есть просрочки платежей","подержанная машина","надежный",2,5062,"домовладелец",39
"мужчина (одинокий)",16,"есть просрочки платежей","мебель","надежный",2,1767,"домовладелец",32
"женщина",30,"все кредиты погашены","подержанная машина","ненадежный",1,9647,"домовладелец",60
"женщина",39,"есть непогашенные кредиты","новая машина","ненадежный",2,1832,"арендатор",20
"мужчина (разведенный)",18,"есть непогашенные кредиты","мебель","ненадежный",1,3243,"домовладелец",28
"мужчина (разведенный)",22,"есть просрочки платежей","мебель","надежный",2,4655,"домовладелец",36
"женщина",22,"есть непогашенные кредиты","бытовая техника","надежный",1,4321,"арендатор",20
"мужчина (одинокий)",35,"есть непогашенные кредиты","подержанная машина","надежный",1,3926,"без жилья",39
"мужчина (женатый или вдовец)",53,"есть непогашенные кредиты","бытовая техника","ненадежный",2,7220,"домовладелец",39
"женщина",19,"есть просрочки платежей","мебель","надежный",1,1587,"арендатор",39
"мужчина (одинокий)",13,"есть непогашенные кредиты","новая машина","ненадежный",1,1587,"домовладелец",25
"мужчина (одинокий)",56,"есть непогашенные кредиты","образование","ненадежный",1,17119,"без жилья",40
"мужчина (одинокий)",17,"есть непогашенные кредиты","бытовая техника","надежный",2,824,"домовладелец",22
"женщина",8,"есть непогашенные кредиты","образование","надежный",1,1420,"домовладелец",59
"мужчина (одинокий)",50,"есть непогашенные кредиты","бытовая техника","надежный",1,2969,"домовладелец",45
"женщина",24,"есть непогашенные кредиты","подержанная машина","надежный",1,5548,"арендатор",30
"женщина",12,"есть просрочки платежей","мебель","надежный",2,1252,"домовладелец",22
"мужчина (одинокий)",14,"есть просрочки платежей","подержанная машина","надежный",2,3226,"домовладелец",25
"женщина",15,"есть просрочки платежей","новая машина","надежный",2,856,"домовладелец",55
"мужчина (одинокий)",10,"есть просрочки платежей","новая машина","надежный",2,1588,"домовладелец",36
"мужчина (одинокий)",22,"есть просрочки платежей","бытовая техника","надежный",2,996,"домовладелец",24
"мужчина (одинокий)",27,"есть просрочки платежей","новая машина","ненадежный",2,1323,"домовладелец",35
"мужчина (одинокий)",8,"есть непогашенные кредиты","бытовая техника","надежный",1,3594,"домовладелец",40
"женщина",7,"есть просрочки платежей","образование","ненадежный",2,1490,"домовладелец",34
"женщина",16,"есть непогашенные кредиты","мебель","надежный",1,3558,"арендатор",39
"мужчина (одинокий)",6,"есть непогашенные кредиты","новая машина","надежный",1,1299,"домовладелец",33
"мужчина (женатый или вдовец)",12,"есть непогашенные кредиты","новая машина","надежный",1,1078,"домовладелец",30
"мужчина (женатый или вдовец)",8,"есть непогашенные кредиты","бизнес","надежный",1,1402,"домовладелец",27
"мужчина (одинокий)",6,"есть просрочки платежей","новая машина","надежный",2,1099,"домовладелец",47
"мужчина (одинокий)",11,"есть непогашенные кредиты","новая машина","надежный",1,1363,"арендатор",45
"мужчина (одинокий)",24,"не было кредитов","мебель","ненадежный",2,4297,"арендатор",23
"женщина",21,"есть просрочки платежей","мебель","надежный",2,2390,"домовладелец",28
"женщина",55,"есть просрочки платежей","образование","ненадежный",2,11927,"домовладелец",22
"женщина",7,"есть непогашенные кредиты","бытовая техника","надежный",1,2033,"домовладелец",38
"женщина",15,"есть непогашенные кредиты","бытовая техника","надежный",1,1584,"арендатор",22
"мужчина (разведенный)",25,"все кредиты погашены","мебель","ненадежный",1,8028,"домовладелец",62
"мужчина (женатый или вдовец)",6,"есть непогашенные кредиты","бытовая техника","надежный",1,1956,"арендатор",32
"мужчина (одинокий)",19,"есть просрочки платежей","новая машина","надежный",2,727,"домовладелец",76
"мужчина (одинокий)",21,"есть непогашенные кредиты","новая машина","надежный",1,4635,"домовладелец",24
"мужчина (одинокий)",63,"есть непогашенные кредиты","подержанная машина","надежный",1,9344,"домовладелец",51
"мужчина (одинокий)",4,"все кредиты погашены","новая машина","надежный",1,686,"домовладелец",22
"мужчина (одинокий)",39,"есть непогашенные кредиты","подержанная машина","надежный",2,8872,"домовладелец",28
"мужчина (одинокий)",14,"есть непогашенные кредиты","мебель","надежный",1,1729,"домовладелец",21
"мужчина (одинокий)",37,"есть непогашенные кредиты","новая машина","ненадежный",1,16159,"без жилья",30
"мужчина (женатый или вдовец)",13,"есть непогашенные кредиты","бытовая техника","надежный",1,1582,"арендатор",21
"мужчина (одинокий)",19,"есть непогашенные кредиты","подержанная машина","надежный",1,5358,"домовладелец",21
"мужчина (одинокий)",101,"есть непогашенные кредиты","новая машина","надежный",1,8079,"без жилья",31
"мужчина (одинокий)",32,"есть просрочки платежей","мебель","надежный",1,7228,"домовладелец",30
"женщина",16,"есть непогашенные кредиты","бытовая техника","надежный",1,2876,"домовладелец",24
"мужчина (одинокий)",9,"есть просрочки платежей","новая машина","ненадежный",2,5354,"арендатор",34
"мужчина (одинокий)",39,"есть непогашенные кредиты","бытовая техника","надежный",1,3897,"домовладелец",25
"женщина",15,"есть просрочки платежей","подержанная машина","надежный",2,4206,"арендатор",38
"женщина",34,"есть непогашенные кредиты","новая машина","ненадежный",1,1826,"арендатор",27
"женщина",10,"есть непогашенные кредиты","мебель","надежный",1,2017,"арендатор",23
"женщина",31,"есть непогашенные кредиты","мебель","надежный",1,4705,"домовладелец",55
"мужчина (одинокий)",47,"есть непогашенные кредиты","подержанная машина","ненадежный",3,9390,"без жилья",38
"женщина",11,"есть просрочки платежей","новая машина","ненадежный",2,3148,"домовладелец",26
"мужчина (одинокий)",66,"есть непогашенные кредиты","новая машина","ненадежный",1,8128,"без жилья",47
"мужчина (одинокий)",8,"есть непогашенные кредиты","новая машина","надежный",1,1454,"домовладелец",37
"женщина",31,"есть непогашенные кредиты","новая машина","ненадежный",1,1798,"домовладелец",35
"мужчина (одинокий)",22,"есть непогашенные кредиты","другое","ненадежный",2,13824,"домовладелец",32
"мужчина (одинокий)",9,"есть просрочки платежей","бытовая техника","надежный",2,1019,"домовладелец",29
"мужчина (одинокий)",8,"есть просрочки платежей","мебель","ненадежный",2,2430,"домовладелец",69
"женщина",7,"есть непогашенные кредиты","мебель","надежный",1,1928,"домовладелец",27
"мужчина (одинокий)",9,"есть непогашенные кредиты","бытовая техника","надежный",1,2886,"домовладелец",27
"женщина",27,"есть непогашенные кредиты","бытовая техника","надежный",1,1849,"домовладелец",23
"мужчина (одинокий)",21,"есть непогашенные кредиты","мебель","надежный",2,2486,"без жилья",37
"женщина",19,"есть непогашенные кредиты","мебель","надежный",1,3368,"домовладелец",48
"женщина",17,"есть просрочки платежей","новая машина","надежный",1,968,"домовладелец",38
"женщина",7,"все кредиты погашены","образование","ненадежный",1,623,"арендатор",22
"мужчина (разведенный)",20,"есть непогашенные кредиты","новая машина","надежный",1,887,"домовладелец",57
"мужчина (одинокий)",35,"все кредиты погашены","бизнес","надежный",1,3873,"домовладелец",30
"мужчина (одинокий)",17,"не было кредитов","бизнес","ненадежный",3,4840,"домовладелец",32
"мужчина (одинокий)",28,"есть непогашенные кредиты","подержанная машина","надежный",1,8134,"без жилья",39
"женщина",26,"есть просрочки платежей","ремонт жилья","ненадежный",3,1137,"без жилья",62
"мужчина (одинокий)",16,"есть непогашенные кредиты","мебель","надежный",1,2077,"домовладелец",26
"мужчина (женатый или вдовец)",15,"есть просрочки платежей","бытовая техника","надежный",2,2050,"домовладелец",33
"мужчина (одинокий)",18,"есть непогашенные кредиты","мебель","надежный",1,1001,"домовладелец",42
