"ShortName","Status","Year_begin","Year_end","Subject","TeamSize","Class","OlympiadType"
"ГБОУ ЛГК на Юго-Востоке","призёр",2015,2016,"Химия",4,11,"Всероссийская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179","призёр",2012,2013,"Биология",4,11,"Районная олимпиада"
"ГБОУ школа № 1535","призёр",2018,2019,"История",5,9,"Московская олимпиада"
"ГБОУ Лингвистический лицей № 1555","призёр",2014,2015,"Иностранный язык (английский язык)",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 2026","призёр",2017,2018,"Экология",3,9,"Всероссийская олимпиада"
"ГБОУ СОШ № 1188","победитель",2013,2014,"Изобразительное искусство",5,8,"Московская олимпиада"
"ГБОУ школа № 2007 ФМШ","призёр",2018,2019,"Математика",5,6,"Московская олимпиада"
"ГБОУ школа на проспекте Вернадского","призёр",2019,2020,"Литература",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 1362","призёр",2019,2020,"География",3,11,"Районная олимпиада"
"ГБОУ школа № 1535","призёр",2018,2019,"Химия",4,10,"Московская олимпиада"
"ГБОУ школа № 171","призёр",2016,2017,"Химия",3,10,"Всероссийская олимпиада"
"ГБОУ школа № 1420","призёр",2019,2020,"Право",4,9,"Всероссийская олимпиада"
"ГБОУ школа № 179","призёр",2017,2018,"Математика",5,11,"Московская олимпиада"
"ГАОУ «Гимназия № 1518»","призёр",2015,2016,"География",5,8,"Московская олимпиада"
"ГБОУ школа имени Маршала В.И. Чуйкова","призёр",2018,2019,"Биология",3,11,"Всероссийская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179","призёр",2013,2014,"Математика",3,10,"Районная олимпиада"
"ГАОУ школа № 1306 - «Школа молодых политиков»","призёр",2019,2020,"Иностранный язык (английский язык)",4,11,"Всероссийская олимпиада"
"ГБПОУ «Воробьевы горы»","победитель",2014,2015,"астрономия",3,9,"Всероссийская олимпиада"
"ГБОУ СОШ № 1256","призёр",2014,2015,"Обществознание",4,11,"Районная олимпиада"
"ГБОУ школа № 2115","призёр",2018,2019,"Экология",5,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 45","призёр",2013,2014,"Экономика",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 853","призёр",2012,2013,"Математика",3,9,"Московская олимпиада"
"ГБОУ ЛГК на Юго-Востоке","призёр",2015,2016,"Химия",4,9,"Всероссийская олимпиада"
"ГАОУ ЦО № 548","призёр",2015,2016,"Иностранный язык (китайский язык)",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 199","призёр",2017,2018,"Химия",5,8,"Московская олимпиада"
"ГБОУ школа № 1376","призёр",2017,2018,"Литература",4,9,"Всероссийская олимпиада"
"ГБОУ СОШ № 56","призёр",2013,2014,"Физика",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 57","призёр",2015,2016,"Иностранный язык (английский язык)",3,11,"Всероссийская олимпиада"
"ГБОУ «Лицей «Вторая школа»","призёр",2018,2019,"Физика",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 618","призёр",2018,2019,"Экология",5,5,"Московская олимпиада"
"ГБОУ «Лицей «Вторая школа»","призёр",2019,2020,"Физика",5,9,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей","призёр",2014,2015,"Обществознание",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 1535","призёр",2018,2019,"Иностранный язык (английский язык)",3,10,"Районная олимпиада"
"ГБОУ школа № 1352","призёр",2018,2019,"Мировая Художественная Культура (МХК)",4,11,"Всероссийская олимпиада"
"ГБОУ «Лицей «Вторая школа»","призёр",2019,2020,"Математика",3,11,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2012,2013,"Математика",3,11,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»","победитель",2014,2015,"Иностранный язык (немецкий язык)",5,10,"Всероссийская олимпиада"
"ГБОУ Физматшкола 2007","призёр",2014,2015,"Математика",3,7,"Московская олимпиада"
"ГБОУ гимназия № 1513","призёр",2012,2013,"Иностранный язык (немецкий язык)",4,11,"Всероссийская олимпиада"
"ГБОУ школа имени Маршала В.И. Чуйкова","призёр",2019,2020,"Химия",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 1329","призёр",2014,2015,"Математика",5,6,"Московская олимпиада"
"ГБОУ школа № 1980","призёр",2018,2019,"Технология",5,9,"Московская олимпиада"
"ГБОУ школа № 1507","призёр",2019,2020,"Экология",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 1980","призёр",2018,2019,"Литература",4,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 491","призёр",2016,2017,"Технология",4,5,"Московская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2016,2017,"История",5,10,"Районная олимпиада"
"ГБОУ школа № 1535","призёр",2018,2019,"Биология",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 109","призёр",2016,2017,"Право",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 171","призёр",2019,2020,"Иностранный язык (английский язык)",5,11,"Всероссийская олимпиада"
"ГБОУ школа Перспектива","призёр",2019,2020,"Основы безопасности жизнедеятельности",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 1540","призёр",2019,2020,"Основы безопасности жизнедеятельности",5,11,"Районная олимпиада"
"ГБОУ Физматшкола № 2007","призёр",2016,2017,"Математика",5,7,"Московская олимпиада"
"ГБОУ гимназия № 1520 им. Капцовых","призёр",2016,2017,"Литература",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 1568","призёр",2018,2019,"Химия",5,8,"Московская олимпиада"
"ГБОУ школа № 345","призёр",2014,2015,"Физическая культура",4,11,"Всероссийская олимпиада"
"ОАНО «Школа «ЛЕТОВО»","призёр",2018,2019,"Физика",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 518","призёр",2018,2019,"Физика",3,11,"Всероссийская олимпиада"
"ГБОУ Физматшкола № 2007","призёр",2015,2016,"Информатика",3,9,"Московская олимпиада"
"ГБОУ школа № 1251 имени генерала Шарля де Голля","призёр",2015,2016,"филология",3,10,"Московская олимпиада"
"ГБОУ школа № 763","призёр",2016,2017,"Изобразительное искусство",4,5,"Московская олимпиада"
"ГБОУ школа № 641 имени С. Есенина","призёр",2016,2017,"Экология",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1557","призёр",2017,2018,"Иностранный язык (английский язык)",3,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1507","призёр",2015,2016,"Обществознание",3,10,"Московская олимпиада"
"ГБОУ школа № 814","призёр",2019,2020,"География",4,9,"Всероссийская олимпиада"
"ГБОУ школа № 57","победитель",2015,2016,"Математика",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 1018","призёр",2017,2018,"Право",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 57","призёр",2019,2020,"Математика",5,11,"Всероссийская олимпиада"
"ФГКОУ «МКК ПВ МО РФ»","призёр",2016,2017,"Мировая Художественная Культура (МХК)",3,10,"Всероссийская олимпиада"
"ГБОУ школа № 1741","призёр",2016,2017,"Физика",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 218","призёр",2016,2017,"Химия",4,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1516","призёр",2015,2016,"Право",5,11,"Московская олимпиада"
"ГБОУ школа № 1900","победитель",2015,2016,"Изобразительное искусство",5,10,"Московская олимпиада"
"ГБОУ гимназия № 1504","призёр",2015,2016,"Литература",3,9,"Всероссийская олимпиада"
"ГАОУ «Гимназия № 1518»","призёр",2015,2016,"Обществознание",4,10,"Всероссийская олимпиада"
"ГБОУ лицей № 1580","призёр",2015,2016,"Информатика",5,11,"Всероссийская олимпиада"
"ГБОУ лицей № 1586","призёр",2013,2014,"Экология",3,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514","призёр",2012,2013,"Математика",5,8,"Московская олимпиада"
"ГБОУ СОШ с углубленным изучением иностранных языков № 1258","призёр",2013,2014,"Биология",5,5,"Московская олимпиада"
"НИУ ВШЭ. лицей","призёр",2016,2017,"Иностранный язык (английский язык)",5,11,"Всероссийская олимпиада"
"ГАОУ школа № 548","победитель",2018,2019,"Изобразительное искусство",5,7,"Московская олимпиада"
"ГБОУ лицей № 1571","призёр",2016,2017,"Право",3,9,"Районная олимпиада"
"ГБОУ школа № 2104 на Таганке","призёр",2017,2018,"История",4,11,"Всероссийская олимпиада"
"ГАОУ школа № 548","призёр",2018,2019,"Информационные технологии в профессиональной деятельности",3,9,"Московская олимпиада"
"ГБОУ школа № 171","призёр",2014,2015,"Экология",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1558 имени Росалии де Кастро","призёр",2018,2019,"География",3,9,"Московская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","победитель",2014,2015,"Физика",3,11,"Всероссийская олимпиада"
"ГБОУ Государственная столичная гимназия","призёр",2014,2015,"Русский язык",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 218","призёр",2016,2017,"История",4,9,"Московская олимпиада"
"ГБОУ гимназия № 1591","призёр",2016,2017,"Биология",3,11,"Всероссийская олимпиада"
"ФГБОУ ВО МГЛУ","победитель",2016,2017,"Русский язык",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 1357","призёр",2017,2018,"Изобразительное искусство",5,9,"Московская олимпиада"
"ФГКОУ «МКК ПВ МО РФ»","призёр",2016,2017,"Мировая Художественная Культура (МХК)",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 1252 имени Сервантеса","призёр",2015,2016,"филология",3,7,"Московская олимпиада"
"ГБОУ школа № 2051","победитель",2016,2017,"История",5,11,"Московская олимпиада"
"ГБОУ гимназия № 1583","призёр",2014,2015,"Мировая Художественная Культура (МХК)",3,10,"Всероссийская олимпиада"
"ГБОУ школа № 1543","призёр",2017,2018,"Математика",4,10,"Всероссийская олимпиада"
"ГАОУ «Школа № 1518»","призёр",2017,2018,"География",3,10,"Московская олимпиада"
"ГБОУ лицей № 1501","призёр",2014,2015,"Биология",5,11,"Всероссийская олимпиада"
"ГБОУ лицей № 1535","призёр",2016,2017,"Мировая Художественная Культура (МХК)",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 2009","призёр",2018,2019,"Русский язык",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 1101","победитель",2014,2015,"Химия",4,10,"Московская олимпиада"
"ГБОУ школа № 1270","призёр",2014,2015,"Обществознание",5,11,"Московская олимпиада"
"Российская академия государственной службы при Президенте Российской Федерации","призёр",2016,2017,"Право",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1535","призёр",2017,2018,"Обществознание",5,11,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»","призёр",2015,2016,"Литература",5,11,"Районная олимпиада"
"ГБОУ лицей № 1557","призёр",2012,2013,"Информатика",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1234","призёр",2019,2020,"Мировая Художественная Культура (МХК)",4,11,"Районная олимпиада"
"ГБОУ школа № 1250","призёр",2019,2020,"Биология",4,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1290","призёр",2015,2016,"География",3,10,"Московская олимпиада"
"ГБОУ школа № 1515","призёр",2018,2019,"Биология",4,5,"Московская олимпиада"
"ГБОУ школа № 1252","призёр",2017,2018,"История",3,10,"Всероссийская олимпиада"
"ГАОУ «Школа № 1518»","призёр",2019,2020,"Иностранный язык (английский язык)",4,11,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»","призёр",2016,2017,"Экономика",5,11,"Всероссийская олимпиада"
"ГБОУ лицей № 1547","призёр",2015,2016,"Русский язык",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1538","призёр",2018,2019,"Изобразительное искусство",5,7,"Московская олимпиада"
"ГБОУ школа № 1293","призёр",2014,2015,"История",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 138","призёр",2018,2019,"Изобразительное искусство",4,7,"Московская олимпиада"
"ГБОУ «Московская международная школа»","призёр",2019,2020,"История",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 1514","призёр",2018,2019,"Русский язык",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 1955","победитель",2016,2017,"Физическая культура",3,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1534","призёр",2016,2017,"Математика",3,6,"Московская олимпиада"
"ГБОУ лицей № 2010","призёр",2019,2020,"Право",4,11,"Всероссийская олимпиада"
"ГБОУ СОШ № 718","победитель",2014,2015,"Изобразительное искусство",4,11,"Московская олимпиада"
"ГБОУ ЦО № 57","призёр",2014,2015,"лингвистика",3,9,"Московская олимпиада"
"ГБОУ СОШ № 1320","призёр",2012,2013,"Обществознание",5,9,"Районная олимпиада"
"ГБОУ лицей № 1581","призёр",2015,2016,"Физика",3,9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1583","призёр",2016,2017,"Мировая Художественная Культура (МХК)",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1329","призёр",2015,2016,"Математика",3,10,"Московская олимпиада"
"ГБОУ СОШ № 481","призёр",2013,2014,"Экономика",3,4,"Московская олимпиада"
"ГБОУ школа № 1514","призёр",2019,2020,"Экономика",3,11,"Районная олимпиада"
"ГБОУ «Лицей «Вторая школа»","призёр",2018,2019,"Математика",4,6,"Московская олимпиада"
"ГБОУ школа № 138","призёр",2017,2018,"Изобразительное искусство",5,10,"Московская олимпиада"
"ГБОУ гимназия № 1529","призёр",2015,2016,"Иностранный язык (английский язык)",3,11,"Районная олимпиада"
"МАОУ «Лицей города Троицка»","призёр",2017,2018,"Изобразительное искусство",3,8,"Московская олимпиада"
"университетская гимназия","призёр",2019,2020,"Химия",5,11,"Всероссийская олимпиада"
"ГБОУ «Школа-интернат «Интеллектуал»","призёр",2015,2016,"Математика",5,9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1573","призёр",2013,2014,"География",4,9,"Районная олимпиада"
"ГБОУ школа № 718","призёр",2016,2017,"Русский язык",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 1748","призёр",2018,2019,"Экология",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1285","призёр",2014,2015,"Физическая культура",4,11,"Всероссийская олимпиада"
"ГБОУ «Школа-интернат «Интеллектуал»","призёр",2014,2015,"Химия",4,10,"Московская олимпиада"
"ГБОУ школа № 2128","победитель",2016,2017,"Изобразительное искусство",3,9,"Московская олимпиада"
"ГБОУ ЦО № 57","призёр",2013,2014,"Математика",4,10,"Московская олимпиада"
"СУНЦ МГУ","победитель",2018,2019,"Физика",5,11,"Московская олимпиада"
"ГБОУ ЦО № 1601","призёр",2013,2014,"Экономика",4,4,"Московская олимпиада"
"ГБОУ школа № 179","призёр",2018,2019,"Информатика",5,11,"Районная олимпиада"
"ГБОУ школа им. Н.М. Карамзина","призёр",2018,2019,"филология",3,6,"Московская олимпиада"
"ГБОУ школа № 171","призёр",2014,2015,"Биология",5,10,"Всероссийская олимпиада"
"ГБПОУ КАТ № 9","призёр",2015,2016,"Технология",5,10,"Московская олимпиада"
"лицей НИУ ВШЭ","призёр",2018,2019,"Обществознание",4,9,"Всероссийская олимпиада"
"ГБОУ школа № 1502 при МЭИ","призёр",2018,2019,"География",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 218","призёр",2019,2020,"Химия",4,9,"Всероссийская олимпиада"
"ГБОУ СОШ № 240","призёр",2014,2015,"Экономика",4,6,"Московская олимпиада"
"МБШ «Вита»","призёр",2015,2016,"Биология",5,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514","призёр",2014,2015,"Мировая Художественная Культура (МХК)",4,9,"Районная олимпиада"
"ГБОУ лицей «Вторая школа»","победитель",2013,2014,"Математика",4,7,"Московская олимпиада"
"ГБОУ школа № 1000","победитель",2013,2014,"Технология",5,11,"Всероссийская олимпиада"
"ГБОУ ГСГ","призёр",2015,2016,"Литература",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 1354 «Вектор»","победитель",2017,2018,"Изобразительное искусство",3,5,"Московская олимпиада"
"ГБОУ школа № 2107","призёр",2018,2019,"Изобразительное искусство",5,11,"Московская олимпиада"
"ГБОУ школа № 1980","призёр",2018,2019,"Изобразительное искусство",5,6,"Московская олимпиада"
"ГБОУ школа № 1280","победитель",2016,2017,"Иностранный язык (английский язык)",5,11,"Районная олимпиада"
"ГБОУ школа № 179","призёр",2017,2018,"астрономия",4,9,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»","призёр",2015,2016,"астрономия",3,11,"Районная олимпиада"
"ГБОУ ЦО № 1487","призёр",2012,2013,"Технология",4,5,"Московская олимпиада"
"ГБОУ школа № 109","победитель",2017,2018,"История",4,6,"Московская олимпиада"
"ГБОУ школа № 1234","победитель",2019,2020,"Иностранный язык (немецкий язык)",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1329","призёр",2017,2018,"Физика",3,9,"Московская олимпиада"
"ГБОУ школа № 1329","призёр",2015,2016,"Математика",5,11,"Московская олимпиада"
"ГБОУ школа № 201","призёр",2018,2019,"Обществознание",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 2007 ФМШ","призёр",2017,2018,"Физика",5,10,"Московская олимпиада"
"ГБОУ школа № 1355","призёр",2019,2020,"Мировая Художественная Культура (МХК)",5,9,"Районная олимпиада"
"ГБОУ школа № 152","призёр",2015,2016,"Обществознание",4,11,"Всероссийская олимпиада"
"ОАНО «Школа «ЛЕТОВО»","призёр",2019,2020,"Математика",3,10,"Районная олимпиада"
"ГБОУ Физматшкола 2007","призёр",2014,2015,"Информатика",4,9,"Московская олимпиада"
"ГАОУ школа № 548","призёр",2019,2020,"Мировая Художественная Культура (МХК)",4,10,"Всероссийская олимпиада"
"лицей НИУ ВШЭ","призёр",2018,2019,"Обществознание",5,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514","призёр",2016,2017,"Физика",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1568","призёр",2017,2018,"Физика",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 1270","призёр",2018,2019,"филология",5,8,"Московская олимпиада"
"МАОУ «Лицей города Троицка»","призёр",2014,2015,"Химия",3,11,"Московская олимпиада"
"ГБОУ ЛГК на Юго-Востоке","призёр",2016,2017,"Химия",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 171","призёр",2016,2017,"Экология",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 185","призёр",2019,2020,"Экология",5,9,"Всероссийская олимпиада"
"ГБПОУ ТПСК им. В. М. Максимчука","призёр",2018,2019,"Основы безопасности жизнедеятельности",3,11,"Районная олимпиада"
"ГБОУ школа № 2006","призёр",2017,2018,"Физическая культура",5,11,"Районная олимпиада"
"НИУ ВШЭ. лицей","призёр",2017,2018,"Обществознание",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 192","победитель",2017,2018,"Химия",5,10,"Районная олимпиада"
"ГБОУ школа № 2114","призёр",2017,2018,"Литература",4,10,"Всероссийская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179","призёр",2015,2016,"Биология",5,9,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»","призёр",2014,2015,"Математика",4,11,"Московская олимпиада"
"ГБОУ «Школа-интернат «Интеллектуал»","победитель",2014,2015,"Химия",4,10,"Районная олимпиада"
"ГБОУ ЦО № 57","победитель",2015,2016,"Русский язык",4,9,"Районная олимпиада"
