"OlympiadType","Subject","ShortName","Class","Year_end","Status","Year_begin","TeamSize"
"Московская олимпиада","Изобразительное искусство","ГБОУ гимназия № 1637",5,2015,"призёр",2014,5
"Всероссийская олимпиада","Экономика","ГБОУ школа № 57",11,2017,"призёр",2016,4
"Московская олимпиада","Химия","ГБОУ лицей № 1568",9,2016,"призёр",2015,3
"Всероссийская олимпиада","Иностранный язык (немецкий язык)","ГБОУ школа № 1953 «Москва-98»",10,2018,"призёр",2017,5
"Всероссийская олимпиада","Литература","ГБОУ школа № 1270",10,2018,"призёр",2017,5
"Всероссийская олимпиада","Обществознание","ГБОУ гимназия № 1520 им. Капцовых",11,2017,"призёр",2016,3
"Всероссийская олимпиада","Физика","ГБПОУ «Воробьевы горы»",9,2018,"призёр",2017,5
"Московская олимпиада","Биология","ГБОУ школа № 1571",8,2019,"победитель",2018,3
"Всероссийская олимпиада","Физическая культура","ГБОУ СОШ № 660",10,2013,"призёр",2012,5
"Всероссийская олимпиада","Экономика","ГБОУ школа № 2086",11,2019,"призёр",2018,5
"Всероссийская олимпиада","Информатика","ГАОУ ВО МИОО. СОШ № 179",11,2014,"призёр",2013,5
"Всероссийская олимпиада","Русский язык","ФГБОУ ВО МГЛУ",11,2017,"призёр",2016,4
"Районная олимпиада","Физика","ГБОУ школа № 1580",9,2019,"призёр",2018,4
"Всероссийская олимпиада","Литература","ГБОУ школа № 962",9,2020,"призёр",2019,4
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1373",10,2015,"призёр",2014,5
"Московская олимпиада","предпринимательство","ГБОУ СОШ № 240",9,2013,"призёр",2012,4
"Всероссийская олимпиада","История","ГБОУ гимназия № 1569",11,2013,"призёр",2012,4
"Всероссийская олимпиада","Русский язык","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,2017,"призёр",2016,3
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 109",11,2015,"призёр",2014,4
"Московская олимпиада","филология","ГАОУ «Гимназия № 1518»",5,2016,"призёр",2015,3
"Московская олимпиада","Математика","ГБОУ гимназия № 1514",6,2013,"призёр",2012,3
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ФГКОУ «МСВУ МО РФ»",10,2015,"призёр",2014,3
"Московская олимпиада","Математика","ГБОУ Физматшкола № 2007",8,2017,"призёр",2016,3
"Всероссийская олимпиада","Экономика","ГБОУ школа № 57",9,2018,"призёр",2017,3
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1253",10,2017,"призёр",2016,3
"Всероссийская олимпиада","Биология","ГБОУ школа № 1505",9,2019,"призёр",2018,5
"Районная олимпиада","Химия","ГБОУ ЦО № 218",11,2014,"призёр",2013,5
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1411",9,2018,"призёр",2017,5
"Всероссийская олимпиада","Математика","ГБОУ Московская гимназия на Юго-Западе № 1543",9,2014,"призёр",2013,5
"Районная олимпиада","Экономика","ГБОУ школа № 179",11,2018,"победитель",2017,4
"Всероссийская олимпиада","История","ГБОУ СОШ № 556",11,2015,"призёр",2014,4
"Московская олимпиада","Химия","ГБОУ школа № 218",8,2019,"призёр",2018,3
"Всероссийская олимпиада","Право","ГБОУ школа № 1553 имени В.И. Вернадского",9,2019,"призёр",2018,5
"Всероссийская олимпиада","Иностранный язык (английский язык)","лицей НИУ ВШЭ",10,2019,"призёр",2018,4
"Всероссийская олимпиада","Право","ГБОУ школа № 1554",10,2019,"победитель",2018,5
"Всероссийская олимпиада","Обществознание","ГБОУ ЦО № 218",11,2013,"призёр",2012,4
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1034",6,2015,"призёр",2014,5
"Всероссийская олимпиада","Математика","ГАОУ ВО МИОО. СОШ № 179",11,2015,"призёр",2014,5
"Районная олимпиада","Обществознание","ГБОУ школа № 771",11,2017,"призёр",2016,5
"Московская олимпиада","лингвистика","ГБОУ «Лицей «Вторая школа»",8,2019,"победитель",2018,5
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора",9,2020,"призёр",2019,3
"Всероссийская олимпиада","Физика","ГБОУ школа № 1021",9,2016,"призёр",2015,3
"Всероссийская олимпиада","Экономика","ГБОУ школа № 315",11,2018,"победитель",2017,3
"Всероссийская олимпиада","Право","ГБОУ гимназия № 1514",9,2016,"призёр",2015,3
"Районная олимпиада","Русский язык","ГБОУ школа № 1252",9,2019,"призёр",2018,4
"Районная олимпиада","Биология","СУНЦ МГУ",11,2017,"призёр",2016,3
"Московская олимпиада","Изобразительное искусство","МАОУ «Гимназия имени Н.В. Пушкова»",7,2014,"призёр",2013,5
"Всероссийская олимпиада","Иностранный язык (немецкий язык)","ГБОУ школа № 1269",11,2016,"призёр",2015,5
"Районная олимпиада","Биология","НОУ образовательный центр Солнечный ветер",10,2016,"победитель",2015,3
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 2097",10,2018,"призёр",2017,3
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 37",11,2020,"призёр",2019,4
"Районная олимпиада","Право","ГБОУ Шуваловская школа № 1448",10,2018,"победитель",2017,4
"Московская олимпиада","Математика","ГБОУ Московская гимназия на Юго-Западе № 1543",10,2013,"призёр",2012,3
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 2109",9,2018,"призёр",2017,4
"Всероссийская олимпиада","Информатика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,2020,"победитель",2019,4
"Районная олимпиада","Обществознание","ГБОУ лицей № 1575",10,2017,"призёр",2016,4
"Московская олимпиада","предпринимательство","ГБОУ СОШ № 1361",5,2013,"победитель",2012,3
"Районная олимпиада","Обществознание","ГБОУ школа № 1363",11,2015,"призёр",2014,4
"Московская олимпиада","Математика","ГБОУ Физматшкола № 2007",7,2017,"призёр",2016,4
"Всероссийская олимпиада","Литература","ГБОУ школа № 1374",9,2019,"призёр",2018,5
"Всероссийская олимпиада","Иностранный язык (английский язык)","лицей НИУ ВШЭ",11,2019,"призёр",2018,3
"Всероссийская олимпиада","Информатика","ГБОУ Физматшкола № 2007",9,2017,"призёр",2016,4
"Московская олимпиада","Изобразительное искусство","ГБОУ лицей № 138",9,2016,"призёр",2015,4
"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 2000",9,2017,"призёр",2016,4
"Московская олимпиада","Химия","ГБОУ школа № 1574",11,2018,"призёр",2017,4
"Всероссийская олимпиада","Литература","ГБОУ школа № 1208",10,2020,"призёр",2019,4
"Всероссийская олимпиада","Литература","ГБОУ Московская гимназия на Юго-Западе № 1543",9,2017,"призёр",2016,3
"Московская олимпиада","Математика","ГБОУ школа № 1329",10,2019,"призёр",2018,3
"Московская олимпиада","Экономика","ГБОУ ЦО № 1239",4,2014,"призёр",2013,5
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ «Школа-интернат «Интеллектуал»",9,2016,"призёр",2015,5
"Всероссийская олимпиада","Экономика","ГБОУ школа № 1557",11,2020,"призёр",2019,3
"Всероссийская олимпиада","Литература","ГБОУ школа № 444",9,2018,"призёр",2017,5
"Районная олимпиада","Обществознание","НИУ ВШЭ. лицей",10,2018,"призёр",2017,4
"Всероссийская олимпиада","Биология","СУНЦ МГУ",10,2019,"призёр",2018,5
"Московская олимпиада","Обществознание","ГБОУ школа № 1383",8,2018,"призёр",2017,3
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ Государственная столичная гимназия",9,2015,"призёр",2014,3
"Всероссийская олимпиада","География","ГБОУ школа № 1534 «Академическая»",11,2020,"призёр",2019,4
"Московская олимпиада","Математика","ГБОУ Физматшкола № 2007",10,2017,"призёр",2016,5
"Всероссийская олимпиада","Биология","ГБОУ гимназия № 1567",11,2013,"призёр",2012,3
"Всероссийская олимпиада","Биология","ГБОУ школа № 1543",9,2019,"призёр",2018,4
"Районная олимпиада","Физика","ГБОУ лицей № 1580",9,2014,"призёр",2013,4
"Московская олимпиада","Информатика","ГБОУ школа № 534",11,2019,"призёр",2018,4
"Всероссийская олимпиада","Математика","ГАОУ ВО МИОО. СОШ № 179",11,2014,"призёр",2013,4
"Московская олимпиада","Экономика","ГБОУ гимназия № 1514",11,2016,"призёр",2015,4
"Районная олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 641 имени С. Есенина",11,2019,"призёр",2018,5
"Всероссийская олимпиада","История","ГБОУ «Московская международная школа»",10,2019,"призёр",2018,3
"Районная олимпиада","Иностранный язык (французский язык)","ГБОУ школа имени Маршала В.И. Чуйкова",10,2020,"призёр",2019,4
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1905",11,2017,"призёр",2016,5
"Московская олимпиада","История","ГБОУ «Школа № 597 «Новое Поколение»",6,2019,"призёр",2018,3
"Районная олимпиада","Технология","ГБОУ школа № 618",9,2019,"призёр",2018,5
"Всероссийская олимпиада","Биология","ГАОУ ВО МИОО. СОШ № 179",11,2016,"призёр",2015,3
"Районная олимпиада","Физика","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",10,2018,"призёр",2017,3
"Московская олимпиада","Биология","ГБОУ лицей № 1571",8,2017,"призёр",2016,4
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 49",9,2016,"призёр",2015,4
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1352",9,2017,"призёр",2016,3
"Московская олимпиада","Изобразительное искусство","ГБОУ СОШ № 2006",3,2014,"победитель",2013,5
"Московская олимпиада","Физика","ГБОУ школа № 57",8,2018,"призёр",2017,5
"Московская олимпиада","Технология","ГБОУ СОШ № 2030",5,2015,"призёр",2014,5
"Всероссийская олимпиада","Иностранный язык (испанский язык)","ГБОУ школа № 1329",10,2019,"призёр",2018,5
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1925",9,2018,"призёр",2017,4
"Всероссийская олимпиада","Физика","ГБОУ лицей «Вторая школа»",9,2017,"призёр",2016,4
"Московская олимпиада","Физика","ГБОУ гимназия № 1514",11,2013,"призёр",2012,5
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 953",10,2020,"победитель",2019,5
"Всероссийская олимпиада","Литература","ГБОУ школа № 1543",10,2018,"победитель",2017,4
"Московская олимпиада","История","ГБОУ СОШ № 149",8,2014,"призёр",2013,5
"Районная олимпиада","Биология","ГБОУ ЦО № 218",11,2013,"призёр",2012,5
"Всероссийская олимпиада","Информатика","ГАОУ ВО МИОО. СОШ № 179",10,2016,"призёр",2015,4
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа «Покровский квартал»",11,2019,"призёр",2018,4
"Всероссийская олимпиада","Экология","ГБОУ школа № 1253",11,2016,"победитель",2015,5
"Московская олимпиада","География","ГБОУ лицей «Вторая школа»",8,2018,"победитель",2017,3
"Всероссийская олимпиада","Математика","ГБОУ школа № 1543",10,2019,"призёр",2018,4
"Всероссийская олимпиада","Физика","ГБОУ гимназия № 1514",10,2016,"призёр",2015,5
"Всероссийская олимпиада","История","ГБОУ школа № 1210",11,2016,"призёр",2015,3
"Районная олимпиада","Биология","ГБОУ ЦО № 57",9,2015,"призёр",2014,4
"Всероссийская олимпиада","Обществознание","ГБОУ «Школа Глория»",10,2019,"призёр",2018,4
"Московская олимпиада","Изобразительное искусство","ГБОУ СОШ № 931",5,2014,"призёр",2013,5
"Московская олимпиада","История","ГБОУ гимназия № 201 ордена Трудового Красного Знамени им. Героев Советского Союза З. и А. Космодемьянских",6,2014,"призёр",2013,3
"Московская олимпиада","Физика","ГБОУ лицей № 1580",9,2018,"призёр",2017,5
"Всероссийская олимпиада","Экономика","ГБОУ СОШ № 25",10,2014,"призёр",2013,4
"Всероссийская олимпиада","Обществознание","лицей НИУ ВШЭ",11,2019,"призёр",2018,4
"Районная олимпиада","Иностранный язык (немецкий язык)","ГБОУ школа № 1231",11,2019,"победитель",2018,5
"Всероссийская олимпиада","Право","ГБОУ школа № 15",11,2013,"призёр",2012,3
"Районная олимпиада","Физика","ГБОУ лицей № 1581",9,2015,"призёр",2014,4
"Московская олимпиада","Информатика","ГБОУ «Лицей «Вторая школа»",9,2019,"призёр",2018,4
"Всероссийская олимпиада","Математика","ГБОУ лицей «Вторая школа»",10,2017,"призёр",2016,4
"Всероссийская олимпиада","Информатика","ГАОУ ВО МИОО. СОШ № 179",11,2017,"победитель",2016,5
"Районная олимпиада","Право","НИУ ВШЭ. лицей",11,2017,"призёр",2016,5
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1793",9,2018,"призёр",2017,3
"Всероссийская олимпиада","Математика","ГБОУ «Лицей «Вторая школа»",9,2020,"призёр",2019,5
"Всероссийская олимпиада","Химия","ГБОУ школа имени Маршала В.И. Чуйкова",9,2020,"призёр",2019,4
"Всероссийская олимпиада","Информатика","ГБОУ школа № 1329",7,2020,"призёр",2019,4
"Московская олимпиада","История","ГБОУ школа № 1238",9,2016,"призёр",2015,5
"Московская олимпиада","филология","ГБОУ школа № 1374",7,2017,"призёр",2016,4
"Московская олимпиада","Химия","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,2014,"призёр",2013,3
"Всероссийская олимпиада","Технология","ГБОУ школа № 1540",11,2020,"призёр",2019,3
"Районная олимпиада","Физика","ГБОУ лицей № 1580",10,2015,"победитель",2014,5
"Всероссийская олимпиада","Право","ГБОУ школа № 1507",10,2018,"призёр",2017,3
"Всероссийская олимпиада","Литература","ГБОУ «Гимназия № 1528»",11,2015,"призёр",2014,4
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 2089",10,2016,"призёр",2015,5
"Всероссийская олимпиада","Обществознание","университетская гимназия",10,2019,"призёр",2018,3
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ Петровский кадетский корпус",10,2017,"призёр",2016,3
"Московская олимпиада","Биология","ГБОУ школа № 1194",8,2016,"призёр",2015,4
"Московская олимпиада","Физика","ОАНО «Школа «ЛЕТОВО»",7,2019,"призёр",2018,4
"Московская олимпиада","Информатика","ГБОУ школа № 179",11,2019,"победитель",2018,5
"Московская олимпиада","филология","ГБОУ лицей № 1568",7,2014,"призёр",2013,5
"Всероссийская олимпиада","Обществознание","ГБОУ гимназия № 1520 им. Капцовых",11,2016,"призёр",2015,5
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1573",9,2019,"призёр",2018,5
"Московская олимпиада","Химия","ГБОУ школа № 1252",8,2018,"призёр",2017,3
"Всероссийская олимпиада","Русский язык","ГБОУ «Московская международная школа»",10,2020,"призёр",2019,3
"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ школа № 1286",10,2019,"призёр",2018,3
"Всероссийская олимпиада","География","ГБОУ СОШ № 499",11,2014,"призёр",2013,4
"Всероссийская олимпиада","Обществознание","ГБОУ гимназия № 1551",10,2013,"победитель",2012,4
"Всероссийская олимпиада","История","ГБОУ гимназия № 710 им. Народного учителя СССР В.К. Жудова",11,2016,"призёр",2015,4
"Районная олимпиада","История","ГБОУ школа № 1492",9,2015,"призёр",2014,4
"Московская олимпиада","Бюджетная грамотность","ГБОУ школа № 1554",6,2019,"призёр",2018,5
"Всероссийская олимпиада","История","ГБОУ школа № 218",11,2017,"призёр",2016,4
"Московская олимпиада","Право","ГБОУ лицей № 1560",11,2017,"призёр",2016,5
"Московская олимпиада","Технология","ГБОУ СОШ № 99",8,2014,"победитель",2013,5
"Всероссийская олимпиада","История","ГБОУ школа «Тропарево»",11,2019,"призёр",2018,3
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1955",6,2017,"победитель",2016,5
"Районная олимпиада","Иностранный язык (немецкий язык)","ГБОУ гимназия № 1527",9,2014,"призёр",2013,5
"Районная олимпиада","История","ГБОУ школа-интернат «Интеллектуал»",10,2014,"призёр",2013,3
"Районная олимпиада","Иностранный язык (английский язык)","НИУ ВШЭ. лицей",11,2016,"призёр",2015,5
"Всероссийская олимпиада","История","ГБОУ школа № 91",11,2018,"призёр",2017,5
"Всероссийская олимпиада","Иностранный язык (французский язык)","лицей НИУ ВШЭ",10,2019,"призёр",2018,5
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 648",11,2019,"призёр",2018,3
"Московская олимпиада","Математика","ГБОУ лицей № 1795",6,2016,"призёр",2015,5
"Районная олимпиада","Физика","ГБОУ лицей «Вторая школа»",10,2017,"призёр",2016,3
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1293",11,2019,"победитель",2018,3
"Районная олимпиада","Иностранный язык (английский язык)","ГБОУ ЦО № 1409",11,2013,"призёр",2012,3
"Московская олимпиада","филология","ГБОУ школа № 2089",9,2018,"призёр",2017,4
"Московская олимпиада","Изобразительное искусство","ГБОУ СОШ № 799",5,2014,"призёр",2013,3
"Районная олимпиада","Право","лицей НИУ ВШЭ",11,2019,"призёр",2018,4
"Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 2086",10,2018,"призёр",2017,3
"Районная олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 630",11,2019,"призёр",2018,5
"Всероссийская олимпиада","Информатика","МАОУ «Лицей города Троицка»",9,2017,"призёр",2016,5
"Районная олимпиада","Технология","ГБПОУ КДПИ им. Карла Фаберже",2,2020,"призёр",2019,5
