"housing","existing_credits","duration","credit_amount","age","personal_status","purpose","credit_history","type"
"домовладелец",1,49,2521,27,"женщина","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,23,2139,31,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"арендатор",1,24,4311,22,"женщина","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",2,27,1168,33,"мужчина (разведенный)","бизнес","есть просрочки платежей","надежный"
"арендатор",1,20,3373,24,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","ненадежный"
"арендатор",2,11,2654,30,"мужчина (одинокий)","новая машина","есть просрочки платежей","надежный"
"арендатор",1,23,485,23,"женщина","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",2,13,820,41,"мужчина (одинокий)","образование","есть просрочки платежей","надежный"
"без жилья",2,36,9204,35,"женщина","бизнес","не было кредитов","ненадежный"
"арендатор",1,21,3386,22,"мужчина (женатый или вдовец)","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",1,12,3755,30,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",2,39,2588,30,"женщина","образование","есть просрочки платежей","надежный"
"домовладелец",2,12,2555,27,"женщина","новая машина","не было кредитов","ненадежный"
"домовладелец",2,43,3774,29,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,30,1967,41,"женщина","новая машина","есть непогашенные кредиты","ненадежный"
"арендатор",1,16,1195,25,"женщина","бизнес","есть непогашенные кредиты","надежный"
"домовладелец",2,11,2519,37,"мужчина (одинокий)","подержанная машина","есть просрочки платежей","надежный"
"домовладелец",1,59,4557,32,"женщина","мебель","есть непогашенные кредиты","ненадежный"
"арендатор",1,17,1678,47,"мужчина (одинокий)","образование","есть непогашенные кредиты","надежный"
"арендатор",1,38,3036,33,"мужчина (одинокий)","ремонт жилья","есть непогашенные кредиты","ненадежный"
"домовладелец",1,6,1619,49,"женщина","образование","есть непогашенные кредиты","надежный"
"домовладелец",1,32,3141,45,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"арендатор",1,4,2187,28,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",2,18,1640,64,"женщина","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",2,8,1511,34,"женщина","бизнес","есть просрочки платежей","надежный"
"домовладелец",1,51,6255,32,"женщина","мебель","есть просрочки платежей","ненадежный"
"домовладелец",1,10,2682,36,"мужчина (одинокий)","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",1,50,9977,32,"женщина","подержанная машина","есть непогашенные кредиты","надежный"
"арендатор",1,59,8133,30,"женщина","бизнес","все кредиты погашены","ненадежный"
"домовладелец",1,24,3901,39,"женщина","мебель","есть непогашенные кредиты","надежный"
"домовладелец",2,20,1150,22,"женщина","бизнес","есть просрочки платежей","надежный"
"домовладелец",1,24,2392,25,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,60,9875,32,"женщина","бытовая техника","есть непогашенные кредиты","ненадежный"
"арендатор",1,8,2606,45,"женщина","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,36,3043,67,"мужчина (одинокий)","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",1,8,748,25,"женщина","бизнес","все кредиты погашены","ненадежный"
"арендатор",2,16,2224,22,"женщина","мебель","есть просрочки платежей","ненадежный"
"домовладелец",1,26,2662,21,"мужчина (одинокий)","мебель","есть непогашенные кредиты","ненадежный"
"домовладелец",2,22,7249,42,"мужчина (одинокий)","новая машина","все кредиты погашены","ненадежный"
"без жилья",1,34,2533,37,"мужчина (одинокий)","подержанная машина","есть непогашенные кредиты","надежный"
"арендатор",1,19,4266,21,"женщина","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",2,13,2564,33,"мужчина (одинокий)","мебель","не было кредитов","надежный"
"домовладелец",1,19,1143,25,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",1,19,1006,21,"женщина","другое","есть непогашенные кредиты","ненадежный"
"без жилья",3,13,2585,50,"женщина","образование","есть просрочки платежей","надежный"
"домовладелец",1,10,20639,26,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","ненадежный"
"домовладелец",2,5,6751,35,"мужчина (одинокий)","новая машина","есть просрочки платежей","надежный"
"домовладелец",2,28,9128,42,"мужчина (одинокий)","бизнес","есть непогашенные кредиты","надежный"
"домовладелец",1,24,1758,25,"женщина","ремонт жилья","есть непогашенные кредиты","ненадежный"
"домовладелец",1,30,2888,20,"мужчина (одинокий)","мебель","все кредиты погашены","надежный"
"домовладелец",2,24,2844,35,"мужчина (одинокий)","мебель","есть просрочки платежей","надежный"
"арендатор",1,8,523,27,"женщина","образование","все кредиты погашены","ненадежный"
"арендатор",1,11,1445,23,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,16,4149,28,"женщина","мебель","есть просрочки платежей","ненадежный"
"домовладелец",1,35,9455,35,"мужчина (одинокий)","подержанная машина","есть просрочки платежей","надежный"
"арендатор",1,7,2049,29,"мужчина (одинокий)","мебель","есть непогашенные кредиты","ненадежный"
"арендатор",2,11,2842,23,"женщина","мебель","есть просрочки платежей","надежный"
"домовладелец",1,8,1246,41,"мужчина (одинокий)","бизнес","есть непогашенные кредиты","надежный"
"домовладелец",1,29,2364,40,"мужчина (одинокий)","мебель","есть непогашенные кредиты","ненадежный"
"домовладелец",2,12,6640,25,"мужчина (женатый или вдовец)","подержанная машина","не было кредитов","надежный"
"домовладелец",1,10,4405,39,"мужчина (одинокий)","мебель","есть просрочки платежей","надежный"
"домовладелец",1,17,956,33,"женщина","бытовая техника","есть просрочки платежей","ненадежный"
"домовладелец",1,49,2678,32,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"без жилья",1,33,2830,56,"мужчина (одинокий)","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",1,9,2830,32,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,18,3354,31,"мужчина (одинокий)","мебель","все кредиты погашены","надежный"
"домовладелец",2,10,4045,23,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"арендатор",2,16,2699,26,"женщина","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",1,28,1897,28,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",1,11,1774,27,"женщина","мебель","есть непогашенные кредиты","ненадежный"
"арендатор",2,13,2639,43,"мужчина (одинокий)","новая машина","есть просрочки платежей","надежный"
"домовладелец",2,21,3163,27,"женщина","мебель","есть просрочки платежей","надежный"
"арендатор",1,8,1547,36,"женщина","мебель","есть просрочки платежей","надежный"
"домовладелец",1,13,1012,36,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",1,33,5812,27,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,18,3632,25,"женщина","бытовая техника","есть просрочки платежей","надежный"
"без жилья",1,13,12828,26,"мужчина (одинокий)","новая машина","есть просрочки платежей","ненадежный"
"домовладелец",2,13,632,34,"мужчина (одинокий)","новая машина","есть просрочки платежей","ненадежный"
"арендатор",1,16,10225,25,"женщина","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",1,5,2057,33,"мужчина (одинокий)","новая машина","все кредиты погашены","ненадежный"
"домовладелец",1,9,16198,73,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","ненадежный"
"домовладелец",3,6,1306,32,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,23,1560,36,"мужчина (женатый или вдовец)","бизнес","есть непогашенные кредиты","надежный"
"без жилья",2,22,15051,38,"мужчина (одинокий)","подержанная машина","есть просрочки платежей","надежный"
"домовладелец",2,23,1682,27,"мужчина (разведенный)","бизнес","есть просрочки платежей","ненадежный"
"без жилья",1,8,3750,54,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",2,20,1174,40,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","ненадежный"
"без жилья",1,94,18443,61,"мужчина (одинокий)","новая машина","есть просрочки платежей","надежный"
"арендатор",2,5,1428,26,"мужчина (женатый или вдовец)","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,19,1542,27,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,11,1611,28,"женщина","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",2,14,2025,59,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","надежный"
"арендатор",2,9,2181,27,"женщина","мебель","есть просрочки платежей","надежный"
"домовладелец",2,16,4793,32,"мужчина (одинокий)","образование","есть просрочки платежей","надежный"
"домовладелец",1,27,1912,32,"мужчина (одинокий)","другое","все кредиты погашены","ненадежный"
"домовладелец",1,17,925,33,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","надежный"
"арендатор",1,12,2999,32,"женщина","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",2,6,1004,50,"мужчина (одинокий)","новая машина","есть просрочки платежей","надежный"
"без жилья",1,12,10237,71,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",1,35,2791,31,"мужчина (одинокий)","новая машина","все кредиты погашены","надежный"
"домовладелец",2,37,8652,65,"мужчина (одинокий)","подержанная машина","есть просрочки платежей","надежный"
"домовладелец",1,35,1588,35,"мужчина (женатый или вдовец)","новая машина","есть непогашенные кредиты","надежный"
"арендатор",1,21,7162,24,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",2,14,1867,55,"мужчина (одинокий)","ремонт жилья","есть просрочки платежей","надежный"
"арендатор",2,24,3677,58,"мужчина (разведенный)","бизнес","есть непогашенные кредиты","ненадежный"
"домовладелец",1,22,953,30,"женщина","новая машина","есть непогашенные кредиты","ненадежный"
"без жилья",2,29,1898,33,"мужчина (одинокий)","новая машина","все кредиты погашены","ненадежный"
"без жилья",1,29,1386,60,"мужчина (одинокий)","образование","есть непогашенные кредиты","надежный"
"домовладелец",1,10,3963,27,"мужчина (одинокий)","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",1,3,3444,87,"мужчина (одинокий)","бизнес","есть непогашенные кредиты","надежный"
"арендатор",2,25,3004,29,"женщина","новая машина","есть непогашенные кредиты","ненадежный"
"домовладелец",1,12,1501,27,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","ненадежный"
"арендатор",1,19,2428,28,"женщина","мебель","есть непогашенные кредиты","надежный"
"арендатор",1,15,1696,31,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",1,37,3585,23,"женщина","новая машина","есть непогашенные кредиты","ненадежный"
"арендатор",1,23,1240,18,"женщина","новая машина","есть непогашенные кредиты","ненадежный"
"домовладелец",2,25,4803,39,"мужчина (одинокий)","подержанная машина","есть просрочки платежей","надежный"
"без жилья",1,4,1421,30,"женщина","образование","все кредиты погашены","ненадежный"
"домовладелец",2,32,4218,61,"мужчина (одинокий)","подержанная машина","есть просрочки платежей","надежный"
"домовладелец",3,9,1244,49,"женщина","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,14,4619,27,"мужчина (одинокий)","бизнес","есть непогашенные кредиты","надежный"
"домовладелец",2,18,2249,27,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","надежный"
"арендатор",1,9,1596,23,"женщина","мебель","есть непогашенные кредиты","надежный"
"домовладелец",2,28,1584,33,"мужчина (одинокий)","новая машина","есть просрочки платежей","ненадежный"
"без жилья",1,11,1826,28,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","ненадежный"
"арендатор",1,36,3446,37,"мужчина (разведенный)","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",3,9,3172,32,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","надежный"
"арендатор",1,17,1530,27,"мужчина (одинокий)","бытовая техника","все кредиты погашены","ненадежный"
"арендатор",1,29,3141,29,"женщина","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",1,9,743,21,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",2,44,12589,22,"мужчина (одинокий)","подержанная машина","есть просрочки платежей","ненадежный"
"арендатор",1,18,4216,20,"женщина","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",2,6,1892,28,"женщина","образование","есть просрочки платежей","ненадежный"
"домовладелец",1,11,1106,47,"женщина","образование","есть непогашенные кредиты","ненадежный"
"без жилья",1,64,4539,54,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","ненадежный"
"домовладелец",1,28,2789,57,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"арендатор",1,12,740,21,"женщина","мебель","есть непогашенные кредиты","надежный"
"арендатор",2,8,639,53,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,56,9346,31,"женщина","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",1,42,24867,32,"женщина","другое","не было кредитов","ненадежный"
"домовладелец",1,11,1054,49,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",2,14,2004,35,"мужчина (одинокий)","мебель","есть просрочки платежей","ненадежный"
"домовладелец",1,13,1475,23,"мужчина (одинокий)","другое","есть просрочки платежей","надежный"
"домовладелец",1,8,1829,59,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",2,28,7298,24,"мужчина (одинокий)","другое","есть просрочки платежей","надежный"
"домовладелец",1,14,4139,24,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","надежный"
"арендатор",1,22,1074,18,"женщина","мебель","есть просрочки платежей","надежный"
"домовладелец",1,12,2396,34,"женщина","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",2,24,8257,38,"мужчина (одинокий)","бизнес","есть просрочки платежей","надежный"
"без жилья",1,32,1110,40,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","ненадежный"
"арендатор",1,17,2615,20,"женщина","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,16,1467,25,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"арендатор",2,38,5419,22,"мужчина (одинокий)","мебель","есть просрочки платежей","надежный"
"домовладелец",1,22,1774,47,"женщина","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",2,5,8167,40,"мужчина (одинокий)","новая машина","есть просрочки платежей","надежный"
"арендатор",1,30,3266,26,"мужчина (разведенный)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",2,11,1139,27,"мужчина (одинокий)","новая машина","есть просрочки платежей","надежный"
"домовладелец",2,8,1518,27,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,38,2315,28,"женщина","новая машина","есть непогашенные кредиты","ненадежный"
"без жилья",1,91,7092,40,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",2,10,1603,31,"женщина","новая машина","есть просрочки платежей","надежный"
"домовладелец",1,14,3712,27,"женщина","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,7,1643,25,"женщина","новая машина","есть непогашенные кредиты","надежный"
"арендатор",1,26,911,18,"женщина","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,42,3309,23,"мужчина (одинокий)","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",2,13,1121,30,"женщина","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,13,1998,50,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",1,13,3056,55,"мужчина (одинокий)","образование","есть просрочки платежей","надежный"
"арендатор",1,11,1286,43,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",1,36,4373,25,"мужчина (разведенный)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,14,1350,21,"мужчина (разведенный)","бытовая техника","есть непогашенные кредиты","надежный"
"без жилья",1,35,11967,66,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","ненадежный"
"домовладелец",2,38,1319,32,"мужчина (одинокий)","новая машина","есть просрочки платежей","ненадежный"
"домовладелец",1,19,2743,39,"мужчина (разведенный)","новая машина","есть просрочки платежей","надежный"
"домовладелец",1,43,2460,44,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"арендатор",2,61,7134,19,"женщина","мебель","есть просрочки платежей","ненадежный"
"домовладелец",1,44,9499,55,"женщина","подержанная машина","все кредиты погашены","ненадежный"
"домовладелец",1,12,1013,39,"мужчина (женатый или вдовец)","бытовая техника","есть просрочки платежей","ненадежный"
"домовладелец",1,17,1644,22,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"арендатор",1,35,4182,25,"женщина","бытовая техника","есть просрочки платежей","надежный"
"без жилья",3,26,6276,53,"мужчина (женатый или вдовец)","бытовая техника","есть просрочки платежей","надежный"
"арендатор",1,41,2284,20,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"арендатор",1,14,3080,18,"женщина","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,25,5355,30,"женщина","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",2,44,14046,30,"женщина","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,23,2857,28,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,9,1861,22,"женщина","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",2,25,5324,34,"мужчина (одинокий)","мебель","есть просрочки платежей","надежный"
"домовладелец",1,84,13708,45,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",1,9,533,29,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","надежный"
"без жилья",2,14,4669,36,"мужчина (одинокий)","ремонт жилья","есть просрочки платежей","надежный"
"домовладелец",1,29,846,30,"женщина","образование","есть непогашенные кредиты","ненадежный"
"домовладелец",1,30,3106,38,"мужчина (одинокий)","мебель","есть непогашенные кредиты","ненадежный"
"домовладелец",1,30,1972,32,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,18,1695,23,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",1,39,2423,23,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",1,7,1435,53,"мужчина (разведенный)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,13,723,67,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,48,3484,39,"мужчина (разведенный)","подержанная машина","есть непогашенные кредиты","надежный"
"арендатор",2,42,9329,25,"женщина","мебель","есть просрочки платежей","ненадежный"
"домовладелец",2,24,3469,21,"женщина","мебель","есть просрочки платежей","надежный"
"без жилья",2,35,5808,22,"женщина","образование","есть просрочки платежей","надежный"
"домовладелец",2,28,3427,32,"мужчина (одинокий)","бизнес","есть просрочки платежей","надежный"
"домовладелец",1,13,4537,22,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",3,9,2030,56,"мужчина (одинокий)","образование","есть непогашенные кредиты","надежный"
"арендатор",1,22,4478,29,"мужчина (одинокий)","бизнес","все кредиты погашены","ненадежный"
"домовладелец",1,13,2017,31,"женщина","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,70,7442,26,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","ненадежный"
"домовладелец",1,14,2611,27,"мужчина (одинокий)","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",2,6,1317,28,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,25,5121,32,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,45,8785,30,"мужчина (одинокий)","образование","есть просрочки платежей","ненадежный"
"домовладелец",1,16,4681,25,"женщина","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,38,3338,28,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"арендатор",2,17,1716,24,"женщина","новая машина","не было кредитов","ненадежный"
"домовладелец",1,19,1958,27,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,5,2571,25,"мужчина (женатый или вдовец)","новая машина","есть просрочки платежей","надежный"
"домовладелец",1,29,2237,30,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",2,39,7448,32,"мужчина (женатый или вдовец)","новая машина","есть просрочки платежей","ненадежный"
"домовладелец",1,34,4967,26,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,15,3513,57,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,35,2269,21,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"арендатор",1,27,2101,28,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,11,2474,29,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,19,2802,21,"женщина","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",1,10,804,30,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","ненадежный"
"домовладелец",2,9,2472,68,"мужчина (одинокий)","мебель","есть просрочки платежей","ненадежный"
"домовладелец",2,16,1363,40,"мужчина (одинокий)","новая машина","есть просрочки платежей","надежный"
"домовладелец",2,47,4662,33,"женщина","бизнес","не было кредитов","надежный"
"домовладелец",1,36,7622,29,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",2,45,6613,25,"женщина","новая машина","есть просрочки платежей","ненадежный"
"арендатор",1,56,12188,30,"мужчина (одинокий)","мебель","есть непогашенные кредиты","ненадежный"
"домовладелец",1,7,2950,31,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,20,2480,32,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"арендатор",1,72,6347,33,"мужчина (одинокий)","бизнес","есть непогашенные кредиты","ненадежный"
"домовладелец",1,9,758,30,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","ненадежный"
"домовладелец",1,4,1122,32,"женщина","новая машина","все кредиты погашены","ненадежный"
"домовладелец",2,15,1052,36,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","надежный"
"арендатор",1,12,3216,44,"женщина","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,26,1063,37,"мужчина (одинокий)","новая машина","есть просрочки платежей","ненадежный"
"домовладелец",2,13,1210,38,"мужчина (одинокий)","бытовая техника","не было кредитов","ненадежный"
"домовладелец",2,22,1531,38,"мужчина (женатый или вдовец)","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,34,3565,26,"женщина","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",2,21,10450,38,"мужчина (одинокий)","другое","есть просрочки платежей","ненадежный"
"домовладелец",2,13,1552,25,"мужчина (одинокий)","ремонт жилья","не было кредитов","ненадежный"
"домовладелец",1,25,2194,37,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
