"age","personal_status","housing","credit_history","credit_amount","purpose","type","duration","existing_credits"
36,"мужчина (одинокий)","домовладелец","есть просрочки платежей",843,"образование","надежный",10,2
41,"мужчина (одинокий)","без жилья","есть просрочки платежей",9308,"подержанная машина","надежный",34,3
36,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",2657,"новая машина","надежный",28,1
37,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2442,"бытовая техника","надежный",18,1
28,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",1524,"бытовая техника","надежный",19,2
29,"женщина","домовладелец","есть просрочки платежей",2079,"бытовая техника","надежный",27,2
41,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",6273,"подержанная машина","надежный",25,1
39,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2147,"бытовая техника","надежный",7,2
74,"женщина","домовладелец","есть непогашенные кредиты",625,"бытовая техника","надежный",4,1
32,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1907,"мебель","надежный",40,2
18,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",847,"бытовая техника","ненадежный",19,1
31,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",7552,"бытовая техника","ненадежный",50,2
57,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1068,"образование","надежный",5,2
18,"женщина","домовладелец","есть непогашенные кредиты",1339,"мебель","надежный",15,1
34,"женщина","арендатор","есть просрочки платежей",10366,"подержанная машина","надежный",30,1
47,"женщина","без жилья","есть непогашенные кредиты",3180,"мебель","надежный",15,1
24,"женщина","арендатор","есть непогашенные кредиты",3755,"бизнес","ненадежный",51,1
30,"мужчина (одинокий)","арендатор","все кредиты погашены",3439,"бизнес","ненадежный",24,1
32,"мужчина (разведенный)","домовладелец","есть просрочки платежей",1649,"бизнес","надежный",15,2
26,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3815,"новая машина","надежный",11,1
38,"мужчина (одинокий)","без жилья","все кредиты погашены",2056,"бытовая техника","надежный",29,1
57,"женщина","арендатор","есть просрочки платежей",1108,"бытовая техника","надежный",30,2
30,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",1624,"бытовая техника","надежный",18,1
47,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",6220,"образование","ненадежный",25,1
34,"женщина","домовладелец","есть непогашенные кредиты",10137,"подержанная машина","надежный",23,1
61,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",884,"бытовая техника","ненадежный",9,1
32,"мужчина (одинокий)","домовладелец","все кредиты погашены",7751,"новая машина","ненадежный",11,2
26,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",5757,"бытовая техника","надежный",37,1
20,"женщина","домовладелец","есть просрочки платежей",10925,"новая машина","ненадежный",28,2
39,"мужчина (женатый или вдовец)","арендатор","есть непогашенные кредиты",2010,"бытовая техника","надежный",15,1
50,"мужчина (разведенный)","без жилья","есть непогашенные кредиты",9311,"подержанная машина","надежный",23,1
34,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",4877,"мебель","надежный",10,1
38,"мужчина (одинокий)","арендатор","все кредиты погашены",8568,"подержанная машина","надежный",27,2
34,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",5539,"бытовая техника","ненадежный",37,1
30,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2959,"подержанная машина","надежный",11,1
64,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",9520,"подержанная машина","надежный",28,1
32,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2381,"подержанная машина","надежный",32,2
37,"женщина","домовладелец","есть просрочки платежей",1743,"новая машина","надежный",38,1
18,"женщина","арендатор","есть непогашенные кредиты",4756,"новая машина","надежный",15,1
22,"женщина","арендатор","есть непогашенные кредиты",15686,"подержанная машина","ненадежный",22,2
32,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2978,"бытовая техника","надежный",12,1
26,"женщина","домовладелец","есть непогашенные кредиты",4725,"подержанная машина","надежный",34,1
40,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3210,"новая машина","ненадежный",34,1
42,"мужчина (разведенный)","домовладелец","есть просрочки платежей",6382,"бизнес","надежный",58,2
59,"женщина","домовладелец","есть просрочки платежей",329,"новая машина","надежный",9,2
50,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",1573,"другое","надежный",5,1
26,"женщина","домовладелец","есть непогашенные кредиты",1629,"мебель","ненадежный",13,1
23,"мужчина (одинокий)","домовладелец","не было кредитов",17686,"бизнес","ненадежный",39,1
64,"женщина","без жилья","есть просрочки платежей",8146,"подержанная машина","ненадежный",31,2
26,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2667,"бытовая техника","надежный",26,2
36,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3208,"новая машина","ненадежный",41,1
59,"мужчина (одинокий)","арендатор","не было кредитов",20480,"бизнес","ненадежный",60,1
32,"женщина","домовладелец","есть непогашенные кредиты",1078,"другое","надежный",6,1
24,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",2368,"новая машина","надежный",19,1
18,"женщина","арендатор","есть непогашенные кредиты",2044,"мебель","ненадежный",26,1
56,"мужчина (одинокий)","домовладелец","есть просрочки платежей",938,"бытовая техника","надежный",7,2
32,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2143,"бытовая техника","надежный",10,1
30,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",2348,"образование","ненадежный",33,1
44,"мужчина (разведенный)","арендатор","есть просрочки платежей",3273,"мебель","ненадежный",6,1
27,"мужчина (одинокий)","без жилья","не было кредитов",3313,"бизнес","ненадежный",61,1
25,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",2960,"мебель","ненадежный",14,1
52,"женщина","арендатор","есть непогашенные кредиты",3222,"мебель","надежный",22,2
25,"женщина","домовладелец","есть непогашенные кредиты",5089,"мебель","надежный",15,1
25,"женщина","домовладелец","есть непогашенные кредиты",1792,"бытовая техника","ненадежный",13,1
25,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1136,"новая машина","надежный",13,2
40,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",1496,"бытовая техника","надежный",11,1
46,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2831,"мебель","надежный",16,1
27,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2774,"бытовая техника","надежный",47,1
40,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1193,"бытовая техника","надежный",15,2
48,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",3515,"подержанная машина","надежный",34,1
28,"женщина","домовладелец","есть непогашенные кредиты",14064,"новая машина","надежный",58,1
47,"мужчина (одинокий)","домовладелец","все кредиты погашены",2098,"бытовая техника","надежный",6,1
31,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",3942,"мебель","надежный",35,1
42,"женщина","без жилья","не было кредитов",8386,"бизнес","ненадежный",37,2
22,"женщина","домовладелец","есть непогашенные кредиты",4017,"бытовая техника","ненадежный",11,1
32,"мужчина (одинокий)","домовладелец","все кредиты погашены",5011,"мебель","надежный",30,1
33,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",3310,"бизнес","ненадежный",57,1
27,"женщина","арендатор","есть непогашенные кредиты",3265,"подержанная машина","надежный",6,1
30,"женщина","домовладелец","есть непогашенные кредиты",3681,"бизнес","надежный",44,1
29,"мужчина (разведенный)","домовладелец","есть просрочки платежей",2812,"новая машина","ненадежный",55,2
52,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1860,"подержанная машина","надежный",15,1
25,"женщина","арендатор","есть непогашенные кредиты",392,"бытовая техника","ненадежный",27,1
27,"женщина","домовладелец","есть непогашенные кредиты",1985,"новая машина","ненадежный",31,1
30,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1200,"новая машина","надежный",22,1
27,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2479,"бытовая техника","надежный",5,1
18,"женщина","арендатор","есть непогашенные кредиты",2981,"мебель","ненадежный",25,1
33,"мужчина (одинокий)","домовладелец","есть просрочки платежей",3008,"мебель","надежный",6,1
31,"мужчина (одинокий)","арендатор","есть просрочки платежей",3159,"мебель","надежный",12,3
32,"женщина","домовладелец","есть непогашенные кредиты",2178,"бытовая техника","надежный",9,1
56,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2112,"бытовая техника","надежный",15,2
25,"мужчина (одинокий)","домовладелец","есть просрочки платежей",11785,"мебель","надежный",60,2
22,"мужчина (одинокий)","арендатор","не было кредитов",5012,"мебель","ненадежный",32,2
29,"мужчина (разведенный)","домовладелец","есть просрочки платежей",2412,"бизнес","ненадежный",25,2
27,"женщина","домовладелец","есть непогашенные кредиты",1955,"ремонт жилья","ненадежный",30,1
30,"женщина","домовладелец","есть непогашенные кредиты",1296,"бытовая техника","надежный",22,1
35,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2185,"мебель","надежный",37,2
49,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",3563,"новая машина","надежный",14,1
52,"мужчина (одинокий)","домовладелец","есть просрочки платежей",8227,"новая машина","надежный",5,2
22,"женщина","домовладелец","есть просрочки платежей",996,"ремонт жилья","надежный",11,2
22,"женщина","домовладелец","все кредиты погашены",765,"бизнес","ненадежный",11,1
53,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",4050,"новая машина","надежный",18,1
28,"женщина","домовладелец","есть просрочки платежей",2638,"образование","ненадежный",25,2
30,"мужчина (женатый или вдовец)","арендатор","есть непогашенные кредиты",12348,"подержанная машина","ненадежный",42,1
56,"мужчина (одинокий)","без жилья","есть просрочки платежей",13743,"новая машина","надежный",61,1
35,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1312,"новая машина","ненадежный",22,2
22,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",2917,"мебель","надежный",35,1
20,"женщина","арендатор","есть непогашенные кредиты",2647,"мебель","ненадежный",29,1
22,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",451,"ремонт жилья","надежный",7,1
31,"мужчина (одинокий)","арендатор","не было кредитов",5062,"бытовая техника","ненадежный",19,2
47,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",1225,"бытовая техника","надежный",18,2
32,"женщина","арендатор","есть непогашенные кредиты",1392,"новая машина","надежный",12,1
25,"мужчина (одинокий)","домовладелец","есть просрочки платежей",3929,"бытовая техника","надежный",17,2
31,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",4219,"бытовая техника","надежный",16,1
57,"женщина","без жилья","есть просрочки платежей",1481,"ремонт жилья","ненадежный",24,3
31,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1436,"новая машина","надежный",15,1
50,"мужчина (разведенный)","домовладелец","все кредиты погашены",6969,"мебель","ненадежный",24,1
37,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",10976,"новая машина","ненадежный",21,1
34,"женщина","домовладелец","есть непогашенные кредиты",7143,"бытовая техника","надежный",31,1
52,"мужчина (женатый или вдовец)","без жилья","есть просрочки платежей",6701,"бытовая техника","надежный",17,3
29,"мужчина (одинокий)","арендатор","не было кредитов",14409,"бизнес","ненадежный",41,2
54,"мужчина (одинокий)","арендатор","есть просрочки платежей",608,"бытовая техника","надежный",8,2
23,"женщина","арендатор","есть непогашенные кредиты",3748,"мебель","надежный",29,1
29,"женщина","домовладелец","есть просрочки платежей",1557,"бытовая техника","надежный",3,2
26,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3022,"мебель","ненадежный",17,1
38,"женщина","без жилья","есть непогашенные кредиты",7209,"новая машина","надежный",18,1
23,"женщина","арендатор","есть непогашенные кредиты",2290,"подержанная машина","надежный",14,1
21,"женщина","домовладелец","есть непогашенные кредиты",2363,"бытовая техника","надежный",21,1
18,"женщина","домовладелец","есть непогашенные кредиты",1569,"бытовая техника","надежный",16,1
45,"женщина","арендатор","есть непогашенные кредиты",5012,"бытовая техника","надежный",23,1
48,"женщина","без жилья","есть непогашенные кредиты",14541,"подержанная машина","ненадежный",35,1
30,"женщина","домовладелец","есть непогашенные кредиты",2335,"бизнес","надежный",33,1
65,"женщина","арендатор","все кредиты погашены",7314,"бизнес","ненадежный",74,1
32,"женщина","домовладелец","есть непогашенные кредиты",3400,"бытовая техника","надежный",35,1
33,"женщина","домовладелец","не было кредитов",4331,"мебель","надежный",24,2
31,"мужчина (одинокий)","домовладелец","есть просрочки платежей",7950,"бизнес","надежный",51,2
23,"женщина","домовладелец","есть непогашенные кредиты",2310,"ремонт жилья","надежный",16,1
41,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3301,"бытовая техника","надежный",13,1
29,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1212,"бытовая техника","надежный",7,1
48,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",12122,"подержанная машина","ненадежный",50,1
33,"мужчина (разведенный)","домовладелец","есть просрочки платежей",4905,"мебель","надежный",11,2
39,"мужчина (одинокий)","домовладелец","все кредиты погашены",1774,"мебель","ненадежный",16,1
33,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",3124,"бизнес","надежный",6,1
47,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2255,"бытовая техника","надежный",5,1
33,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",8675,"подержанная машина","ненадежный",64,3
67,"мужчина (одинокий)","без жилья","есть просрочки платежей",7823,"подержанная машина","надежный",26,2
36,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",2122,"бытовая техника","ненадежный",27,1
39,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1678,"бытовая техника","надежный",18,2
43,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",1109,"бытовая техника","надежный",11,2
33,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1486,"другое","надежный",14,2
60,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",4351,"образование","надежный",12,1
38,"мужчина (одинокий)","без жилья","есть просрочки платежей",14870,"подержанная машина","надежный",33,2
29,"мужчина (разведенный)","арендатор","есть просрочки платежей",2226,"образование","ненадежный",35,1
39,"женщина","арендатор","все кредиты погашены",6797,"бизнес","ненадежный",58,1
32,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",1547,"бизнес","надежный",21,1
23,"женщина","арендатор","есть непогашенные кредиты",3601,"мебель","ненадежный",47,1
25,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1716,"бытовая техника","надежный",10,1
26,"женщина","домовладелец","есть непогашенные кредиты",988,"бизнес","надежный",19,1
30,"мужчина (одинокий)","арендатор","не было кредитов",1108,"новая машина","надежный",9,1
32,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",629,"бытовая техника","надежный",9,1
24,"женщина","арендатор","есть непогашенные кредиты",6832,"подержанная машина","надежный",22,1
18,"женщина","арендатор","есть просрочки платежей",2925,"мебель","надежный",10,2
39,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3669,"бытовая техника","надежный",10,1
22,"женщина","домовладелец","есть просрочки платежей",5912,"мебель","ненадежный",49,2
57,"мужчина (одинокий)","без жилья","есть просрочки платежей",1577,"образование","надежный",25,2
39,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2541,"бытовая техника","надежный",40,2
19,"мужчина (женатый или вдовец)","арендатор","есть непогашенные кредиты",2464,"мебель","надежный",9,1
23,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2770,"бытовая техника","ненадежный",43,2
27,"женщина","домовладелец","не было кредитов",4623,"новая машина","ненадежный",34,2
51,"женщина","домовладелец","есть непогашенные кредиты",1361,"бытовая техника","надежный",12,1
42,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1543,"бытовая техника","надежный",22,2
23,"женщина","арендатор","есть непогашенные кредиты",3063,"новая машина","ненадежный",38,1
30,"женщина","арендатор","есть непогашенные кредиты",1524,"новая машина","ненадежный",17,1
45,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1682,"бытовая техника","ненадежный",25,2
47,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",2901,"мебель","надежный",11,1
58,"мужчина (одинокий)","арендатор","есть просрочки платежей",7340,"мебель","надежный",13,1
35,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",3259,"мебель","ненадежный",28,1
26,"женщина","домовладелец","есть непогашенные кредиты",785,"новая машина","ненадежный",22,1
32,"женщина","домовладелец","есть непогашенные кредиты",1183,"новая машина","ненадежный",11,1
40,"мужчина (одинокий)","без жилья","все кредиты погашены",10089,"новая машина","надежный",79,1
31,"женщина","домовладелец","есть непогашенные кредиты",1641,"новая машина","надежный",18,1
43,"мужчина (одинокий)","домовладелец","есть просрочки платежей",4158,"бытовая техника","надежный",40,1
22,"женщина","арендатор","есть непогашенные кредиты",880,"мебель","надежный",11,1
33,"женщина","домовладелец","есть просрочки платежей",1573,"образование","надежный",11,1
45,"женщина","арендатор","есть просрочки платежей",4965,"подержанная машина","надежный",28,2
29,"мужчина (женатый или вдовец)","арендатор","есть непогашенные кредиты",3495,"бытовая техника","надежный",29,1
21,"женщина","домовладелец","есть непогашенные кредиты",1323,"новая машина","ненадежный",10,1
28,"женщина","арендатор","есть непогашенные кредиты",2763,"мебель","надежный",24,1
41,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",2271,"бытовая техника","надежный",7,1
27,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2732,"мебель","надежный",15,1
41,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",6800,"бизнес","надежный",31,2
72,"мужчина (одинокий)","без жилья","есть просрочки платежей",899,"новая машина","надежный",6,2
29,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1477,"новая машина","надежный",36,1
43,"женщина","арендатор","есть непогашенные кредиты",1956,"мебель","надежный",18,1
28,"женщина","домовладелец","есть просрочки платежей",1722,"образование","надежный",36,2
26,"женщина","домовладелец","есть непогашенные кредиты",1043,"образование","ненадежный",11,1
58,"мужчина (одинокий)","домовладелец","есть просрочки платежей",459,"бытовая техника","надежный",5,2
39,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",1788,"образование","надежный",14,1
38,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",1695,"мебель","надежный",18,2
28,"мужчина (одинокий)","домовладелец","есть просрочки платежей",5029,"подержанная машина","надежный",49,2
27,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3637,"бытовая техника","надежный",7,1
48,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2984,"бизнес","надежный",25,4
31,"мужчина (женатый или вдовец)","арендатор","есть непогашенные кредиты",2908,"бытовая техника","надежный",9,1
32,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",9808,"образование","надежный",46,1
39,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2539,"подержанная машина","надежный",18,1
88,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3648,"бизнес","надежный",4,1
44,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1139,"бизнес","надежный",10,1
41,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1682,"новая машина","надежный",3,1
29,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",10419,"подержанная машина","ненадежный",26,1
28,"женщина","домовладелец","есть непогашенные кредиты",3275,"новая машина","надежный",26,1
27,"женщина","арендатор","есть непогашенные кредиты",1132,"другое","ненадежный",20,1
24,"женщина","домовладелец","есть непогашенные кредиты",2642,"новая машина","надежный",34,1
30,"мужчина (одинокий)","без жилья","есть просрочки платежей",13017,"подержанная машина","надежный",33,2
33,"мужчина (одинокий)","домовладелец","не было кредитов",4390,"бизнес","надежный",12,1
41,"мужчина (одинокий)","домовладелец","не было кредитов",1604,"новая машина","ненадежный",12,2
26,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",4368,"подержанная машина","надежный",45,1
43,"мужчина (одинокий)","домовладелец","все кредиты погашены",1346,"новая машина","ненадежный",24,2
33,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1987,"бытовая техника","надежный",5,1
34,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1975,"новая машина","надежный",10,2
27,"женщина","домовладелец","есть непогашенные кредиты",1282,"новая машина","ненадежный",13,1
29,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",3249,"бизнес","надежный",21,1
43,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",2353,"бытовая техника","надежный",8,1
33,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",972,"мебель","надежный",12,1
39,"женщина","домовладелец","есть непогашенные кредиты",5624,"бытовая техника","ненадежный",40,2
45,"мужчина (женатый или вдовец)","домовладелец","все кредиты погашены",369,"другое","надежный",18,1
41,"мужчина (одинокий)","домовладелец","есть просрочки платежей",10026,"подержанная машина","надежный",17,2
32,"женщина","арендатор","есть просрочки платежей",5215,"новая машина","ненадежный",21,3
31,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",1388,"новая машина","надежный",22,2
63,"женщина","домовладелец","все кредиты погашены",6113,"подержанная машина","ненадежный",32,1
57,"женщина","домовладелец","есть просрочки платежей",1589,"бытовая техника","надежный",9,3
27,"женщина","домовладелец","есть непогашенные кредиты",9975,"новая машина","ненадежный",93,1
49,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2394,"новая машина","надежный",8,1
42,"мужчина (одинокий)","домовладелец","есть просрочки платежей",7664,"бытовая техника","надежный",33,1
62,"женщина","домовладелец","есть непогашенные кредиты",1702,"бытовая техника","надежный",24,1
48,"женщина","домовладелец","есть непогашенные кредиты",1065,"бытовая техника","надежный",35,1
34,"мужчина (одинокий)","без жилья","все кредиты погашены",1618,"новая машина","ненадежный",15,2
40,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2556,"мебель","ненадежный",16,1
33,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",5165,"новая машина","надежный",17,1
23,"мужчина (разведенный)","домовладелец","есть просрочки платежей",1368,"мебель","надежный",17,2
45,"мужчина (одинокий)","без жилья","не было кредитов",7372,"мебель","ненадежный",79,2
48,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2617,"бытовая техника","надежный",17,1
39,"мужчина (одинокий)","без жилья","есть просрочки платежей",1393,"бытовая техника","ненадежный",15,2
30,"женщина","домовладелец","есть непогашенные кредиты",3623,"новая машина","надежный",10,1
66,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1409,"мебель","надежный",22,1
47,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",1687,"мебель","ненадежный",12,1
35,"мужчина (одинокий)","домовладелец","все кредиты погашены",1335,"другое","ненадежный",30,1
27,"мужчина (одинокий)","домовладелец","есть просрочки платежей",3270,"бытовая техника","надежный",19,2
56,"мужчина (одинокий)","домовладелец","есть просрочки платежей",9449,"подержанная машина","надежный",22,2
24,"женщина","домовладелец","есть непогашенные кредиты",3195,"бытовая техника","надежный",20,1
