"Year_begin","OlympiadType","Status","Year_end","TeamSize","Class","ShortName","Subject"
2018,"Всероссийская олимпиада","призёр",2019,4,10,"лицей НИУ ВШЭ","Обществознание"
2012,"Московская олимпиада","призёр",2013,5,6,"ГБОУ Физматшкола 2007","Математика"
2015,"Московская олимпиада","призёр",2016,4,11,"ГБОУ гимназия № 1534","География"
2012,"Московская олимпиада","призёр",2013,5,7,"ГБОУ школа № 1252 имени Сервантеса","Биология"
2015,"Московская олимпиада","призёр",2016,4,8,"ГБОУ гимназия № 1539","Изобразительное искусство"
2017,"Всероссийская олимпиада","призёр",2018,5,11,"ГБОУ школа № 45","Искусство (МХК)"
2016,"Всероссийская олимпиада","призёр",2017,3,11,"НИУ ВШЭ. лицей","Русский язык"
2014,"Районная олимпиада","призёр",2015,3,9,"ГБОУ Московская гимназия на Юго-Западе № 1543","География"
2014,"Всероссийская олимпиада","призёр",2015,3,9,"ГБОУ лицей «Вторая школа»","Физика"
2017,"Всероссийская олимпиада","призёр",2018,4,10,"МАОУ «Лицей города Троицка»","Химия"
2013,"Районная олимпиада","призёр",2014,3,11,"ГБОУ лицей № 1546 «Плехановец»","Экономика"
2017,"Всероссийская олимпиада","призёр",2018,3,11,"ГБОУ школа № 1535","Право"
2017,"Московская олимпиада","призёр",2018,4,6,"ГБОУ школа № 1329","Экономика"
2016,"Всероссийская олимпиада","призёр",2017,4,10,"ГБОУ школа № 843","География"
2014,"Московская олимпиада","призёр",2015,4,10,"ГБОУ школа № 1474","Изобразительное искусство"
2017,"Всероссийская олимпиада","призёр",2018,5,9,"ГАОУ «Школа № 1518»","Иностранный язык (французский язык)"
2015,"Районная олимпиада","победитель",2016,3,9,"ГБОУ школа № 2086","Математика"
2015,"Всероссийская олимпиада","победитель",2016,3,11,"ГБОУ Шуваловская гимназия № 1448","Право"
2014,"Московская олимпиада","призёр",2015,3,11,"ГБОУ гимназия № 1584","Химия"
2019,"Всероссийская олимпиада","призёр",2020,5,9,"ГБОУ школа № 1553 имени В.И. Вернадского","Литература"
2015,"Всероссийская олимпиада","призёр",2016,5,11,"ГБОУ школа № 2097","Биология"
2018,"Районная олимпиада","призёр",2019,5,8,"ГБОУ школа № 1297","География"
2016,"Всероссийская олимпиада","призёр",2017,4,11,"СУНЦ МГУ","Химия"
2018,"Московская олимпиада","призёр",2019,4,5,"ГБОУ школа № 2007 ФМШ","Информатика"
2013,"Московская олимпиада","победитель",2014,4,11,"ГБОУ СОШ № 718","Изобразительное искусство"
2019,"Всероссийская олимпиада","призёр",2020,5,8,"ГБОУ школа № 2007 ФМШ","астрономия"
2018,"Московская олимпиада","победитель",2019,4,8,"ОАНО «Школа «ЛЕТОВО»","Физика"
2013,"Районная олимпиада","победитель",2014,5,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Экология"
2017,"Всероссийская олимпиада","призёр",2018,4,10,"ГБОУ школа № 1212","Русский язык"
2015,"Московская олимпиада","призёр",2016,3,8,"ГБОУ лицей № 1564","Химия"
2012,"Московская олимпиада","победитель",2013,5,11,"ГБОУ лицей № 1303","Химия"
2015,"Всероссийская олимпиада","призёр",2016,4,11,"ГБОУ гимназия № 1551","Литература"
2013,"Всероссийская олимпиада","призёр",2014,5,10,"ГБОУ СОШ № 1199 «Лига Школ»","Мировая Художественная Культура (МХК)"
2014,"Московская олимпиада","призёр",2015,3,10,"ГБОУ «Школа-интернат «Интеллектуал»","Математика"
2018,"Московская олимпиада","призёр",2019,4,8,"ГБОУ школа № 57","Математика"
2017,"Всероссийская олимпиада","призёр",2018,4,10,"ГБОУ школа № 1543","Биология"
2019,"Районная олимпиада","призёр",2020,3,10,"ГБОУ школа имени Маршала В.И. Чуйкова","Математика"
2017,"Всероссийская олимпиада","призёр",2018,3,11,"ГБОУ гимназия № 1529","История"
2018,"Районная олимпиада","призёр",2019,5,11,"ГБОУ «Курчатовская школа»","Биология"
2018,"Районная олимпиада","призёр",2019,5,10,"ГБОУ школа № 2026","Основы безопасности жизнедеятельности"
2016,"Московская олимпиада","победитель",2017,4,8,"ГБОУ «Гимназия № 1636 «НИКА»","Изобразительное искусство"
2014,"Всероссийская олимпиада","победитель",2015,3,11,"ГБОУ лицей № 1568","История"
2012,"Всероссийская олимпиада","призёр",2013,5,11,"ГБОУ СОШ № 546","История"
2016,"Всероссийская олимпиада","призёр",2017,4,11,"ГБОУ лицей № 507","История"
2016,"Всероссийская олимпиада","призёр",2017,5,11,"ГБОУ Измайловская гимназия № 1508","Русский язык"
2017,"Московская олимпиада","призёр",2018,3,6,"ГБОУ школа № 2121","Технология"
2018,"Московская олимпиада","призёр",2019,4,8,"ГБОУ школа № 1251 имени генерала Шарля де Голля","Иностранный язык (французский язык)"
2019,"Районная олимпиада","призёр",2020,3,9,"ГБОУ школа № 1354 «Вектор»","Мировая Художественная Культура (МХК)"
2018,"Районная олимпиада","призёр",2019,5,11,"ГБОУ «Лицей «Вторая школа»","Математика"
2019,"Всероссийская олимпиада","призёр",2020,3,11,"ГБОУ школа № 641 имени С. Есенина","Русский язык"
2013,"Всероссийская олимпиада","призёр",2014,5,11,"ГБОУ гимназия № 1576","Иностранный язык (французский язык)"
2014,"Всероссийская олимпиада","призёр",2015,4,10,"ГБОУ лицей № 1303","Физика"
2014,"Всероссийская олимпиада","призёр",2015,3,11,"ГБОУ СОШ № 218","Химия"
2018,"Всероссийская олимпиада","призёр",2019,5,10,"ГБОУ школа № 1253","Биология"
2019,"Районная олимпиада","призёр",2020,4,11,"Филипповская школа","Русский язык"
2018,"Московская олимпиада","призёр",2019,3,8,"ГБОУ школа № 2007 ФМШ","Математика"
2014,"Районная олимпиада","призёр",2015,3,11,"ГБОУ лицей № 1501","Биология"
2014,"Московская олимпиада","призёр",2015,4,5,"ГБОУ школа № 64","филология"
2018,"Всероссийская олимпиада","призёр",2019,4,9,"ГБОУ «Лицей «Вторая школа»","Физика"
2018,"Районная олимпиада","призёр",2019,3,11,"ГБОУ школа № 179","Информатика"
2013,"Московская олимпиада","призёр",2014,3,11,"ГБОУ СОШ № 1840","Физика"
2015,"Всероссийская олимпиада","призёр",2016,5,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Информатика"
2018,"Всероссийская олимпиада","призёр",2019,3,11,"ГБОУ школа № 57","Биология"
2015,"Московская олимпиада","призёр",2016,4,11,"ГАОУ ВО МИОО. СОШ № 179","Экономика"
2018,"Всероссийская олимпиада","призёр",2019,4,11,"ГБОУ школа № 1505","Биология"
2018,"Всероссийская олимпиада","призёр",2019,3,11,"ГБОУ школа № 2107","Физическая культура"
2013,"Районная олимпиада","призёр",2014,4,11,"ГБОУ СОШ № 1423","Экология"
2019,"Всероссийская олимпиада","призёр",2020,4,9,"ГБОУ школа № 1582","Обществознание"
2018,"Всероссийская олимпиада","призёр",2019,3,10,"ГБОУ школа № 1575","Русский язык"
2014,"Московская олимпиада","призёр",2015,3,5,"ГБОУ школа № 1000","Технология"
2019,"Районная олимпиада","призёр",2020,3,11,"ГБОУ школа № 179","Математика"
2013,"Московская олимпиада","призёр",2014,5,10,"ГБОУ гимназия № 1567","Иностранный язык (испанский язык)"
2018,"Московская олимпиада","призёр",2019,5,9,"ГБОУ школа № 57","Математика"
2019,"Всероссийская олимпиада","призёр",2020,4,2,"ГБПОУ ПК им. П.А. Овчинникова","Технология"
2018,"Московская олимпиада","победитель",2019,5,7,"ГБОУ школа № 1541","Иностранный язык (французский язык)"
2013,"Всероссийская олимпиада","призёр",2014,4,11,"ГБОУ ЦО № 170","Литература"
2016,"Московская олимпиада","призёр",2017,4,8,"ГБОУ школа № 1329","Математика"
2016,"Московская олимпиада","призёр",2017,3,9,"ГБОУ гимназия № 1539","Изобразительное искусство"
2017,"Московская олимпиада","победитель",2018,4,11,"ГБОУ школа № 727","филология"
2013,"Всероссийская олимпиада","призёр",2014,4,10,"ГБОУ СОШ № 1275","Литература"
2015,"Московская олимпиада","призёр",2016,5,6,"ГБОУ Физматшкола № 2007","Математика"
2019,"Всероссийская олимпиада","призёр",2020,5,11,"ЧУ СОШ «СААШ «Марина»","Иностранный язык (английский язык)"
2017,"Всероссийская олимпиада","победитель",2018,4,11,"НИУ ВШЭ. лицей","Обществознание"
2018,"Всероссийская олимпиада","призёр",2019,3,11,"ГБОУ школа № 67","Биология"
2018,"Всероссийская олимпиада","призёр",2019,5,10,"ГБОУ школа имени Маршала В.И. Чуйкова","География"
2018,"Московская олимпиада","победитель",2019,4,8,"ГБОУ школа № 14","Экология"
2018,"Московская олимпиада","победитель",2019,5,6,"ГБОУ школа № 2101","Биология"
2017,"Московская олимпиада","призёр",2018,3,5,"ГБОУ школа № 880","филология"
2017,"Всероссийская олимпиада","призёр",2018,4,10,"НИУ ВШЭ. лицей","Литература"
2015,"Всероссийская олимпиада","призёр",2016,5,10,"ГБОУ гимназия № 710 им. Народного учителя СССР В.К. Жудова","Иностранный язык (английский язык)"
2016,"Московская олимпиада","призёр",2017,4,6,"ГБОУ Физматшкола № 2007","астрономия"
2015,"Всероссийская олимпиада","победитель",2016,4,11,"ГБОУ гимназия № 1505","География"
2017,"Всероссийская олимпиада","призёр",2018,4,9,"ГБОУ лицей «Вторая школа»","Физика"
2014,"Всероссийская олимпиада","призёр",2015,4,11,"ГБОУ «Школа-интернат «Интеллектуал»","Биология"
2016,"Московская олимпиада","победитель",2017,3,5,"ГБОУ школа № 63","Робототехника"
2017,"Всероссийская олимпиада","победитель",2018,3,10,"ГБОУ школа № 1540","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2015,"Районная олимпиада","призёр",2016,5,11,"ГБОУ школа № 1353","Литература"
2017,"Всероссийская олимпиада","призёр",2018,3,11,"ГБОУ школа № 1514","Искусство (МХК)"
2014,"Всероссийская олимпиада","призёр",2015,3,11,"ГБОУ гимназия № 1583","Биология"
2019,"Всероссийская олимпиада","призёр",2020,5,9,"ГБОУ школа № 1329","Математика"
2013,"Всероссийская олимпиада","призёр",2014,5,10,"ГАОУ ВО МИОО. СОШ № 179","Математика"
2016,"Районная олимпиада","призёр",2017,5,9,"ГБОУ школа № 641 имени С. Есенина","Право"
2017,"Всероссийская олимпиада","призёр",2018,3,11,"НИУ ВШЭ. лицей","Обществознание"
2016,"Районная олимпиада","призёр",2017,4,9,"ГБОУ школа № 57","Информатика"
2016,"Московская олимпиада","призёр",2017,5,10,"ГБОУ школа № 57","Математика"
2018,"Московская олимпиада","призёр",2019,5,6,"ГБОУ школа № 2007 ФМШ","Робототехника"
2017,"Московская олимпиада","победитель",2018,5,7,"ГБОУ школа № 438","Биология"
2012,"Всероссийская олимпиада","призёр",2013,5,10,"ГБОУ Лингвистический лицей № 1555","Иностранный язык (французский язык)"
2016,"Всероссийская олимпиада","призёр",2017,4,11,"ГБОУ гимназия № 1619","Иностранный язык (французский язык)"
2014,"Районная олимпиада","призёр",2015,4,9,"ГБОУ школа № 1329","Информатика"
2018,"Всероссийская олимпиада","призёр",2019,4,9,"ГБОУ школа № 2090","Физика"
2017,"Всероссийская олимпиада","призёр",2018,4,11,"ГБОУ школа «Покровский квартал»","Право"
2019,"Районная олимпиада","призёр",2020,4,10,"ГБОУ школа № 1535","Математика"
2013,"Московская олимпиада","призёр",2014,4,7,"ГАОУ ВО МИОО. СОШ № 179","Математика"
2019,"Всероссийская олимпиада","победитель",2020,4,11,"ГБОУ «Лицей «Вторая школа»","Математика"
2013,"Всероссийская олимпиада","призёр",2014,3,10,"ГБОУ лицей № 1303","Мировая Художественная Культура (МХК)"
2015,"Всероссийская олимпиада","призёр",2016,4,10,"ГБОУ школа № 1208","История"
2019,"Всероссийская олимпиада","победитель",2020,3,10,"Финансовый университет","История"
2019,"Всероссийская олимпиада","призёр",2020,4,9,"ГБОУ школа «Марьино»","Физическая культура"
2014,"Районная олимпиада","призёр",2015,5,10,"ГБОУ Лингвистический лицей № 1555","Право"
2015,"Всероссийская олимпиада","призёр",2016,3,11,"ГБОУ школа № 1222","Иностранный язык (немецкий язык)"
2017,"Московская олимпиада","призёр",2018,5,8,"ГБОУ школа № 1535","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2016,"Московская олимпиада","призёр",2017,5,8,"ГБОУ гимназия № 1567","Физика"
2012,"Московская олимпиада","призёр",2013,4,4,"ГБОУ гимназия № 1518","Экономика"
2014,"Московская олимпиада","призёр",2015,5,6,"ГБОУ СОШ № 218","филология"
2018,"Районная олимпиада","призёр",2019,3,9,"ОАНО «Школа «ЛЕТОВО»","Обществознание"
2014,"Всероссийская олимпиада","призёр",2015,4,10,"МАОУ «Лицей города Троицка»","Физика"
2019,"Всероссийская олимпиада","призёр",2020,5,7,"ГБОУ школа № 14","Экология"
2014,"Всероссийская олимпиада","призёр",2015,5,9,"ГБОУ школа № 192","Литература"
2018,"Всероссийская олимпиада","призёр",2019,3,9,"ГБОУ школа № 179","Математика"
2013,"Всероссийская олимпиада","призёр",2014,3,10,"ГБОУ гимназия № 1505","Физика"
2015,"Всероссийская олимпиада","призёр",2016,5,9,"ГБОУ гимназия № 1527","Биология"
2013,"Районная олимпиада","призёр",2014,4,11,"ГБОУ школа № 1944","Иностранный язык (английский язык)"
2019,"Всероссийская олимпиада","призёр",2020,5,9,"ГБОУ школа № 179","Физика"
2013,"Районная олимпиада","призёр",2014,3,10,"НИУ ВШЭ. лицей","Экономика"
2018,"Московская олимпиада","призёр",2019,4,5,"ГБОУ школа № 109","История"
2018,"Московская олимпиада","призёр",2019,5,7,"ГБОУ школа № 1573","филология"
2016,"Московская олимпиада","призёр",2017,4,7,"ГБОУ школа № 1251 имени генерала Шарля де Голля","филология"
2018,"Московская олимпиада","призёр",2019,4,7,"ГБОУ «Школа на Яузе»","География"
2017,"Районная олимпиада","призёр",2018,4,11,"ГБОУ школа № 654 имени А.Д. Фридмана","Физика"
2012,"Московская олимпиада","призёр",2013,4,8,"ГБОУ СОШ № 324 «Жар-птица»","Химия"
2013,"Московская олимпиада","призёр",2014,5,10,"ГБОУ Московская гимназия на Юго-Западе № 1543","Математика"
2019,"Всероссийская олимпиада","призёр",2020,5,11,"ГАОУ «Школа № 1518»","Обществознание"
2016,"Московская олимпиада","призёр",2017,5,10,"ГБОУ школа № 2107","Информатика"
2017,"Всероссийская олимпиада","призёр",2018,3,11,"ФГБОУ ВО МГЛУ","Иностранный язык (английский язык)"
2013,"Районная олимпиада","призёр",2014,5,9,"ГБОУ СОШ № 1207","Иностранный язык (английский язык)"
2018,"Всероссийская олимпиада","призёр",2019,4,9,"ГБОУ школа № 218","История"
2017,"Московская олимпиада","призёр",2018,3,6,"ГБОУ школа № 2070","Робототехника"
2018,"Всероссийская олимпиада","призёр",2019,5,9,"ГБОУ школа № 1474","Русский язык"
2013,"Всероссийская олимпиада","призёр",2014,3,11,"ГБОУ школа № 1944","Иностранный язык (английский язык)"
2012,"Всероссийская олимпиада","призёр",2013,3,10,"ГБОУ СОШ № 235","География"
2013,"Всероссийская олимпиада","призёр",2014,3,9,"ГБОУ гимназия № 1583","Литература"
2014,"Всероссийская олимпиада","призёр",2015,4,11,"ГБОУ лицей № 1535","Обществознание"
2016,"Московская олимпиада","призёр",2017,5,9,"ГБОУ Инженерно-техническая школа","филология"
2016,"Всероссийская олимпиада","призёр",2017,5,9,"ГБОУ гимназия № 1514","Биология"
2015,"Московская олимпиада","призёр",2016,4,9,"ГАОУ «Гимназия № 1518»","География"
2016,"Всероссийская олимпиада","победитель",2017,4,10,"ГБОУ лицей № 1535","Обществознание"
2019,"Всероссийская олимпиада","призёр",2020,4,9,"лицей НИУ ВШЭ","История"
2018,"Московская олимпиада","призёр",2019,4,8,"ГБОУ школа № 1575","филология"
2015,"Московская олимпиада","призёр",2016,5,10,"ГБОУ ЦО № 1602","Изобразительное искусство"
2016,"Московская олимпиада","призёр",2017,4,8,"ГБОУ гимназия № 1619","Биология"
2015,"Московская олимпиада","победитель",2016,3,11,"ГАОУ ЦО № 548","Изобразительное искусство"
2018,"Всероссийская олимпиада","призёр",2019,5,11,"ГБОУ «Курчатовская школа»","Физика"
2014,"Всероссийская олимпиада","призёр",2015,5,10,"Предуниверситарий НИЯУ МИФИ","Физика"
2014,"Всероссийская олимпиада","призёр",2015,3,10,"ГБОУ Физматшкола 2007","Математика"
2015,"Районная олимпиада","призёр",2016,3,9,"ГБОУ школа № 1285","Обществознание"
2015,"Всероссийская олимпиада","победитель",2016,4,11,"ГБОУ гимназия № 1567","Иностранный язык (немецкий язык)"
2012,"Всероссийская олимпиада","призёр",2013,3,11,"ГБОУ лицей № 1535","Иностранный язык (английский язык)"
2014,"Московская олимпиада","призёр",2015,5,5,"ГБОУ гимназия № 1532","Изобразительное искусство"
2014,"Московская олимпиада","призёр",2015,4,11,"ГБОУ Московская гимназия на Юго-Западе № 1543","Химия"
2018,"Московская олимпиада","призёр",2019,5,8,"ГБОУ школа № 1270","филология"
2012,"Московская олимпиада","призёр",2013,3,10,"ГБОУ лицей № 1568","Физика"
2012,"Всероссийская олимпиада","призёр",2013,4,10,"ГБОУ лицей № 1535","Литература"
2016,"Всероссийская олимпиада","призёр",2017,4,10,"ГБОУ лицей № 1535","Русский язык"
2019,"Всероссийская олимпиада","призёр",2020,5,10,"ГБОУ школа № 1288","Литература"
2018,"Всероссийская олимпиада","призёр",2019,5,11,"ГБОУ Инженерная школа № 1581","Русский язык"
2017,"Всероссийская олимпиада","призёр",2018,5,10,"ГБОУ школа № 1329","Право"
2019,"Всероссийская олимпиада","призёр",2020,3,11,"ГБОУ школа № 2101","Литература"
2013,"Московская олимпиада","призёр",2014,4,6,"ГБОУ Физматшкола 2007","Математика"
2015,"Районная олимпиада","призёр",2016,4,11,"ГБОУ лицей № 1501","Иностранный язык (немецкий язык)"
2017,"Всероссийская олимпиада","призёр",2018,5,11,"ГБОУ школа на проспекте Вернадского","Иностранный язык (английский язык)"
2019,"Районная олимпиада","призёр",2020,4,10,"ГБОУ Образовательный центр «Протон»","Литература"
2019,"Всероссийская олимпиада","призёр",2020,4,11,"ГБОУ школа № 192","Биология"
2017,"Всероссийская олимпиада","призёр",2018,3,11,"ГБОУ школа № 63","Иностранный язык (английский язык)"
2013,"Московская олимпиада","призёр",2014,5,7,"ГБОУ СОШ № 1262","Математика"
2014,"Московская олимпиада","призёр",2015,4,10,"ГБОУ гимназия № 1558","Иностранный язык (испанский язык)"
2015,"Всероссийская олимпиада","призёр",2016,5,10,"ГБОУ школа № 1474","Физическая культура"
2014,"Московская олимпиада","призёр",2015,5,6,"ГБОУ школа № 1847","Математика"
2018,"Всероссийская олимпиада","победитель",2019,3,10,"ГБОУ школа № 1514","Право"
2019,"Всероссийская олимпиада","призёр",2020,3,10,"ГБОУ школа № 179","Математика"
2019,"Всероссийская олимпиада","призёр",2020,3,10,"ГБОУ школа № 625","Обществознание"
2017,"Всероссийская олимпиада","победитель",2018,4,11,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ","Биология"
2015,"Районная олимпиада","призёр",2016,5,10,"ГБОУ школа № 218","Химия"
2017,"Всероссийская олимпиада","призёр",2018,3,9,"ГБОУ школа № 2114","Физическая культура"
2016,"Московская олимпиада","призёр",2017,3,11,"НИУ ВШЭ. лицей","Обществознание"
2019,"Всероссийская олимпиада","призёр",2020,5,11,"лицей НИУ ВШЭ","Литература"
2018,"Всероссийская олимпиада","призёр",2019,5,9,"ГБОУ школа на проспекте Вернадского","Русский язык"
2017,"Всероссийская олимпиада","призёр",2018,5,9,"ГБОУ школа № 179","Математика"
2017,"Всероссийская олимпиада","призёр",2018,4,11,"ГБОУ школа № 507","История"
2015,"Московская олимпиада","призёр",2016,3,7,"ГБОУ лицей № 1580","Математика"
2018,"Всероссийская олимпиада","призёр",2019,4,9,"ГБОУ школа № 1535","Иностранный язык (английский язык)"
2015,"Московская олимпиада","призёр",2016,5,8,"ГБОУ школа № 2097","География"
2018,"Всероссийская олимпиада","призёр",2019,4,11,"ГБОУ школа № 199","Иностранный язык (французский язык)"
2017,"Всероссийская олимпиада","призёр",2018,4,10,"ГБОУ школа № 1467","История"
2017,"Всероссийская олимпиада","призёр",2018,5,11,"ГБОУ школа № 1514","Иностранный язык (английский язык)"
2016,"Всероссийская олимпиада","призёр",2017,3,10,"ГБОУ школа № 2001","История"
2015,"Всероссийская олимпиада","призёр",2016,4,11,"ГБОУ гимназия № 1527","Русский язык"
2019,"Всероссийская олимпиада","призёр",2020,5,10,"ГБОУ школа № 1541","Обществознание"
2019,"Районная олимпиада","победитель",2020,5,11,"ГБОУ школа № 1288","Право"
2012,"Всероссийская олимпиада","призёр",2013,5,10,"ГБОУ лицей № 1546 «Плехановец»","Обществознание"
2014,"Всероссийская олимпиада","призёр",2015,5,11,"ГБОУ школа № 1150 имени Героя Советского Союза К.К. Рокоссовского","Иностранный язык (английский язык)"
2015,"Районная олимпиада","призёр",2016,3,11,"ГБОУ школа № 1784","Основы безопасности жизнедеятельности"
2018,"Московская олимпиада","победитель",2019,3,7,"ГБОУ школа № 1329","Физика"
2019,"Всероссийская олимпиада","призёр",2020,3,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Экономика"
2017,"Московская олимпиада","призёр",2018,5,11,"ГБОУ школа № 2009","филология"
2016,"Московская олимпиада","призёр",2017,3,10,"ГБОУ школа «Интеллектуал»","Право"
2016,"Всероссийская олимпиада","призёр",2017,4,10,"ГБОУ школа № 1359","Мировая Художественная Культура (МХК)"
2016,"Московская олимпиада","победитель",2017,3,11,"СУНЦ МГУ","Физика"
2012,"Московская олимпиада","призёр",2013,4,9,"ГБОУ ЦО № 57","Математика"
2017,"Районная олимпиада","победитель",2018,5,10,"ФГКОУ «МКК ПВ МО РФ»","Искусство (МХК)"
2018,"Всероссийская олимпиада","призёр",2019,3,11,"университетская гимназия","Литература"
2013,"Всероссийская олимпиада","призёр",2014,5,11,"ГБОУ Физматшкола 2007","Информатика"
2014,"Московская олимпиада","призёр",2015,3,8,"ГБОУ гимназия № 1579","География"
2018,"Всероссийская олимпиада","призёр",2019,4,10,"ГАОУ «Школа № 1518»","История"
2014,"Всероссийская олимпиада","призёр",2015,4,11,"ГАОУ ВО МИОО. СОШ № 179","Информатика"
2017,"Московская олимпиада","победитель",2018,4,7,"ГАОУ школа № 548","Изобразительное искусство"
2013,"Всероссийская олимпиада","призёр",2014,3,10,"ГБОУ гимназия № 1530 «Школа Ломоносова»","Экономика"
2018,"Московская олимпиада","победитель",2019,4,8,"ГБОУ школа им. А. Боровика","Робототехника"
2013,"Московская олимпиада","призёр",2014,4,7,"ГАОУ ВО МИОО. СОШ № 179","Математика"
2014,"Московская олимпиада","победитель",2015,3,10,"ГБОУ лицей № 1557","Физика"
2016,"Всероссийская олимпиада","призёр",2017,5,11,"ГБОУ школа № 1980","Право"
2014,"Всероссийская олимпиада","призёр",2015,4,10,"ГБОУ гимназия № 1590 имени Героя Советского Союза В.В. Колесника","Право"
2014,"Всероссийская олимпиада","победитель",2015,5,10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Химия"
2015,"Московская олимпиада","призёр",2016,3,11,"ГБОУ гимназия № 1573","филология"
2012,"Всероссийская олимпиада","призёр",2013,4,11,"ГБОУ СОШ № 651","Обществознание"
2018,"Московская олимпиада","победитель",2019,4,11,"ГБОУ школа «Интеллектуал»","лингвистика"
