"existing_credits","credit_amount","housing","type","age","personal_status","duration","purpose","credit_history"
1,923,"арендатор","ненадежный",24,"мужчина (женатый или вдовец)",9,"другое","есть непогашенные кредиты"
1,718,"домовладелец","надежный",25,"женщина",19,"другое","есть непогашенные кредиты"
1,2136,"домовладелец","ненадежный",23,"мужчина (одинокий)",6,"новая машина","все кредиты погашены"
1,410,"домовладелец","надежный",20,"мужчина (одинокий)",12,"бытовая техника","есть непогашенные кредиты"
1,1677,"без жилья","надежный",28,"мужчина (одинокий)",27,"бытовая техника","есть непогашенные кредиты"
2,3649,"домовладелец","ненадежный",23,"женщина",24,"мебель","есть просрочки платежей"
2,2375,"домовладелец","надежный",34,"мужчина (одинокий)",6,"бытовая техника","есть просрочки платежей"
2,1205,"арендатор","надежный",22,"женщина",10,"мебель","есть просрочки платежей"
1,1383,"домовладелец","надежный",34,"мужчина (одинокий)",19,"мебель","есть непогашенные кредиты"
1,2894,"домовладелец","надежный",35,"мужчина (одинокий)",5,"бытовая техника","есть непогашенные кредиты"
1,6765,"арендатор","надежный",42,"мужчина (одинокий)",12,"мебель","есть просрочки платежей"
1,5336,"домовладелец","надежный",19,"женщина",25,"подержанная машина","есть непогашенные кредиты"
1,2689,"домовладелец","надежный",28,"мужчина (разведенный)",15,"бизнес","есть непогашенные кредиты"
1,2153,"без жилья","надежный",48,"мужчина (одинокий)",14,"новая машина","есть непогашенные кредиты"
1,1590,"домовладелец","надежный",30,"мужчина (разведенный)",10,"бытовая техника","есть непогашенные кредиты"
1,4542,"без жилья","надежный",33,"мужчина (одинокий)",20,"мебель","есть непогашенные кредиты"
1,4986,"домовладелец","надежный",31,"мужчина (одинокий)",14,"мебель","есть непогашенные кредиты"
2,3335,"домовладелец","надежный",25,"мужчина (женатый или вдовец)",36,"новая машина","есть просрочки платежей"
1,4781,"домовладелец","ненадежный",42,"мужчина (одинокий)",31,"новая машина","есть непогашенные кредиты"
2,1620,"домовладелец","надежный",75,"мужчина (одинокий)",6,"бытовая техника","есть просрочки платежей"
2,2289,"домовладелец","ненадежный",25,"женщина",30,"образование","есть просрочки платежей"
1,8755,"арендатор","надежный",30,"мужчина (одинокий)",23,"новая машина","есть непогашенные кредиты"
1,1323,"арендатор","ненадежный",23,"женщина",9,"мебель","есть непогашенные кредиты"
3,1433,"домовладелец","надежный",61,"женщина",10,"бытовая техника","есть просрочки платежей"
1,1348,"домовладелец","надежный",24,"мужчина (одинокий)",4,"новая машина","есть непогашенные кредиты"
2,5052,"домовладелец","ненадежный",21,"мужчина (одинокий)",38,"бытовая техника","есть просрочки платежей"
2,3424,"домовладелец","надежный",47,"мужчина (одинокий)",20,"подержанная машина","есть просрочки платежей"
1,4240,"без жилья","ненадежный",60,"женщина",9,"подержанная машина","все кредиты погашены"
1,783,"домовладелец","надежный",18,"женщина",17,"бытовая техника","есть непогашенные кредиты"
2,5163,"домовладелец","ненадежный",47,"женщина",21,"бытовая техника","есть непогашенные кредиты"
1,3561,"домовладелец","надежный",61,"мужчина (одинокий)",16,"бытовая техника","есть непогашенные кредиты"
1,2962,"арендатор","надежный",21,"мужчина (женатый или вдовец)",13,"бытовая техника","есть непогашенные кредиты"
1,1213,"арендатор","надежный",22,"женщина",14,"мебель","есть непогашенные кредиты"
1,1235,"домовладелец","надежный",64,"мужчина (одинокий)",8,"подержанная машина","есть непогашенные кредиты"
2,8377,"без жилья","надежный",88,"мужчина (одинокий)",17,"подержанная машина","есть просрочки платежей"
1,2279,"домовладелец","ненадежный",31,"женщина",26,"бытовая техника","есть непогашенные кредиты"
2,7144,"домовладелец","надежный",27,"мужчина (одинокий)",28,"новая машина","есть непогашенные кредиты"
1,2525,"домовладелец","надежный",34,"женщина",38,"бытовая техника","есть просрочки платежей"
1,2891,"домовладелец","надежный",21,"мужчина (женатый или вдовец)",13,"бытовая техника","есть непогашенные кредиты"
1,1374,"арендатор","ненадежный",22,"женщина",35,"новая машина","есть непогашенные кредиты"
1,2128,"домовладелец","надежный",25,"мужчина (одинокий)",17,"другое","есть просрочки платежей"
1,621,"домовладелец","ненадежный",21,"мужчина (женатый или вдовец)",15,"бытовая техника","есть непогашенные кредиты"
2,5542,"домовладелец","надежный",28,"мужчина (одинокий)",14,"подержанная машина","есть просрочки платежей"
1,1878,"домовладелец","надежный",71,"мужчина (одинокий)",21,"новая машина","есть просрочки платежей"
1,2597,"домовладелец","надежный",22,"женщина",7,"бытовая техника","есть непогашенные кредиты"
1,4865,"арендатор","надежный",25,"женщина",34,"подержанная машина","есть непогашенные кредиты"
1,3096,"арендатор","надежный",24,"женщина",36,"бытовая техника","есть непогашенные кредиты"
1,4279,"домовладелец","ненадежный",25,"женщина",12,"новая машина","есть непогашенные кредиты"
1,3427,"без жилья","надежный",50,"мужчина (разведенный)",15,"мебель","есть непогашенные кредиты"
2,2490,"домовладелец","ненадежный",35,"мужчина (одинокий)",34,"бытовая техника","есть непогашенные кредиты"
1,10582,"домовладелец","надежный",42,"мужчина (одинокий)",49,"подержанная машина","есть непогашенные кредиты"
1,1910,"без жилья","надежный",33,"мужчина (одинокий)",27,"бытовая техника","все кредиты погашены"
1,3428,"домовладелец","надежный",40,"женщина",11,"бытовая техника","есть непогашенные кредиты"
1,1986,"домовладелец","надежный",53,"мужчина (одинокий)",9,"бытовая техника","есть непогашенные кредиты"
1,1523,"домовладелец","надежный",35,"мужчина (одинокий)",10,"бизнес","есть непогашенные кредиты"
1,1677,"домовладелец","надежный",50,"мужчина (одинокий)",4,"бытовая техника","есть непогашенные кредиты"
2,3588,"домовладелец","надежный",35,"женщина",11,"мебель","не было кредитов"
2,1251,"без жилья","ненадежный",35,"мужчина (одинокий)",12,"бытовая техника","есть просрочки платежей"
1,820,"домовладелец","ненадежный",32,"женщина",16,"образование","есть непогашенные кредиты"
1,3712,"арендатор","надежный",24,"женщина",33,"мебель","есть непогашенные кредиты"
2,1655,"домовладелец","надежный",57,"мужчина (одинокий)",7,"ремонт жилья","есть просрочки платежей"
1,4073,"домовладелец","надежный",65,"женщина",14,"ремонт жилья","есть непогашенные кредиты"
1,1495,"домовладелец","надежный",53,"мужчина (разведенный)",8,"бытовая техника","есть непогашенные кредиты"
2,5808,"домовладелец","надежный",25,"мужчина (одинокий)",39,"мебель","есть просрочки платежей"
2,1747,"домовладелец","ненадежный",29,"женщина",31,"бытовая техника","есть непогашенные кредиты"
1,1159,"домовладелец","надежный",24,"мужчина (женатый или вдовец)",17,"бытовая техника","есть непогашенные кредиты"
1,11171,"без жилья","надежный",54,"мужчина (разведенный)",22,"подержанная машина","есть непогашенные кредиты"
1,1559,"домовладелец","ненадежный",18,"мужчина (одинокий)",14,"бытовая техника","есть непогашенные кредиты"
2,5959,"домовладелец","ненадежный",28,"мужчина (женатый или вдовец)",38,"новая машина","есть просрочки платежей"
1,8945,"арендатор","надежный",19,"женщина",11,"новая машина","есть непогашенные кредиты"
1,3190,"арендатор","надежный",24,"мужчина (одинокий)",27,"бытовая техника","есть непогашенные кредиты"
1,1469,"без жилья","надежный",44,"мужчина (одинокий)",7,"бытовая техника","есть непогашенные кредиты"
1,8628,"домовладелец","надежный",41,"мужчина (одинокий)",73,"бытовая техника","есть непогашенные кредиты"
1,12993,"без жилья","ненадежный",40,"женщина",25,"подержанная машина","есть непогашенные кредиты"
1,3116,"арендатор","надежный",26,"мужчина (женатый или вдовец)",18,"подержанная машина","есть непогашенные кредиты"
1,2765,"домовладелец","надежный",44,"мужчина (одинокий)",21,"мебель","есть непогашенные кредиты"
1,2226,"домовладелец","надежный",58,"мужчина (одинокий)",18,"новая машина","есть непогашенные кредиты"
1,3315,"домовладелец","надежный",37,"мужчина (одинокий)",15,"мебель","есть непогашенные кредиты"
1,5119,"домовладелец","надежный",25,"мужчина (женатый или вдовец)",58,"образование","есть непогашенные кредиты"
4,3466,"домовладелец","надежный",39,"мужчина (одинокий)",16,"бизнес","есть просрочки платежей"
4,6623,"домовладелец","надежный",46,"мужчина (одинокий)",39,"ремонт жилья","есть непогашенные кредиты"
1,2500,"домовладелец","надежный",27,"женщина",15,"новая машина","есть непогашенные кредиты"
1,5836,"домовладелец","надежный",34,"мужчина (одинокий)",9,"подержанная машина","есть непогашенные кредиты"
4,1042,"арендатор","ненадежный",25,"женщина",14,"мебель","есть непогашенные кредиты"
1,3413,"домовладелец","надежный",34,"мужчина (одинокий)",6,"бытовая техника","есть непогашенные кредиты"
1,997,"домовладелец","ненадежный",24,"мужчина (одинокий)",10,"новая машина","есть непогашенные кредиты"
1,1869,"домовладелец","ненадежный",26,"женщина",25,"новая машина","есть непогашенные кредиты"
1,2081,"домовладелец","надежный",37,"мужчина (женатый или вдовец)",15,"новая машина","есть непогашенные кредиты"
2,1528,"домовладелец","надежный",34,"женщина",16,"новая машина","есть просрочки платежей"
2,17577,"домовладелец","ненадежный",40,"мужчина (одинокий)",36,"другое","есть просрочки платежей"
2,12297,"домовладелец","надежный",25,"женщина",29,"бытовая техника","есть просрочки платежей"
1,533,"домовладелец","надежный",24,"мужчина (женатый или вдовец)",6,"ремонт жилья","есть непогашенные кредиты"
1,1203,"арендатор","надежный",32,"женщина",17,"новая машина","есть непогашенные кредиты"
1,2890,"арендатор","надежный",32,"женщина",13,"бытовая техника","есть непогашенные кредиты"
2,4865,"домовладелец","надежный",25,"мужчина (одинокий)",58,"бизнес","есть непогашенные кредиты"
1,1429,"арендатор","ненадежный",18,"мужчина (женатый или вдовец)",12,"бытовая техника","есть непогашенные кредиты"
1,3664,"домовладелец","надежный",26,"женщина",34,"бытовая техника","есть непогашенные кредиты"
2,958,"домовладелец","надежный",50,"мужчина (одинокий)",8,"образование","есть просрочки платежей"
1,1864,"домовладелец","ненадежный",36,"мужчина (одинокий)",21,"мебель","все кредиты погашены"
1,422,"домовладелец","надежный",28,"женщина",7,"другое","есть непогашенные кредиты"
1,3474,"домовладелец","ненадежный",25,"мужчина (одинокий)",26,"бытовая техника","есть непогашенные кредиты"
1,2585,"домовладелец","ненадежный",26,"женщина",7,"мебель","есть непогашенные кредиты"
1,1327,"домовладелец","надежный",26,"женщина",16,"бытовая техника","есть непогашенные кредиты"
1,3428,"домовладелец","надежный",30,"мужчина (одинокий)",14,"новая машина","все кредиты погашены"
1,1470,"домовладелец","надежный",24,"мужчина (одинокий)",12,"бытовая техника","все кредиты погашены"
2,1990,"арендатор","ненадежный",19,"женщина",15,"мебель","есть непогашенные кредиты"
1,1892,"арендатор","надежный",43,"женщина",16,"мебель","есть непогашенные кредиты"
2,826,"домовладелец","надежный",39,"женщина",4,"другое","есть просрочки платежей"
1,4531,"домовладелец","надежный",30,"мужчина (одинокий)",29,"мебель","есть непогашенные кредиты"
2,1294,"домовладелец","надежный",54,"мужчина (одинокий)",16,"новая машина","есть просрочки платежей"
1,1758,"домовладелец","надежный",71,"женщина",18,"бытовая техника","есть непогашенные кредиты"
2,1639,"домовладелец","надежный",29,"мужчина (женатый или вдовец)",26,"бытовая техника","есть просрочки платежей"
1,3241,"арендатор","ненадежный",44,"мужчина (одинокий)",32,"мебель","есть непогашенные кредиты"
2,1149,"арендатор","ненадежный",31,"мужчина (одинокий)",11,"новая машина","не было кредитов"
1,1500,"домовладелец","ненадежный",30,"женщина",19,"новая машина","есть непогашенные кредиты"
1,3996,"домовладелец","надежный",82,"мужчина (одинокий)",24,"бизнес","есть просрочки платежей"
1,5481,"домовладелец","надежный",42,"мужчина (одинокий)",33,"мебель","есть просрочки платежей"
1,4472,"домовладелец","ненадежный",36,"мужчина (одинокий)",22,"образование","есть непогашенные кредиты"
1,3201,"арендатор","ненадежный",26,"мужчина (женатый или вдовец)",28,"бытовая техника","есть непогашенные кредиты"
1,2809,"арендатор","ненадежный",21,"женщина",28,"мебель","есть непогашенные кредиты"
1,3933,"домовладелец","надежный",33,"мужчина (одинокий)",18,"мебель","есть непогашенные кредиты"
2,1761,"без жилья","ненадежный",27,"мужчина (одинокий)",12,"новая машина","все кредиты погашены"
2,1621,"домовладелец","надежный",26,"мужчина (разведенный)",7,"новая машина","есть просрочки платежей"
1,2372,"домовладелец","ненадежный",32,"мужчина (одинокий)",22,"бытовая техника","есть непогашенные кредиты"
2,3521,"арендатор","надежный",34,"мужчина (одинокий)",12,"новая машина","есть просрочки платежей"
1,846,"домовладелец","надежный",31,"мужчина (одинокий)",10,"бытовая техника","есть непогашенные кредиты"
1,480,"домовладелец","надежный",33,"мужчина (женатый или вдовец)",7,"бытовая техника","не было кредитов"
1,14157,"без жилья","ненадежный",38,"мужчина (одинокий)",39,"новая машина","есть просрочки платежей"
1,9771,"домовладелец","надежный",28,"женщина",42,"новая машина","есть непогашенные кредиты"
2,2140,"домовладелец","ненадежный",36,"мужчина (разведенный)",16,"бизнес","есть просрочки платежей"
1,1910,"домовладелец","надежный",44,"мужчина (одинокий)",8,"образование","есть просрочки платежей"
3,3807,"домовладелец","надежный",40,"мужчина (одинокий)",12,"бытовая техника","есть просрочки платежей"
1,1257,"домовладелец","надежный",48,"мужчина (одинокий)",26,"бизнес","все кредиты погашены"
1,1467,"домовладелец","надежный",22,"мужчина (одинокий)",13,"мебель","есть непогашенные кредиты"
1,1973,"домовладелец","надежный",58,"мужчина (одинокий)",16,"новая машина","есть непогашенные кредиты"
2,6237,"домовладелец","надежный",63,"мужчина (одинокий)",47,"подержанная машина","есть просрочки платежей"
1,5915,"арендатор","ненадежный",23,"женщина",60,"бизнес","есть непогашенные кредиты"
2,5325,"домовладелец","ненадежный",35,"мужчина (одинокий)",15,"бытовая техника","есть непогашенные кредиты"
1,3887,"домовладелец","надежный",19,"мужчина (одинокий)",27,"бытовая техника","есть непогашенные кредиты"
2,1583,"арендатор","надежный",20,"женщина",23,"мебель","есть просрочки платежей"
1,1922,"домовладелец","надежный",69,"женщина",12,"новая машина","есть непогашенные кредиты"
1,3471,"арендатор","надежный",29,"мужчина (одинокий)",4,"новая машина","есть непогашенные кредиты"
1,2738,"домовладелец","надежный",32,"мужчина (одинокий)",26,"бытовая техника","есть просрочки платежей"
1,3437,"арендатор","ненадежный",31,"женщина",20,"подержанная машина","есть непогашенные кредиты"
1,1518,"без жилья","ненадежный",32,"женщина",7,"образование","все кредиты погашены"
1,2136,"домовладелец","надежный",23,"мужчина (одинокий)",19,"ремонт жилья","есть непогашенные кредиты"
2,3163,"домовладелец","ненадежный",33,"женщина",16,"новая машина","есть просрочки платежей"
2,5861,"домовладелец","надежный",33,"мужчина (одинокий)",35,"мебель","есть просрочки платежей"
2,1549,"домовладелец","надежный",27,"мужчина (одинокий)",11,"новая машина","есть просрочки платежей"
1,1072,"домовладелец","ненадежный",28,"женщина",13,"бытовая техника","есть непогашенные кредиты"
1,7255,"арендатор","ненадежный",27,"мужчина (одинокий)",70,"бизнес","есть непогашенные кредиты"
1,4120,"домовладелец","надежный",34,"мужчина (одинокий)",18,"новая машина","есть непогашенные кредиты"
2,8598,"домовладелец","надежный",28,"мужчина (одинокий)",54,"подержанная машина","есть просрочки платежей"
2,1566,"домовладелец","надежный",37,"женщина",8,"бытовая техника","есть просрочки платежей"
1,915,"арендатор","надежный",26,"мужчина (женатый или вдовец)",4,"ремонт жилья","есть непогашенные кредиты"
1,968,"домовладелец","ненадежный",35,"женщина",12,"мебель","есть непогашенные кредиты"
1,629,"без жилья","надежный",50,"мужчина (одинокий)",11,"образование","есть непогашенные кредиты"
2,3285,"домовладелец","надежный",51,"мужчина (одинокий)",20,"бытовая техника","есть просрочки платежей"
1,248,"арендатор","надежный",23,"мужчина (женатый или вдовец)",8,"новая машина","есть непогашенные кредиты"
1,688,"домовладелец","надежный",22,"мужчина (женатый или вдовец)",10,"бытовая техника","есть непогашенные кредиты"
1,8198,"домовладелец","ненадежный",26,"мужчина (женатый или вдовец)",59,"бытовая техника","есть непогашенные кредиты"
1,2899,"домовладелец","надежный",58,"женщина",17,"образование","есть просрочки платежей"
2,2375,"арендатор","надежный",26,"мужчина (женатый или вдовец)",7,"бытовая техника","есть просрочки платежей"
2,953,"домовладелец","надежный",49,"женщина",9,"новая машина","есть просрочки платежей"
1,2812,"домовладелец","надежный",35,"мужчина (одинокий)",13,"бытовая техника","есть непогашенные кредиты"
2,5483,"домовладелец","ненадежный",27,"мужчина (женатый или вдовец)",32,"новая машина","есть просрочки платежей"
1,1950,"арендатор","ненадежный",37,"мужчина (одинокий)",31,"ремонт жилья","есть непогашенные кредиты"
1,7880,"домовладелец","ненадежный",33,"женщина",63,"бытовая техника","есть непогашенные кредиты"
1,911,"домовладелец","ненадежный",53,"женщина",8,"образование","есть непогашенные кредиты"
1,3683,"домовладелец","надежный",40,"мужчина (разведенный)",23,"новая машина","есть просрочки платежей"
1,13326,"без жилья","ненадежный",53,"мужчина (одинокий)",54,"новая машина","есть непогашенные кредиты"
1,3585,"домовладелец","надежный",21,"мужчина (одинокий)",27,"мебель","все кредиты погашены"
1,4219,"домовладелец","надежный",29,"мужчина (одинокий)",42,"мебель","есть непогашенные кредиты"
1,1569,"домовладелец","надежный",29,"мужчина (одинокий)",19,"другое","не было кредитов"
1,22103,"домовладелец","ненадежный",76,"мужчина (одинокий)",5,"новая машина","есть непогашенные кредиты"
2,2015,"домовладелец","надежный",52,"мужчина (одинокий)",10,"бытовая техника","есть просрочки платежей"
2,1315,"домовладелец","надежный",25,"мужчина (одинокий)",5,"бытовая техника","есть непогашенные кредиты"
1,2839,"арендатор","надежный",44,"женщина",25,"мебель","есть непогашенные кредиты"
1,10060,"без жилья","надежный",57,"мужчина (одинокий)",9,"новая машина","есть непогашенные кредиты"
2,2598,"домовладелец","надежный",26,"мужчина (женатый или вдовец)",22,"бытовая техника","есть просрочки платежей"
2,3070,"домовладелец","надежный",34,"мужчина (разведенный)",23,"ремонт жилья","есть просрочки платежей"
1,3503,"арендатор","надежный",33,"женщина",19,"мебель","есть непогашенные кредиты"
1,2125,"домовладелец","надежный",46,"мужчина (женатый или вдовец)",12,"бытовая техника","есть непогашенные кредиты"
1,23255,"домовладелец","ненадежный",21,"мужчина (одинокий)",52,"бизнес","есть непогашенные кредиты"
2,4020,"арендатор","надежный",24,"мужчина (одинокий)",17,"подержанная машина","есть просрочки платежей"
1,1196,"арендатор","ненадежный",21,"женщина",12,"бытовая техника","есть непогашенные кредиты"
2,8257,"домовладелец","надежный",31,"мужчина (разведенный)",66,"бизнес","не было кредитов"
2,1617,"арендатор","ненадежный",34,"женщина",32,"новая машина","все кредиты погашены"
2,1988,"арендатор","надежный",51,"женщина",15,"бытовая техника","есть просрочки платежей"
1,890,"арендатор","надежный",20,"женщина",6,"мебель","есть непогашенные кредиты"
1,560,"арендатор","ненадежный",41,"мужчина (одинокий)",11,"образование","есть непогашенные кредиты"
1,2412,"домовладелец","ненадежный",21,"женщина",21,"ремонт жилья","есть непогашенные кредиты"
2,2731,"домовладелец","ненадежный",31,"мужчина (одинокий)",77,"бытовая техника","есть непогашенные кредиты"
1,5899,"домовладелец","надежный",21,"мужчина (женатый или вдовец)",32,"бизнес","есть непогашенные кредиты"
1,883,"домовладелец","ненадежный",24,"женщина",40,"новая машина","есть непогашенные кредиты"
1,2608,"арендатор","надежный",32,"мужчина (женатый или вдовец)",7,"бытовая техника","есть непогашенные кредиты"
2,8763,"без жилья","надежный",38,"женщина",37,"подержанная машина","есть просрочки платежей"
1,2363,"домовладелец","ненадежный",34,"мужчина (одинокий)",48,"образование","есть непогашенные кредиты"
1,6936,"домовладелец","ненадежный",26,"мужчина (одинокий)",30,"новая машина","есть непогашенные кредиты"
1,1508,"без жилья","ненадежный",29,"мужчина (одинокий)",11,"новая машина","есть непогашенные кредиты"
2,1922,"арендатор","надежный",33,"мужчина (одинокий)",8,"новая машина","есть просрочки платежей"
2,1958,"домовладелец","надежный",26,"мужчина (одинокий)",21,"бытовая техника","есть просрочки платежей"
2,2138,"арендатор","ненадежный",25,"женщина",21,"новая машина","не было кредитов"
1,4143,"домовладелец","ненадежный",39,"мужчина (одинокий)",14,"мебель","есть непогашенные кредиты"
1,1732,"домовладелец","надежный",37,"мужчина (одинокий)",10,"новая машина","есть просрочки платежей"
1,2194,"домовладелец","надежный",36,"мужчина (женатый или вдовец)",13,"бытовая техника","есть непогашенные кредиты"
