"Year_end","Class","TeamSize","ShortName","Year_begin","Status","OlympiadType","Subject"
2016,5,3,"ГБОУ школа № 814",2015,"призёр","Московская олимпиада","Технология"
2014,11,4,"ГБОУ СОШ № 1270",2013,"призёр","Всероссийская олимпиада","Литература"
2014,7,4,"ГБОУ СОШ № 1188",2013,"призёр","Московская олимпиада","Изобразительное искусство"
2020,9,4,"ГБОУ школа № 57",2019,"призёр","Всероссийская олимпиада","Обществознание"
2017,11,5,"ГБОУ лицей № 1535",2016,"победитель","Московская олимпиада","Экономика"
2019,11,3,"ГБОУ школа «Интеллектуал»",2018,"призёр","Всероссийская олимпиада","Информатика"
2015,10,4,"МАОУ «Лицей города Троицка»",2014,"призёр","Всероссийская олимпиада","Физика"
2016,11,4,"ГБОУ лицей № 1547",2015,"призёр","Районная олимпиада","Биология"
2013,11,5,"ГБОУ школа № 123",2012,"призёр","Районная олимпиада","История"
2018,9,5,"ГБОУ школа № 1557",2017,"призёр","Районная олимпиада","Физика"
2016,11,4,"ГБОУ «Школа на Яузе»",2015,"призёр","Всероссийская олимпиада","Иностранный язык (французский язык)"
2020,9,5,"ГБОУ школа № 1799",2019,"призёр","Всероссийская олимпиада","История"
2018,6,4,"ГБОУ школа № 554",2017,"призёр","Московская олимпиада","Математика"
2018,11,3,"ГБОУ школа № 1018",2017,"призёр","Всероссийская олимпиада","Литература"
2017,6,3,"ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора",2016,"победитель","Московская олимпиада","Изобразительное искусство"
2015,10,4,"ГБОУ лицей № 1568",2014,"призёр","Районная олимпиада","Иностранный язык (французский язык)"
2019,10,4,"ГБОУ школа № 185",2018,"призёр","Всероссийская олимпиада","Экология"
2019,8,3,"ГБОУ школа «Кузьминки»",2018,"призёр","Московская олимпиада","Химия"
2020,11,3,"лицей НИУ ВШЭ",2019,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2017,10,3,"ГБОУ лицей № 1535",2016,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2017,11,3,"ГБОУ школа № 2104 на Таганке",2016,"призёр","Районная олимпиада","Право"
2017,11,3,"ГБОУ школа № 1912",2016,"победитель","Московская олимпиада","Изобразительное искусство"
2018,5,5,"ГБОУ школа № 1416",2017,"победитель","Московская олимпиада","Изобразительное искусство"
2020,10,5,"ОАНО «Школа «ЛЕТОВО»",2019,"победитель","Всероссийская олимпиада","астрономия"
2015,10,5,"ГБОУ гимназия № 1534",2014,"призёр","Районная олимпиада","География"
2018,11,5,"ГБОУ школа № 1194",2017,"призёр","Всероссийская олимпиада","Технология"
2017,10,3,"ГБОУ гимназия № 1531",2016,"призёр","Всероссийская олимпиада","Право"
2020,10,5,"ГБОУ школа № 2036",2019,"призёр","Всероссийская олимпиада","История"
2017,6,4,"ГБОУ лицей № 1571",2016,"призёр","Московская олимпиада","Биология"
2014,10,3,"ГБОУ школа № 1252 имени Сервантеса",2013,"призёр","Московская олимпиада","Иностранный язык (испанский язык)"
2015,5,5,"ГБОУ гимназия № 1504",2014,"призёр","Московская олимпиада","Изобразительное искусство"
2018,11,3,"ГБОУ школа № 1222",2017,"победитель","Московская олимпиада","Обществознание"
2016,8,3,"ГБОУ школа № 641 имени С. Есенина",2015,"призёр","Московская олимпиада","Робототехника"
2020,10,5,"ГБОУ школа № 185",2019,"призёр","Районная олимпиада","Мировая Художественная Культура (МХК)"
2019,11,4,"СУНЦ МГУ",2018,"призёр","Всероссийская олимпиада","Математика"
2015,11,4,"ГБОУ школа № 192",2014,"призёр","Всероссийская олимпиада","Химия"
2019,8,4,"ГБОУ школа № 1575",2018,"призёр","Московская олимпиада","филология"
2017,10,5,"ГБОУ гимназия № 1514",2016,"призёр","Всероссийская олимпиада","Экономика"
2019,10,4,"ГБОУ школа № 1529 имени А. С. Грибоедова",2018,"призёр","Всероссийская олимпиада","Литература"
2019,6,4,"ГБОУ школа № 236",2018,"призёр","Московская олимпиада","Изобразительное искусство"
2018,9,5,"ГБОУ школа № 185",2017,"призёр","Районная олимпиада","Экология"
2014,8,3,"ГБОУ СОШ № 1388",2013,"призёр","Московская олимпиада","Биология"
2014,11,5,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013,"призёр","Всероссийская олимпиада","Физика"
2015,11,3,"ГБОУ лицей № 1574",2014,"призёр","Всероссийская олимпиада","Химия"
2015,11,3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014,"призёр","Всероссийская олимпиада","Информатика"
2015,10,3,"ГБОУ школа № 2095",2014,"призёр","Районная олимпиада","Иностранный язык (английский язык)"
2018,11,5,"ГБОУ школа № 1558 имени Росалии де Кастро",2017,"призёр","Всероссийская олимпиада","Иностранный язык (испанский язык)"
2014,11,5,"ГБОУ лицей № 1303",2013,"призёр","Всероссийская олимпиада","Биология"
2018,11,5,"ГБОУ школа № 1381",2017,"призёр","Всероссийская олимпиада","Экология"
2018,9,5,"ГБОУ школа № 179",2017,"призёр","Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2019,9,4,"ГБОУ школа № 2007 ФМШ",2018,"призёр","Московская олимпиада","Математика"
2017,10,3,"ГБОУ школа № 171",2016,"призёр","Московская олимпиада","Математика"
2017,11,5,"ГБОУ лицей № 1501",2016,"призёр","Всероссийская олимпиада","Биология"
2018,10,3,"ГБОУ школа № 2007 ФМШ",2017,"призёр","Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2015,9,5,"ГБОУ школа № 285",2014,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2016,11,4,"ГБОУ школа № 1955",2015,"призёр","Всероссийская олимпиада","Литература"
2019,7,5,"ГБОУ школа № 1000",2018,"призёр","Всероссийская олимпиада","Технология"
2016,5,3,"ГБОУ школа № 1363",2015,"победитель","Московская олимпиада","Изобразительное искусство"
2020,11,3,"ГБОУ школа № 625",2019,"призёр","Всероссийская олимпиада","Обществознание"
2016,9,3,"ГБОУ школа № 2006",2015,"призёр","Всероссийская олимпиада","Физическая культура"
2018,9,4,"ГБОУ школа № 57",2017,"призёр","Московская олимпиада","Математика"
2020,9,4,"ГБОУ школа № 554",2019,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2013,10,5,"ГБОУ лицей «Вторая школа»",2012,"призёр","Всероссийская олимпиада","Физика"
2018,9,3,"ГБОУ школа № 1535",2017,"призёр","Районная олимпиада","Русский язык"
2017,11,3,"ГБОУ гимназия № 1567",2016,"победитель","Всероссийская олимпиада","Биология"
2013,11,4,"ГБОУ ЦО № 1816",2012,"призёр","Всероссийская олимпиада","История"
2019,10,3,"ГБОУ школа № 962",2018,"призёр","Районная олимпиада","История"
2018,5,3,"ГБОУ «Школа № 597 «Новое Поколение»",2017,"призёр","Московская олимпиада","География"
2016,11,4,"ГБОУ школа № 1282",2015,"призёр","Районная олимпиада","Иностранный язык (английский язык)"
2020,10,5,"ГБОУ школа № 15",2019,"призёр","Всероссийская олимпиада","Химия"
2018,6,5,"ГБОУ школа № 2006",2017,"призёр","Московская олимпиада","География"
2017,11,5,"ГБОУ школа № 1270",2016,"призёр","Всероссийская олимпиада","История"
2018,11,4,"ГБОУ школа № 1504",2017,"победитель","Районная олимпиада","Физическая культура"
2017,10,5,"ГБОУ гимназия № 1583",2016,"призёр","Московская олимпиада","Право"
2019,10,4,"ГБОУ «Лицей «Вторая школа»",2018,"победитель","Московская олимпиада","Математика"
2020,11,5,"Финансовый университет",2019,"призёр","Всероссийская олимпиада","Право"
2019,7,4,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2018,"призёр","Московская олимпиада","Изобразительное искусство"
2019,5,5,"ГБОУ школа № 1575",2018,"призёр","Московская олимпиада","филология"
2019,10,3,"лицей НИУ ВШЭ",2018,"призёр","Всероссийская олимпиада","Обществознание"
2014,9,3,"ГБОУ СОШ № 1207",2013,"призёр","Московская олимпиада","Обществознание"
2018,8,3,"ГБОУ школа № 1374",2017,"призёр","Московская олимпиада","филология"
2014,10,3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013,"призёр","Московская олимпиада","Информатика"
2015,9,3,"ГАОУ ВО МИОО. СОШ № 179",2014,"победитель","Всероссийская олимпиада","Информатика"
2018,9,4,"ГБОУ школа № 1195",2017,"призёр","Районная олимпиада","Технология"
2019,10,5,"ГБОУ школа № 1580",2018,"победитель","Московская олимпиада","Информационные технологии в профессиональной деятельности"
2019,9,4,"ГБОУ школа № 1273",2018,"призёр","Всероссийская олимпиада","Экономика"
2020,11,5,"ГБОУ школа № 1589",2019,"призёр","Всероссийская олимпиада","Биология"
2017,9,4,"ГБОУ Московская гимназия на Юго-Западе № 1543",2016,"призёр","Всероссийская олимпиада","Биология"
2018,9,4,"ГБОУ школа № 2007 ФМШ",2017,"призёр","Районная олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2020,9,3,"ГБОУ школа № 179",2019,"призёр","Всероссийская олимпиада","Информатика"
2020,11,4,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2019,"призёр","Всероссийская олимпиада","Математика"
2018,11,5,"ГБОУ школа № 2107",2017,"призёр","Всероссийская олимпиада","Иностранный язык (французский язык)"
2014,10,3,"ГБОУ гимназия № 1514",2013,"призёр","Всероссийская олимпиада","Мировая Художественная Культура (МХК)"
2016,10,3,"ГБОУ лицей № 86 имени М.Е. Катукова",2015,"призёр","Всероссийская олимпиада","История"
2018,8,3,"ГБОУ школа № 199",2017,"призёр","Московская олимпиада","Физика"
2017,11,4,"ГБОУ школа № 2065",2016,"призёр","Всероссийская олимпиада","Экология"
2013,11,5,"ГБОУ лицей № 1535",2012,"призёр","Московская олимпиада","Экономика"
2018,9,3,"ФГКОУ «МКК ПВ МО РФ»",2017,"призёр","Всероссийская олимпиада","Биология"
2013,11,3,"ГБОУ СОШ № 1301 им. Е.Т. Гайдара",2012,"призёр","Районная олимпиада","Обществознание"
2020,9,4,"АНО «ОШ центра педагогического мастерства»",2019,"призёр","Районная олимпиада","Мировая Художественная Культура (МХК)"
2020,9,5,"ГБОУ школа № 1502",2019,"призёр","Всероссийская олимпиада","Биология"
2015,10,3,"ГБОУ гимназия № 1290",2014,"призёр","Всероссийская олимпиада","Обществознание"
2016,6,4,"ГБОУ гимназия № 1290",2015,"призёр","Московская олимпиада","Технология"
2018,7,4,"ГБОУ школа № 1637",2017,"призёр","Московская олимпиада","Изобразительное искусство"
2016,11,4,"ГБОУ школа № 2095",2015,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2013,11,4,"ГБОУ СОШ № 510",2012,"призёр","Всероссийская олимпиада","История"
2016,10,4,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2015,"призёр","Всероссийская олимпиада","Литература"
2019,11,4,"ОЧУ СОШ «Потенциал»",2018,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2017,10,4,"ГБОУ гимназия № 1503",2016,"призёр","Районная олимпиада","Химия"
2018,9,5,"ОАНО школа «Ника»",2017,"призёр","Всероссийская олимпиада","Литература"
2016,6,3,"ГБОУ школа № 57",2015,"призёр","Московская олимпиада","Математика"
2014,7,3,"ГБОУ гимназия № 1518",2013,"призёр","Московская олимпиада","Экономика"
2017,10,5,"ГАОУ ВО МИОО. СОШ № 179",2016,"призёр","Районная олимпиада","Математика"
2015,8,5,"ГБОУ гимназия № 1514",2014,"призёр","Московская олимпиада","Право"
2014,8,4,"ГБОУ СОШ № 233",2013,"победитель","Московская олимпиада","Изобразительное искусство"
2013,7,4,"ГБОУ СОШ № 1189",2012,"победитель","Московская олимпиада","География"
2020,10,5,"ГБОУ школа № 1502",2019,"призёр","Всероссийская олимпиада","Биология"
2017,10,3,"ГБОУ ММГ",2016,"призёр","Всероссийская олимпиада","Литература"
2020,11,4,"ГБОУ школа № 2009",2019,"призёр","Всероссийская олимпиада","Русский язык"
2013,10,5,"ГБОУ СОШ № 444",2012,"призёр","Районная олимпиада","Право"
2018,10,3,"ГБОУ школа № 1231",2017,"призёр","Всероссийская олимпиада","Иностранный язык (немецкий язык)"
2018,10,4,"ГБОУ школа № 1535",2017,"призёр","Всероссийская олимпиада","Обществознание"
2020,11,5,"ГАОУ «Школа № 1518»",2019,"призёр","Всероссийская олимпиада","Литература"
2018,11,3,"ГБОУ школа № 138",2017,"победитель","Московская олимпиада","Обществознание"
2015,10,3,"ГБОУ гимназия № 1409",2014,"призёр","Всероссийская олимпиада","Литература"
2015,11,5,"ГБОУ школа № 1319",2014,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2016,11,3,"ГБОУ лицей № 1501",2015,"призёр","Всероссийская олимпиада","Иностранный язык (немецкий язык)"
2020,11,3,"ГБОУ школа № 1284",2019,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2013,10,5,"ГБОУ ЦО № 57",2012,"призёр","Московская олимпиада","Физика"
2014,8,3,"ГБОУ ЦО № 57",2013,"призёр","Московская олимпиада","Экономика"
2014,11,5,"ГБОУ гимназия № 1539",2013,"призёр","Всероссийская олимпиада","Биология"
2019,9,3,"ГБОУ школа № 2123 им. М. Эрнандеса",2018,"призёр","Всероссийская олимпиада","Иностранный язык (испанский язык)"
2020,9,5,"ГБОУ школа № 1130",2019,"призёр","Всероссийская олимпиада","Обществознание"
2013,7,4,"ГБОУ ЦО № 57",2012,"призёр","Московская олимпиада","Математика"
2014,5,4,"ГБОУ гимназия № 1576",2013,"призёр","Московская олимпиада","Изобразительное искусство"
2018,9,3,"ГБОУ школа № 1375",2017,"призёр","Районная олимпиада","Экология"
2013,10,3,"ГБОУ гимназия № 1591",2012,"призёр","Всероссийская олимпиада","Экология"
2020,10,5,"лицей НИУ ВШЭ",2019,"победитель","Всероссийская олимпиада","Мировая Художественная Культура (МХК)"
2020,10,4,"ГБОУ школа № 2007 ФМШ",2019,"призёр","Всероссийская олимпиада","Физика"
2017,10,3,"ГБОУ лицей № 1535",2016,"призёр","Всероссийская олимпиада","Русский язык"
2015,11,3,"ГБОУ кадетская школа № 1702 «Петровский кадетский корпус»",2014,"победитель","Районная олимпиада","Основы безопасности жизнедеятельности"
2020,10,5,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2019,"призёр","Всероссийская олимпиада","астрономия"
2014,10,5,"ГБОУ СОШ № 192",2013,"призёр","Всероссийская олимпиада","Биология"
2015,7,5,"ГБОУ «Школа-интернат «Интеллектуал»",2014,"призёр","Московская олимпиада","Математика"
2019,11,3,"ГБОУ школа № 1213",2018,"победитель","Московская олимпиада","Изобразительное искусство"
2015,9,4,"ГБОУ лицей «Вторая школа»",2014,"призёр","Московская олимпиада","Математика"
2018,9,4,"ГБОУ школа № 962",2017,"призёр","Всероссийская олимпиада","География"
2019,9,5,"ГБОУ школа № 152",2018,"призёр","Всероссийская олимпиада","Литература"
2017,7,5,"ГБОУ школа № 1329",2016,"победитель","Московская олимпиада","Физика"
2019,10,5,"ГБОУ школа № 57",2018,"призёр","Московская олимпиада","Математика"
2017,9,3,"ГБОУ лицей № 1537",2016,"призёр","Всероссийская олимпиада","Физика"
2016,7,4,"ГБОУ гимназия № 1551",2015,"победитель","Московская олимпиада","История"
2018,9,4,"ГБОУ школа № 657",2017,"призёр","Московская олимпиада","Обществознание"
2013,9,5,"ГБОУ гимназия № 1567",2012,"призёр","Всероссийская олимпиада","Биология"
2013,7,4,"ГБОУ лицей «Вторая школа»",2012,"призёр","Московская олимпиада","Математика"
2015,6,4,"ГБОУ школа № 1741",2014,"победитель","Московская олимпиада","Изобразительное искусство"
2013,9,3,"ГБОУ СОШ № 192",2012,"призёр","Всероссийская олимпиада","Биология"
2018,11,5,"ГБОУ школа № 1514",2017,"призёр","Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2014,11,3,"ГБОУ СОШ № 1199 «Лига Школ»",2013,"призёр","Всероссийская олимпиада","Мировая Художественная Культура (МХК)"
2013,11,4,"ГАОУ ВО МИОО. СОШ № 179",2012,"призёр","Всероссийская олимпиада","Биология"
2019,8,4,"ГБОУ школа № 1534",2018,"призёр","Московская олимпиада","Физика"
2020,10,4,"ГБОУ школа № 171",2019,"призёр","Всероссийская олимпиада","Технология"
2015,10,3,"ГБОУ СОШ № 1955",2014,"призёр","Московская олимпиада","Изобразительное искусство"
2016,11,4,"ГБОУ Московская гимназия на Юго-Западе № 1543",2015,"призёр","Всероссийская олимпиада","Биология"
2018,11,4,"ГБОУ школа № 1520 им. Капцовых",2017,"призёр","Московская олимпиада","филология"
2013,11,3,"ГБОУ лицей № 1557",2012,"призёр","Всероссийская олимпиада","Математика"
2014,6,5,"ГБОУ СОШ № 1100",2013,"призёр","Московская олимпиада","Экономика"
2019,11,4,"ГБОУ школа № 853",2018,"призёр","Районная олимпиада","Химия"
2019,8,5,"ГБОУ школа № 1543",2018,"призёр","Московская олимпиада","филология"
2015,11,5,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014,"призёр","Всероссийская олимпиада","Математика"
2020,9,4,"ГБОУ школа № 1449",2019,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2018,6,3,"ГБОУ школа № 185",2017,"призёр","Московская олимпиада","Технология"
2018,6,5,"ГБОУ школа № 827",2017,"призёр","Московская олимпиада","Биология"
2018,11,5,"ГБОУ лицей «Вторая школа»",2017,"призёр","Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2019,10,5,"ГБОУ школа № 2126 «Перово»",2018,"призёр","Всероссийская олимпиада","Литература"
2018,10,4,"ГБОУ школа № 323",2017,"призёр","Всероссийская олимпиада","Технология"
2015,7,3,"ГБОУ гимназия № 1637",2014,"победитель","Московская олимпиада","Изобразительное искусство"
2015,9,5,"ГБОУ ЦО № 57",2014,"призёр","Всероссийская олимпиада","Обществознание"
2020,11,4,"ГБОУ «Школа Глория»",2019,"призёр","Районная олимпиада","Иностранный язык (английский язык)"
2018,7,3,"ГБОУ школа № 1551",2017,"призёр","Московская олимпиада","Изобразительное искусство"
2015,6,4,"ГБОУ школа № 293",2014,"призёр","Московская олимпиада","Изобразительное искусство"
2020,10,4,"ГБОУ школа № 1770",2019,"призёр","Всероссийская олимпиада","Литература"
2015,5,3,"ГБОУ школа № 1288",2014,"призёр","Московская олимпиада","История"
