"Year_begin","OlympiadType","Year_end","ShortName","Class","Status","Subject","TeamSize"
2018,"Районная олимпиада",2019,"ГБОУ школа № 1543",11,"победитель","Литература",4
2013,"Московская олимпиада",2014,"ГБОУ СОШ № 1104",11,"победитель","Обществознание",3
2018,"Районная олимпиада",2019,"ГБОУ школа № 15",11,"призёр","Биология",4
2013,"Всероссийская олимпиада",2014,"ГБОУ ЦО «Школа здоровья» № 1317",11,"призёр","История",4
2016,"Всероссийская олимпиада",2017,"СУНЦ МГУ",10,"призёр","Экология",4
2016,"Всероссийская олимпиада",2017,"ГБОУ лицей № 1557",11,"призёр","Право",4
2015,"Всероссийская олимпиада",2016,"ГБОУ лицей № 1501",11,"призёр","Иностранный язык (французский язык)",3
2017,"Московская олимпиада",2018,"ГБОУ школа № 1191",8,"призёр","Биология",3
2014,"Московская олимпиада",2015,"ГБОУ лицей № 1568",8,"призёр","Химия",3
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 498",10,"призёр","Физическая культура",3
2019,"Районная олимпиада",2020,"ГБОУ школа № 179",11,"призёр","Информатика",4
2015,"Всероссийская олимпиада",2016,"МАОУ «Гимназия г. Троицка»",9,"призёр","Экология",5
2012,"Московская олимпиада",2013,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,"призёр","Математика",5
2014,"Районная олимпиада",2015,"ГБОУ школа № 1106",11,"призёр","Иностранный язык (английский язык)",3
2013,"Московская олимпиада",2014,"ГБОУ гимназия № 1518",7,"призёр","Экономика",3
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 1434",11,"призёр","Литература",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 2097",10,"призёр","Литература",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 179",9,"призёр","Физика",4
2015,"Районная олимпиада",2016,"ГБОУ школа № 2086",9,"призёр","Информатика",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1514",9,"призёр","Русский язык",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 179",11,"призёр","астрономия",5
2014,"Всероссийская олимпиада",2015,"ГБОУ СОШ № 1297",9,"призёр","Мировая Художественная Культура (МХК)",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 2036",10,"призёр","Основы безопасности жизнедеятельности",4
2014,"Всероссийская олимпиада",2015,"ГБОУ СОШ № 1366",9,"призёр","Русский язык",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1980",9,"призёр","Литература",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 179",11,"призёр","Математика",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1797",10,"призёр","История",5
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 444",9,"призёр","астрономия",4
2016,"Московская олимпиада",2017,"ГБОУ школа № 1101",8,"призёр","История",4
2016,"Районная олимпиада",2017,"ГБОУ школа № 57",10,"призёр","Математика",3
2016,"Всероссийская олимпиада",2017,"ГБОУ гимназия № 1541",9,"призёр","Мировая Художественная Культура (МХК)",5
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора",9,"призёр","Биология",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1251 имени генерала Шарля де Голля",10,"призёр","Иностранный язык (французский язык)",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1530 «Школа Ломоносова»",9,"призёр","Обществознание",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1411",11,"призёр","Мировая Художественная Культура (МХК)",4
2018,"Московская олимпиада",2019,"МАОУ «Гимназия г. Троицка»",6,"призёр","География",5
2014,"Московская олимпиада",2015,"ГБОУ школа № 626",7,"победитель","Изобразительное искусство",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1409",11,"призёр","Обществознание",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 57",10,"призёр","Биология",5
2017,"Районная олимпиада",2018,"ГБОУ школа № 57",9,"призёр","астрономия",5
2015,"Московская олимпиада",2016,"ГБОУ Физматшкола № 2007",7,"призёр","Математика",5
2016,"Московская олимпиада",2017,"ГБОУ школа № 641 имени С. Есенина",6,"призёр","Биология",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1852",11,"призёр","Экология",4
2015,"Московская олимпиада",2016,"ГБОУ школа № 825",8,"призёр","филология",5
2016,"Всероссийская олимпиада",2017,"ГБПОУ ОК «Юго-Запад»",11,"призёр","Химия",3
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 1234",11,"призёр","Иностранный язык (немецкий язык)",5
2018,"Всероссийская олимпиада",2019,"ОАНО «Школа «ЛЕТОВО»",9,"призёр","Математика",3
2012,"Московская олимпиада",2013,"ГБОУ СОШ № 1375",6,"призёр","Изобразительное искусство",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1574",11,"призёр","Биология",5
2015,"Всероссийская олимпиада",2016,"ГБОУ ЦО № 1858",11,"призёр","Русский язык",4
2014,"Районная олимпиада",2015,"ГБОУ гимназия № 1514",11,"призёр","Литература",3
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 719",11,"призёр","Обществознание",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1329",9,"победитель","Право",5
2017,"Районная олимпиада",2018,"ГБОУ школа № 2126 «Перово»",9,"призёр","География",5
2013,"Московская олимпиада",2014,"ГБОУ Лингвистический лицей № 1555",11,"призёр","лингвистика",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 201",10,"призёр","Обществознание",4
2014,"Всероссийская олимпиада",2015,"ГБОУ Многопрофильный лицей № 1799",11,"победитель","Обществознание",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 1557",6,"призёр","Бюджетная грамотность",4
2017,"Московская олимпиада",2018,"ГБОУ школа № 2007 ФМШ",8,"призёр","Физика",4
2019,"Всероссийская олимпиада",2020,"ЧОУ «СОШ «НАШИ ПЕНАТЫ»",10,"победитель","Математика",5
2012,"Всероссийская олимпиада",2013,"ГБОУ лицей «Вторая школа»",9,"призёр","Математика",5
2016,"Всероссийская олимпиада",2017,"ГБОУ гимназия № 1520 им. Капцовых",11,"призёр","Иностранный язык (французский язык)",3
2018,"Московская олимпиада",2019,"ГБОУ школа № 1288",9,"победитель","Информатика",5
2013,"Московская олимпиада",2014,"НОУ ЦО «Школа Сотрудничества»",4,"победитель","Изобразительное искусство",4
2016,"Всероссийская олимпиада",2017,"ГБОУ гимназия № 1542",11,"призёр","История",3
2016,"Московская олимпиада",2017,"ГБОУ ЛГК на Юго-Востоке",9,"призёр","Химия",5
2012,"Московская олимпиада",2013,"ГБОУ СОШ № 654 имени А.Д. Фридмана",6,"призёр","Математика",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1512",11,"призёр","Искусство (МХК)",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 57",11,"победитель","Информатика",5
2017,"Всероссийская олимпиада",2018,"ГБОУ школа на проспекте Вернадского",11,"призёр","Химия",5
2012,"Районная олимпиада",2013,"ГБОУ ЦО № 57",11,"призёр","История",4
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 1324",10,"победитель","Литература",4
2013,"Московская олимпиада",2014,"ГБОУ Физматшкола 2007",6,"призёр","Математика",4
2017,"Всероссийская олимпиада",2018,"ГБОУ Шуваловская школа № 1448",11,"призёр","Право",3
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 218",10,"призёр","Химия",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 117",9,"победитель","Основы безопасности жизнедеятельности",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1288",9,"призёр","Физическая культура",3
2018,"Районная олимпиада",2019,"ГБОУ школа № 1589",9,"призёр","Биология",4
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 1329",10,"призёр","Информатика",3
2019,"Всероссийская олимпиада",2020,"ГБОУ «Школа Глория»",9,"призёр","История",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1252",9,"призёр","Иностранный язык (испанский язык)",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 657",8,"призёр","Технология",3
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 1265",10,"призёр","Иностранный язык (французский язык)",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 2033",5,"призёр","Экология",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 2007 ФМШ",9,"призёр","История",5
2016,"Московская олимпиада",2017,"ГБОУ школа № 97",6,"призёр","Биология",4
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 218",9,"призёр","Химия",3
2014,"Московская олимпиада",2015,"ГБОУ школа № 1252 имени Сервантеса",10,"призёр","Иностранный язык (испанский язык)",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1543",11,"призёр","Мировая Художественная Культура (МХК)",4
2013,"Районная олимпиада",2014,"ГБОУ ЦО № 1953 «Москва-98»",11,"призёр","Иностранный язык (английский язык)",4
2018,"Всероссийская олимпиада",2019,"университетская гимназия",10,"победитель","Обществознание",4
2016,"Всероссийская олимпиада",2017,"ГАОУ ЦО № 548",10,"призёр","Иностранный язык (китайский язык)",4
2017,"Районная олимпиада",2018,"ГБОУ школа № 2007 ФМШ",11,"призёр","Математика",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1569 «Созвездие»",11,"призёр","Мировая Художественная Культура (МХК)",3
2013,"Всероссийская олимпиада",2014,"ГБОУ лицей № 1547",11,"призёр","География",4
2016,"Московская олимпиада",2017,"ГБОУ школа № 853",7,"призёр","Математика",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 2033",10,"призёр","Обществознание",5
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 179",10,"призёр","астрономия",4
2014,"Московская олимпиада",2015,"ГБОУ школа № 1194",9,"призёр","Химия",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 1536",11,"победитель","Экономика",3
2018,"Районная олимпиада",2019,"университетская гимназия",11,"призёр","Мировая Художественная Культура (МХК)",3
2018,"Всероссийская олимпиада",2019,"лицей НИУ ВШЭ",11,"призёр","Обществознание",3
2019,"Районная олимпиада",2020,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,"призёр","Физика",5
2014,"Московская олимпиада",2015,"ГБОУ школа № 2055",8,"призёр","Изобразительное искусство",4
2017,"Районная олимпиада",2018,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",11,"призёр","Информатика и Информационно-коммуникационные технологии (ИКТ)",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 179",8,"призёр","Математика",4
2017,"Московская олимпиада",2018,"ГБОУ школа № 2054",9,"призёр","Изобразительное искусство",5
2015,"Районная олимпиада",2016,"ГБОУ гимназия № 1576",11,"призёр","Биология",5
2015,"Всероссийская олимпиада",2016,"ГБОУ гимназия № 1798 «Феникс»",11,"призёр","Иностранный язык (французский язык)",3
2015,"Районная олимпиада",2016,"ГБОУ Московская гимназия на Юго-Западе № 1543",9,"победитель","Литература",3
2013,"Всероссийская олимпиада",2014,"ГБОУ Физматшкола 2007",10,"призёр","Физика",4
2016,"Всероссийская олимпиада",2017,"ГБПОУ «Воробьевы горы»",9,"призёр","Физика",5
2016,"Всероссийская олимпиада",2017,"ГАОУ ВО МИОО. СОШ № 179",11,"призёр","астрономия",5
2013,"Всероссийская олимпиада",2014,"ГБОУ лицей «Вторая школа»",9,"призёр","Математика",5
2016,"Всероссийская олимпиада",2017,"ГБОУ Московская гимназия на Юго-Западе № 1543",11,"призёр","Биология",3
2016,"Московская олимпиада",2017,"ГБОУ школа № 1980",11,"призёр","Изобразительное искусство",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 852",10,"призёр","География",4
2016,"Московская олимпиада",2017,"ГБОУ гимназия № 1637",5,"призёр","Изобразительное искусство",5
2016,"Московская олимпиада",2017,"ГБОУ школа № 218",9,"призёр","Химия",3
2018,"Районная олимпиада",2019,"ГБОУ школа № 507",11,"призёр","Биология",4
2019,"Всероссийская олимпиада",2020,"ГБОУ «Московская международная школа»",10,"призёр","Обществознание",5
2019,"Всероссийская олимпиада",2020,"университетская гимназия",11,"призёр","Русский язык",5
2014,"Московская олимпиада",2015,"ГБОУ ЦО № 57",10,"призёр","Математика",4
2018,"Районная олимпиада",2019,"ГБОУ школа № 152",10,"призёр","Иностранный язык (английский язык)",5
2018,"Районная олимпиада",2019,"ГБОУ школа № 625",10,"призёр","Обществознание",4
2014,"Районная олимпиада",2015,"ГБОУ школа № 1329",9,"победитель","Математика",4
2016,"Всероссийская олимпиада",2017,"ГАОУ ВО МИОО. СОШ № 179",10,"призёр","Информатика",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1371 «Крылатское»",9,"призёр","Технология",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа на проспекте Вернадского",9,"призёр","Литература",5
2016,"Московская олимпиада",2017,"ГБОУ школа № 851",11,"призёр","Химия",5
2013,"Московская олимпиада",2014,"ГБОУ Физматшкола 2007",6,"призёр","Математика",4
2014,"Районная олимпиада",2015,"ГБОУ ЦО № 57",9,"призёр","Русский язык",5
2015,"Районная олимпиада",2016,"ГБОУ школа № 117",10,"призёр","Мировая Художественная Культура (МХК)",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 2101",11,"призёр","Физика",3
2013,"Районная олимпиада",2014,"ГБОУ СОШ № 1384 им. А.А. Леманского",9,"призёр","Основы безопасности жизнедеятельности",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 444",6,"призёр","Математика",4
2015,"Московская олимпиада",2016,"ГБОУ школа № 667",6,"призёр","Технология",3
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 9",10,"призёр","Физическая культура",5
2014,"Всероссийская олимпиада",2015,"ГБОУ гимназия № 1529",11,"призёр","Биология",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 825",10,"призёр","Русский язык",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1179",9,"призёр","Физическая культура",4
2015,"Районная олимпиада",2016,"ГБОУ школа № 1273",11,"призёр","Литература",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 2126 «Перово»",11,"призёр","История",3
2013,"Московская олимпиада",2014,"ГБОУ гимназия № 1518",8,"призёр","предпринимательство",5
2015,"Районная олимпиада",2016,"ГБОУ лицей № 1533",10,"призёр","Математика",4
2016,"Московская олимпиада",2017,"СУНЦ МГУ",11,"призёр","Химия",4
2019,"Районная олимпиада",2020,"лицей НИУ ВШЭ",11,"призёр","Мировая Художественная Культура (МХК)",5
2012,"Всероссийская олимпиада",2013,"ГАОУ ВО МИОО. СОШ № 179",10,"призёр","Информатика",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 1944",10,"победитель","История",5
2014,"Всероссийская олимпиада",2015,"ГБОУ гимназия № 1567",10,"призёр","Литература",3
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 1251 имени генерала Шарля де Голля",10,"призёр","Русский язык",4
2015,"Московская олимпиада",2016,"ГБОУ школа № 2127",6,"призёр","Технология",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 179",11,"призёр","Математика",4
2015,"Всероссийская олимпиада",2016,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,"призёр","Информатика",5
2012,"Всероссийская олимпиада",2013,"ГБОУ СОШ № 1148",10,"призёр","Мировая Художественная Культура (МХК)",4
2016,"Московская олимпиада",2017,"ГБОУ лицей № 1561",11,"победитель","Химия",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1534",9,"призёр","Обществознание",4
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 1944",9,"призёр","Литература",5
2017,"Районная олимпиада",2018,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",10,"призёр","астрономия",3
2014,"Районная олимпиада",2015,"ГБОУ школа № 199",9,"призёр","Биология",4
2014,"Московская олимпиада",2015,"ГБОУ СОШ № 167 имени Маршала Л.А. Говорова",5,"призёр","Технология",5
2012,"Московская олимпиада",2013,"ГБОУ лицей № 1523",9,"призёр","Информатика",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 179",8,"победитель","Информатика",3
2016,"Всероссийская олимпиада",2017,"ОЧУ СОШ «Классика»",9,"призёр","Право",5
2017,"Московская олимпиада",2018,"ФГКОУ «МКК ПВ МО РФ»",7,"призёр","Изобразительное искусство",5
2016,"Районная олимпиада",2017,"ГБОУ школа № 1223",9,"призёр","Право",5
2013,"Московская олимпиада",2014,"ГБОУ ЦО № 1491",7,"победитель","География",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 1501",7,"призёр","Информатика",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 1246",4,"призёр","филология",3
2012,"Московская олимпиада",2013,"ГБОУ лицей «Вторая школа»",7,"призёр","Математика",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1133",10,"призёр","Литература",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 867",11,"призёр","Право",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1474",10,"призёр","Основы безопасности жизнедеятельности",5
2018,"Всероссийская олимпиада",2019,"лицей НИУ ВШЭ",10,"призёр","Обществознание",3
2013,"Московская олимпиада",2014,"ГБОУ школа № 2077",3,"призёр","Изобразительное искусство",5
2018,"Районная олимпиада",2019,"ГБОУ школа № 1589",11,"победитель","Химия",4
2013,"Московская олимпиада",2014,"ГБОУ Государственная столичная гимназия",7,"призёр","Физика",5
2014,"Районная олимпиада",2015,"ГАОУ ВО МИОО. СОШ № 179",8,"победитель","астрономия",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 429",9,"призёр","филология",5
2013,"Районная олимпиада",2014,"ГБОУ школа-интернат «Интеллектуал»",9,"призёр","Биология",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1543",10,"призёр","Русский язык",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1535",10,"призёр","Обществознание",3
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 199",11,"призёр","Биология",4
2014,"Всероссийская олимпиада",2015,"ГБОУ гимназия № 1567",10,"призёр","Иностранный язык (английский язык)",4
2019,"Всероссийская олимпиада",2020,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,"победитель","Информатика",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 1376",9,"призёр","филология",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 625",10,"призёр","Обществознание",5
2013,"Районная олимпиада",2014,"ГБОУ Московская гимназия на Юго-Западе № 1543",11,"призёр","Физика",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 2007 ФМШ",10,"победитель","Информатика",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 218",11,"призёр","Биология",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 423",6,"призёр","География",3
2016,"Московская олимпиада",2017,"ГБОУ школа № 57",8,"призёр","Математика",4
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 1222",11,"победитель","Иностранный язык (немецкий язык)",5
2015,"Всероссийская олимпиада",2016,"ГБОУ гимназия № 1514",11,"призёр","Физика",5
2016,"Московская олимпиада",2017,"ГБОУ школа № 867",8,"призёр","География",3
2017,"Московская олимпиада",2018,"ГБОУ лицей «Вторая школа»",10,"призёр","Экономика",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 14",11,"призёр","Основы безопасности жизнедеятельности",5
2016,"Московская олимпиада",2017,"ГБОУ Физматшкола № 2007",8,"призёр","Экономика",5
2015,"Московская олимпиада",2016,"ГБОУ школа № 825",9,"призёр","филология",5
2015,"Всероссийская олимпиада",2016,"ГБОУ ЦО № 1858",10,"призёр","География",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 1568",8,"призёр","Химия",4
2017,"Всероссийская олимпиада",2018,"ФГКОУ «МКК ПВ МО РФ»",11,"призёр","Обществознание",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1515",9,"призёр","Литература",4
2018,"Московская олимпиада",2019,"ГБОУ школа на проспекте Вернадского",10,"призёр","Информационные технологии в профессиональной деятельности",5
2015,"Всероссийская олимпиада",2016,"ГБОУ гимназия № 1358",10,"призёр","Литература",3
2017,"Московская олимпиада",2018,"ГАОУ школа № 548",6,"победитель","Изобразительное искусство",4
2017,"Московская олимпиада",2018,"ГБОУ школа № 962",6,"победитель","Технология",5
2014,"Всероссийская олимпиада",2015,"ГБОУ лицей № 507",11,"призёр","Биология",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1282 «Сокольники»",9,"призёр","Мировая Художественная Культура (МХК)",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа «Покровский квартал»",11,"призёр","Мировая Художественная Культура (МХК)",4
2015,"Московская олимпиада",2016,"ГБОУ школа № 444",6,"призёр","филология",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 179",10,"призёр","Биология",5
2018,"Районная олимпиада",2019,"ГБОУ школа № 1799",11,"призёр","Литература",4
2016,"Московская олимпиада",2017,"ГБОУ школа № 57",8,"призёр","Математика",3
2018,"Московская олимпиада",2019,"ГБОУ школа № 2114",6,"призёр","Изобразительное искусство",4
2012,"Районная олимпиада",2013,"ГБОУ лицей «Вторая школа»",11,"призёр","Математика",5
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1535",11,"призёр","Иностранный язык (английский язык)",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 2114",5,"призёр","Биология",3
2014,"Всероссийская олимпиада",2015,"ГБОУ Государственная столичная гимназия",11,"призёр","Иностранный язык (английский язык)",5
2019,"Районная олимпиада",2020,"ГБОУ школа № 1236",9,"победитель","География",4
2013,"Районная олимпиада",2014,"ГБОУ школа-интернат «Интеллектуал»",11,"призёр","Биология",4
2019,"Районная олимпиада",2020,"ГБОУ школа № 1293",10,"победитель","История",4
2014,"Всероссийская олимпиада",2015,"ГБОУ Физматшкола 2007",11,"победитель","Иностранный язык (английский язык)",3
2012,"Московская олимпиада",2013,"ГБОУ гимназия № 1290",9,"победитель","Обществознание",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1420",11,"призёр","Основы безопасности жизнедеятельности",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 2104 на Таганке",11,"призёр","Иностранный язык (английский язык)",4
2012,"Московская олимпиада",2013,"ГБОУ ЦО № 1329",8,"победитель","Физика",3
2019,"Районная олимпиада",2020,"ГБОУ школа № 1543",11,"призёр","Биология",4
