"Year_begin","OlympiadType","Status","ShortName","TeamSize","Subject","Class","Year_end"
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 171",3,"Экология",9,2018
2019,"Районная олимпиада","призёр","ГБОУ школа № 1514",4,"Мировая Художественная Культура (МХК)",10,2020
2018,"Всероссийская олимпиада","призёр","СУНЦ МГУ",3,"Биология",11,2019
2019,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",5,"Химия",10,2020
2019,"Районная олимпиада","победитель","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",3,"Математика",11,2020
2015,"Всероссийская олимпиада","призёр","ГБОУ «Школа-интернат «Интеллектуал»",3,"Биология",11,2016
2015,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1797 «Богородская»",5,"Иностранный язык (немецкий язык)",11,2016
2016,"Московская олимпиада","призёр","ГБОУ лицей № 1557",5,"Математика",11,2017
2013,"Московская олимпиада","призёр","ГБОУ гимназия № 1518",5,"Изобразительное искусство",3,2014
2012,"Районная олимпиада","призёр","ГБОУ гимназия № 1514",4,"Математика",11,2013
2013,"Всероссийская олимпиада","призёр","ГБОУ школа № 2034",5,"История",11,2014
2016,"Всероссийская олимпиада","призёр","ГБОУ школа «Интеллектуал»",3,"Химия",11,2017
2016,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",3,"Математика",10,2017
2013,"Всероссийская олимпиада","призёр","ГБОУ школа № 1944",4,"Русский язык",11,2014
2013,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1518",5,"Экономика",11,2014
2014,"Всероссийская олимпиада","призёр","ГБОУ школа № 853",4,"Экономика",10,2015
2017,"Всероссийская олимпиада","призёр","МАОУ «Гимназия г. Троицка»",3,"География",9,2018
2016,"Московская олимпиада","призёр","ГБОУ лицей № 1568",4,"Химия",8,2017
2019,"Всероссийская олимпиада","призёр","лицей НИУ ВШЭ",3,"Обществознание",11,2020
2018,"Московская олимпиада","призёр","ГБОУ школа № 1568",4,"Математика",11,2019
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1568",5,"Химия",9,2020
2015,"Московская олимпиада","призёр","ГБОУ школа № 2090",5,"Технология",8,2016
2012,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 929",5,"Литература",11,2013
2014,"Районная олимпиада","призёр","ГБОУ СОШ № 46",3,"География",10,2015
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 2097",5,"Русский язык",9,2017
2014,"Московская олимпиада","призёр","ГБОУ гимназия № 1579",3,"География",8,2015
2018,"Московская олимпиада","победитель","ГБОУ школа «Интеллектуал»",3,"Биология",7,2019
2015,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1519",5,"История",10,2016
2016,"Всероссийская олимпиада","победитель","ГБОУ школа № 1286",5,"Иностранный язык (французский язык)",10,2017
2016,"Районная олимпиада","призёр","ГБОУ школа № 705",4,"Мировая Художественная Культура (МХК)",10,2017
2016,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1552",3,"Мировая Художественная Культура (МХК)",9,2017
2014,"Московская олимпиада","призёр","ГБОУ лицей «Вторая школа»",5,"Математика",10,2015
2018,"Районная олимпиада","призёр","ГБОУ школа № 1315",5,"История",10,2019
2019,"Всероссийская олимпиада","победитель","ГБОУ школа № 1535",5,"История",9,2020
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1514",5,"Обществознание",10,2018
2013,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 654 имени А.Д. Фридмана",5,"Литература",9,2014
2018,"Всероссийская олимпиада","победитель","ГБОУ школа № 625",3,"История",11,2019
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1362",5,"Литература",11,2019
2019,"Всероссийская олимпиада","призёр","ГБОУ «Лицей «Вторая школа»",3,"Математика",11,2020
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 218",3,"Экология",10,2020
2014,"Московская олимпиада","призёр","ГБОУ гимназия № 1567",5,"Математика",6,2015
2014,"Всероссийская олимпиада","призёр","ГБОУ Физматшкола 2007",4,"Физика",11,2015
2018,"Районная олимпиада","победитель","ГБОУ школа № 14",3,"Основы безопасности жизнедеятельности",11,2019
2016,"Московская олимпиада","призёр","ГБОУ школа № 1329",4,"Математика",7,2017
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1329",5,"Информатика",8,2019
2015,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1554",4,"Экология",10,2016
2016,"Всероссийская олимпиада","победитель","СУНЦ МГУ",3,"Биология",11,2017
2016,"Московская олимпиада","призёр","ГБОУ школа № 814",5,"Технология",6,2017
2012,"Московская олимпиада","призёр","ГБОУ СОШ № 444",4,"Право",10,2013
2015,"Московская олимпиада","победитель","ГБОУ лицей № 1564",5,"Изобразительное искусство",7,2016
2018,"Всероссийская олимпиада","призёр","ГБОУ «Школа № 760 им. А.П. Маресьева»",3,"Литература",9,2019
2013,"Всероссийская олимпиада","призёр","ГАОУ ВО МИОО. СОШ № 179",3,"Химия",11,2014
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1514",4,"Искусство (МХК)",10,2018
2014,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 216",4,"Литература",11,2015
2017,"Московская олимпиада","призёр","ГБОУ школа № 2030",3,"Технология",6,2018
2016,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1535",4,"Экономика",10,2017
2017,"Всероссийская олимпиада","призёр","ГБОУ школа имени Маршала В.И. Чуйкова",4,"Химия",11,2018
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1514",3,"Математика",11,2018
2013,"Всероссийская олимпиада","призёр","ГБОУ школа № 171",4,"Экология",10,2014
2017,"Районная олимпиада","призёр","ГБОУ школа № 709",4,"Основы безопасности жизнедеятельности",9,2018
2019,"Районная олимпиада","призёр","ГБОУ школа № 192",5,"Иностранный язык (английский язык)",11,2020
2017,"Московская олимпиада","призёр","ГБОУ школа № 57",4,"Математика",11,2018
2017,"Московская олимпиада","победитель","ГБОУ школа № 1547",3,"Робототехника",7,2018
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 1412",4,"Биология",9,2016
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1568",5,"Биология",10,2018
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 2097",5,"История",9,2020
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 2026",3,"Основы безопасности жизнедеятельности",7,2019
2017,"Московская олимпиада","призёр","ГБОУ школа № 1568",3,"Химия",8,2018
2014,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 727",5,"Русский язык",10,2015
2014,"Районная олимпиада","призёр","НОЧУ «ШКОЛА «МУМИ-ТРОЛЛЬ»",5,"Обществознание",10,2015
2012,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1544",5,"История",9,2013
2012,"Московская олимпиада","призёр","ГБОУ лицей № 1568",4,"Математика",7,2013
2015,"Московская олимпиада","победитель","ГАОУ ЦО № 548",3,"Изобразительное искусство",7,2016
2019,"Всероссийская олимпиада","победитель","ГБОУ школа № 2033",3,"Русский язык",10,2020
2018,"Всероссийская олимпиада","победитель","ГАОУ школа № 548",3,"Иностранный язык (китайский язык)",8,2019
2018,"Московская олимпиада","призёр","ГБОУ школа № 1980",4,"Изобразительное искусство",9,2019
2014,"Московская олимпиада","победитель","ГБОУ школа № 1494",4,"Изобразительное искусство",5,2015
2013,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1521",3,"Мировая Художественная Культура (МХК)",11,2014
2016,"Московская олимпиада","призёр","ГБОУ школа № 171",3,"Технология",7,2017
2018,"Районная олимпиада","призёр","ГБОУ школа № 1223",3,"Литература",11,2019
2014,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1303",3,"География",11,2015
2013,"Районная олимпиада","победитель","ГБОУ СОШ № 1270",3,"Русский язык",9,2014
2012,"Всероссийская олимпиада","призёр","ГБОУ ЦО № 57",5,"История",10,2013
2012,"Всероссийская олимпиада","призёр","ГБОУ ЦО № 218",4,"Математика",10,2013
2015,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",4,"Биология",11,2016
2015,"Московская олимпиада","призёр","ГБОУ школа № 1631",4,"Технология",6,2016
2012,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1579",3,"Экология",11,2013
2017,"Московская олимпиада","призёр","ГБОУ школа № 293",3,"Технология",6,2018
2012,"Районная олимпиада","призёр","ГБОУ лицей № 1568",4,"Биология",11,2013
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1466",3,"Русский язык",9,2019
2018,"Московская олимпиада","призёр","ГБОУ школа № 1580",3,"География",5,2019
2014,"Всероссийская олимпиада","призёр","ГБОУ школа № 2095",4,"Экономика",11,2015
2013,"Всероссийская олимпиада","призёр","ГАОУ ЦО № 548",5,"Обществознание",9,2014
2014,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",4,"Информатика",10,2015
2017,"Районная олимпиада","призёр","ГБОУ школа № 1543",4,"Экология",11,2018
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 625",4,"Обществознание",11,2020
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 1252 имени Сервантеса",5,"Физическая культура",10,2016
2012,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 814",3,"Русский язык",9,2013
2017,"Московская олимпиада","призёр","ГБОУ школа № 1583",3,"Биология",6,2018
2018,"Всероссийская олимпиада","призёр","ГБОУ Шуваловская школа № 1448",5,"Право",11,2019
2015,"Московская олимпиада","победитель","ГБОУ школа № 1353",5,"Биология",5,2016
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 1440",4,"Биология",11,2017
2018,"Всероссийская олимпиада","призёр","лицей НИУ ВШЭ",3,"Обществознание",11,2019
2019,"Всероссийская олимпиада","призёр","ОАНО «Школа «ЛЕТОВО»",4,"Русский язык",10,2020
2017,"Московская олимпиада","призёр","НИУ ВШЭ. лицей",3,"Обществознание",11,2018
2012,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",3,"Физика",11,2013
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1535",4,"География",10,2018
2014,"Районная олимпиада","призёр","ГБОУ школа № 887",3,"Обществознание",10,2015
2018,"Московская олимпиада","призёр","ГБОУ «Лицей «Вторая школа»",3,"Математика",11,2019
2013,"Московская олимпиада","призёр","ГБОУ лицей «Вторая школа»",4,"Математика",7,2014
2017,"Московская олимпиада","победитель","ГБОУ школа № 185",3,"Технология",5,2018
2014,"Московская олимпиада","призёр","ГБОУ ЦО № 1858",4,"Технология",9,2015
2018,"Всероссийская олимпиада","призёр","ГБПОУ «Воробьевы горы»",3,"астрономия",11,2019
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1535",5,"Иностранный язык (английский язык)",11,2019
2016,"Московская олимпиада","призёр","ГБОУ лицей № 1537",3,"Робототехника",7,2017
2019,"Всероссийская олимпиада","победитель","ГБОУ школа № 1249",4,"Русский язык",9,2020
2015,"Всероссийская олимпиада","призёр","ГБОУ Физматшкола № 2007",4,"Математика",9,2016
2017,"Московская олимпиада","призёр","ГБОУ Шуваловская школа № 1448",3,"Обществознание",9,2018
2018,"Московская олимпиада","победитель","ГБОУ школа № 656 имени А.С. Макаренко",3,"География",6,2019
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1516",3,"История",9,2020
2016,"Московская олимпиада","призёр","ГАОУ ВПО МИОО. СОШ № 179",4,"География",9,2017
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1514",4,"Экономика",9,2018
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 1095",4,"Обществознание",10,2016
2012,"Московская олимпиада","призёр","ГБОУ лицей № 1523",4,"Информатика",9,2013
2018,"Районная олимпиада","призёр","ГБОУ школа № 1793",4,"История",11,2019
2017,"Московская олимпиада","призёр","ГБОУ школа № 1371 «Крылатское»",5,"Право",9,2018
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1797",3,"Литература",10,2019
2014,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1505",4,"Обществознание",11,2015
2013,"Районная олимпиада","призёр","ГБОУ СОШ № 324 «Жар-птица»",4,"Основы безопасности жизнедеятельности",11,2014
2013,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",3,"Биология",10,2014
2018,"Московская олимпиада","победитель","ГБОУ школа № 236",3,"Основы безопасности жизнедеятельности",8,2019
2014,"Районная олимпиада","призёр","ГБОУ гимназия № 1514",5,"Физика",9,2015
2013,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 113",5,"Обществознание",10,2014
2013,"Московская олимпиада","победитель","ГБОУ гимназия № 1518",5,"предпринимательство",4,2014
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1253",5,"История",11,2018
2017,"Всероссийская олимпиада","призёр","ГБОУ «Школа на Яузе»",4,"Русский язык",9,2018
2017,"Всероссийская олимпиада","призёр","ГБОУ лицей «Вторая школа»",5,"Математика",10,2018
2014,"Всероссийская олимпиада","призёр","ГАОУ ЦО № 548",5,"Физика",11,2015
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 1468",4,"Литература",9,2017
2018,"Московская олимпиада","призёр","ГБОУ «Лицей «Вторая школа»",5,"Физика",9,2019
2017,"Московская олимпиада","призёр","ГБОУ школа № 179",5,"Математика",7,2018
2016,"Московская олимпиада","призёр","ГБОУ школа № 1000",5,"Технология",7,2017
2014,"Районная олимпиада","призёр","ГБОУ Государственная столичная гимназия",3,"Мировая Художественная Культура (МХК)",11,2015
2017,"Всероссийская олимпиада","победитель","ГБОУ школа № 1329",5,"астрономия",9,2018
2019,"Всероссийская олимпиада","призёр","ГАОУ школа № 548",4,"Мировая Художественная Культура (МХК)",11,2020
2012,"Московская олимпиада","призёр","ГБОУ СОШ № 962",3,"География",7,2013
2012,"Московская олимпиада","призёр","ГБОУ СОШ № 224",3,"Изобразительное искусство",7,2013
2013,"Районная олимпиада","призёр","ГБОУ гимназия № 1522",4,"Обществознание",11,2014
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1374",5,"Искусство (МХК)",11,2018
2019,"Районная олимпиада","призёр","ГБОУ школа № 1576",5,"Литература",10,2020
2013,"Московская олимпиада","победитель","ГБОУ школа № 1741",3,"Изобразительное искусство",6,2014
2014,"Московская олимпиада","призёр","ГБОУ «Гимназия № 1528»",5,"Изобразительное искусство",11,2015
2012,"Московская олимпиада","призёр","ГБОУ СОШ № 1914",3,"Изобразительное искусство",4,2013
2019,"Районная олимпиада","призёр","ГБОУ школа № 1002",4,"Основы безопасности жизнедеятельности",9,2020
2015,"Московская олимпиада","призёр","ГБОУ школа № 218",3,"филология",6,2016
2016,"Московская олимпиада","призёр","ГБОУ лицей № 1502 при МЭИ",5,"Химия",10,2017
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 57",4,"Искусство (МХК)",10,2018
2013,"Московская олимпиада","призёр","ГБОУ лицей «Вторая школа»",5,"Информатика",9,2014
2014,"Московская олимпиада","призёр","ГБОУ СОШ № 825",5,"филология",9,2015
2014,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1552",3,"Биология",10,2015
2018,"Районная олимпиада","призёр","ГБОУ школа № 1270",4,"Русский язык",9,2019
2013,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 1199 «Лига Школ»",5,"История",11,2014
2013,"Всероссийская олимпиада","призёр","ГБОУ школа № 1252 имени Сервантеса",5,"Основы безопасности жизнедеятельности",10,2014
2014,"Московская олимпиада","призёр","ГАОУ ЦО № 548",3,"Изобразительное искусство",7,2015
2018,"Всероссийская олимпиада","призёр","ГБПОУ «Воробьевы горы»",4,"Право",9,2019
2019,"Районная олимпиада","призёр","ГБОУ школа № 1231",3,"История",10,2020
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 171",5,"Химия",11,2016
2019,"Районная олимпиада","победитель","ГБОУ школа № 1557",3,"Физическая культура",11,2020
2017,"Районная олимпиада","призёр","ГБОУ школа № 625",3,"Литература",11,2018
2013,"Всероссийская олимпиада","призёр","ГБОУ школа-интернат «Интеллектуал»",5,"Мировая Художественная Культура (МХК)",11,2014
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1367",3,"Биология",9,2018
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1517",4,"Технология",11,2020
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1329",4,"Информатика",7,2020
2013,"Московская олимпиада","победитель","ГБОУ ЦО № 1637",5,"Изобразительное искусство",3,2014
2017,"Московская олимпиада","призёр","ГБОУ школа № 1288",4,"Обществознание",8,2018
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 853",5,"Химия",10,2018
2017,"Районная олимпиада","призёр","ГБОУ школа № 1566",3,"Право",11,2018
2018,"Всероссийская олимпиада","победитель","ГБОУ школа № 1535",5,"Экономика",9,2019
2016,"Московская олимпиада","победитель","ГБОУ школа № 2107",3,"Изобразительное искусство",11,2017
2014,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1558",3,"История",9,2015
2019,"Районная олимпиада","призёр","ГБОУ школа № 1208",4,"Мировая Художественная Культура (МХК)",11,2020
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 491",4,"Литература",11,2020
2016,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1568",5,"Литература",10,2017
2015,"Московская олимпиада","призёр","ГБОУ ЛГК на Юго-Востоке",4,"Химия",10,2016
2019,"Всероссийская олимпиада","призёр","ГБПОУ «Воробьевы горы»",4,"Математика",10,2020
2015,"Московская олимпиада","призёр","ГБОУ школа № 152",4,"лингвистика",11,2016
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 654 имени А.Д. Фридмана",3,"Химия",10,2018
2017,"Районная олимпиада","призёр","ГБОУ школа № 171",3,"Экология",10,2018
2018,"Московская олимпиада","призёр","ГБОУ школа № 1329",4,"астрономия",7,2019
2014,"Всероссийская олимпиада","победитель","ЧУ СОШ «СААШ «Марина»",3,"Иностранный язык (английский язык)",10,2015
2014,"Районная олимпиада","призёр","ГБОУ лицей «Вторая школа»",4,"Иностранный язык (английский язык)",10,2015
2015,"Московская олимпиада","призёр","ГБОУ Физматшкола № 2007",3,"астрономия",5,2016
2017,"Всероссийская олимпиада","призёр","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",4,"Физика",10,2018
2015,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1504",5,"Право",10,2016
2019,"Всероссийская олимпиада","призёр","ОАНО «Школа «ЛЕТОВО»",5,"Математика",9,2020
2015,"Московская олимпиада","победитель","ГБОУ гимназия № 1592",4,"История",6,2016
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 1208",3,"Биология",9,2017
2013,"Московская олимпиада","победитель","ГБОУ школа № 1900",4,"Изобразительное искусство",5,2014
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 2007 ФМШ",4,"Информатика",11,2019
2017,"Московская олимпиада","призёр","ГБОУ школа № 2007 ФМШ",5,"Математика",11,2018
2015,"Московская олимпиада","призёр","ГБОУ школа № 1056",3,"Изобразительное искусство",10,2016
2018,"Московская олимпиада","призёр","ГБОУ школа № 14",3,"Экология",6,2019
2013,"Московская олимпиада","призёр","ГБОУ СОШ № 2014",3,"Технология",10,2014
2016,"Московская олимпиада","призёр","ГБОУ гимназия № 1514",3,"Математика",11,2017
2018,"Московская олимпиада","призёр","ГБОУ «Курчатовская школа»",4,"Робототехника",6,2019
2015,"Районная олимпиада","призёр","ГБОУ гимназия № 1583",3,"Мировая Художественная Культура (МХК)",9,2016
2015,"Московская олимпиада","призёр","ГБОУ школа № 2030",5,"Технология",5,2016
2018,"Московская олимпиада","призёр","ГБОУ школа № 1980",4,"филология",5,2019
2013,"Московская олимпиада","призёр","ГБОУ СОШ № 654 имени А.Д. Фридмана",3,"Химия",9,2014
2013,"Московская олимпиада","призёр","ГБОУ гимназия № 1518",5,"Экономика",4,2014
2014,"Московская олимпиада","призёр","ГБОУ школа № 1329",5,"Физика",11,2015
2015,"Районная олимпиада","призёр","ГБОУ «Школа № 167 имени Маршала Л.А. Говорова»",5,"Право",10,2016
2018,"Всероссийская олимпиада","призёр","ГКОУ КШИ № 5",5,"Основы безопасности жизнедеятельности",11,2019
2016,"Всероссийская олимпиада","призёр","НИУ ВШЭ. лицей",4,"Обществознание",11,2017
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1474",5,"Литература",10,2019
2014,"Московская олимпиада","призёр","ГБОУ СОШ № 315",4,"Технология",6,2015
2018,"Московская олимпиада","победитель","ГБОУ школа № 1000",5,"Технология",5,2019
2012,"Районная олимпиада","победитель","ГБОУ гимназия № 1518",3,"Иностранный язык (английский язык)",11,2013
2018,"Московская олимпиада","победитель","ГБОУ школа № 1583",4,"Бюджетная грамотность",6,2019
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1529 имени А. С. Грибоедова",4,"Биология",10,2019
