"Status","Year_begin","TeamSize","Subject","Year_end","OlympiadType","ShortName","Class"
"призёр",2014,5,"Информатика",2015,"Всероссийская олимпиада","ГБОУ лицей № 1303",9
"призёр",2017,4,"Иностранный язык (английский язык)",2018,"Районная олимпиада","ГБОУ «Курчатовская школа»",11
"призёр",2014,5,"Технология",2015,"Московская олимпиада","ГБОУ школа № 1770",6
"призёр",2018,4,"Изобразительное искусство",2019,"Московская олимпиада","ГБОУ школа № 1637",7
"призёр",2013,3,"История",2014,"Всероссийская олимпиада","ГБОУ СОШ № 1225",10
"призёр",2015,3,"Основы безопасности жизнедеятельности",2016,"Всероссийская олимпиада","ГБОУ Петровский кадетский корпус",11
"призёр",2013,5,"Биология",2014,"Всероссийская олимпиада","ГБОУ лицей № 507",11
"призёр",2014,5,"Химия",2015,"Московская олимпиада","ГБОУ «Школа-интернат «Интеллектуал»",8
"победитель",2018,3,"Экология",2019,"Всероссийская олимпиада","ГБОУ школа № 1575",10
"победитель",2018,3,"Русский язык",2019,"Всероссийская олимпиада","лицей НИУ ВШЭ",9
"призёр",2015,5,"География",2016,"Московская олимпиада","ГБОУ школа № 962",10
"призёр",2012,4,"Иностранный язык (французский язык)",2013,"Всероссийская олимпиада","ГБОУ СОШ № 1251 имени генерала Шарля де Голля",11
"призёр",2015,5,"Изобразительное искусство",2016,"Московская олимпиада","ГБОУ школа № 49",8
"призёр",2016,3,"Математика",2017,"Московская олимпиада","ГБОУ гимназия № 1517",9
"призёр",2013,5,"Экономика",2014,"Районная олимпиада","ГБОУ СОШ № 1253",11
"победитель",2014,4,"Литература",2015,"Всероссийская олимпиада","ГБОУ Московская гимназия на Юго-Западе № 1543",11
"призёр",2014,4,"Математика",2015,"Московская олимпиада","ГБОУ Физматшкола 2007",6
"победитель",2019,4,"Экология",2020,"Всероссийская олимпиада","ГБОУ школа № 1748",11
"призёр",2015,5,"История",2016,"Всероссийская олимпиада","ГБОУ школа № 57",9
"призёр",2013,4,"Обществознание",2014,"Всероссийская олимпиада","ГБОУ СОШ № 324 «Жар-птица»",10
"призёр",2013,4,"Обществознание",2014,"Всероссийская олимпиада","ГБОУ гимназия № 1597",10
"призёр",2018,5,"Физика",2019,"Районная олимпиада","ГБОУ школа № 1571",11
"победитель",2018,5,"Робототехника",2019,"Московская олимпиада","ГБОУ Инженерная школа № 1581",8
"призёр",2017,5,"филология",2018,"Московская олимпиада","ГБОУ Инженерно-техническая школа",9
"призёр",2017,5,"Экология",2018,"Всероссийская олимпиада","ГБОУ школа № 2083",11
"призёр",2016,3,"филология",2017,"Московская олимпиада","ГБОУ школа № 2089",7
"призёр",2015,4,"География",2016,"Всероссийская олимпиада","ГБОУ лицей № 1547",9
"призёр",2013,3,"Физика",2014,"Всероссийская олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10
"призёр",2012,5,"Математика",2013,"Московская олимпиада","ГАОУ ВО МИОО. СОШ № 179",8
"призёр",2013,3,"Литература",2014,"Всероссийская олимпиада","ГБОУ гимназия № 1592",11
"призёр",2016,3,"Литература",2017,"Всероссийская олимпиада","ГБОУ школа № 1095",11
"победитель",2017,4,"Русский язык",2018,"Всероссийская олимпиада","ГАОУ школа № 1306 - «Школа молодых политиков»",10
"призёр",2015,3,"Экология",2016,"Всероссийская олимпиада","ГБОУ гимназия № 1519",11
"призёр",2016,3,"Математика",2017,"Районная олимпиада","ГБОУ школа № 1329",11
"призёр",2013,4,"Обществознание",2014,"Всероссийская олимпиада","ГБОУ школа № 1448",9
"призёр",2018,3,"Изобразительное искусство",2019,"Московская олимпиада","ГАОУ школа № 548",8
"призёр",2018,5,"астрономия",2019,"Московская олимпиада","ГБОУ школа № 1514",6
"призёр",2019,5,"Основы безопасности жизнедеятельности",2020,"Районная олимпиада","ГБОУ школа № 2036",9
"призёр",2019,5,"Обществознание",2020,"Всероссийская олимпиада","АНО «ОШ центра педагогического мастерства»",9
"победитель",2015,4,"История",2016,"Районная олимпиада","ГБОУ гимназия № 1522",9
"призёр",2015,3,"Иностранный язык (испанский язык)",2016,"Всероссийская олимпиада","ГБОУ школа № 2123 им. М. Эрнандеса",11
"призёр",2017,3,"Математика",2018,"Московская олимпиада","ГБОУ школа № 57",7
"победитель",2014,5,"Экономика",2015,"Всероссийская олимпиада","ГБОУ гимназия № 1588",11
"призёр",2014,3,"Русский язык",2015,"Всероссийская олимпиада","ГБОУ школа № 1164",9
"призёр",2018,3,"Экономика",2019,"Районная олимпиада","лицей НИУ ВШЭ",11
"призёр",2017,5,"История",2018,"Всероссийская олимпиада","ГБОУ школа № 1434",9
"призёр",2016,3,"История",2017,"Всероссийская олимпиада","ГБОУ школа № 962",11
"призёр",2017,3,"Экономика",2018,"Московская олимпиада","ГБОУ школа № 315",11
"призёр",2017,3,"Математика",2018,"Московская олимпиада","ГБОУ школа № 2101",11
"призёр",2013,4,"Математика",2014,"Всероссийская олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11
"призёр",2019,3,"Литература",2020,"Всероссийская олимпиада","ГБОУ школа № 1573",11
"призёр",2014,3,"Физика",2015,"Московская олимпиада","ГБОУ лицей № 1557",7
"призёр",2014,4,"Информатика",2015,"Всероссийская олимпиада","ГАОУ ВО МИОО. СОШ № 179",11
"призёр",2015,5,"Литература",2016,"Всероссийская олимпиада","ГБОУ школа № 1208",11
"призёр",2018,5,"филология",2019,"Московская олимпиада","ГБОУ школа № 2123 им. М. Эрнандеса",7
"призёр",2015,5,"Химия",2016,"Московская олимпиада","ГБОУ гимназия № 1515",8
"призёр",2014,3,"астрономия",2015,"Московская олимпиада","ГБОУ гимназия № 1518",7
"призёр",2016,5,"Физика",2017,"Московская олимпиада","СУНЦ МГУ",11
"призёр",2018,4,"Химия",2019,"Всероссийская олимпиада","ГБОУ школа № 218",9
"призёр",2017,4,"Физическая культура",2018,"Всероссийская олимпиада","ГБОУ школа № 1347",11
"призёр",2017,4,"Основы безопасности жизнедеятельности",2018,"Всероссийская олимпиада","ГБОУ школа № 1539",9
"призёр",2014,5,"Математика",2015,"Всероссийская олимпиада","ГБОУ ЦО № 57",11
"призёр",2018,3,"Обществознание",2019,"Всероссийская олимпиада","ГБОУ школа № 1955",10
"победитель",2015,5,"Математика",2016,"Всероссийская олимпиада","ГАОУ ВО МИОО. СОШ № 179",9
"призёр",2017,4,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,"Всероссийская олимпиада","МАОУ «Лицей города Троицка»",10
"призёр",2018,5,"Математика",2019,"Московская олимпиада","ГБОУ школа № 57",10
"призёр",2014,3,"Русский язык",2015,"Всероссийская олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10
"призёр",2016,4,"Основы безопасности жизнедеятельности",2017,"Районная олимпиада","ГБОУ лицей № 86 имени М.Е. Катукова",9
"призёр",2018,5,"филология",2019,"Московская олимпиада","ГБОУ школа № 1575",6
"призёр",2019,5,"Мировая Художественная Культура (МХК)",2020,"Всероссийская олимпиада","ГАОУ «Школа № 1518»",9
"призёр",2016,5,"Экономика",2017,"Районная олимпиада","ГБОУ лицей «Вторая школа»",10
"победитель",2017,4,"астрономия",2018,"Всероссийская олимпиада","ГБОУ школа № 1589",10
"призёр",2018,4,"Литература",2019,"Всероссийская олимпиада","ГБОУ школа № 2009",10
"призёр",2015,4,"Физическая культура",2016,"Районная олимпиада","ГБОУ гимназия № 1925",11
"призёр",2014,4,"Химия",2015,"Всероссийская олимпиада","ГБОУ лицей «Вторая школа»",11
"призёр",2017,5,"филология",2018,"Московская олимпиада","ГБОУ школа № 2009",11
"призёр",2018,5,"Обществознание",2019,"Всероссийская олимпиада","ГБОУ школа № 1265",10
"призёр",2018,4,"астрономия",2019,"Всероссийская олимпиада","ГБОУ школа № 179",10
"призёр",2016,5,"Иностранный язык (немецкий язык)",2017,"Всероссийская олимпиада","ГБОУ школа № 2114",10
"призёр",2018,5,"Основы безопасности жизнедеятельности",2019,"Всероссийская олимпиада","ГБОУ школа № 1432",11
"призёр",2018,4,"Основы безопасности жизнедеятельности",2019,"Всероссийская олимпиада","ГБОУ школа № 1449",9
"призёр",2017,3,"Математика",2018,"Всероссийская олимпиада","ГБОУ школа № 1514",9
"призёр",2013,5,"География",2014,"Всероссийская олимпиада","ГБОУ СОШ № 1065",9
"призёр",2016,3,"Информатика",2017,"Всероссийская олимпиада","СУНЦ МГУ",11
"призёр",2018,3,"Обществознание",2019,"Всероссийская олимпиада","лицей НИУ ВШЭ",11
"призёр",2015,3,"Технология",2016,"Московская олимпиада","ГБОУ школа № 2036",5
"призёр",2018,5,"Информатика",2019,"Всероссийская олимпиада","ГБОУ школа № 179",10
"призёр",2013,4,"Изобразительное искусство",2014,"Московская олимпиада","ГБОУ СОШ № 1188",7
"победитель",2013,5,"Экономика",2014,"Московская олимпиада","ГБОУ ЦО № 1099",3
"призёр",2017,4,"филология",2018,"Московская олимпиада","ГБОУ школа № 1252",6
"призёр",2015,4,"Изобразительное искусство",2016,"Московская олимпиада","ГБОУ школа № 183",6
"призёр",2018,5,"астрономия",2019,"Московская олимпиада","ГБОУ «Лицей «Вторая школа»",11
"победитель",2018,5,"Физика",2019,"Всероссийская олимпиада","ГБПОУ «Воробьевы горы»",11
"призёр",2019,3,"Иностранный язык (испанский язык)",2020,"Всероссийская олимпиада","лицей НИУ ВШЭ",11
"победитель",2014,5,"Экономика",2015,"Московская олимпиада","ГБОУ лицей № 1580",10
"призёр",2018,3,"Мировая Художественная Культура (МХК)",2019,"Всероссийская олимпиада","ГБОУ школа «Покровский квартал»",10
"победитель",2015,4,"Химия",2016,"Районная олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10
"победитель",2012,5,"Изобразительное искусство",2013,"Московская олимпиада","ГБОУ школа № 648",3
"призёр",2015,5,"Обществознание",2016,"Всероссийская олимпиада","ГБОУ гимназия № 1290",9
"призёр",2018,4,"История",2019,"Районная олимпиада","ГБОУ школа № 1579",10
"призёр",2018,5,"Физика",2019,"Всероссийская олимпиада","ГБОУ школа № 1547",9
"призёр",2013,5,"Иностранный язык (французский язык)",2014,"Всероссийская олимпиада","ГБОУ гимназия № 1541",10
"призёр",2014,5,"Литература",2015,"Всероссийская олимпиада","ГБОУ СОШ № 1199 «Лига Школ»",10
"призёр",2017,4,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,"Московская олимпиада","ГБОУ школа № 1210",6
"призёр",2016,3,"Литература",2017,"Районная олимпиада","ГБОУ школа № 2129",11
"победитель",2017,5,"Технология",2018,"Всероссийская олимпиада","ГБОУ школа № 1000",11
"победитель",2017,3,"География",2018,"Московская олимпиада","МАОУ «Гимназия г. Троицка»",9
"призёр",2013,4,"Литература",2014,"Районная олимпиада","НИУ ВШЭ. лицей",10
"призёр",2012,4,"Математика",2013,"Всероссийская олимпиада","ГАОУ ВО МИОО. СОШ № 179",10
"победитель",2013,4,"Мировая Художественная Культура (МХК)",2014,"Всероссийская олимпиада","ГБОУ СОШ № 1199 «Лига Школ»",9
"призёр",2018,5,"Математика",2019,"Московская олимпиада","ГБОУ школа № 1543",6
"призёр",2017,4,"Биология",2018,"Всероссийская олимпиада","ГБОУ школа № 1980",9
"призёр",2016,3,"Изобразительное искусство",2017,"Московская олимпиада","ГБОУ школа № 1252 имени Сервантеса",6
"призёр",2016,3,"филология",2017,"Московская олимпиада","ГБОУ школа № 2089",10
"призёр",2017,3,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,"Всероссийская олимпиада","ГБОУ школа № 2007 ФМШ",11
"победитель",2017,3,"Обществознание",2018,"Всероссийская олимпиада","ГБОУ школа № 1552",9
"призёр",2016,3,"Иностранный язык (английский язык)",2017,"Всероссийская олимпиада","ГБОУ гимназия № 710 им. Народного учителя СССР В.К. Жудова",11
"победитель",2015,3,"Экономика",2016,"Всероссийская олимпиада","Предуниверситарий НИЯУ МИФИ",10
"призёр",2019,5,"Экономика",2020,"Всероссийская олимпиада","ГБОУ школа № 2107",11
"победитель",2013,3,"Экономика",2014,"Всероссийская олимпиада","ГБОУ лицей № 1535",11
"призёр",2018,5,"История",2019,"Всероссийская олимпиада","ГБОУ школа № 1535",9
"призёр",2013,5,"Обществознание",2014,"Районная олимпиада","ГБОУ СОШ № 1465 имени Н.Г. Кузнецова",11
"победитель",2017,5,"Изобразительное искусство",2018,"Московская олимпиада","ГБОУ «Московская международная школа»",5
"призёр",2012,4,"Право",2013,"Всероссийская олимпиада","ГБОУ школа-интернат «Интеллектуал»",10
"призёр",2015,5,"Физическая культура",2016,"Всероссийская олимпиада","ГБОУ школа № 1194",11
"призёр",2013,5,"Изобразительное искусство",2014,"Московская олимпиада","ГБОУ СОШ № 34",6
"призёр",2019,4,"Обществознание",2020,"Всероссийская олимпиада","ГБОУ школа № 962",10
"призёр",2019,5,"Информатика",2020,"Районная олимпиада","ГБОУ школа № 1329",11
"призёр",2015,4,"филология",2016,"Московская олимпиада","ГБОУ школа № 1251 имени генерала Шарля де Голля",9
"призёр",2015,5,"Физическая культура",2016,"Всероссийская олимпиада","ГБОУ школа № 1955",10
"призёр",2018,4,"Основы безопасности жизнедеятельности",2019,"Всероссийская олимпиада","ГКОУ КШИ № 1",10
"призёр",2014,3,"Биология",2015,"Всероссийская олимпиада","ГБОУ школа № 1284",9
"призёр",2019,5,"Русский язык",2020,"Всероссийская олимпиада","ГБОУ школа № 1434",11
"призёр",2017,3,"Иностранный язык (испанский язык)",2018,"Районная олимпиада","НИУ ВШЭ. лицей",10
"призёр",2016,5,"Литература",2017,"Всероссийская олимпиада","ГБОУ ЦО № 1858",10
"призёр",2017,3,"Математика",2018,"Московская олимпиада","ГАОУ «Школа № 1518»",7
"призёр",2017,4,"Обществознание",2018,"Московская олимпиада","ГБОУ школа № 1563",11
"призёр",2019,5,"Информатика",2020,"Районная олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11
"призёр",2015,4,"Право",2016,"Всероссийская олимпиада","ГБОУ школа № 1329",9
"призёр",2019,3,"Мировая Художественная Культура (МХК)",2020,"Всероссийская олимпиада","ОЧУ МГ Сколково",10
"призёр",2017,5,"Основы безопасности жизнедеятельности",2018,"Районная олимпиада","ГКОУ КШИ № 1",9
"призёр",2016,4,"Биология",2017,"Всероссийская олимпиада","ГБОУ лицей № 1535",10
"призёр",2017,5,"Русский язык",2018,"Всероссийская олимпиада","ГБОУ школа № 67",10
"призёр",2015,3,"филология",2016,"Московская олимпиада","ГБОУ школа № 149",5
"призёр",2017,3,"Литература",2018,"Всероссийская олимпиада","ГБОУ школа № 1905",9
"призёр",2017,3,"Иностранный язык (английский язык)",2018,"Всероссийская олимпиада","ГБОУ школа № 45",11
"призёр",2014,5,"Основы безопасности жизнедеятельности",2015,"Районная олимпиада","ГБОУ школа № 171",11
"призёр",2013,3,"Изобразительное искусство",2014,"Московская олимпиада","МАОУ «Гимназия имени Н.В. Пушкова»",7
"призёр",2019,3,"Русский язык",2020,"Всероссийская олимпиада","ГБОУ школа № 57",10
"призёр",2015,4,"Биология",2016,"Районная олимпиада","ГБОУ «Курчатовская школа»",11
"призёр",2019,5,"Экология",2020,"Всероссийская олимпиада","ГБОУ школа № 1575",10
"призёр",2018,5,"Основы безопасности жизнедеятельности",2019,"Всероссийская олимпиада","ГБОУ школа № 1506",9
"победитель",2017,4,"Технология",2018,"Московская олимпиада","ГБОУ школа в Капотне",8
"призёр",2018,3,"Математика",2019,"Всероссийская олимпиада","ГБОУ школа № 1580",11
"призёр",2019,3,"Литература",2020,"Всероссийская олимпиада","МАОУ «Гимназия г. Троицка»",9
"победитель",2018,5,"Физика",2019,"Всероссийская олимпиада","ГБОУ школа № 179",9
"победитель",2015,4,"Мировая Художественная Культура (МХК)",2016,"Всероссийская олимпиада","НИУ ВШЭ. лицей",10
"призёр",2015,5,"Обществознание",2016,"Всероссийская олимпиада","ГБОУ школа № 199",9
"призёр",2016,5,"филология",2017,"Московская олимпиада","ГБОУ школа № 825",10
"призёр",2019,5,"Математика",2020,"Всероссийская олимпиада","ГБОУ школа № 2007 ФМШ",10
"призёр",2016,5,"Экология",2017,"Районная олимпиада","ГБОУ школа № 2103",11
"призёр",2014,4,"Литература",2015,"Всероссийская олимпиада","ГБОУ гимназия № 1514",10
"победитель",2014,5,"Изобразительное искусство",2015,"Московская олимпиада","ГБОУ СОШ № 1173",10
"призёр",2019,4,"Биология",2020,"Всероссийская олимпиада","ГБОУ школа имени Маяковского",9
"призёр",2018,4,"Русский язык",2019,"Районная олимпиада","ГБОУ школа на проспекте Вернадского",9
"победитель",2016,4,"Информатика",2017,"Всероссийская олимпиада","ГБОУ школа № 57",9
"призёр",2018,5,"Русский язык",2019,"Всероссийская олимпиада","ГБОУ школа № 1573",10
"призёр",2015,5,"Биология",2016,"Всероссийская олимпиада","ГБОУ школа № 1194",10
"призёр",2016,4,"Мировая Художественная Культура (МХК)",2017,"Всероссийская олимпиада","ГБОУ школа № 2095",10
"призёр",2012,3,"Право",2013,"Районная олимпиада","ГБОУ СОШ № 732",11
"призёр",2018,3,"Физика",2019,"Районная олимпиада","ГБОУ школа № 1547",9
"призёр",2017,5,"Основы безопасности жизнедеятельности",2018,"Районная олимпиада","ГКОУ КШИ № 1",10
"призёр",2019,4,"Химия",2020,"Районная олимпиада","ГБОУ школа № 1987",10
"призёр",2014,5,"История",2015,"Всероссийская олимпиада","ГБОУ СОШ № 1416",10
"призёр",2012,3,"Русский язык",2013,"Районная олимпиада","ГБОУ гимназия № 1516",11
"призёр",2019,5,"Физика",2020,"Всероссийская олимпиада","ГБОУ школа № 199",10
"призёр",2017,4,"астрономия",2018,"Московская олимпиада","ГБОУ школа № 86 имени М.Е. Катукова",6
"призёр",2012,4,"Химия",2013,"Всероссийская олимпиада","ГБОУ СОШ № 192",9
"призёр",2019,4,"Иностранный язык (испанский язык)",2020,"Районная олимпиада","ГБОУ школа № 1568",11
"призёр",2016,3,"Иностранный язык (английский язык)",2017,"Всероссийская олимпиада","ГБОУ школа № 1981",11
"призёр",2018,4,"Математика",2019,"Всероссийская олимпиада","ГБОУ школа № 179",10
"победитель",2017,5,"Изобразительное искусство",2018,"Московская олимпиада","ГБОУ школа № 1980",10
"призёр",2017,4,"Математика",2018,"Московская олимпиада","ГБОУ лицей № 1580",7
"призёр",2017,3,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,"Всероссийская олимпиада","ГБОУ школа № 2007 ФМШ",9
"призёр",2013,3,"Физическая культура",2014,"Всероссийская олимпиада","ГБОУ СОШ № 1049",11
"победитель",2018,3,"Русский язык",2019,"Всероссийская олимпиада","ГБОУ школа в Капотне",10
"победитель",2019,5,"Мировая Художественная Культура (МХК)",2020,"Всероссийская олимпиада","университетская гимназия",11
"призёр",2014,3,"Химия",2015,"Московская олимпиада","ГБОУ школа № 1234",6
"призёр",2017,5,"Основы безопасности жизнедеятельности",2018,"Всероссийская олимпиада","ГБОУ школа № 2026",9
"победитель",2012,3,"Физика",2013,"Московская олимпиада","ГБОУ СОШ № 1189",11
"призёр",2017,3,"Иностранный язык (английский язык)",2018,"Всероссийская олимпиада","ГБОУ лицей № 1580",11
"призёр",2015,3,"Математика",2016,"Всероссийская олимпиада","ГБОУ школа № 218",11
"призёр",2015,4,"Основы безопасности жизнедеятельности",2016,"Всероссийская олимпиада","ГБОУ Петровский кадетский корпус",10
"призёр",2014,4,"Экономика",2015,"Всероссийская олимпиада","ГБОУ ЦО № 57",11
"призёр",2012,3,"астрономия",2013,"Московская олимпиада","ГАОУ ВО МИОО. СОШ № 179",9
"победитель",2014,4,"История",2015,"Всероссийская олимпиада","НИУ ВШЭ. лицей",11
"призёр",2018,4,"Химия",2019,"Всероссийская олимпиада","ГБОУ школа № 1575",9
"призёр",2015,5,"Иностранный язык (английский язык)",2016,"Всероссийская олимпиада","ГБОУ лицей № 1575",10
"призёр",2019,5,"География",2020,"Всероссийская олимпиада","ГБОУ «Школа Глория»",11
"призёр",2012,5,"Физика",2013,"Всероссийская олимпиада","ГБОУ лицей № 1568",10
"призёр",2017,5,"Изобразительное искусство",2018,"Московская олимпиада","ГБОУ школа № 283",5
"призёр",2012,5,"Экономика",2013,"Московская олимпиада","ГБОУ гимназия № 1257",10
"призёр",2015,4,"Экология",2016,"Всероссийская олимпиада","ГБОУ школа № 171",10
"призёр",2018,4,"Иностранный язык (английский язык)",2019,"Всероссийская олимпиада","ГБОУ школа № 1228 «Лефортово»",11
"призёр",2018,4,"Обществознание",2019,"Всероссийская олимпиада","ГБОУ школа № 1788",10
"призёр",2015,3,"Экономика",2016,"Московская олимпиада","НОУ школа «Ника»",7
"призёр",2015,5,"Информатика",2016,"Всероссийская олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11
"призёр",2018,3,"Изобразительное искусство",2019,"Московская олимпиада","ГАОУ школа № 548",8
"призёр",2012,4,"Экология",2013,"Всероссийская олимпиада","ГБОУ школа-интернат «Интеллектуал»",11
"призёр",2017,3,"Математика",2018,"Всероссийская олимпиада","ГБОУ лицей № 1580",10
"призёр",2016,4,"Физика",2017,"Московская олимпиада","ГБОУ лицей № 1580",10
"призёр",2014,3,"Технология",2015,"Московская олимпиада","ГБОУ СОШ № 875",5
"призёр",2016,3,"Право",2017,"Всероссийская олимпиада","ГБОУ школа № 1297",11
"призёр",2019,4,"Иностранный язык (французский язык)",2020,"Всероссийская олимпиада","ГБОУ школа № 1231",11
"призёр",2016,5,"Химия",2017,"Московская олимпиада","ГБОУ ЛГК на Юго-Востоке",9
"призёр",2018,3,"Иностранный язык (английский язык)",2019,"Всероссийская олимпиада","ГБОУ школа № 1238",11
"призёр",2018,3,"Робототехника",2019,"Московская олимпиада","ГБОУ школа № 86 имени М.Е. Катукова",6
"призёр",2016,5,"Биология",2017,"Всероссийская олимпиада","ГБОУ школа № 648",11
"призёр",2017,5,"Обществознание",2018,"Всероссийская олимпиада","ГБОУ школа № 1288",10
"призёр",2013,5,"Математика",2014,"Московская олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10
"призёр",2015,5,"Математика",2016,"Московская олимпиада","ГБОУ школа № 57",8
"призёр",2015,5,"Биология",2016,"Всероссийская олимпиада","ГБОУ «Школа № 167 имени Маршала Л.А. Говорова»",9
"победитель",2018,5,"Математика",2019,"Московская олимпиада","ГБОУ «Лицей «Вторая школа»",10
"призёр",2012,3,"Иностранный язык (английский язык)",2013,"Районная олимпиада","ГБОУ ЦО № 1409",11
"призёр",2014,3,"Экономика",2015,"Районная олимпиада","ГБОУ гимназия № 1514",10
"призёр",2018,3,"Обществознание",2019,"Районная олимпиада","ГБОУ школа № 806",10
"призёр",2018,5,"Биология",2019,"Всероссийская олимпиада","ФГАОУ ВО Первый МГМУ им И.М. Сеченова Минздрава России (Сеченовский университет)",11
"призёр",2018,4,"Технология",2019,"Московская олимпиада","МАОУ «Лицей города Троицка»",7
"победитель",2016,5,"География",2017,"Московская олимпиада","ГБОУ лицей № 1158",11
"призёр",2017,3,"Технология",2018,"Московская олимпиада","ГБОУ школа № 1947",8
"призёр",2012,5,"Физика",2013,"Всероссийская олимпиада","ГАОУ ЦО № 548",9
"призёр",2012,5,"Физика",2013,"Московская олимпиада","ГБОУ лицей № 1511 при НИЯУ «МИФИ»",9
"призёр",2012,5,"Экономика",2013,"Московская олимпиада","ГБОУ гимназия № 1527",11
"призёр",2012,4,"Физика",2013,"Московская олимпиада","ГБОУ лицей № 1580",11
"призёр",2016,5,"Физика",2017,"Московская олимпиада","ГБОУ лицей № 1547",11
"победитель",2014,4,"Технология",2015,"Московская олимпиада","ГБОУ школа № 1000",6
"призёр",2019,5,"Литература",2020,"Всероссийская олимпиада","ГБОУ школа № 1861 «Загорье»",11
"призёр",2014,3,"Математика",2015,"Всероссийская олимпиада","ГБОУ лицей «Вторая школа»",9
"призёр",2016,3,"Информатика",2017,"Всероссийская олимпиада","ГБОУ школа № 1329",10
"победитель",2018,5,"Технология",2019,"Московская олимпиада","ГБОУ школа № 166",7
"призёр",2014,5,"Физика",2015,"Районная олимпиада","ГБОУ гимназия № 1567",9
"призёр",2015,4,"Биология",2016,"Всероссийская олимпиада","ГБОУ гимназия № 1529",11
"призёр",2014,3,"История",2015,"Всероссийская олимпиада","ГБОУ гимназия № 1290",10
"призёр",2015,5,"Литература",2016,"Районная олимпиада","ГБОУ школа № 1018",9
"призёр",2018,3,"Математика",2019,"Московская олимпиада","ГБОУ школа № 57",11
"победитель",2012,5,"Иностранный язык (немецкий язык)",2013,"Всероссийская олимпиада","ГБОУ СОШ № 308",10
"призёр",2013,5,"Физика",2014,"Московская олимпиада","ГБОУ ЦО № 1329",8
"призёр",2019,5,"География",2020,"Всероссийская олимпиада","ГБОУ школа № 49",11
"призёр",2014,5,"Русский язык",2015,"Всероссийская олимпиада","ГБОУ Лингвистический лицей № 1555",9
