"age","housing","personal_status","credit_amount","credit_history","duration","purpose","type","existing_credits"
25,"домовладелец","мужчина (одинокий)",2435,"все кредиты погашены",33,"мебель","надежный",1
34,"домовладелец","женщина",2485,"есть просрочки платежей",28,"бытовая техника","надежный",1
28,"домовладелец","мужчина (женатый или вдовец)",1790,"есть непогашенные кредиты",27,"новая машина","надежный",1
21,"домовладелец","мужчина (одинокий)",4315,"есть просрочки платежей",28,"бизнес","надежный",2
26,"без жилья","мужчина (одинокий)",2044,"есть непогашенные кредиты",24,"бытовая техника","надежный",1
46,"домовладелец","мужчина (одинокий)",9944,"есть непогашенные кредиты",75,"новая машина","надежный",1
31,"домовладелец","мужчина (одинокий)",5130,"есть просрочки платежей",42,"бытовая техника","надежный",1
41,"домовладелец","мужчина (одинокий)",5732,"есть просрочки платежей",14,"новая машина","надежный",2
38,"домовладелец","мужчина (одинокий)",2378,"есть непогашенные кредиты",61,"образование","надежный",2
26,"арендатор","женщина",1338,"есть непогашенные кредиты",12,"образование","надежный",1
51,"домовладелец","мужчина (одинокий)",1535,"есть непогашенные кредиты",16,"образование","надежный",3
28,"домовладелец","мужчина (одинокий)",6792,"есть непогашенные кредиты",45,"новая машина","ненадежный",1
22,"домовладелец","женщина",5062,"есть непогашенные кредиты",78,"бытовая техника","ненадежный",1
19,"арендатор","женщина",1257,"есть просрочки платежей",3,"бытовая техника","надежный",2
51,"домовладелец","мужчина (одинокий)",7685,"есть просрочки платежей",37,"подержанная машина","надежный",2
48,"домовладелец","мужчина (одинокий)",1628,"есть непогашенные кредиты",20,"новая машина","надежный",1
21,"арендатор","женщина",15092,"есть просрочки платежей",50,"подержанная машина","ненадежный",2
26,"домовладелец","женщина",1007,"есть просрочки платежей",9,"бытовая техника","надежный",2
56,"домовладелец","мужчина (одинокий)",718,"есть просрочки платежей",19,"бытовая техника","надежный",1
51,"арендатор","женщина",2617,"есть непогашенные кредиты",16,"бытовая техника","надежный",1
24,"домовладелец","женщина",9996,"есть непогашенные кредиты",42,"новая машина","ненадежный",1
39,"домовладелец","мужчина (одинокий)",3787,"есть просрочки платежей",18,"подержанная машина","надежный",1
27,"арендатор","мужчина (одинокий)",4188,"есть непогашенные кредиты",30,"мебель","надежный",1
20,"домовладелец","мужчина (одинокий)",8248,"есть непогашенные кредиты",27,"мебель","надежный",1
37,"домовладелец","мужчина (одинокий)",3195,"есть просрочки платежей",25,"бизнес","надежный",2
27,"домовладелец","женщина",753,"все кредиты погашены",10,"бизнес","ненадежный",1
29,"домовладелец","мужчина (женатый или вдовец)",1094,"есть непогашенные кредиты",9,"новая машина","надежный",2
61,"домовладелец","женщина",894,"есть непогашенные кредиты",6,"новая машина","надежный",1
30,"домовладелец","мужчина (одинокий)",975,"есть непогашенные кредиты",39,"новая машина","надежный",1
22,"домовладелец","мужчина (одинокий)",1673,"есть непогашенные кредиты",10,"новая машина","ненадежный",1
36,"домовладелец","женщина",1559,"есть просрочки платежей",36,"образование","надежный",2
26,"домовладелец","мужчина (одинокий)",4128,"есть непогашенные кредиты",10,"мебель","надежный",1
19,"арендатор","женщина",2412,"есть непогашенные кредиты",24,"мебель","надежный",1
34,"домовладелец","женщина",2129,"есть непогашенные кредиты",7,"бытовая техника","надежный",1
23,"домовладелец","мужчина (одинокий)",1490,"есть непогашенные кредиты",18,"бизнес","надежный",1
25,"домовладелец","женщина",1671,"есть просрочки платежей",20,"бизнес","надежный",2
41,"без жилья","мужчина (одинокий)",14276,"есть непогашенные кредиты",54,"образование","ненадежный",1
25,"домовладелец","мужчина (одинокий)",1939,"есть непогашенные кредиты",18,"бытовая техника","надежный",1
38,"домовладелец","мужчина (одинокий)",5612,"есть просрочки платежей",19,"мебель","надежный",1
32,"домовладелец","женщина",4873,"все кредиты погашены",47,"бизнес","надежный",1
25,"арендатор","мужчина (женатый или вдовец)",1818,"есть непогашенные кредиты",7,"бытовая техника","надежный",1
32,"арендатор","женщина",1371,"есть просрочки платежей",12,"мебель","надежный",1
24,"домовладелец","мужчина (одинокий)",4225,"все кредиты погашены",32,"бизнес","надежный",1
26,"домовладелец","женщина",6601,"есть просрочки платежей",48,"новая машина","ненадежный",2
29,"домовладелец","мужчина (одинокий)",1229,"есть непогашенные кредиты",34,"новая машина","надежный",1
59,"без жилья","мужчина (разведенный)",3560,"есть непогашенные кредиты",29,"мебель","надежный",1
35,"без жилья","мужчина (одинокий)",2140,"есть просрочки платежей",11,"бытовая техника","надежный",2
27,"арендатор","мужчина (женатый или вдовец)",8817,"есть просрочки платежей",46,"подержанная машина","надежный",2
25,"арендатор","мужчина (женатый или вдовец)",11031,"есть непогашенные кредиты",60,"подержанная машина","ненадежный",1
18,"домовладелец","женщина",1986,"есть непогашенные кредиты",14,"бытовая техника","ненадежный",1
26,"домовладелец","мужчина (одинокий)",3825,"есть просрочки платежей",22,"новая машина","ненадежный",2
34,"домовладелец","мужчина (женатый или вдовец)",1845,"есть просрочки платежей",26,"новая машина","надежный",2
21,"арендатор","мужчина (женатый или вдовец)",1740,"все кредиты погашены",11,"новая машина","ненадежный",1
37,"домовладелец","мужчина (одинокий)",1811,"есть непогашенные кредиты",8,"мебель","надежный",1
34,"арендатор","мужчина (одинокий)",768,"не было кредитов",23,"новая машина","ненадежный",2
32,"домовладелец","мужчина (разведенный)",6277,"не было кредитов",41,"мебель","надежный",2
22,"домовладелец","женщина",3388,"есть непогашенные кредиты",25,"бытовая техника","надежный",1
38,"домовладелец","мужчина (одинокий)",4171,"есть непогашенные кредиты",19,"мебель","ненадежный",1
36,"без жилья","мужчина (одинокий)",822,"есть непогашенные кредиты",31,"новая машина","ненадежный",1
23,"арендатор","мужчина (одинокий)",3751,"есть просрочки платежей",17,"мебель","надежный",3
69,"домовладелец","мужчина (одинокий)",1626,"есть просрочки платежей",31,"новая машина","надежный",1
27,"домовладелец","мужчина (одинокий)",1750,"есть просрочки платежей",22,"мебель","надежный",2
32,"домовладелец","женщина",2553,"есть непогашенные кредиты",26,"подержанная машина","надежный",1
25,"арендатор","женщина",2854,"есть просрочки платежей",9,"мебель","надежный",2
45,"арендатор","женщина",584,"все кредиты погашены",15,"бытовая техника","надежный",2
28,"домовладелец","мужчина (одинокий)",1781,"есть непогашенные кредиты",10,"мебель","надежный",1
19,"домовладелец","мужчина (одинокий)",1288,"есть непогашенные кредиты",8,"бытовая техника","ненадежный",1
43,"домовладелец","мужчина (одинокий)",531,"есть просрочки платежей",18,"бытовая техника","надежный",2
31,"домовладелец","мужчина (разведенный)",1407,"есть непогашенные кредиты",8,"мебель","надежный",1
45,"домовладелец","мужчина (одинокий)",1193,"есть непогашенные кредиты",18,"новая машина","ненадежный",1
20,"домовладелец","мужчина (одинокий)",2478,"есть непогашенные кредиты",33,"подержанная машина","надежный",1
21,"домовладелец","женщина",2646,"есть непогашенные кредиты",11,"бытовая техника","ненадежный",1
23,"арендатор","женщина",4025,"не было кредитов",25,"мебель","ненадежный",1
47,"домовладелец","мужчина (одинокий)",2873,"есть просрочки платежей",17,"бытовая техника","надежный",1
50,"домовладелец","мужчина (разведенный)",4271,"есть непогашенные кредиты",9,"бытовая техника","надежный",1
53,"домовладелец","женщина",5575,"есть непогашенные кредиты",14,"мебель","надежный",1
37,"домовладелец","мужчина (одинокий)",1499,"есть непогашенные кредиты",9,"другое","надежный",1
22,"домовладелец","мужчина (женатый или вдовец)",2063,"есть непогашенные кредиты",7,"бизнес","надежный",1
27,"домовладелец","мужчина (разведенный)",5458,"не было кредитов",61,"бизнес","надежный",2
32,"без жилья","мужчина (одинокий)",5503,"есть непогашенные кредиты",33,"подержанная машина","надежный",1
19,"домовладелец","женщина",9069,"есть непогашенные кредиты",93,"бытовая техника","надежный",1
36,"без жилья","мужчина (одинокий)",14026,"есть непогашенные кредиты",50,"подержанная машина","ненадежный",3
28,"арендатор","мужчина (женатый или вдовец)",9019,"есть непогашенные кредиты",50,"бытовая техника","надежный",1
61,"домовладелец","мужчина (одинокий)",8876,"есть непогашенные кредиты",15,"бытовая техника","ненадежный",1
25,"арендатор","женщина",7222,"есть просрочки платежей",23,"подержанная машина","надежный",1
35,"домовладелец","женщина",2759,"есть просрочки платежей",18,"образование","ненадежный",2
64,"домовладелец","мужчина (одинокий)",9813,"есть просрочки платежей",48,"подержанная машина","надежный",2
23,"арендатор","женщина",2707,"есть непогашенные кредиты",23,"новая машина","надежный",1
26,"домовладелец","мужчина (женатый или вдовец)",1282,"есть просрочки платежей",11,"новая машина","ненадежный",3
34,"арендатор","мужчина (одинокий)",2726,"есть просрочки платежей",13,"новая машина","надежный",2
40,"домовладелец","мужчина (одинокий)",3058,"есть просрочки платежей",52,"новая машина","надежный",2
32,"без жилья","мужчина (одинокий)",2588,"есть непогашенные кредиты",11,"бытовая техника","надежный",1
23,"домовладелец","мужчина (одинокий)",2029,"есть непогашенные кредиты",7,"мебель","надежный",1
29,"домовладелец","мужчина (одинокий)",573,"есть просрочки платежей",15,"новая машина","ненадежный",2
37,"домовладелец","женщина",796,"есть просрочки платежей",6,"другое","надежный",2
32,"домовладелец","мужчина (женатый или вдовец)",1286,"есть просрочки платежей",6,"мебель","надежный",2
37,"домовладелец","мужчина (одинокий)",5538,"есть просрочки платежей",32,"мебель","надежный",2
56,"без жилья","женщина",17978,"все кредиты погашены",40,"другое","ненадежный",2
