"Class","Year_begin","Year_end","Subject","ShortName","TeamSize","Status","OlympiadType"
11,2019,2020,"Иностранный язык (английский язык)","ГБОУ «ЦОИС «Москва-98» Москомспорта",3,"призёр","Всероссийская олимпиада"
10,2014,2015,"География","ГБОУ СОШ № 46",3,"призёр","Районная олимпиада"
9,2016,2017,"Основы безопасности жизнедеятельности","ГБОУ школа № 709",3,"призёр","Всероссийская олимпиада"
10,2017,2018,"Физика","ГБОУ школа № 1329",4,"призёр","Всероссийская олимпиада"
9,2015,2016,"Физическая культура","ГБОУ школа № 1912",5,"победитель","Всероссийская олимпиада"
11,2018,2019,"Иностранный язык (английский язык)","ГБОУ школа № 1251 имени генерала Шарля де Голля",3,"призёр","Всероссийская олимпиада"
8,2018,2019,"филология","ГБОУ школа № 1374",5,"призёр","Московская олимпиада"
11,2019,2020,"Технология","ГБОУ школа № 1541",4,"призёр","Всероссийская олимпиада"
5,2012,2013,"Изобразительное искусство","ГБОУ школа № 1284",3,"призёр","Московская олимпиада"
10,2018,2019,"Обществознание","ГБОУ школа № 141",5,"победитель","Московская олимпиада"
10,2016,2017,"Русский язык","ГБОУ школа № 283",5,"призёр","Всероссийская олимпиада"
10,2012,2013,"Математика","ГБОУ Московская гимназия на Юго-Западе № 1543",5,"призёр","Московская олимпиада"
10,2014,2015,"Литература","ГБОУ Московская гимназия на Юго-Западе № 1543",5,"призёр","Всероссийская олимпиада"
7,2015,2016,"Изобразительное искусство","ГБОУ лицей № 2010",3,"победитель","Московская олимпиада"
9,2015,2016,"Химия","ГБОУ гимназия № 1503",5,"призёр","Московская олимпиада"
8,2018,2019,"Обществознание","ГБОУ школа № 2033",3,"призёр","Московская олимпиада"
11,2018,2019,"Иностранный язык (английский язык)","ГАОУ школа № 1306 - «Школа молодых политиков»",5,"победитель","Всероссийская олимпиада"
8,2017,2018,"Право","ГБОУ школа № 1583",5,"призёр","Московская олимпиада"
10,2015,2016,"Иностранный язык (итальянский язык)","ГБОУ гимназия № 1576",5,"призёр","Районная олимпиада"
11,2016,2017,"Экология","ГБОУ школа № 494",4,"призёр","Всероссийская олимпиада"
11,2014,2015,"Химия","ГБОУ СОШ № 2086",3,"победитель","Московская олимпиада"
9,2017,2018,"Физическая культура","ГБОУ школа № 2097",4,"призёр","Всероссийская олимпиада"
10,2017,2018,"Математика","НИУ ВШЭ. лицей",5,"призёр","Всероссийская олимпиада"
7,2015,2016,"Математика","ГБОУ школа № 444",4,"призёр","Московская олимпиада"
9,2018,2019,"Русский язык","ГБОУ школа № 1440",3,"призёр","Всероссийская олимпиада"
7,2017,2018,"Физика","ГБОУ школа № 1315",3,"призёр","Московская олимпиада"
12,2019,2020,"Математика","ГБОУ школа № 1505",3,"призёр","Всероссийская олимпиада"
9,2017,2018,"Физика","МАОУ «Лицей города Троицка»",5,"призёр","Всероссийская олимпиада"
8,2017,2018,"Математика","ГБОУ школа № 57",5,"призёр","Московская олимпиада"
10,2017,2018,"Биология","ГБОУ школа № 315",5,"призёр","Всероссийская олимпиада"
8,2018,2019,"Математика","ГБОУ «Лицей «Вторая школа»",5,"призёр","Всероссийская олимпиада"
9,2018,2019,"Иностранный язык (испанский язык)","ГБОУ школа № 1252",3,"призёр","Всероссийская олимпиада"
7,2016,2017,"Математика","ГБОУ лицей «Вторая школа»",3,"победитель","Московская олимпиада"
9,2014,2015,"Биология","ГБОУ гимназия № 1526",5,"призёр","Районная олимпиада"
9,2018,2019,"Право","ГКОУ КШИ № 5",3,"призёр","Всероссийская олимпиада"
11,2016,2017,"Информатика","ГБОУ школа «Интеллектуал»",5,"победитель","Районная олимпиада"
11,2014,2015,"Математика","ГАОУ ВО МИОО. СОШ № 179",4,"призёр","Московская олимпиада"
10,2018,2019,"География","МАОУ «Гимназия г. Троицка»",4,"призёр","Всероссийская олимпиада"
7,2018,2019,"Физика","ГБОУ школа № 1944",5,"победитель","Московская олимпиада"
10,2012,2013,"Физика","ГБОУ Физматшкола 2007",3,"призёр","Районная олимпиада"
9,2019,2020,"Русский язык","ГБОУ школа № 1799",4,"призёр","Районная олимпиада"
11,2015,2016,"Обществознание","НИУ ВШЭ. лицей",3,"победитель","Московская олимпиада"
10,2018,2019,"астрономия","МАОУ «Гимназия г. Троицка»",4,"призёр","Всероссийская олимпиада"
11,2017,2018,"астрономия","ГБОУ школа № 1576",3,"призёр","Всероссийская олимпиада"
11,2019,2020,"Русский язык","ГБОУ школа им. Полбина",5,"призёр","Всероссийская олимпиада"
10,2016,2017,"Основы безопасности жизнедеятельности","ГБОУ школа № 1002",5,"призёр","Всероссийская олимпиада"
11,2014,2015,"Физика","ГАОУ ВО МИОО. СОШ № 179",5,"призёр","Всероссийская олимпиада"
11,2015,2016,"Русский язык","ГБОУ гимназия № 1563",3,"призёр","Всероссийская олимпиада"
8,2018,2019,"Изобразительное искусство","ГБОУ школа № 1557",5,"призёр","Московская олимпиада"
11,2016,2017,"Литература","НИУ ВШЭ. лицей",4,"призёр","Всероссийская олимпиада"
8,2015,2016,"Химия","ГБОУ лицей № 1568",5,"призёр","Московская олимпиада"
10,2017,2018,"Иностранный язык (английский язык)","ГБОУ школа № 1535",4,"призёр","Районная олимпиада"
11,2016,2017,"Основы безопасности жизнедеятельности","ГБОУ Петровский кадетский корпус",3,"призёр","Всероссийская олимпиада"
10,2019,2020,"Литература","ГБОУ школа № 1252",3,"призёр","Районная олимпиада"
11,2017,2018,"Обществознание","ГБОУ школа № 1352",4,"призёр","Всероссийская олимпиада"
10,2016,2017,"Математика","ГБОУ лицей № 1502 при МЭИ",3,"призёр","Всероссийская олимпиада"
6,2015,2016,"филология","ГБОУ школа № 1270",4,"призёр","Московская олимпиада"
10,2015,2016,"Литература","ГБОУ КШИ № 6 МГКК",3,"призёр","Всероссийская олимпиада"
11,2019,2020,"Основы безопасности жизнедеятельности","ГБОУ школа № 2072",4,"призёр","Всероссийская олимпиада"
11,2014,2015,"Экономика","ГБОУ «Школа-интернат «Интеллектуал»",5,"призёр","Районная олимпиада"
11,2018,2019,"История","ГБОУ школа № 1239",5,"призёр","Районная олимпиада"
11,2016,2017,"Физика","ГБОУ лицей № 1580",4,"призёр","Районная олимпиада"
11,2017,2018,"Экономика","ГБОУ школа № 1543",3,"призёр","Всероссийская олимпиада"
10,2015,2016,"Иностранный язык (английский язык)","ГБОУ школа № 2005",5,"призёр","Районная олимпиада"
10,2018,2019,"Математика","ГБОУ школа № 179",3,"призёр","Районная олимпиада"
11,2018,2019,"Основы безопасности жизнедеятельности","ФГКОУ «МКК ПВ МО РФ»",3,"призёр","Всероссийская олимпиада"
11,2014,2015,"История","ГБОУ СОШ № 1199 «Лига Школ»",5,"призёр","Районная олимпиада"
11,2015,2016,"История","ГБОУ школа № 1945",3,"призёр","Всероссийская олимпиада"
10,2015,2016,"Физическая культура","ГБОУ школа № 51",5,"призёр","Всероссийская олимпиада"
8,2014,2015,"Изобразительное искусство","ГБОУ СОШ № 1927",3,"призёр","Московская олимпиада"
9,2017,2018,"Математика","ГБОУ школа № 1329",5,"призёр","Всероссийская олимпиада"
10,2018,2019,"Иностранный язык (немецкий язык)","ГБОУ школа № 2104 на Таганке",5,"призёр","Всероссийская олимпиада"
6,2018,2019,"История","ГБОУ школа № 1223",5,"призёр","Московская олимпиада"
10,2016,2017,"филология","ГБОУ школа № 825",4,"призёр","Московская олимпиада"
11,2014,2015,"Физическая культура","ГБОУ СОШ № 236",3,"призёр","Всероссийская олимпиада"
10,2016,2017,"Иностранный язык (французский язык)","ФГБОУ ВО МГЛУ",3,"призёр","Всероссийская олимпиада"
5,2017,2018,"Биология","ГБОУ школа № 2033",5,"призёр","Московская олимпиада"
8,2012,2013,"Изобразительное искусство","ГБОУ школа № 1324",5,"победитель","Московская олимпиада"
9,2015,2016,"География","ГБОУ школа № 199",5,"призёр","Районная олимпиада"
11,2019,2020,"Иностранный язык (английский язык)","ГБОУ школа № 1253",5,"призёр","Всероссийская олимпиада"
9,2019,2020,"Биология","ГБОУ школа № 1450 «Олимп»",5,"призёр","Районная олимпиада"
11,2018,2019,"Русский язык","ГБОУ школа № 1376",4,"призёр","Всероссийская олимпиада"
11,2013,2014,"Иностранный язык (английский язык)","ГБОУ СОШ № 1359",5,"призёр","Всероссийская олимпиада"
10,2019,2020,"Литература","ГБОУ школа № 1287",3,"призёр","Районная олимпиада"
10,2015,2016,"Литература","ГБОУ школа № 727",3,"призёр","Всероссийская олимпиада"
9,2015,2016,"Математика","ГБОУ школа № 1363",4,"призёр","Московская олимпиада"
11,2019,2020,"Экономика","ГБОУ школа № 2086",3,"призёр","Всероссийская олимпиада"
6,2015,2016,"Изобразительное искусство","ГБОУ лицей № 2010",4,"победитель","Московская олимпиада"
9,2019,2020,"Литература","ГБОУ школа № 1476",3,"призёр","Всероссийская олимпиада"
9,2013,2014,"Литература","ГБОУ гимназия № 1527",4,"призёр","Всероссийская олимпиада"
9,2019,2020,"астрономия","ГАОУ «Школа № 1518»",3,"победитель","Всероссийская олимпиада"
11,2015,2016,"Экономика","НИУ ВШЭ. лицей",5,"призёр","Всероссийская олимпиада"
10,2015,2016,"Обществознание","ГБОУ школа № 1362",3,"призёр","Всероссийская олимпиада"
9,2013,2014,"Математика","ГБОУ ЦО № 218",5,"призёр","Всероссийская олимпиада"
11,2012,2013,"Обществознание","ГБОУ СОШ № 1429",4,"призёр","Всероссийская олимпиада"
11,2016,2017,"Иностранный язык (английский язык)","ГБОУ гимназия № 1520 им. Капцовых",4,"призёр","Всероссийская олимпиада"
9,2014,2015,"Математика","ГБОУ Физматшкола 2007",3,"призёр","Всероссийская олимпиада"
6,2016,2017,"филология","ГБОУ школа № 2097",5,"призёр","Московская олимпиада"
5,2014,2015,"Технология","ГБОУ СОШ № 167 имени Маршала Л.А. Говорова",5,"призёр","Московская олимпиада"
10,2014,2015,"Иностранный язык (немецкий язык)","ГБОУ Государственная столичная гимназия",3,"призёр","Всероссийская олимпиада"
9,2017,2018,"Химия","ГБОУ школа № 1543",3,"призёр","Всероссийская олимпиада"
9,2018,2019,"Иностранный язык (английский язык)","ГБОУ школа № 1517",5,"призёр","Всероссийская олимпиада"
8,2017,2018,"Химия","ГБОУ школа № 1253",3,"призёр","Московская олимпиада"
8,2019,2020,"Математика","ГБОУ школа № 179",4,"призёр","Всероссийская олимпиада"
11,2014,2015,"Математика","ГБОУ ЦО № 57",4,"призёр","Московская олимпиада"
11,2014,2015,"Иностранный язык (английский язык)","ГБОУ Многопрофильный лицей № 1799",4,"призёр","Всероссийская олимпиада"
11,2012,2013,"Физика","ГБОУ ЦО № 57",3,"победитель","Московская олимпиада"
10,2017,2018,"Искусство (МХК)","ГБОУ школа «Интеллектуал»",5,"призёр","Всероссийская олимпиада"
11,2018,2019,"Математика","ГБОУ школа № 1580",3,"призёр","Районная олимпиада"
8,2012,2013,"Математика","ГБОУ ЦО № 57",3,"призёр","Московская олимпиада"
11,2015,2016,"Биология","ГБОУ ЛГК на Юго-Востоке",5,"призёр","Всероссийская олимпиада"
10,2015,2016,"Обществознание","ГБОУ школа № 1133",3,"призёр","Московская олимпиада"
9,2018,2019,"Основы безопасности жизнедеятельности","ГБОУ школа № 117",4,"призёр","Районная олимпиада"
10,2016,2017,"Русский язык","ГБОУ гимназия № 1529",4,"призёр","Всероссийская олимпиада"
11,2013,2014,"Литература","ГБОУ СОШ № 1270",5,"призёр","Районная олимпиада"
5,2013,2014,"Изобразительное искусство","ГБОУ СОШ № 718",5,"призёр","Московская олимпиада"
7,2013,2014,"Изобразительное искусство","ГБОУ СОШ № 1416",4,"призёр","Московская олимпиада"
10,2013,2014,"Биология","ГБОУ СОШ № 1388",5,"призёр","Всероссийская олимпиада"
9,2014,2015,"Математика","ГБОУ ЦО № 57",5,"призёр","Московская олимпиада"
11,2015,2016,"Обществознание","НИУ ВШЭ. лицей",4,"призёр","Районная олимпиада"
