"housing","credit_amount","duration","personal_status","age","credit_history","existing_credits","purpose","type"
"домовладелец",1256,5,"мужчина (одинокий)",20,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",2877,51,"мужчина (разведенный)",21,"есть просрочки платежей",2,"новая машина","ненадежный"
"домовладелец",7012,28,"мужчина (одинокий)",44,"есть просрочки платежей",1,"бытовая техника","надежный"
"домовладелец",5014,29,"женщина",39,"есть просрочки платежей",1,"мебель","надежный"
"домовладелец",2039,7,"мужчина (одинокий)",19,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",5809,10,"мужчина (одинокий)",28,"не было кредитов",2,"бытовая техника","ненадежный"
"домовладелец",7088,25,"мужчина (одинокий)",30,"есть просрочки платежей",2,"другое","надежный"
"домовладелец",3586,11,"мужчина (одинокий)",38,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",1904,28,"мужчина (женатый или вдовец)",21,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",3406,43,"мужчина (одинокий)",38,"есть просрочки платежей",2,"бытовая техника","надежный"
"арендатор",4023,14,"женщина",36,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1664,7,"мужчина (женатый или вдовец)",22,"есть просрочки платежей",1,"новая машина","надежный"
"домовладелец",5352,15,"мужчина (одинокий)",41,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",1648,5,"мужчина (одинокий)",88,"есть просрочки платежей",3,"новая машина","надежный"
"домовладелец",1321,15,"женщина",32,"есть непогашенные кредиты",1,"мебель","надежный"
"арендатор",1769,7,"мужчина (женатый или вдовец)",35,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",3452,35,"мужчина (одинокий)",27,"есть непогашенные кредиты",1,"мебель","надежный"
"арендатор",2051,15,"мужчина (женатый или вдовец)",21,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",7287,39,"женщина",26,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",1001,18,"мужчина (одинокий)",29,"есть непогашенные кредиты",2,"бытовая техника","надежный"
"домовладелец",12969,30,"мужчина (одинокий)",33,"есть просрочки платежей",1,"подержанная машина","надежный"
"домовладелец",1009,10,"мужчина (одинокий)",49,"есть просрочки платежей",2,"новая машина","надежный"
"домовладелец",1798,31,"мужчина (одинокий)",53,"есть просрочки платежей",2,"новая машина","ненадежный"
"домовладелец",5243,34,"женщина",40,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",5980,30,"мужчина (женатый или вдовец)",29,"не было кредитов",2,"подержанная машина","надежный"
"арендатор",3530,11,"мужчина (одинокий)",27,"есть просрочки платежей",2,"подержанная машина","надежный"
"домовладелец",3972,9,"мужчина (одинокий)",64,"есть непогашенные кредиты",1,"образование","надежный"
"домовладелец",3572,30,"мужчина (одинокий)",39,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",1402,27,"мужчина (одинокий)",46,"все кредиты погашены",1,"бытовая техника","надежный"
"арендатор",6640,34,"женщина",19,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1481,25,"мужчина (женатый или вдовец)",50,"есть непогашенные кредиты",1,"другое","ненадежный"
"арендатор",2393,40,"женщина",30,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1421,18,"женщина",32,"есть непогашенные кредиты",1,"бизнес","ненадежный"
"домовладелец",1273,15,"мужчина (одинокий)",21,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",5519,7,"мужчина (одинокий)",43,"есть просрочки платежей",2,"новая машина","надежный"
"арендатор",4708,26,"женщина",37,"есть просрочки платежей",2,"подержанная машина","надежный"
"домовладелец",3599,11,"женщина",25,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"без жилья",1057,23,"мужчина (одинокий)",30,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",872,17,"женщина",23,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"арендатор",3610,6,"мужчина (одинокий)",24,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",581,12,"женщина",28,"все кредиты погашены",1,"бытовая техника","ненадежный"
"арендатор",2093,24,"женщина",19,"есть непогашенные кредиты",1,"мебель","ненадежный"
"арендатор",6814,10,"женщина",22,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",3382,33,"женщина",21,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",3085,30,"женщина",27,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"без жилья",1139,24,"женщина",46,"есть просрочки платежей",3,"ремонт жилья","ненадежный"
"домовладелец",2354,19,"женщина",24,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",1257,6,"женщина",27,"есть просрочки платежей",2,"бытовая техника","надежный"
"арендатор",2408,27,"женщина",27,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",5034,17,"женщина",22,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",1009,7,"мужчина (одинокий)",49,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",17409,6,"мужчина (одинокий)",26,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",5406,18,"мужчина (одинокий)",45,"есть просрочки платежей",2,"новая машина","надежный"
"домовладелец",5207,36,"женщина",34,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",1271,10,"мужчина (женатый или вдовец)",24,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",5898,16,"мужчина (женатый или вдовец)",18,"есть непогашенные кредиты",1,"бизнес","надежный"
"домовладелец",1783,15,"женщина",24,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"без жилья",5122,67,"мужчина (одинокий)",51,"есть просрочки платежей",1,"подержанная машина","надежный"
"домовладелец",7287,15,"мужчина (одинокий)",31,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",1707,7,"женщина",31,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",419,7,"мужчина (одинокий)",42,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",974,26,"мужчина (женатый или вдовец)",26,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",4302,30,"мужчина (одинокий)",28,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",3411,28,"мужчина (одинокий)",34,"есть просрочки платежей",2,"бытовая техника","надежный"
"арендатор",2115,16,"мужчина (одинокий)",28,"все кредиты погашены",1,"бытовая техника","ненадежный"
"домовладелец",7497,12,"мужчина (одинокий)",61,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"без жилья",12167,20,"женщина",46,"есть непогашенные кредиты",1,"подержанная машина","ненадежный"
"домовладелец",2505,18,"мужчина (одинокий)",49,"есть просрочки платежей",2,"новая машина","надежный"
"арендатор",1306,15,"женщина",18,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",1076,21,"мужчина (одинокий)",35,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",2054,20,"мужчина (разведенный)",32,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",710,19,"мужчина (женатый или вдовец)",28,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"арендатор",3837,24,"мужчина (одинокий)",30,"есть непогашенные кредиты",1,"бизнес","надежный"
"домовладелец",5274,21,"мужчина (одинокий)",28,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"арендатор",20433,60,"мужчина (одинокий)",56,"не было кредитов",1,"бизнес","ненадежный"
"домовладелец",1445,12,"мужчина (одинокий)",24,"есть непогашенные кредиты",2,"бытовая техника","надежный"
"домовладелец",1421,10,"мужчина (одинокий)",30,"все кредиты погашены",1,"бытовая техника","надежный"
"домовладелец",13585,8,"мужчина (одинокий)",73,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"без жилья",10981,25,"мужчина (одинокий)",26,"есть просрочки платежей",1,"новая машина","ненадежный"
"домовладелец",2987,14,"женщина",27,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",10270,24,"мужчина (одинокий)",37,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",2591,17,"мужчина (одинокий)",33,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"арендатор",3911,19,"мужчина (одинокий)",27,"есть просрочки платежей",3,"мебель","надежный"
"арендатор",1758,18,"мужчина (одинокий)",24,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",4470,16,"женщина",33,"не было кредитов",2,"мебель","надежный"
"домовладелец",2652,29,"мужчина (одинокий)",24,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",3166,23,"мужчина (одинокий)",36,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",14465,37,"мужчина (одинокий)",32,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",870,14,"мужчина (одинокий)",53,"есть просрочки платежей",2,"образование","надежный"
"домовладелец",6265,64,"женщина",39,"есть просрочки платежей",2,"бизнес","надежный"
"арендатор",796,2,"женщина",26,"есть непогашенные кредиты",1,"мебель","надежный"
"без жилья",21846,54,"женщина",56,"все кредиты погашены",2,"другое","ненадежный"
"арендатор",1860,17,"женщина",52,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",8741,43,"мужчина (одинокий)",22,"не было кредитов",3,"бизнес","надежный"
"домовладелец",1967,18,"женщина",20,"есть просрочки платежей",1,"мебель","надежный"
"домовладелец",1616,26,"женщина",23,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",8271,57,"мужчина (одинокий)",34,"есть непогашенные кредиты",2,"бизнес","надежный"
"домовладелец",693,19,"женщина",33,"есть просрочки платежей",1,"бытовая техника","ненадежный"
"домовладелец",1247,8,"мужчина (женатый или вдовец)",41,"есть непогашенные кредиты",2,"бытовая техника","надежный"
"домовладелец",1952,13,"мужчина (одинокий)",48,"все кредиты погашены",1,"мебель","ненадежный"
"домовладелец",4206,30,"мужчина (разведенный)",35,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",309,13,"мужчина (женатый или вдовец)",51,"все кредиты погашены",1,"другое","надежный"
"домовладелец",3777,27,"мужчина (одинокий)",46,"есть непогашенные кредиты",3,"мебель","надежный"
"домовладелец",1969,12,"мужчина (женатый или вдовец)",38,"есть непогашенные кредиты",1,"бизнес","надежный"
"домовладелец",1110,13,"мужчина (одинокий)",35,"есть просрочки платежей",2,"новая машина","надежный"
"домовладелец",8583,43,"мужчина (одинокий)",24,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",1390,11,"мужчина (одинокий)",28,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",1182,14,"мужчина (одинокий)",44,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",1662,14,"мужчина (одинокий)",25,"есть просрочки платежей",2,"бытовая техника","надежный"
"без жилья",14629,45,"мужчина (одинокий)",40,"есть непогашенные кредиты",1,"образование","ненадежный"
"домовладелец",4208,16,"мужчина (одинокий)",29,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",1225,10,"мужчина (разведенный)",32,"есть просрочки платежей",2,"новая машина","надежный"
"арендатор",1582,19,"женщина",28,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",2512,36,"мужчина (одинокий)",35,"есть непогашенные кредиты",1,"образование","ненадежный"
"без жилья",9719,47,"мужчина (одинокий)",40,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",1903,31,"мужчина (одинокий)",30,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",1428,15,"мужчина (разведенный)",22,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",794,10,"мужчина (одинокий)",28,"есть непогашенные кредиты",1,"ремонт жилья","ненадежный"
"арендатор",2114,11,"мужчина (женатый или вдовец)",22,"есть непогашенные кредиты",2,"бытовая техника","надежный"
"без жилья",1709,11,"мужчина (одинокий)",44,"есть просрочки платежей",2,"другое","надежный"
"арендатор",1420,28,"женщина",24,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",1240,20,"мужчина (одинокий)",23,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",11205,52,"женщина",19,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",1264,29,"женщина",61,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",4684,55,"мужчина (одинокий)",39,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",5179,30,"мужчина (одинокий)",25,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"без жилья",9887,58,"мужчина (одинокий)",51,"есть просрочки платежей",1,"новая машина","ненадежный"
"домовладелец",1480,13,"мужчина (одинокий)",34,"все кредиты погашены",1,"новая машина","ненадежный"
"без жилья",3629,20,"мужчина (одинокий)",63,"есть непогашенные кредиты",2,"бытовая техника","ненадежный"
"домовладелец",7672,33,"мужчина (одинокий)",23,"есть непогашенные кредиты",1,"подержанная машина","ненадежный"
"домовладелец",3201,10,"мужчина (одинокий)",37,"есть просрочки платежей",2,"бизнес","ненадежный"
"арендатор",1858,42,"мужчина (разведенный)",25,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",3762,32,"мужчина (одинокий)",37,"есть просрочки платежей",1,"бытовая техника","надежный"
"домовладелец",1780,13,"женщина",23,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",1654,23,"мужчина (одинокий)",44,"все кредиты погашены",1,"другое","ненадежный"
"домовладелец",1883,33,"женщина",23,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",2040,13,"мужчина (одинокий)",42,"есть непогашенные кредиты",1,"бизнес","надежный"
"домовладелец",8654,37,"мужчина (одинокий)",25,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",1901,11,"женщина",28,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",11335,60,"женщина",39,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",4741,76,"мужчина (одинокий)",26,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1937,12,"мужчина (одинокий)",49,"есть просрочки платежей",1,"образование","надежный"
"арендатор",2931,9,"женщина",22,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",4543,42,"мужчина (одинокий)",54,"есть непогашенные кредиты",4,"ремонт жилья","надежный"
"арендатор",4552,22,"женщина",64,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",1356,14,"женщина",23,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",935,13,"мужчина (одинокий)",23,"не было кредитов",2,"ремонт жилья","ненадежный"
"домовладелец",1561,16,"мужчина (одинокий)",33,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",5963,22,"мужчина (одинокий)",38,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",1411,15,"мужчина (одинокий)",48,"есть непогашенные кредиты",3,"образование","надежный"
"домовладелец",1650,9,"мужчина (одинокий)",29,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",4790,47,"женщина",24,"не было кредитов",2,"бизнес","надежный"
"домовладелец",3290,24,"мужчина (одинокий)",40,"есть непогашенные кредиты",2,"новая машина","надежный"
"домовладелец",10112,26,"женщина",26,"есть просрочки платежей",2,"образование","ненадежный"
"домовладелец",2139,9,"мужчина (разведенный)",33,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",2078,7,"мужчина (одинокий)",48,"все кредиты погашены",1,"бытовая техника","надежный"
"домовладелец",1921,14,"женщина",62,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",3157,59,"мужчина (одинокий)",27,"есть непогашенные кредиты",2,"образование","надежный"
"домовладелец",6690,23,"мужчина (одинокий)",40,"есть просрочки платежей",1,"мебель","надежный"
"домовладелец",12228,57,"мужчина (одинокий)",42,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1806,5,"мужчина (одинокий)",32,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",2082,19,"женщина",24,"есть непогашенные кредиты",2,"бытовая техника","ненадежный"
"арендатор",2704,13,"мужчина (одинокий)",28,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",648,11,"мужчина (одинокий)",57,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",1765,29,"мужчина (одинокий)",35,"есть непогашенные кредиты",2,"бизнес","надежный"
"домовладелец",1105,18,"мужчина (одинокий)",42,"есть просрочки платежей",2,"новая машина","ненадежный"
"домовладелец",1035,9,"мужчина (одинокий)",25,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",1638,11,"мужчина (одинокий)",28,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",26830,50,"женщина",33,"не было кредитов",1,"другое","ненадежный"
"арендатор",2752,19,"мужчина (одинокий)",35,"все кредиты погашены",1,"бизнес","ненадежный"
"без жилья",6598,66,"мужчина (одинокий)",58,"есть непогашенные кредиты",1,"образование","надежный"
"без жилья",4638,17,"мужчина (одинокий)",22,"есть непогашенные кредиты",1,"мебель","надежный"
"арендатор",1942,15,"мужчина (женатый или вдовец)",39,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",2806,6,"мужчина (одинокий)",47,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",743,9,"женщина",24,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",4958,36,"женщина",29,"все кредиты погашены",1,"бизнес","надежный"
"домовладелец",1861,6,"мужчина (разведенный)",27,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",1381,10,"женщина",20,"есть просрочки платежей",2,"ремонт жилья","надежный"
"арендатор",1106,8,"женщина",26,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",2601,26,"мужчина (одинокий)",39,"есть просрочки платежей",1,"бытовая техника","надежный"
"домовладелец",2535,20,"женщина",28,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",5357,11,"мужчина (одинокий)",40,"есть просрочки платежей",2,"новая машина","ненадежный"
"без жилья",1776,30,"мужчина (одинокий)",38,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",1451,7,"мужчина (разведенный)",21,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",3194,43,"мужчина (одинокий)",39,"есть просрочки платежей",1,"бытовая техника","надежный"
"домовладелец",6520,34,"женщина",22,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"арендатор",3924,15,"женщина",18,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",503,11,"женщина",30,"все кредиты погашены",1,"бизнес","ненадежный"
"домовладелец",2948,71,"мужчина (одинокий)",58,"есть просрочки платежей",2,"ремонт жилья","надежный"
"домовладелец",2851,15,"мужчина (женатый или вдовец)",25,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",2221,11,"мужчина (одинокий)",61,"есть просрочки платежей",1,"мебель","надежный"
"домовладелец",6785,35,"женщина",24,"есть просрочки платежей",2,"новая машина","ненадежный"
"арендатор",3655,13,"женщина",23,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",2965,36,"мужчина (женатый или вдовец)",48,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",4024,18,"мужчина (одинокий)",48,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",14316,35,"женщина",28,"есть непогашенные кредиты",2,"мебель","ненадежный"
"домовладелец",1469,18,"мужчина (одинокий)",39,"есть просрочки платежей",2,"новая машина","надежный"
"домовладелец",2893,24,"мужчина (одинокий)",33,"все кредиты погашены",1,"мебель","ненадежный"
"домовладелец",2816,21,"женщина",21,"есть непогашенные кредиты",1,"ремонт жилья","ненадежный"
"домовладелец",1885,39,"мужчина (одинокий)",34,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",1386,22,"женщина",21,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",4874,28,"мужчина (одинокий)",25,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",1308,4,"женщина",45,"есть просрочки платежей",2,"другое","надежный"
"домовладелец",2309,14,"мужчина (одинокий)",31,"есть просрочки платежей",1,"подержанная машина","надежный"
"домовладелец",2041,12,"мужчина (одинокий)",34,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",4901,11,"женщина",72,"есть непогашенные кредиты",1,"ремонт жилья","надежный"
"домовладелец",456,15,"женщина",68,"есть просрочки платежей",4,"бытовая техника","надежный"
"домовладелец",2093,23,"мужчина (одинокий)",22,"есть просрочки платежей",2,"бытовая техника","ненадежный"
"домовладелец",16176,45,"мужчина (одинокий)",27,"есть непогашенные кредиты",2,"бытовая техника","ненадежный"
"домовладелец",2418,23,"мужчина (разведенный)",36,"есть просрочки платежей",2,"бизнес","ненадежный"
"домовладелец",3785,38,"мужчина (одинокий)",49,"есть просрочки платежей",2,"подержанная машина","надежный"
"домовладелец",1738,6,"мужчина (одинокий)",32,"не было кредитов",2,"бытовая техника","ненадежный"
"арендатор",1547,11,"женщина",22,"есть непогашенные кредиты",1,"образование","надежный"
"арендатор",2123,11,"женщина",22,"есть непогашенные кредиты",2,"мебель","ненадежный"
"домовладелец",1806,27,"мужчина (женатый или вдовец)",32,"есть непогашенные кредиты",1,"новая машина","надежный"
"арендатор",2982,13,"женщина",26,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",448,8,"мужчина (женатый или вдовец)",38,"не было кредитов",1,"бытовая техника","надежный"
"домовладелец",1888,40,"мужчина (женатый или вдовец)",24,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
