"purpose","housing","duration","personal_status","credit_amount","age","existing_credits","credit_history","type"
"бытовая техника","домовладелец",15,"женщина",2150,24,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",22,"мужчина (разведенный)",2364,32,2,"есть просрочки платежей","ненадежный"
"бытовая техника","арендатор",4,"мужчина (женатый или вдовец)",1895,32,2,"есть просрочки платежей","надежный"
"подержанная машина","домовладелец",15,"мужчина (одинокий)",3492,57,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",16,"женщина",1519,21,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",6,"мужчина (одинокий)",1022,41,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",18,"мужчина (одинокий)",7325,49,1,"есть просрочки платежей","ненадежный"
"ремонт жилья","домовладелец",29,"мужчина (одинокий)",3286,29,2,"не было кредитов","надежный"
"мебель","домовладелец",56,"мужчина (одинокий)",4595,35,1,"есть непогашенные кредиты","надежный"
"мебель","без жилья",31,"мужчина (разведенный)",3853,52,1,"есть непогашенные кредиты","надежный"
"новая машина","без жилья",15,"женщина",2198,42,1,"есть непогашенные кредиты","надежный"
"другое","домовладелец",16,"мужчина (одинокий)",8763,26,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",18,"мужчина (одинокий)",2315,58,2,"есть просрочки платежей","надежный"
"новая машина","арендатор",27,"женщина",1582,26,2,"все кредиты погашены","ненадежный"
"мебель","без жилья",9,"женщина",3538,44,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",20,"мужчина (одинокий)",3694,24,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",26,"мужчина (женатый или вдовец)",2366,40,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",18,"женщина",802,18,1,"есть непогашенные кредиты","надежный"
"бытовая техника","арендатор",5,"мужчина (одинокий)",2240,48,1,"есть непогашенные кредиты","надежный"
"образование","арендатор",12,"мужчина (одинокий)",833,39,1,"есть непогашенные кредиты","ненадежный"
"новая машина","арендатор",18,"женщина",2405,21,2,"не было кредитов","ненадежный"
"подержанная машина","домовладелец",15,"мужчина (одинокий)",5323,30,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",74,"мужчина (одинокий)",18121,26,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",9,"мужчина (одинокий)",966,24,2,"есть непогашенные кредиты","надежный"
"образование","без жилья",5,"женщина",1506,29,1,"все кредиты погашены","ненадежный"
"бытовая техника","домовладелец",14,"женщина",5097,25,1,"есть просрочки платежей","надежный"
"образование","без жилья",23,"женщина",7205,20,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",77,"мужчина (женатый или вдовец)",7642,19,1,"есть непогашенные кредиты","ненадежный"
"другое","домовладелец",48,"женщина",4161,26,1,"все кредиты погашены","надежный"
"бытовая техника","домовладелец",21,"мужчина (одинокий)",3284,22,2,"есть просрочки платежей","ненадежный"
"мебель","арендатор",18,"женщина",4332,19,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",14,"мужчина (женатый или вдовец)",884,22,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",32,"женщина",4151,29,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",18,"мужчина (женатый или вдовец)",1063,28,1,"есть непогашенные кредиты","надежный"
"новая машина","арендатор",25,"мужчина (женатый или вдовец)",1145,26,1,"все кредиты погашены","ненадежный"
"бытовая техника","арендатор",18,"мужчина (одинокий)",5514,31,2,"не было кредитов","ненадежный"
"новая машина","арендатор",42,"женщина",2873,22,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",28,"мужчина (одинокий)",3974,39,1,"есть непогашенные кредиты","надежный"
"новая машина","без жилья",6,"мужчина (одинокий)",6239,73,1,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",23,"мужчина (одинокий)",4683,54,2,"не было кредитов","ненадежный"
"бытовая техника","домовладелец",36,"мужчина (одинокий)",3933,41,1,"есть просрочки платежей","надежный"
"мебель","домовладелец",55,"мужчина (одинокий)",4977,45,1,"есть непогашенные кредиты","ненадежный"
"бизнес","арендатор",54,"мужчина (одинокий)",13336,23,2,"не было кредитов","ненадежный"
"мебель","домовладелец",28,"мужчина (одинокий)",5209,32,1,"есть просрочки платежей","надежный"
"бытовая техника","арендатор",13,"женщина",2617,37,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",25,"женщина",1191,33,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",17,"мужчина (одинокий)",3691,30,1,"есть непогашенные кредиты","надежный"
"образование","домовладелец",18,"мужчина (одинокий)",2867,51,1,"есть просрочки платежей","надежный"
"мебель","домовладелец",35,"мужчина (одинокий)",4204,41,2,"есть просрочки платежей","надежный"
"новая машина","домовладелец",28,"мужчина (одинокий)",473,65,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",7,"мужчина (одинокий)",1688,23,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",38,"мужчина (одинокий)",2865,50,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",14,"женщина",2009,35,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",49,"мужчина (одинокий)",8648,31,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",33,"женщина",2250,33,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",15,"мужчина (одинокий)",1491,43,2,"не было кредитов","ненадежный"
"бизнес","домовладелец",27,"мужчина (разведенный)",1989,30,2,"есть просрочки платежей","ненадежный"
"подержанная машина","домовладелец",51,"мужчина (одинокий)",9568,41,1,"не было кредитов","надежный"
"новая машина","домовладелец",14,"мужчина (одинокий)",3135,26,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",9,"женщина",2577,26,2,"есть просрочки платежей","надежный"
"подержанная машина","арендатор",29,"женщина",4514,43,2,"есть просрочки платежей","надежный"
"мебель","без жилья",34,"мужчина (одинокий)",10378,56,2,"не было кредитов","ненадежный"
"бытовая техника","домовладелец",4,"мужчина (одинокий)",938,31,1,"есть непогашенные кредиты","надежный"
"подержанная машина","без жилья",16,"мужчина (одинокий)",4939,39,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",20,"женщина",1388,27,1,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",23,"мужчина (одинокий)",4885,45,3,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",22,"мужчина (одинокий)",2694,41,1,"есть непогашенные кредиты","ненадежный"
"подержанная машина","без жилья",13,"мужчина (одинокий)",1421,48,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",26,"мужчина (одинокий)",4876,31,1,"есть непогашенные кредиты","надежный"
"образование","арендатор",13,"женщина",1496,44,2,"есть просрочки платежей","надежный"
"новая машина","арендатор",28,"женщина",5899,35,3,"есть просрочки платежей","ненадежный"
"подержанная машина","без жилья",17,"женщина",10941,30,1,"есть непогашенные кредиты","ненадежный"
"подержанная машина","домовладелец",17,"мужчина (одинокий)",4236,36,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",44,"мужчина (одинокий)",12572,42,1,"есть непогашенные кредиты","надежный"
"образование","без жилья",68,"мужчина (одинокий)",7940,43,1,"есть непогашенные кредиты","ненадежный"
"другое","домовладелец",24,"женщина",1241,26,1,"есть непогашенные кредиты","надежный"
"бытовая техника","арендатор",5,"женщина",1730,23,2,"есть просрочки платежей","надежный"
"новая машина","арендатор",18,"женщина",1735,25,1,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",34,"мужчина (одинокий)",1596,27,2,"есть просрочки платежей","надежный"
"новая машина","домовладелец",9,"мужчина (женатый или вдовец)",817,31,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",9,"женщина",1395,75,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",18,"мужчина (одинокий)",1848,32,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",30,"мужчина (одинокий)",710,37,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",12,"женщина",998,26,1,"есть непогашенные кредиты","ненадежный"
"другое","без жилья",12,"мужчина (одинокий)",1397,58,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",30,"мужчина (одинокий)",3030,47,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",7,"мужчина (одинокий)",2785,21,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",23,"женщина",4053,25,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",10,"мужчина (одинокий)",5814,30,1,"есть непогашенные кредиты","надежный"
"новая машина","без жилья",72,"мужчина (одинокий)",14772,56,1,"есть просрочки платежей","надежный"
"мебель","домовладелец",16,"мужчина (одинокий)",2730,49,3,"есть просрочки платежей","надежный"
"подержанная машина","без жилья",23,"мужчина (одинокий)",6209,54,1,"есть непогашенные кредиты","ненадежный"
"подержанная машина","домовладелец",25,"мужчина (одинокий)",4487,25,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",47,"женщина",5036,20,2,"есть просрочки платежей","ненадежный"
"мебель","домовладелец",27,"мужчина (одинокий)",3393,53,3,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",43,"женщина",11542,21,1,"есть непогашенные кредиты","надежный"
"новая машина","арендатор",18,"мужчина (одинокий)",6350,31,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",52,"женщина",8052,25,2,"есть просрочки платежей","ненадежный"
"ремонт жилья","домовладелец",21,"мужчина (одинокий)",1587,23,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",17,"мужчина (одинокий)",762,41,1,"есть просрочки платежей","ненадежный"
"новая машина","домовладелец",17,"мужчина (женатый или вдовец)",1992,27,2,"есть просрочки платежей","надежный"
"новая машина","арендатор",17,"женщина",3613,20,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",21,"мужчина (одинокий)",1320,41,2,"все кредиты погашены","ненадежный"
"бытовая техника","домовладелец",35,"женщина",2093,26,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",24,"мужчина (одинокий)",2660,38,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","без жилья",7,"мужчина (одинокий)",681,34,2,"есть просрочки платежей","надежный"
"новая машина","домовладелец",7,"мужчина (одинокий)",1045,35,1,"есть непогашенные кредиты","надежный"
"другое","домовладелец",15,"женщина",1044,19,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",14,"мужчина (одинокий)",3128,37,1,"есть непогашенные кредиты","надежный"
"образование","домовладелец",45,"мужчина (одинокий)",1859,29,2,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",13,"женщина",3605,35,1,"есть непогашенные кредиты","надежный"
"образование","без жилья",21,"женщина",1503,35,1,"все кредиты погашены","ненадежный"
"бытовая техника","домовладелец",5,"мужчина (одинокий)",524,32,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",32,"мужчина (одинокий)",4234,47,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",32,"женщина",2095,18,1,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",13,"мужчина (одинокий)",2894,26,1,"не было кредитов","надежный"
"новая машина","домовладелец",13,"мужчина (разведенный)",1448,36,1,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",21,"мужчина (женатый или вдовец)",3353,43,3,"есть просрочки платежей","надежный"
"мебель","арендатор",7,"мужчина (одинокий)",2471,28,1,"есть непогашенные кредиты","ненадежный"
"образование","домовладелец",15,"мужчина (одинокий)",4849,40,1,"есть непогашенные кредиты","ненадежный"
"другое","арендатор",13,"мужчина (женатый или вдовец)",1184,22,1,"есть непогашенные кредиты","ненадежный"
"новая машина","арендатор",15,"мужчина (одинокий)",1866,35,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",3,"мужчина (одинокий)",9308,49,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",9,"женщина",2881,25,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",40,"мужчина (одинокий)",4124,36,1,"есть непогашенные кредиты","надежный"
"другое","домовладелец",19,"мужчина (одинокий)",11268,36,2,"есть просрочки платежей","ненадежный"
"образование","домовладелец",6,"женщина",978,52,1,"есть просрочки платежей","надежный"
"новая машина","домовладелец",20,"мужчина (одинокий)",3017,31,1,"все кредиты погашены","надежный"
"бытовая техника","домовладелец",25,"женщина",5997,25,1,"есть непогашенные кредиты","надежный"
"бизнес","без жилья",26,"женщина",10922,44,2,"не было кредитов","ненадежный"
"подержанная машина","домовладелец",21,"женщина",7240,59,1,"все кредиты погашены","ненадежный"
"новая машина","арендатор",26,"мужчина (одинокий)",3561,40,1,"есть просрочки платежей","ненадежный"
"бизнес","арендатор",14,"женщина",1109,20,1,"есть непогашенные кредиты","надежный"
"образование","без жилья",59,"мужчина (одинокий)",15610,54,1,"есть непогашенные кредиты","ненадежный"
"новая машина","без жилья",55,"мужчина (одинокий)",7736,47,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",9,"женщина",1298,21,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",8,"женщина",617,42,1,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",39,"мужчина (одинокий)",5685,66,1,"есть просрочки платежей","надежный"
"новая машина","домовладелец",13,"мужчина (одинокий)",2320,27,1,"есть непогашенные кредиты","ненадежный"
"новая машина","арендатор",8,"мужчина (одинокий)",2280,31,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",34,"мужчина (разведенный)",4423,30,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",29,"мужчина (женатый или вдовец)",2089,28,2,"есть просрочки платежей","надежный"
"бизнес","домовладелец",19,"мужчина (женатый или вдовец)",1608,30,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",20,"мужчина (одинокий)",4717,39,2,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",14,"женщина",2372,29,1,"есть непогашенные кредиты","надежный"
"образование","домовладелец",12,"женщина",1314,56,2,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",19,"мужчина (одинокий)",5097,32,2,"не было кредитов","ненадежный"
"бытовая техника","домовладелец",9,"женщина",1863,23,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",38,"женщина",1709,50,1,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",8,"мужчина (одинокий)",2419,29,1,"есть непогашенные кредиты","надежный"
"новая машина","арендатор",6,"мужчина (одинокий)",1666,35,1,"не было кредитов","надежный"
"бизнес","домовладелец",31,"женщина",4989,40,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",19,"мужчина (одинокий)",994,35,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",9,"мужчина (одинокий)",1450,74,1,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",29,"женщина",7488,35,1,"есть непогашенные кредиты","надежный"
"образование","домовладелец",24,"женщина",958,29,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",9,"мужчина (одинокий)",2491,35,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",8,"женщина",2071,39,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",19,"мужчина (одинокий)",3372,36,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",3,"мужчина (одинокий)",1738,53,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",37,"женщина",1166,25,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",6,"женщина",726,28,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",29,"мужчина (разведенный)",5555,29,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",15,"мужчина (женатый или вдовец)",2466,22,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",8,"женщина",1511,21,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",11,"мужчина (одинокий)",768,23,1,"есть непогашенные кредиты","ненадежный"
"ремонт жилья","домовладелец",6,"мужчина (одинокий)",1058,46,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",11,"мужчина (одинокий)",1169,41,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",10,"мужчина (одинокий)",1634,35,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",37,"женщина",4291,44,1,"есть непогашенные кредиты","надежный"
"ремонт жилья","домовладелец",32,"мужчина (одинокий)",4668,49,4,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",21,"мужчина (одинокий)",3015,47,2,"есть просрочки платежей","надежный"
"бизнес","домовладелец",48,"мужчина (одинокий)",15564,46,1,"не было кредитов","надежный"
"бизнес","домовладелец",11,"мужчина (одинокий)",1108,36,1,"есть непогашенные кредиты","надежный"
"образование","без жилья",66,"мужчина (одинокий)",6287,58,1,"есть непогашенные кредиты","надежный"
"образование","домовладелец",18,"мужчина (одинокий)",1224,54,3,"есть непогашенные кредиты","надежный"
"мебель","арендатор",15,"женщина",1825,21,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",52,"женщина",3579,32,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","арендатор",7,"мужчина (женатый или вдовец)",2514,24,1,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",38,"мужчина (одинокий)",11381,43,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",18,"женщина",914,28,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",12,"мужчина (одинокий)",765,38,2,"все кредиты погашены","ненадежный"
"бизнес","домовладелец",18,"мужчина (разведенный)",2937,26,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",43,"женщина",9279,29,2,"не было кредитов","надежный"
"новая машина","домовладелец",17,"женщина",882,22,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","без жилья",12,"мужчина (одинокий)",2475,54,2,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",21,"мужчина (женатый или вдовец)",2956,28,2,"есть просрочки платежей","надежный"
"образование","домовладелец",8,"мужчина (одинокий)",4608,73,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",38,"мужчина (разведенный)",5651,41,1,"есть просрочки платежей","надежный"
"бытовая техника","арендатор",27,"женщина",5282,21,1,"есть просрочки платежей","надежный"
"мебель","домовладелец",6,"мужчина (одинокий)",3115,26,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",15,"женщина",407,53,4,"есть просрочки платежей","надежный"
"ремонт жилья","домовладелец",69,"мужчина (одинокий)",3060,66,2,"есть просрочки платежей","надежный"
"ремонт жилья","домовладелец",21,"женщина",2454,20,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",13,"женщина",1112,37,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",28,"мужчина (одинокий)",8787,38,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",37,"мужчина (одинокий)",2281,35,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",25,"женщина",2565,39,1,"есть просрочки платежей","надежный"
"бизнес","домовладелец",13,"мужчина (одинокий)",2079,29,2,"есть непогашенные кредиты","надежный"
"ремонт жилья","арендатор",34,"мужчина (одинокий)",2437,36,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",5,"мужчина (женатый или вдовец)",571,30,1,"есть непогашенные кредиты","надежный"
"бытовая техника","арендатор",26,"мужчина (женатый или вдовец)",8188,23,1,"есть непогашенные кредиты","надежный"
"бизнес","без жилья",33,"мужчина (одинокий)",4971,29,1,"не было кредитов","ненадежный"
"подержанная машина","арендатор",30,"женщина",10223,31,1,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",14,"мужчина (одинокий)",3148,53,1,"есть просрочки платежей","надежный"
"мебель","без жилья",30,"мужчина (одинокий)",4421,34,1,"все кредиты погашены","ненадежный"
"бытовая техника","арендатор",8,"мужчина (одинокий)",970,23,1,"есть непогашенные кредиты","надежный"
"новая машина","без жилья",39,"мужчина (одинокий)",18148,49,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",7,"женщина",1719,32,2,"есть просрочки платежей","надежный"
"подержанная машина","домовладелец",25,"мужчина (одинокий)",2137,39,2,"есть просрочки платежей","надежный"
"бытовая техника","арендатор",19,"женщина",467,20,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",36,"мужчина (разведенный)",2684,36,1,"есть непогашенные кредиты","ненадежный"
"подержанная машина","домовладелец",21,"женщина",2998,27,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",19,"женщина",1761,33,1,"есть непогашенные кредиты","надежный"
"подержанная машина","арендатор",34,"женщина",5195,21,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",24,"женщина",2998,23,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",30,"мужчина (одинокий)",6815,36,1,"есть просрочки платежей","надежный"
"новая машина","домовладелец",23,"женщина",3174,22,1,"есть непогашенные кредиты","ненадежный"
"образование","без жилья",16,"женщина",3341,64,3,"есть просрочки платежей","надежный"
"мебель","арендатор",15,"женщина",1579,47,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",6,"мужчина (одинокий)",3845,41,1,"есть непогашенные кредиты","надежный"
"другое","домовладелец",7,"мужчина (разведенный)",1754,65,1,"есть непогашенные кредиты","надежный"
"бизнес","арендатор",97,"мужчина (одинокий)",7956,39,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",29,"мужчина (одинокий)",1479,22,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",11,"женщина",918,42,1,"есть просрочки платежей","надежный"
"мебель","домовладелец",14,"женщина",4282,44,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",24,"женщина",1208,37,1,"есть непогашенные кредиты","ненадежный"
"новая машина","арендатор",16,"мужчина (одинокий)",4347,36,2,"есть просрочки платежей","ненадежный"
"бытовая техника","домовладелец",34,"женщина",1711,53,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",19,"мужчина (женатый или вдовец)",1782,37,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",19,"женщина",3320,28,2,"не было кредитов","ненадежный"
"новая машина","домовладелец",5,"женщина",803,54,1,"есть непогашенные кредиты","надежный"
"подержанная машина","без жилья",28,"мужчина (одинокий)",6330,49,1,"есть просрочки платежей","надежный"
"подержанная машина","арендатор",21,"женщина",4171,22,1,"все кредиты погашены","надежный"
"другое","домовладелец",4,"женщина",474,30,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",37,"мужчина (одинокий)",7247,32,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",41,"мужчина (одинокий)",2417,33,1,"есть просрочки платежей","надежный"
"подержанная машина","арендатор",27,"мужчина (женатый или вдовец)",14089,30,1,"есть непогашенные кредиты","ненадежный"
"подержанная машина","арендатор",6,"женщина",1267,21,1,"есть непогашенные кредиты","надежный"
"новая машина","арендатор",22,"мужчина (одинокий)",824,28,2,"не было кредитов","ненадежный"
"образование","без жилья",27,"мужчина (одинокий)",10252,34,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",20,"женщина",10998,32,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",33,"мужчина (одинокий)",2484,18,1,"все кредиты погашены","надежный"
"новая машина","домовладелец",16,"женщина",1142,27,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",20,"женщина",2067,34,1,"есть просрочки платежей","надежный"
"мебель","арендатор",19,"мужчина (одинокий)",5397,52,1,"есть просрочки платежей","надежный"
"новая машина","арендатор",21,"женщина",1794,20,1,"есть непогашенные кредиты","надежный"
"бизнес","арендатор",29,"мужчина (разведенный)",3518,57,2,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",12,"мужчина (одинокий)",2052,33,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",9,"женщина",1376,18,1,"есть непогашенные кредиты","надежный"
"новая машина","арендатор",9,"мужчина (разведенный)",1787,46,2,"есть непогашенные кредиты","ненадежный"
"образование","арендатор",22,"мужчина (одинокий)",1819,43,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",21,"мужчина (разведенный)",4017,35,1,"есть непогашенные кредиты","ненадежный"
"бизнес","арендатор",38,"мужчина (одинокий)",4016,28,1,"все кредиты погашены","ненадежный"
"подержанная машина","арендатор",6,"мужчина (одинокий)",1151,52,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",22,"женщина",1119,31,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",34,"мужчина (одинокий)",5648,27,1,"есть непогашенные кредиты","надежный"
"новая машина","арендатор",23,"женщина",1616,24,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",25,"женщина",3371,32,1,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",11,"женщина",1549,29,1,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",36,"мужчина (одинокий)",8560,24,2,"есть просрочки платежей","ненадежный"
"мебель","арендатор",10,"женщина",1067,29,4,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",24,"мужчина (одинокий)",1569,25,2,"есть просрочки платежей","надежный"
